context: Five minutes to curtain! response:	What should I name the way I'm feeling right now?
context: Five minutes to curtain!\What should I name the way I'm feeling right now? response:	No.
context: Five minutes to curtain!\What should I name the way I'm feeling right now?\No. response:	The truth is, I already know what it is.
context: Five minutes to curtain!\What should I name the way I'm feeling right now?\No.\The truth is, I already know what it is. response:	What? Why are you spacing out?
context: Five minutes to curtain!\What should I name the way I'm feeling right now?\No.\The truth is, I already know what it is.\What? Why are you spacing out? response:	Come on, it's show time!
context: Five minutes to curtain!\What should I name the way I'm feeling right now?\No.\The truth is, I already know what it is.\What? Why are you spacing out?\Come on, it's show time! response:	Huh? Well... Right.
context: Five minutes to curtain!\What should I name the way I'm feeling right now?\No.\The truth is, I already know what it is.\What? Why are you spacing out?\Come on, it's show time!\Huh? Well... Right. response:	Are you gonna be okay?
context: Five minutes to curtain!\What should I name the way I'm feeling right now?\No.\The truth is, I already know what it is.\What? Why are you spacing out?\Come on, it's show time!\Huh? Well... Right.\Are you gonna be okay? response:	You're not nervous about your lines or anything?
context: What should I name the way I'm feeling right now?\No.\The truth is, I already know what it is.\What? Why are you spacing out?\Come on, it's show time!\Huh? Well... Right.\Are you gonna be okay?\You're not nervous about your lines or anything? response:	I'm fine! I've memorized the important parts.
context: No.\The truth is, I already know what it is.\What? Why are you spacing out?\Come on, it's show time!\Huh? Well... Right.\Are you gonna be okay?\You're not nervous about your lines or anything?\I'm fine! I've memorized the important parts. response:	Looks like you're still a gorilla with a high-functioning brain.
context: The truth is, I already know what it is.\What? Why are you spacing out?\Come on, it's show time!\Huh? Well... Right.\Are you gonna be okay?\You're not nervous about your lines or anything?\I'm fine! I've memorized the important parts.\Looks like you're still a gorilla with a high-functioning brain. response:	M-My bad! It just slipped out! Like old times.
context: What? Why are you spacing out?\Come on, it's show time!\Huh? Well... Right.\Are you gonna be okay?\You're not nervous about your lines or anything?\I'm fine! I've memorized the important parts.\Looks like you're still a gorilla with a high-functioning brain.\M-My bad! It just slipped out! Like old times. response:	Are you mad?
context: Come on, it's show time!\Huh? Well... Right.\Are you gonna be okay?\You're not nervous about your lines or anything?\I'm fine! I've memorized the important parts.\Looks like you're still a gorilla with a high-functioning brain.\M-My bad! It just slipped out! Like old times.\Are you mad? response:	Let's go. It's about to start!
context: Huh? Well... Right.\Are you gonna be okay?\You're not nervous about your lines or anything?\I'm fine! I've memorized the important parts.\Looks like you're still a gorilla with a high-functioning brain.\M-My bad! It just slipped out! Like old times.\Are you mad?\Let's go. It's about to start! response:	How can she smile like that?
context: Are you gonna be okay?\You're not nervous about your lines or anything?\I'm fine! I've memorized the important parts.\Looks like you're still a gorilla with a high-functioning brain.\M-My bad! It just slipped out! Like old times.\Are you mad?\Let's go. It's about to start!\How can she smile like that? response:	A few minutes ago, she wouldn't get rid of her sulky face.
context: You're not nervous about your lines or anything?\I'm fine! I've memorized the important parts.\Looks like you're still a gorilla with a high-functioning brain.\M-My bad! It just slipped out! Like old times.\Are you mad?\Let's go. It's about to start!\How can she smile like that?\A few minutes ago, she wouldn't get rid of her sulky face. response:	Something strange is going on.
context: I'm fine! I've memorized the important parts.\Looks like you're still a gorilla with a high-functioning brain.\M-My bad! It just slipped out! Like old times.\Are you mad?\Let's go. It's about to start!\How can she smile like that?\A few minutes ago, she wouldn't get rid of her sulky face.\Something strange is going on. response:	Episode 20 - Showtime
context: Looks like you're still a gorilla with a high-functioning brain.\M-My bad! It just slipped out! Like old times.\Are you mad?\Let's go. It's about to start!\How can she smile like that?\A few minutes ago, she wouldn't get rid of her sulky face.\Something strange is going on.\Episode 20 - Showtime response:	Episode 20 - Showtime
context: M-My bad! It just slipped out! Like old times.\Are you mad?\Let's go. It's about to start!\How can she smile like that?\A few minutes ago, she wouldn't get rid of her sulky face.\Something strange is going on.\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Are you mad?\Let's go. It's about to start!\How can she smile like that?\A few minutes ago, she wouldn't get rid of her sulky face.\Something strange is going on.\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Let's go. It's about to start!\How can she smile like that?\A few minutes ago, she wouldn't get rid of her sulky face.\Something strange is going on.\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: How can she smile like that?\A few minutes ago, she wouldn't get rid of her sulky face.\Something strange is going on.\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: A few minutes ago, she wouldn't get rid of her sulky face.\Something strange is going on.\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Something strange is going on.\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
