context: Virus symptoms response:	begin
context: Virus symptoms\begin response:	The next requested piece is the Waltz of the Flowers from The Nutcracker Suite.
context: Virus symptoms\begin\The next requested piece is the Waltz of the Flowers from The Nutcracker Suite. response:	Yo, Ivan, I've completed the orders.
context: Virus symptoms\begin\The next requested piece is the Waltz of the Flowers from The Nutcracker Suite.\Yo, Ivan, I've completed the orders. response:	Hey, Ivan, are you listening?
context: Virus symptoms\begin\The next requested piece is the Waltz of the Flowers from The Nutcracker Suite.\Yo, Ivan, I've completed the orders.\Hey, Ivan, are you listening? response:	Hey!
context: Virus symptoms\begin\The next requested piece is the Waltz of the Flowers from The Nutcracker Suite.\Yo, Ivan, I've completed the orders.\Hey, Ivan, are you listening?\Hey! response:	Silence.
context: Virus symptoms\begin\The next requested piece is the Waltz of the Flowers from The Nutcracker Suite.\Yo, Ivan, I've completed the orders.\Hey, Ivan, are you listening?\Hey!\Silence. response:	I can't hear Tchaikovsky.
context: Virus symptoms\begin\The next requested piece is the Waltz of the Flowers from The Nutcracker Suite.\Yo, Ivan, I've completed the orders.\Hey, Ivan, are you listening?\Hey!\Silence.\I can't hear Tchaikovsky. response:	Listening to the radio again?
context: begin\The next requested piece is the Waltz of the Flowers from The Nutcracker Suite.\Yo, Ivan, I've completed the orders.\Hey, Ivan, are you listening?\Hey!\Silence.\I can't hear Tchaikovsky.\Listening to the radio again? response:	I infected the intruders.
context: The next requested piece is the Waltz of the Flowers from The Nutcracker Suite.\Yo, Ivan, I've completed the orders.\Hey, Ivan, are you listening?\Hey!\Silence.\I can't hear Tchaikovsky.\Listening to the radio again?\I infected the intruders. response:	So, what's the boss's next order?
context: Yo, Ivan, I've completed the orders.\Hey, Ivan, are you listening?\Hey!\Silence.\I can't hear Tchaikovsky.\Listening to the radio again?\I infected the intruders.\So, what's the boss's next order? response:	Our master instructs you to do what you can to escape.
context: Hey, Ivan, are you listening?\Hey!\Silence.\I can't hear Tchaikovsky.\Listening to the radio again?\I infected the intruders.\So, what's the boss's next order?\Our master instructs you to do what you can to escape. response:	No backup?
context: Hey!\Silence.\I can't hear Tchaikovsky.\Listening to the radio again?\I infected the intruders.\So, what's the boss's next order?\Our master instructs you to do what you can to escape.\No backup? response:	If I get caught, the virus will be lost, as well.
context: Silence.\I can't hear Tchaikovsky.\Listening to the radio again?\I infected the intruders.\So, what's the boss's next order?\Our master instructs you to do what you can to escape.\No backup?\If I get caught, the virus will be lost, as well. response:	I have no intention of protecting anyone other than our master.
context: I can't hear Tchaikovsky.\Listening to the radio again?\I infected the intruders.\So, what's the boss's next order?\Our master instructs you to do what you can to escape.\No backup?\If I get caught, the virus will be lost, as well.\I have no intention of protecting anyone other than our master. response:	I'm in bliss.
context: Listening to the radio again?\I infected the intruders.\So, what's the boss's next order?\Our master instructs you to do what you can to escape.\No backup?\If I get caught, the virus will be lost, as well.\I have no intention of protecting anyone other than our master.\I'm in bliss. response:	I'd love to see your face the moment the bliss is gone, too.
context: I infected the intruders.\So, what's the boss's next order?\Our master instructs you to do what you can to escape.\No backup?\If I get caught, the virus will be lost, as well.\I have no intention of protecting anyone other than our master.\I'm in bliss.\I'd love to see your face the moment the bliss is gone, too. response:	The skin on my face?
context: So, what's the boss's next order?\Our master instructs you to do what you can to escape.\No backup?\If I get caught, the virus will be lost, as well.\I have no intention of protecting anyone other than our master.\I'm in bliss.\I'd love to see your face the moment the bliss is gone, too.\The skin on my face? response:	If the master were to ask for it,
context: Our master instructs you to do what you can to escape.\No backup?\If I get caught, the virus will be lost, as well.\I have no intention of protecting anyone other than our master.\I'm in bliss.\I'd love to see your face the moment the bliss is gone, too.\The skin on my face?\If the master were to ask for it, response:	I would peel it off without a second thought.
context: No backup?\If I get caught, the virus will be lost, as well.\I have no intention of protecting anyone other than our master.\I'm in bliss.\I'd love to see your face the moment the bliss is gone, too.\The skin on my face?\If the master were to ask for it,\I would peel it off without a second thought. response:	You're completely nuts.
context: If I get caught, the virus will be lost, as well.\I have no intention of protecting anyone other than our master.\I'm in bliss.\I'd love to see your face the moment the bliss is gone, too.\The skin on my face?\If the master were to ask for it,\I would peel it off without a second thought.\You're completely nuts. response:	The bastards are after me.
context: I have no intention of protecting anyone other than our master.\I'm in bliss.\I'd love to see your face the moment the bliss is gone, too.\The skin on my face?\If the master were to ask for it,\I would peel it off without a second thought.\You're completely nuts.\The bastards are after me. response:	I'll see you on the surface.
context: I'm in bliss.\I'd love to see your face the moment the bliss is gone, too.\The skin on my face?\If the master were to ask for it,\I would peel it off without a second thought.\You're completely nuts.\The bastards are after me.\I'll see you on the surface. response:	Episode 37
context: I'd love to see your face the moment the bliss is gone, too.\The skin on my face?\If the master were to ask for it,\I would peel it off without a second thought.\You're completely nuts.\The bastards are after me.\I'll see you on the surface.\Episode 37 response:	Finally, a connection.
context: The skin on my face?\If the master were to ask for it,\I would peel it off without a second thought.\You're completely nuts.\The bastards are after me.\I'll see you on the surface.\Episode 37\Finally, a connection. response:	Dazai-san!
context: If the master were to ask for it,\I would peel it off without a second thought.\You're completely nuts.\The bastards are after me.\I'll see you on the surface.\Episode 37\Finally, a connection.\Dazai-san! response:	I trust that you're chasing down the gifted controlling the virus.
context: I would peel it off without a second thought.\You're completely nuts.\The bastards are after me.\I'll see you on the surface.\Episode 37\Finally, a connection.\Dazai-san!\I trust that you're chasing down the gifted controlling the virus. response:	His virus infects the victim through open wounds.
context: You're completely nuts.\The bastards are after me.\I'll see you on the surface.\Episode 37\Finally, a connection.\Dazai-san!\I trust that you're chasing down the gifted controlling the virus.\His virus infects the victim through open wounds. response:	The fever and nausea make it difficult to even just stand.
context: The bastards are after me.\I'll see you on the surface.\Episode 37\Finally, a connection.\Dazai-san!\I trust that you're chasing down the gifted controlling the virus.\His virus infects the victim through open wounds.\The fever and nausea make it difficult to even just stand. response:	Don't let yourselves be so much as grazed.
context: I'll see you on the surface.\Episode 37\Finally, a connection.\Dazai-san!\I trust that you're chasing down the gifted controlling the virus.\His virus infects the victim through open wounds.\The fever and nausea make it difficult to even just stand.\Don't let yourselves be so much as grazed. response:	I'll take care of Fyodor.
context: Episode 37\Finally, a connection.\Dazai-san!\I trust that you're chasing down the gifted controlling the virus.\His virus infects the victim through open wounds.\The fever and nausea make it difficult to even just stand.\Don't let yourselves be so much as grazed.\I'll take care of Fyodor. response:	Don't let that gifted out of your sight.
context: Finally, a connection.\Dazai-san!\I trust that you're chasing down the gifted controlling the virus.\His virus infects the victim through open wounds.\The fever and nausea make it difficult to even just stand.\Don't let yourselves be so much as grazed.\I'll take care of Fyodor.\Don't let that gifted out of your sight. response:	Damn, I can't reach.
context: Dazai-san!\I trust that you're chasing down the gifted controlling the virus.\His virus infects the victim through open wounds.\The fever and nausea make it difficult to even just stand.\Don't let yourselves be so much as grazed.\I'll take care of Fyodor.\Don't let that gifted out of your sight.\Damn, I can't reach. response:	Weretiger!
context: I trust that you're chasing down the gifted controlling the virus.\His virus infects the victim through open wounds.\The fever and nausea make it difficult to even just stand.\Don't let yourselves be so much as grazed.\I'll take care of Fyodor.\Don't let that gifted out of your sight.\Damn, I can't reach.\Weretiger! response:	Akutagawa!
context: His virus infects the victim through open wounds.\The fever and nausea make it difficult to even just stand.\Don't let yourselves be so much as grazed.\I'll take care of Fyodor.\Don't let that gifted out of your sight.\Damn, I can't reach.\Weretiger!\Akutagawa! response:	Neither the wretched dog nor the weretiger live up to their reputations.
context: The fever and nausea make it difficult to even just stand.\Don't let yourselves be so much as grazed.\I'll take care of Fyodor.\Don't let that gifted out of your sight.\Damn, I can't reach.\Weretiger!\Akutagawa!\Neither the wretched dog nor the weretiger live up to their reputations. response:	What the hell is that?
