context: Huh? When did I happen to get down from that cliff? response:	Last night, I was looking at the moon, and then...
context: Huh? When did I happen to get down from that cliff?\Last night, I was looking at the moon, and then... response:	And then, I don't remember anything.
context: Huh? When did I happen to get down from that cliff?\Last night, I was looking at the moon, and then...\And then, I don't remember anything. response:	Oh, well.
context: Huh? When did I happen to get down from that cliff?\Last night, I was looking at the moon, and then...\And then, I don't remember anything.\Oh, well. response:	I need to wash my face.
context: Huh? When did I happen to get down from that cliff?\Last night, I was looking at the moon, and then...\And then, I don't remember anything.\Oh, well.\I need to wash my face. response:	Something sure is weird!
context: Huh? When did I happen to get down from that cliff?\Last night, I was looking at the moon, and then...\And then, I don't remember anything.\Oh, well.\I need to wash my face.\Something sure is weird! response:	Huh? Wha-? Huh? It's gone! My tail!
context: Huh? When did I happen to get down from that cliff?\Last night, I was looking at the moon, and then...\And then, I don't remember anything.\Oh, well.\I need to wash my face.\Something sure is weird!\Huh? Wha-? Huh? It's gone! My tail! response:	I wonder if it got pulled off while I was asleep.
context: Huh? When did I happen to get down from that cliff?\Last night, I was looking at the moon, and then...\And then, I don't remember anything.\Oh, well.\I need to wash my face.\Something sure is weird!\Huh? Wha-? Huh? It's gone! My tail!\I wonder if it got pulled off while I was asleep. response:	Huh?
context: Last night, I was looking at the moon, and then...\And then, I don't remember anything.\Oh, well.\I need to wash my face.\Something sure is weird!\Huh? Wha-? Huh? It's gone! My tail!\I wonder if it got pulled off while I was asleep.\Huh? response:	My clothes have changed!
context: And then, I don't remember anything.\Oh, well.\I need to wash my face.\Something sure is weird!\Huh? Wha-? Huh? It's gone! My tail!\I wonder if it got pulled off while I was asleep.\Huh?\My clothes have changed! response:	Huh? That's strange.
context: Oh, well.\I need to wash my face.\Something sure is weird!\Huh? Wha-? Huh? It's gone! My tail!\I wonder if it got pulled off while I was asleep.\Huh?\My clothes have changed!\Huh? That's strange. response:	Don't come over here! Huh? A sword?
context: I need to wash my face.\Something sure is weird!\Huh? Wha-? Huh? It's gone! My tail!\I wonder if it got pulled off while I was asleep.\Huh?\My clothes have changed!\Huh? That's strange.\Don't come over here! Huh? A sword? response:	Stay back!
context: Something sure is weird!\Huh? Wha-? Huh? It's gone! My tail!\I wonder if it got pulled off while I was asleep.\Huh?\My clothes have changed!\Huh? That's strange.\Don't come over here! Huh? A sword?\Stay back! response:	Don't! I don't want to do this, you know!
context: Huh? Wha-? Huh? It's gone! My tail!\I wonder if it got pulled off while I was asleep.\Huh?\My clothes have changed!\Huh? That's strange.\Don't come over here! Huh? A sword?\Stay back!\Don't! I don't want to do this, you know! response:	Why are they just after me!?
context: I wonder if it got pulled off while I was asleep.\Huh?\My clothes have changed!\Huh? That's strange.\Don't come over here! Huh? A sword?\Stay back!\Don't! I don't want to do this, you know!\Why are they just after me!? response:	I don't taste very good!
context: Huh?\My clothes have changed!\Huh? That's strange.\Don't come over here! Huh? A sword?\Stay back!\Don't! I don't want to do this, you know!\Why are they just after me!?\I don't taste very good! response:	Help!
context: My clothes have changed!\Huh? That's strange.\Don't come over here! Huh? A sword?\Stay back!\Don't! I don't want to do this, you know!\Why are they just after me!?\I don't taste very good!\Help! response:	Oh, I'm so hungry! Ain't there anything to eat?
context: Huh? That's strange.\Don't come over here! Huh? A sword?\Stay back!\Don't! I don't want to do this, you know!\Why are they just after me!?\I don't taste very good!\Help!\Oh, I'm so hungry! Ain't there anything to eat? response:	That's a picture of a vimana, from the Nemurian civilization!
context: Don't come over here! Huh? A sword?\Stay back!\Don't! I don't want to do this, you know!\Why are they just after me!?\I don't taste very good!\Help!\Oh, I'm so hungry! Ain't there anything to eat?\That's a picture of a vimana, from the Nemurian civilization! response:	It's just like the one that tried to catch me.
context: Stay back!\Don't! I don't want to do this, you know!\Why are they just after me!?\I don't taste very good!\Help!\Oh, I'm so hungry! Ain't there anything to eat?\That's a picture of a vimana, from the Nemurian civilization!\It's just like the one that tried to catch me. response:	A 3-S Series prototype. This is an incredibly old capsule robot.
context: Don't! I don't want to do this, you know!\Why are they just after me!?\I don't taste very good!\Help!\Oh, I'm so hungry! Ain't there anything to eat?\That's a picture of a vimana, from the Nemurian civilization!\It's just like the one that tried to catch me.\A 3-S Series prototype. This is an incredibly old capsule robot. response:	Who's there? I was sleeping so pleasantly.
context: Why are they just after me!?\I don't taste very good!\Help!\Oh, I'm so hungry! Ain't there anything to eat?\That's a picture of a vimana, from the Nemurian civilization!\It's just like the one that tried to catch me.\A 3-S Series prototype. This is an incredibly old capsule robot.\Who's there? I was sleeping so pleasantly. response:	I- it spoke!
context: I don't taste very good!\Help!\Oh, I'm so hungry! Ain't there anything to eat?\That's a picture of a vimana, from the Nemurian civilization!\It's just like the one that tried to catch me.\A 3-S Series prototype. This is an incredibly old capsule robot.\Who's there? I was sleeping so pleasantly.\I- it spoke! response:	Who is it that's there?
context: Help!\Oh, I'm so hungry! Ain't there anything to eat?\That's a picture of a vimana, from the Nemurian civilization!\It's just like the one that tried to catch me.\A 3-S Series prototype. This is an incredibly old capsule robot.\Who's there? I was sleeping so pleasantly.\I- it spoke!\Who is it that's there? response:	M- my name... is Son Gohan!
context: Oh, I'm so hungry! Ain't there anything to eat?\That's a picture of a vimana, from the Nemurian civilization!\It's just like the one that tried to catch me.\A 3-S Series prototype. This is an incredibly old capsule robot.\Who's there? I was sleeping so pleasantly.\I- it spoke!\Who is it that's there?\M- my name... is Son Gohan! response:	Don't talk so loudly. Sand will fall down here at even the slightest vibration.
context: That's a picture of a vimana, from the Nemurian civilization!\It's just like the one that tried to catch me.\A 3-S Series prototype. This is an incredibly old capsule robot.\Who's there? I was sleeping so pleasantly.\I- it spoke!\Who is it that's there?\M- my name... is Son Gohan!\Don't talk so loudly. Sand will fall down here at even the slightest vibration. response:	I'm Son Gohan.
context: It's just like the one that tried to catch me.\A 3-S Series prototype. This is an incredibly old capsule robot.\Who's there? I was sleeping so pleasantly.\I- it spoke!\Who is it that's there?\M- my name... is Son Gohan!\Don't talk so loudly. Sand will fall down here at even the slightest vibration.\I'm Son Gohan. response:	Son Gohan...
context: A 3-S Series prototype. This is an incredibly old capsule robot.\Who's there? I was sleeping so pleasantly.\I- it spoke!\Who is it that's there?\M- my name... is Son Gohan!\Don't talk so loudly. Sand will fall down here at even the slightest vibration.\I'm Son Gohan.\Son Gohan... response:	Mister, what are you doing here?
context: Who's there? I was sleeping so pleasantly.\I- it spoke!\Who is it that's there?\M- my name... is Son Gohan!\Don't talk so loudly. Sand will fall down here at even the slightest vibration.\I'm Son Gohan.\Son Gohan...\Mister, what are you doing here? response:	That's no business of yours. Turn off my switch and leave here at once.
context: I- it spoke!\Who is it that's there?\M- my name... is Son Gohan!\Don't talk so loudly. Sand will fall down here at even the slightest vibration.\I'm Son Gohan.\Son Gohan...\Mister, what are you doing here?\That's no business of yours. Turn off my switch and leave here at once. response:	Leave here?
context: Who is it that's there?\M- my name... is Son Gohan!\Don't talk so loudly. Sand will fall down here at even the slightest vibration.\I'm Son Gohan.\Son Gohan...\Mister, what are you doing here?\That's no business of yours. Turn off my switch and leave here at once.\Leave here? response:	There is an exit behind me.
context: M- my name... is Son Gohan!\Don't talk so loudly. Sand will fall down here at even the slightest vibration.\I'm Son Gohan.\Son Gohan...\Mister, what are you doing here?\That's no business of yours. Turn off my switch and leave here at once.\Leave here?\There is an exit behind me. response:	All right!
context: Don't talk so loudly. Sand will fall down here at even the slightest vibration.\I'm Son Gohan.\Son Gohan...\Mister, what are you doing here?\That's no business of yours. Turn off my switch and leave here at once.\Leave here?\There is an exit behind me.\All right! response:	I'm saved!
context: I'm Son Gohan.\Son Gohan...\Mister, what are you doing here?\That's no business of yours. Turn off my switch and leave here at once.\Leave here?\There is an exit behind me.\All right!\I'm saved! response:	Wait! Turn off my switch before you go.
context: Son Gohan...\Mister, what are you doing here?\That's no business of yours. Turn off my switch and leave here at once.\Leave here?\There is an exit behind me.\All right!\I'm saved!\Wait! Turn off my switch before you go. response:	Sorry about that.
context: Mister, what are you doing here?\That's no business of yours. Turn off my switch and leave here at once.\Leave here?\There is an exit behind me.\All right!\I'm saved!\Wait! Turn off my switch before you go.\Sorry about that. response:	Thanks, mister.
context: That's no business of yours. Turn off my switch and leave here at once.\Leave here?\There is an exit behind me.\All right!\I'm saved!\Wait! Turn off my switch before you go.\Sorry about that.\Thanks, mister. response:	Mister!
context: Leave here?\There is an exit behind me.\All right!\I'm saved!\Wait! Turn off my switch before you go.\Sorry about that.\Thanks, mister.\Mister! response:	It's no good going that way!
context: There is an exit behind me.\All right!\I'm saved!\Wait! Turn off my switch before you go.\Sorry about that.\Thanks, mister.\Mister!\It's no good going that way! response:	Y- you fool! Don't talk so loudly!
context: All right!\I'm saved!\Wait! Turn off my switch before you go.\Sorry about that.\Thanks, mister.\Mister!\It's no good going that way!\Y- you fool! Don't talk so loudly! response:	I can't get down from there.
context: I'm saved!\Wait! Turn off my switch before you go.\Sorry about that.\Thanks, mister.\Mister!\It's no good going that way!\Y- you fool! Don't talk so loudly!\I can't get down from there. response:	Is that any of my concern?
context: Wait! Turn off my switch before you go.\Sorry about that.\Thanks, mister.\Mister!\It's no good going that way!\Y- you fool! Don't talk so loudly!\I can't get down from there.\Is that any of my concern? response:	But...
context: Sorry about that.\Thanks, mister.\Mister!\It's no good going that way!\Y- you fool! Don't talk so loudly!\I can't get down from there.\Is that any of my concern?\But... response:	I told you not to turn on my switch, didn't I? I wish to remain asleep.
context: Thanks, mister.\Mister!\It's no good going that way!\Y- you fool! Don't talk so loudly!\I can't get down from there.\Is that any of my concern?\But...\I told you not to turn on my switch, didn't I? I wish to remain asleep. response:	But still...
