context: Grade 1, Class 3 Nana Komatsu response:	Grade 1, Class 3 Nana Komatsu I am straying from the subject, but please bear with me.
context: Grade 1, Class 3 Nana Komatsu\Grade 1, Class 3 Nana Komatsu I am straying from the subject, but please bear with me. response:	Grade 1, Class 3 Nana Komatsu
context: Grade 1, Class 3 Nana Komatsu\Grade 1, Class 3 Nana Komatsu I am straying from the subject, but please bear with me.\Grade 1, Class 3 Nana Komatsu response:	Ever since I was a child,
context: Grade 1, Class 3 Nana Komatsu\Grade 1, Class 3 Nana Komatsu I am straying from the subject, but please bear with me.\Grade 1, Class 3 Nana Komatsu\Ever since I was a child, response:	my dream was to become a beautiful bride.
context: Grade 1, Class 3 Nana Komatsu\Grade 1, Class 3 Nana Komatsu I am straying from the subject, but please bear with me.\Grade 1, Class 3 Nana Komatsu\Ever since I was a child,\my dream was to become a beautiful bride. response:	There was really nothing else that I truly wanted to be.
context: Grade 1, Class 3 Nana Komatsu\Grade 1, Class 3 Nana Komatsu I am straying from the subject, but please bear with me.\Grade 1, Class 3 Nana Komatsu\Ever since I was a child,\my dream was to become a beautiful bride.\There was really nothing else that I truly wanted to be. response:	When I was darkness at that time
context: Grade 1, Class 3 Nana Komatsu\Grade 1, Class 3 Nana Komatsu I am straying from the subject, but please bear with me.\Grade 1, Class 3 Nana Komatsu\Ever since I was a child,\my dream was to become a beautiful bride.\There was really nothing else that I truly wanted to be.\When I was darkness at that time response:	With trembling lips
context: Grade 1, Class 3 Nana Komatsu\Grade 1, Class 3 Nana Komatsu I am straying from the subject, but please bear with me.\Grade 1, Class 3 Nana Komatsu\Ever since I was a child,\my dream was to become a beautiful bride.\There was really nothing else that I truly wanted to be.\When I was darkness at that time\With trembling lips response:	The more I struggle
context: Grade 1, Class 3 Nana Komatsu I am straying from the subject, but please bear with me.\Grade 1, Class 3 Nana Komatsu\Ever since I was a child,\my dream was to become a beautiful bride.\There was really nothing else that I truly wanted to be.\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: Grade 1, Class 3 Nana Komatsu\Ever since I was a child,\my dream was to become a beautiful bride.\There was really nothing else that I truly wanted to be.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: Ever since I was a child,\my dream was to become a beautiful bride.\There was really nothing else that I truly wanted to be.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: my dream was to become a beautiful bride.\There was really nothing else that I truly wanted to be.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: There was really nothing else that I truly wanted to be.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	Wedding funds?!
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Wedding funds?! response:	That's right.
