context: Bathroom... response:	Whoa.
context: Bathroom...\Whoa. response:	Ow!
context: Bathroom...\Whoa.\Ow! response:	Sorry, Kobayashi.
context: Bathroom...\Whoa.\Ow!\Sorry, Kobayashi. response:	Oh, no, it's all right.
context: Bathroom...\Whoa.\Ow!\Sorry, Kobayashi.\Oh, no, it's all right. response:	Beer, beer.
context: Bathroom...\Whoa.\Ow!\Sorry, Kobayashi.\Oh, no, it's all right.\Beer, beer. response:	Oh, pardon me.
context: Bathroom...\Whoa.\Ow!\Sorry, Kobayashi.\Oh, no, it's all right.\Beer, beer.\Oh, pardon me. response:	Juice.
context: Bathroom...\Whoa.\Ow!\Sorry, Kobayashi.\Oh, no, it's all right.\Beer, beer.\Oh, pardon me.\Juice. response:	Kanna, it's cramped!
context: Whoa.\Ow!\Sorry, Kobayashi.\Oh, no, it's all right.\Beer, beer.\Oh, pardon me.\Juice.\Kanna, it's cramped! response:	It's getting cramped here.
context: Ow!\Sorry, Kobayashi.\Oh, no, it's all right.\Beer, beer.\Oh, pardon me.\Juice.\Kanna, it's cramped!\It's getting cramped here. response:	Lady Tohru, move!
context: Sorry, Kobayashi.\Oh, no, it's all right.\Beer, beer.\Oh, pardon me.\Juice.\Kanna, it's cramped!\It's getting cramped here.\Lady Tohru, move! response:	A three bedroom apartment, right?
context: Oh, no, it's all right.\Beer, beer.\Oh, pardon me.\Juice.\Kanna, it's cramped!\It's getting cramped here.\Lady Tohru, move!\A three bedroom apartment, right? response:	Yes. As close to this area as possible please.
context: Beer, beer.\Oh, pardon me.\Juice.\Kanna, it's cramped!\It's getting cramped here.\Lady Tohru, move!\A three bedroom apartment, right?\Yes. As close to this area as possible please. response:	How's this?
context: Oh, pardon me.\Juice.\Kanna, it's cramped!\It's getting cramped here.\Lady Tohru, move!\A three bedroom apartment, right?\Yes. As close to this area as possible please.\How's this? response:	Hmm...
context: Juice.\Kanna, it's cramped!\It's getting cramped here.\Lady Tohru, move!\A three bedroom apartment, right?\Yes. As close to this area as possible please.\How's this?\Hmm... response:	How's this?
context: Kanna, it's cramped!\It's getting cramped here.\Lady Tohru, move!\A three bedroom apartment, right?\Yes. As close to this area as possible please.\How's this?\Hmm...\How's this? response:	Hmm...
context: It's getting cramped here.\Lady Tohru, move!\A three bedroom apartment, right?\Yes. As close to this area as possible please.\How's this?\Hmm...\How's this?\Hmm... response:	How's this?
context: Lady Tohru, move!\A three bedroom apartment, right?\Yes. As close to this area as possible please.\How's this?\Hmm...\How's this?\Hmm...\How's this? response:	Hmm...
context: A three bedroom apartment, right?\Yes. As close to this area as possible please.\How's this?\Hmm...\How's this?\Hmm...\How's this?\Hmm... response:	Frankly, there's not much difference between them.
context: Yes. As close to this area as possible please.\How's this?\Hmm...\How's this?\Hmm...\How's this?\Hmm...\Frankly, there's not much difference between them. response:	By the way, the roof of this property is a communal space.
context: How's this?\Hmm...\How's this?\Hmm...\How's this?\Hmm...\Frankly, there's not much difference between them.\By the way, the roof of this property is a communal space. response:	Oh?
context: Hmm...\How's this?\Hmm...\How's this?\Hmm...\Frankly, there's not much difference between them.\By the way, the roof of this property is a communal space.\Oh? response:	The sky's so vast!
context: How's this?\Hmm...\How's this?\Hmm...\Frankly, there's not much difference between them.\By the way, the roof of this property is a communal space.\Oh?\The sky's so vast! response:	It feels nice!
context: Hmm...\How's this?\Hmm...\Frankly, there's not much difference between them.\By the way, the roof of this property is a communal space.\Oh?\The sky's so vast!\It feels nice! response:	How is it?
context: How's this?\Hmm...\Frankly, there's not much difference between them.\By the way, the roof of this property is a communal space.\Oh?\The sky's so vast!\It feels nice!\How is it? response:	We'll take this one.
context: Hmm...\Frankly, there's not much difference between them.\By the way, the roof of this property is a communal space.\Oh?\The sky's so vast!\It feels nice!\How is it?\We'll take this one. response:	Well, time to start moving preparations.
context: Frankly, there's not much difference between them.\By the way, the roof of this property is a communal space.\Oh?\The sky's so vast!\It feels nice!\How is it?\We'll take this one.\Well, time to start moving preparations. response:	First, we clean up.
context: By the way, the roof of this property is a communal space.\Oh?\The sky's so vast!\It feels nice!\How is it?\We'll take this one.\Well, time to start moving preparations.\First, we clean up. response:	Yeah!
context: Oh?\The sky's so vast!\It feels nice!\How is it?\We'll take this one.\Well, time to start moving preparations.\First, we clean up.\Yeah! response:	Cleaning, cleaning, la la la.
context: The sky's so vast!\It feels nice!\How is it?\We'll take this one.\Well, time to start moving preparations.\First, we clean up.\Yeah!\Cleaning, cleaning, la la la. response:	Beat the dust and crush it.
context: It feels nice!\How is it?\We'll take this one.\Well, time to start moving preparations.\First, we clean up.\Yeah!\Cleaning, cleaning, la la la.\Beat the dust and crush it. response:	Weird song.
context: How is it?\We'll take this one.\Well, time to start moving preparations.\First, we clean up.\Yeah!\Cleaning, cleaning, la la la.\Beat the dust and crush it.\Weird song. response:	Leave no dust or trash behind.
context: We'll take this one.\Well, time to start moving preparations.\First, we clean up.\Yeah!\Cleaning, cleaning, la la la.\Beat the dust and crush it.\Weird song.\Leave no dust or trash behind. response:	Death to the world,
context: Well, time to start moving preparations.\First, we clean up.\Yeah!\Cleaning, cleaning, la la la.\Beat the dust and crush it.\Weird song.\Leave no dust or trash behind.\Death to the world, response:	now clean, clean everything.
context: First, we clean up.\Yeah!\Cleaning, cleaning, la la la.\Beat the dust and crush it.\Weird song.\Leave no dust or trash behind.\Death to the world,\now clean, clean everything. response:	That sounds too dangerous!
context: Yeah!\Cleaning, cleaning, la la la.\Beat the dust and crush it.\Weird song.\Leave no dust or trash behind.\Death to the world,\now clean, clean everything.\That sounds too dangerous! response:	Hey, Tohru, do you like being clean?
