context: Birth of the Mightiest Warrior? Nail and Piccolo Merge response:	There are no readings for the Ginyu Toksentai.
context: Birth of the Mightiest Warrior? Nail and Piccolo Merge\There are no readings for the Ginyu Toksentai. response:	Are you the ones that killed them?
context: Birth of the Mightiest Warrior? Nail and Piccolo Merge\There are no readings for the Ginyu Toksentai.\Are you the ones that killed them? response:	It is unfortunate that the Dragonballs have turned to stone just before I could have used them...
context: Birth of the Mightiest Warrior? Nail and Piccolo Merge\There are no readings for the Ginyu Toksentai.\Are you the ones that killed them?\It is unfortunate that the Dragonballs have turned to stone just before I could have used them... response:	Unfortunate for Vegeta-san, to be sure, but perhaps more so for myself.
context: Birth of the Mightiest Warrior? Nail and Piccolo Merge\There are no readings for the Ginyu Toksentai.\Are you the ones that killed them?\It is unfortunate that the Dragonballs have turned to stone just before I could have used them...\Unfortunate for Vegeta-san, to be sure, but perhaps more so for myself. response:	This is the first time anyone has been stupid enough to make this big a fool out of me.
context: Birth of the Mightiest Warrior? Nail and Piccolo Merge\There are no readings for the Ginyu Toksentai.\Are you the ones that killed them?\It is unfortunate that the Dragonballs have turned to stone just before I could have used them...\Unfortunate for Vegeta-san, to be sure, but perhaps more so for myself.\This is the first time anyone has been stupid enough to make this big a fool out of me. response:	I did not expect things to come to such a result.
context: Birth of the Mightiest Warrior? Nail and Piccolo Merge\There are no readings for the Ginyu Toksentai.\Are you the ones that killed them?\It is unfortunate that the Dragonballs have turned to stone just before I could have used them...\Unfortunate for Vegeta-san, to be sure, but perhaps more so for myself.\This is the first time anyone has been stupid enough to make this big a fool out of me.\I did not expect things to come to such a result. response:	You're going to pay!
context: Birth of the Mightiest Warrior? Nail and Piccolo Merge\There are no readings for the Ginyu Toksentai.\Are you the ones that killed them?\It is unfortunate that the Dragonballs have turned to stone just before I could have used them...\Unfortunate for Vegeta-san, to be sure, but perhaps more so for myself.\This is the first time anyone has been stupid enough to make this big a fool out of me.\I did not expect things to come to such a result.\You're going to pay! response:	You're going to pay for this, you puny worms!!
context: There are no readings for the Ginyu Toksentai.\Are you the ones that killed them?\It is unfortunate that the Dragonballs have turned to stone just before I could have used them...\Unfortunate for Vegeta-san, to be sure, but perhaps more so for myself.\This is the first time anyone has been stupid enough to make this big a fool out of me.\I did not expect things to come to such a result.\You're going to pay!\You're going to pay for this, you puny worms!! response:	I'm going to kill you all an inch at a time!!
context: Are you the ones that killed them?\It is unfortunate that the Dragonballs have turned to stone just before I could have used them...\Unfortunate for Vegeta-san, to be sure, but perhaps more so for myself.\This is the first time anyone has been stupid enough to make this big a fool out of me.\I did not expect things to come to such a result.\You're going to pay!\You're going to pay for this, you puny worms!!\I'm going to kill you all an inch at a time!! response:	There's no escape for you! Say your prayers!
context: It is unfortunate that the Dragonballs have turned to stone just before I could have used them...\Unfortunate for Vegeta-san, to be sure, but perhaps more so for myself.\This is the first time anyone has been stupid enough to make this big a fool out of me.\I did not expect things to come to such a result.\You're going to pay!\You're going to pay for this, you puny worms!!\I'm going to kill you all an inch at a time!!\There's no escape for you! Say your prayers! response:	So you finally show your true nature.
context: Unfortunate for Vegeta-san, to be sure, but perhaps more so for myself.\This is the first time anyone has been stupid enough to make this big a fool out of me.\I did not expect things to come to such a result.\You're going to pay!\You're going to pay for this, you puny worms!!\I'm going to kill you all an inch at a time!!\There's no escape for you! Say your prayers!\So you finally show your true nature. response:	Do your worst! If you think I'm going to be that easy to defeat, you're greatly mistaken!
context: This is the first time anyone has been stupid enough to make this big a fool out of me.\I did not expect things to come to such a result.\You're going to pay!\You're going to pay for this, you puny worms!!\I'm going to kill you all an inch at a time!!\There's no escape for you! Say your prayers!\So you finally show your true nature.\Do your worst! If you think I'm going to be that easy to defeat, you're greatly mistaken! response:	Of all the things you might have said...
context: I did not expect things to come to such a result.\You're going to pay!\You're going to pay for this, you puny worms!!\I'm going to kill you all an inch at a time!!\There's no escape for you! Say your prayers!\So you finally show your true nature.\Do your worst! If you think I'm going to be that easy to defeat, you're greatly mistaken!\Of all the things you might have said... response:	Apparently, you have forgotten how terrifying I really am.
context: You're going to pay!\You're going to pay for this, you puny worms!!\I'm going to kill you all an inch at a time!!\There's no escape for you! Say your prayers!\So you finally show your true nature.\Do your worst! If you think I'm going to be that easy to defeat, you're greatly mistaken!\Of all the things you might have said...\Apparently, you have forgotten how terrifying I really am. response:	Let me refresh your memory!
context: You're going to pay for this, you puny worms!!\I'm going to kill you all an inch at a time!!\There's no escape for you! Say your prayers!\So you finally show your true nature.\Do your worst! If you think I'm going to be that easy to defeat, you're greatly mistaken!\Of all the things you might have said...\Apparently, you have forgotten how terrifying I really am.\Let me refresh your memory! response:	Impossible!
context: I'm going to kill you all an inch at a time!!\There's no escape for you! Say your prayers!\So you finally show your true nature.\Do your worst! If you think I'm going to be that easy to defeat, you're greatly mistaken!\Of all the things you might have said...\Apparently, you have forgotten how terrifying I really am.\Let me refresh your memory!\Impossible! response:	I didn't think he'd be this awful!
context: There's no escape for you! Say your prayers!\So you finally show your true nature.\Do your worst! If you think I'm going to be that easy to defeat, you're greatly mistaken!\Of all the things you might have said...\Apparently, you have forgotten how terrifying I really am.\Let me refresh your memory!\Impossible!\I didn't think he'd be this awful! response:	That enormous Ki is getting a lot larger.
context: So you finally show your true nature.\Do your worst! If you think I'm going to be that easy to defeat, you're greatly mistaken!\Of all the things you might have said...\Apparently, you have forgotten how terrifying I really am.\Let me refresh your memory!\Impossible!\I didn't think he'd be this awful!\That enormous Ki is getting a lot larger. response:	This Freeza is about to make his move against the others.
context: Do your worst! If you think I'm going to be that easy to defeat, you're greatly mistaken!\Of all the things you might have said...\Apparently, you have forgotten how terrifying I really am.\Let me refresh your memory!\Impossible!\I didn't think he'd be this awful!\That enormous Ki is getting a lot larger.\This Freeza is about to make his move against the others. response:	I feel a faint Ki. No, it couldn't be Gohan!
context: Of all the things you might have said...\Apparently, you have forgotten how terrifying I really am.\Let me refresh your memory!\Impossible!\I didn't think he'd be this awful!\That enormous Ki is getting a lot larger.\This Freeza is about to make his move against the others.\I feel a faint Ki. No, it couldn't be Gohan! response:	A Nameksei-jin, the spitting image of myself.
context: Apparently, you have forgotten how terrifying I really am.\Let me refresh your memory!\Impossible!\I didn't think he'd be this awful!\That enormous Ki is getting a lot larger.\This Freeza is about to make his move against the others.\I feel a faint Ki. No, it couldn't be Gohan!\A Nameksei-jin, the spitting image of myself. response:	You're near death.
context: Let me refresh your memory!\Impossible!\I didn't think he'd be this awful!\That enormous Ki is getting a lot larger.\This Freeza is about to make his move against the others.\I feel a faint Ki. No, it couldn't be Gohan!\A Nameksei-jin, the spitting image of myself.\You're near death. response:	You must be the... Nameksei-jin the Earthlings spoke of.
context: Impossible!\I didn't think he'd be this awful!\That enormous Ki is getting a lot larger.\This Freeza is about to make his move against the others.\I feel a faint Ki. No, it couldn't be Gohan!\A Nameksei-jin, the spitting image of myself.\You're near death.\You must be the... Nameksei-jin the Earthlings spoke of. response:	So, their wish has been granted. Good.
context: I didn't think he'd be this awful!\That enormous Ki is getting a lot larger.\This Freeza is about to make his move against the others.\I feel a faint Ki. No, it couldn't be Gohan!\A Nameksei-jin, the spitting image of myself.\You're near death.\You must be the... Nameksei-jin the Earthlings spoke of.\So, their wish has been granted. Good. response:	You seem to have all the facts.
context: That enormous Ki is getting a lot larger.\This Freeza is about to make his move against the others.\I feel a faint Ki. No, it couldn't be Gohan!\A Nameksei-jin, the spitting image of myself.\You're near death.\You must be the... Nameksei-jin the Earthlings spoke of.\So, their wish has been granted. Good.\You seem to have all the facts. response:	Then you must also know that I'm rushing to help those brats out right now.
context: This Freeza is about to make his move against the others.\I feel a faint Ki. No, it couldn't be Gohan!\A Nameksei-jin, the spitting image of myself.\You're near death.\You must be the... Nameksei-jin the Earthlings spoke of.\So, their wish has been granted. Good.\You seem to have all the facts.\Then you must also know that I'm rushing to help those brats out right now. response:	You'll excuse me for leaving you here to die.
context: I feel a faint Ki. No, it couldn't be Gohan!\A Nameksei-jin, the spitting image of myself.\You're near death.\You must be the... Nameksei-jin the Earthlings spoke of.\So, their wish has been granted. Good.\You seem to have all the facts.\Then you must also know that I'm rushing to help those brats out right now.\You'll excuse me for leaving you here to die. response:	Surprising...
context: A Nameksei-jin, the spitting image of myself.\You're near death.\You must be the... Nameksei-jin the Earthlings spoke of.\So, their wish has been granted. Good.\You seem to have all the facts.\Then you must also know that I'm rushing to help those brats out right now.\You'll excuse me for leaving you here to die.\Surprising... response:	I don't know what discipline you've used, but you've managed to gain incredible power.
context: You're near death.\You must be the... Nameksei-jin the Earthlings spoke of.\So, their wish has been granted. Good.\You seem to have all the facts.\Then you must also know that I'm rushing to help those brats out right now.\You'll excuse me for leaving you here to die.\Surprising...\I don't know what discipline you've used, but you've managed to gain incredible power. response:	And yet, it's such a pity...
context: You must be the... Nameksei-jin the Earthlings spoke of.\So, their wish has been granted. Good.\You seem to have all the facts.\Then you must also know that I'm rushing to help those brats out right now.\You'll excuse me for leaving you here to die.\Surprising...\I don't know what discipline you've used, but you've managed to gain incredible power.\And yet, it's such a pity... response:	If you had returned as a single, complete Nameksei-jin,
context: So, their wish has been granted. Good.\You seem to have all the facts.\Then you must also know that I'm rushing to help those brats out right now.\You'll excuse me for leaving you here to die.\Surprising...\I don't know what discipline you've used, but you've managed to gain incredible power.\And yet, it's such a pity...\If you had returned as a single, complete Nameksei-jin, response:	you might have been able to beat Freeza.
context: You seem to have all the facts.\Then you must also know that I'm rushing to help those brats out right now.\You'll excuse me for leaving you here to die.\Surprising...\I don't know what discipline you've used, but you've managed to gain incredible power.\And yet, it's such a pity...\If you had returned as a single, complete Nameksei-jin,\you might have been able to beat Freeza. response:	You're saying that if I had reunited with Kami and become a single individual again,
context: Then you must also know that I'm rushing to help those brats out right now.\You'll excuse me for leaving you here to die.\Surprising...\I don't know what discipline you've used, but you've managed to gain incredible power.\And yet, it's such a pity...\If you had returned as a single, complete Nameksei-jin,\you might have been able to beat Freeza.\You're saying that if I had reunited with Kami and become a single individual again, response:	only then would I be able to overcome Freeza's power?
context: You'll excuse me for leaving you here to die.\Surprising...\I don't know what discipline you've used, but you've managed to gain incredible power.\And yet, it's such a pity...\If you had returned as a single, complete Nameksei-jin,\you might have been able to beat Freeza.\You're saying that if I had reunited with Kami and become a single individual again,\only then would I be able to overcome Freeza's power? response:	That's right. I may have been utterly overwhelmed by Freeza,
context: Surprising...\I don't know what discipline you've used, but you've managed to gain incredible power.\And yet, it's such a pity...\If you had returned as a single, complete Nameksei-jin,\you might have been able to beat Freeza.\You're saying that if I had reunited with Kami and become a single individual again,\only then would I be able to overcome Freeza's power?\That's right. I may have been utterly overwhelmed by Freeza, response:	but I know his powers quite well.
context: I don't know what discipline you've used, but you've managed to gain incredible power.\And yet, it's such a pity...\If you had returned as a single, complete Nameksei-jin,\you might have been able to beat Freeza.\You're saying that if I had reunited with Kami and become a single individual again,\only then would I be able to overcome Freeza's power?\That's right. I may have been utterly overwhelmed by Freeza,\but I know his powers quite well. response:	No use arguing over it now.
context: And yet, it's such a pity...\If you had returned as a single, complete Nameksei-jin,\you might have been able to beat Freeza.\You're saying that if I had reunited with Kami and become a single individual again,\only then would I be able to overcome Freeza's power?\That's right. I may have been utterly overwhelmed by Freeza,\but I know his powers quite well.\No use arguing over it now. response:	For that matter, I have no intention of ever reuniting with that guy.
context: If you had returned as a single, complete Nameksei-jin,\you might have been able to beat Freeza.\You're saying that if I had reunited with Kami and become a single individual again,\only then would I be able to overcome Freeza's power?\That's right. I may have been utterly overwhelmed by Freeza,\but I know his powers quite well.\No use arguing over it now.\For that matter, I have no intention of ever reuniting with that guy. response:	Unite with me.
context: you might have been able to beat Freeza.\You're saying that if I had reunited with Kami and become a single individual again,\only then would I be able to overcome Freeza's power?\That's right. I may have been utterly overwhelmed by Freeza,\but I know his powers quite well.\No use arguing over it now.\For that matter, I have no intention of ever reuniting with that guy.\Unite with me. response:	I am the... last Warrior-Type Nameksei-jin left on my world.
context: You're saying that if I had reunited with Kami and become a single individual again,\only then would I be able to overcome Freeza's power?\That's right. I may have been utterly overwhelmed by Freeza,\but I know his powers quite well.\No use arguing over it now.\For that matter, I have no intention of ever reuniting with that guy.\Unite with me.\I am the... last Warrior-Type Nameksei-jin left on my world. response:	What? With you?
context: only then would I be able to overcome Freeza's power?\That's right. I may have been utterly overwhelmed by Freeza,\but I know his powers quite well.\No use arguing over it now.\For that matter, I have no intention of ever reuniting with that guy.\Unite with me.\I am the... last Warrior-Type Nameksei-jin left on my world.\What? With you? response:	That's right. Your current power will be increased several times over.
context: That's right. I may have been utterly overwhelmed by Freeza,\but I know his powers quite well.\No use arguing over it now.\For that matter, I have no intention of ever reuniting with that guy.\Unite with me.\I am the... last Warrior-Type Nameksei-jin left on my world.\What? With you?\That's right. Your current power will be increased several times over. response:	Thanks for the offer, but I'd rather be who I am.
context: but I know his powers quite well.\No use arguing over it now.\For that matter, I have no intention of ever reuniting with that guy.\Unite with me.\I am the... last Warrior-Type Nameksei-jin left on my world.\What? With you?\That's right. Your current power will be increased several times over.\Thanks for the offer, but I'd rather be who I am. response:	I don't want to combine my individuality with yours.
context: No use arguing over it now.\For that matter, I have no intention of ever reuniting with that guy.\Unite with me.\I am the... last Warrior-Type Nameksei-jin left on my world.\What? With you?\That's right. Your current power will be increased several times over.\Thanks for the offer, but I'd rather be who I am.\I don't want to combine my individuality with yours. response:	Such a proud fellow...
