context: Futon, clothes, shoes, toothbrush? response:	What else?
context: Futon, clothes, shoes, toothbrush?\What else? response:	Huh?!
context: Futon, clothes, shoes, toothbrush?\What else?\Huh?! response:	Rin! Don't disappear on me all of a sudden!
context: Futon, clothes, shoes, toothbrush?\What else?\Huh?!\Rin! Don't disappear on me all of a sudden! response:	You startled me!
context: Futon, clothes, shoes, toothbrush?\What else?\Huh?!\Rin! Don't disappear on me all of a sudden!\You startled me! response:	Okay.
context: Futon, clothes, shoes, toothbrush?\What else?\Huh?!\Rin! Don't disappear on me all of a sudden!\You startled me!\Okay. response:	Daikichi, get a green one.
context: Futon, clothes, shoes, toothbrush?\What else?\Huh?!\Rin! Don't disappear on me all of a sudden!\You startled me!\Okay.\Daikichi, get a green one. response:	Come on! Let's go.
context: Futon, clothes, shoes, toothbrush?\What else?\Huh?!\Rin! Don't disappear on me all of a sudden!\You startled me!\Okay.\Daikichi, get a green one.\Come on! Let's go. response:	It's dangerous if we don't hold hands.
context: What else?\Huh?!\Rin! Don't disappear on me all of a sudden!\You startled me!\Okay.\Daikichi, get a green one.\Come on! Let's go.\It's dangerous if we don't hold hands. response:	For me?
context: Huh?!\Rin! Don't disappear on me all of a sudden!\You startled me!\Okay.\Daikichi, get a green one.\Come on! Let's go.\It's dangerous if we don't hold hands.\For me? response:	I dunno about tomorrow.
context: Rin! Don't disappear on me all of a sudden!\You startled me!\Okay.\Daikichi, get a green one.\Come on! Let's go.\It's dangerous if we don't hold hands.\For me?\I dunno about tomorrow. response:	It's different than a sacrifice. Something's off.
context: You startled me!\Okay.\Daikichi, get a green one.\Come on! Let's go.\It's dangerous if we don't hold hands.\For me?\I dunno about tomorrow.\It's different than a sacrifice. Something's off. response:	I don't think it's like some penalty game.
context: Okay.\Daikichi, get a green one.\Come on! Let's go.\It's dangerous if we don't hold hands.\For me?\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game. response:	So, why? I don't get it at all.
context: Daikichi, get a green one.\Come on! Let's go.\It's dangerous if we don't hold hands.\For me?\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all. response:	I'm a little bit unsatisfied, but your presence
context: Come on! Let's go.\It's dangerous if we don't hold hands.\For me?\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence response:	right now is more than just important.
context: It's dangerous if we don't hold hands.\For me?\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important. response:	There's no such thing in this world
context: For me?\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world response:	as something never-ending.
context: I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending. response:	Crying isn't painful, it's love's sweet drops, sweet drops!
context: It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops! response:	I want to keep dreaming forever, ya know?
context: I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know? response:	I want to be more kind, ya know?
context: So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know? response:	As long as Iam with you, Iam happy.
context: I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Iam with you, Iam happy. response:	Girls sure are strong, ya know?
context: right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Iam with you, Iam happy.\Girls sure are strong, ya know? response:	But sometimes we're weak, ya know?
context: There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Iam with you, Iam happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know? response:	Our wish is to be happy, happy, happy!
context: as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Iam with you, Iam happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy! response:	And those days will be happy, too!
context: Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Iam with you, Iam happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too! response:	Just wanna make you happy!
context: I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Iam with you, Iam happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy! response:	I want blue!
context: I want to be more kind, ya know?\As long as Iam with you, Iam happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\I want blue! response:	Were there always this many parents with their kids here?
context: As long as Iam with you, Iam happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\I want blue!\Were there always this many parents with their kids here? response:	I want that!
context: Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\I want blue!\Were there always this many parents with their kids here?\I want that! response:	This?
context: But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\I want blue!\Were there always this many parents with their kids here?\I want that!\This? response:	Yeah.
context: Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\I want blue!\Were there always this many parents with their kids here?\I want that!\This?\Yeah. response:	Umm... Okay. Sure, why not?
context: And those days will be happy, too!\Just wanna make you happy!\I want blue!\Were there always this many parents with their kids here?\I want that!\This?\Yeah.\Umm... Okay. Sure, why not? response:	What's your size, about?
context: Just wanna make you happy!\I want blue!\Were there always this many parents with their kids here?\I want that!\This?\Yeah.\Umm... Okay. Sure, why not?\What's your size, about? response:	I dunno.
context: I want blue!\Were there always this many parents with their kids here?\I want that!\This?\Yeah.\Umm... Okay. Sure, why not?\What's your size, about?\I dunno. response:	Rin, turn around.
context: Were there always this many parents with their kids here?\I want that!\This?\Yeah.\Umm... Okay. Sure, why not?\What's your size, about?\I dunno.\Rin, turn around. response:	Like this?
context: I want that!\This?\Yeah.\Umm... Okay. Sure, why not?\What's your size, about?\I dunno.\Rin, turn around.\Like this? response:	What am I supposed to match it to?
context: This?\Yeah.\Umm... Okay. Sure, why not?\What's your size, about?\I dunno.\Rin, turn around.\Like this?\What am I supposed to match it to? response:	I dunno!
context: Yeah.\Umm... Okay. Sure, why not?\What's your size, about?\I dunno.\Rin, turn around.\Like this?\What am I supposed to match it to?\I dunno! response:	Don't flap your arms!
