context: Norman's getting shipped? response:	Yes. It's been decided that it'll be tomorrow.
context: Norman's getting shipped?\Yes. It's been decided that it'll be tomorrow. response:	Mom. What happened to Emma's leg?
context: Norman's getting shipped?\Yes. It's been decided that it'll be tomorrow.\Mom. What happened to Emma's leg? response:	Don't worry, it was a clean break.
context: Norman's getting shipped?\Yes. It's been decided that it'll be tomorrow.\Mom. What happened to Emma's leg?\Don't worry, it was a clean break. response:	It'll heal back to normal without any scars.
context: Norman's getting shipped?\Yes. It's been decided that it'll be tomorrow.\Mom. What happened to Emma's leg?\Don't worry, it was a clean break.\It'll heal back to normal without any scars. response:	It'll probably take a month or two to completely heal.
context: Norman's getting shipped?\Yes. It's been decided that it'll be tomorrow.\Mom. What happened to Emma's leg?\Don't worry, it was a clean break.\It'll heal back to normal without any scars.\It'll probably take a month or two to completely heal. response:	I hope it's healed by your birthday, Ray.
context: Norman's getting shipped?\Yes. It's been decided that it'll be tomorrow.\Mom. What happened to Emma's leg?\Don't worry, it was a clean break.\It'll heal back to normal without any scars.\It'll probably take a month or two to completely heal.\I hope it's healed by your birthday, Ray. response:	Make sure to give me that bag later.
context: Norman's getting shipped?\Yes. It's been decided that it'll be tomorrow.\Mom. What happened to Emma's leg?\Don't worry, it was a clean break.\It'll heal back to normal without any scars.\It'll probably take a month or two to completely heal.\I hope it's healed by your birthday, Ray.\Make sure to give me that bag later. response:	Okay. Let's go back to our home.
context: Yes. It's been decided that it'll be tomorrow.\Mom. What happened to Emma's leg?\Don't worry, it was a clean break.\It'll heal back to normal without any scars.\It'll probably take a month or two to completely heal.\I hope it's healed by your birthday, Ray.\Make sure to give me that bag later.\Okay. Let's go back to our home. response:	What should we do now?
context: Mom. What happened to Emma's leg?\Don't worry, it was a clean break.\It'll heal back to normal without any scars.\It'll probably take a month or two to completely heal.\I hope it's healed by your birthday, Ray.\Make sure to give me that bag later.\Okay. Let's go back to our home.\What should we do now? response:	Norman is getting shipped out.
context: Don't worry, it was a clean break.\It'll heal back to normal without any scars.\It'll probably take a month or two to completely heal.\I hope it's healed by your birthday, Ray.\Make sure to give me that bag later.\Okay. Let's go back to our home.\What should we do now?\Norman is getting shipped out. response:	Our rope was taken away.
context: It'll heal back to normal without any scars.\It'll probably take a month or two to completely heal.\I hope it's healed by your birthday, Ray.\Make sure to give me that bag later.\Okay. Let's go back to our home.\What should we do now?\Norman is getting shipped out.\Our rope was taken away. response:	Emma's leg is broken and she can't move.
context: It'll probably take a month or two to completely heal.\I hope it's healed by your birthday, Ray.\Make sure to give me that bag later.\Okay. Let's go back to our home.\What should we do now?\Norman is getting shipped out.\Our rope was taken away.\Emma's leg is broken and she can't move. response:	Emma's leg will heal quickly.
context: I hope it's healed by your birthday, Ray.\Make sure to give me that bag later.\Okay. Let's go back to our home.\What should we do now?\Norman is getting shipped out.\Our rope was taken away.\Emma's leg is broken and she can't move.\Emma's leg will heal quickly. response:	We can make more rope!
context: Make sure to give me that bag later.\Okay. Let's go back to our home.\What should we do now?\Norman is getting shipped out.\Our rope was taken away.\Emma's leg is broken and she can't move.\Emma's leg will heal quickly.\We can make more rope! response:	The escape will happen, so we'll make it happen!
context: Okay. Let's go back to our home.\What should we do now?\Norman is getting shipped out.\Our rope was taken away.\Emma's leg is broken and she can't move.\Emma's leg will heal quickly.\We can make more rope!\The escape will happen, so we'll make it happen! response:	But first, Norman.
context: What should we do now?\Norman is getting shipped out.\Our rope was taken away.\Emma's leg is broken and she can't move.\Emma's leg will heal quickly.\We can make more rope!\The escape will happen, so we'll make it happen!\But first, Norman. response:	But why? Why is Norman getting shipped?
context: Norman is getting shipped out.\Our rope was taken away.\Emma's leg is broken and she can't move.\Emma's leg will heal quickly.\We can make more rope!\The escape will happen, so we'll make it happen!\But first, Norman.\But why? Why is Norman getting shipped? response:	Mom was talking about the next shipment.
context: Our rope was taken away.\Emma's leg is broken and she can't move.\Emma's leg will heal quickly.\We can make more rope!\The escape will happen, so we'll make it happen!\But first, Norman.\But why? Why is Norman getting shipped?\Mom was talking about the next shipment. response:	When she said the situation changed, she was talking about Norman.
context: Emma's leg is broken and she can't move.\Emma's leg will heal quickly.\We can make more rope!\The escape will happen, so we'll make it happen!\But first, Norman.\But why? Why is Norman getting shipped?\Mom was talking about the next shipment.\When she said the situation changed, she was talking about Norman. response:	And I can't believe even Sister...
context: Emma's leg will heal quickly.\We can make more rope!\The escape will happen, so we'll make it happen!\But first, Norman.\But why? Why is Norman getting shipped?\Mom was talking about the next shipment.\When she said the situation changed, she was talking about Norman.\And I can't believe even Sister... response:	She was her usual energetic self this morning, too.
