context: Graduation... response:	Gradually, everyone changes...
context: Graduation...\Gradually, everyone changes... response:	I've learned so many things on my journey.
context: Graduation...\Gradually, everyone changes...\I've learned so many things on my journey. response:	To everyone I've met along the way...
context: Graduation...\Gradually, everyone changes...\I've learned so many things on my journey.\To everyone I've met along the way... response:	Wait... That's really embarrassing, I can't say something like that!
context: Graduation...\Gradually, everyone changes...\I've learned so many things on my journey.\To everyone I've met along the way...\Wait... That's really embarrassing, I can't say something like that! response:	On this day, which marks the successful completion of your academic studies,
context: Graduation...\Gradually, everyone changes...\I've learned so many things on my journey.\To everyone I've met along the way...\Wait... That's really embarrassing, I can't say something like that!\On this day, which marks the successful completion of your academic studies, response:	take pride in yourselves, as the newest graduates of this time-honored institution.
context: Graduation...\Gradually, everyone changes...\I've learned so many things on my journey.\To everyone I've met along the way...\Wait... That's really embarrassing, I can't say something like that!\On this day, which marks the successful completion of your academic studies,\take pride in yourselves, as the newest graduates of this time-honored institution. response:	It is our hope that you spread your grand wings and take steadfast flight towards the future.
context: Graduation...\Gradually, everyone changes...\I've learned so many things on my journey.\To everyone I've met along the way...\Wait... That's really embarrassing, I can't say something like that!\On this day, which marks the successful completion of your academic studies,\take pride in yourselves, as the newest graduates of this time-honored institution.\It is our hope that you spread your grand wings and take steadfast flight towards the future. response:	Ah, here comes Alice!
context: Gradually, everyone changes...\I've learned so many things on my journey.\To everyone I've met along the way...\Wait... That's really embarrassing, I can't say something like that!\On this day, which marks the successful completion of your academic studies,\take pride in yourselves, as the newest graduates of this time-honored institution.\It is our hope that you spread your grand wings and take steadfast flight towards the future.\Ah, here comes Alice! response:	W-What should we do?
context: I've learned so many things on my journey.\To everyone I've met along the way...\Wait... That's really embarrassing, I can't say something like that!\On this day, which marks the successful completion of your academic studies,\take pride in yourselves, as the newest graduates of this time-honored institution.\It is our hope that you spread your grand wings and take steadfast flight towards the future.\Ah, here comes Alice!\W-What should we do? response:	You tell her!
context: To everyone I've met along the way...\Wait... That's really embarrassing, I can't say something like that!\On this day, which marks the successful completion of your academic studies,\take pride in yourselves, as the newest graduates of this time-honored institution.\It is our hope that you spread your grand wings and take steadfast flight towards the future.\Ah, here comes Alice!\W-What should we do?\You tell her! response:	Eh? M-Me?
context: Wait... That's really embarrassing, I can't say something like that!\On this day, which marks the successful completion of your academic studies,\take pride in yourselves, as the newest graduates of this time-honored institution.\It is our hope that you spread your grand wings and take steadfast flight towards the future.\Ah, here comes Alice!\W-What should we do?\You tell her!\Eh? M-Me? response:	U-Um, Alice!
