context: Look! Look! That's so cute! response:	Oh! That one is cute too!
context: Look! Look! That's so cute!\Oh! That one is cute too! response:	So nice!
context: Look! Look! That's so cute!\Oh! That one is cute too!\So nice! response:	Mei Lin-chan is having so much fun.
context: Look! Look! That's so cute!\Oh! That one is cute too!\So nice!\Mei Lin-chan is having so much fun. response:	I'm really glad she asked us to go shopping together!
context: Look! Look! That's so cute!\Oh! That one is cute too!\So nice!\Mei Lin-chan is having so much fun.\I'm really glad she asked us to go shopping together! response:	Yes.
context: Look! Look! That's so cute!\Oh! That one is cute too!\So nice!\Mei Lin-chan is having so much fun.\I'm really glad she asked us to go shopping together!\Yes. response:	Really, that girl's totally enjoying' herself.
context: Look! Look! That's so cute!\Oh! That one is cute too!\So nice!\Mei Lin-chan is having so much fun.\I'm really glad she asked us to go shopping together!\Yes.\Really, that girl's totally enjoying' herself. response:	Kero-chan!
context: Look! Look! That's so cute!\Oh! That one is cute too!\So nice!\Mei Lin-chan is having so much fun.\I'm really glad she asked us to go shopping together!\Yes.\Really, that girl's totally enjoying' herself.\Kero-chan! response:	But girls really do like to go shopping.
context: Oh! That one is cute too!\So nice!\Mei Lin-chan is having so much fun.\I'm really glad she asked us to go shopping together!\Yes.\Really, that girl's totally enjoying' herself.\Kero-chan!\But girls really do like to go shopping. response:	I have to hide myself everywhere you guys go!
context: So nice!\Mei Lin-chan is having so much fun.\I'm really glad she asked us to go shopping together!\Yes.\Really, that girl's totally enjoying' herself.\Kero-chan!\But girls really do like to go shopping.\I have to hide myself everywhere you guys go! response:	It's real tough, ya know? Why don't you consider how I feel?
context: Mei Lin-chan is having so much fun.\I'm really glad she asked us to go shopping together!\Yes.\Really, that girl's totally enjoying' herself.\Kero-chan!\But girls really do like to go shopping.\I have to hide myself everywhere you guys go!\It's real tough, ya know? Why don't you consider how I feel? response:	I am really exhausted.
context: I'm really glad she asked us to go shopping together!\Yes.\Really, that girl's totally enjoying' herself.\Kero-chan!\But girls really do like to go shopping.\I have to hide myself everywhere you guys go!\It's real tough, ya know? Why don't you consider how I feel?\I am really exhausted. response:	That's why I told you to stay home.
context: Yes.\Really, that girl's totally enjoying' herself.\Kero-chan!\But girls really do like to go shopping.\I have to hide myself everywhere you guys go!\It's real tough, ya know? Why don't you consider how I feel?\I am really exhausted.\That's why I told you to stay home. response:	But if you stay home, you might miss out on the delicious food, right, Kero-chan?
context: Really, that girl's totally enjoying' herself.\Kero-chan!\But girls really do like to go shopping.\I have to hide myself everywhere you guys go!\It's real tough, ya know? Why don't you consider how I feel?\I am really exhausted.\That's why I told you to stay home.\But if you stay home, you might miss out on the delicious food, right, Kero-chan? response:	That's right!
context: Kero-chan!\But girls really do like to go shopping.\I have to hide myself everywhere you guys go!\It's real tough, ya know? Why don't you consider how I feel?\I am really exhausted.\That's why I told you to stay home.\But if you stay home, you might miss out on the delicious food, right, Kero-chan?\That's right! response:	I'm always where food is!
context: But girls really do like to go shopping.\I have to hide myself everywhere you guys go!\It's real tough, ya know? Why don't you consider how I feel?\I am really exhausted.\That's why I told you to stay home.\But if you stay home, you might miss out on the delicious food, right, Kero-chan?\That's right!\I'm always where food is! response:	Geez, you love to snack way too much, Kero-chan!
context: I have to hide myself everywhere you guys go!\It's real tough, ya know? Why don't you consider how I feel?\I am really exhausted.\That's why I told you to stay home.\But if you stay home, you might miss out on the delicious food, right, Kero-chan?\That's right!\I'm always where food is!\Geez, you love to snack way too much, Kero-chan! response:	Hey! You guys!
context: It's real tough, ya know? Why don't you consider how I feel?\I am really exhausted.\That's why I told you to stay home.\But if you stay home, you might miss out on the delicious food, right, Kero-chan?\That's right!\I'm always where food is!\Geez, you love to snack way too much, Kero-chan!\Hey! You guys! response:	Don't just stand there! Come on! Hurry up!
context: I am really exhausted.\That's why I told you to stay home.\But if you stay home, you might miss out on the delicious food, right, Kero-chan?\That's right!\I'm always where food is!\Geez, you love to snack way too much, Kero-chan!\Hey! You guys!\Don't just stand there! Come on! Hurry up! response:	Now, let's go!
context: That's why I told you to stay home.\But if you stay home, you might miss out on the delicious food, right, Kero-chan?\That's right!\I'm always where food is!\Geez, you love to snack way too much, Kero-chan!\Hey! You guys!\Don't just stand there! Come on! Hurry up!\Now, let's go! response:	=More and more and more,=
context: But if you stay home, you might miss out on the delicious food, right, Kero-chan?\That's right!\I'm always where food is!\Geez, you love to snack way too much, Kero-chan!\Hey! You guys!\Don't just stand there! Come on! Hurry up!\Now, let's go!\=More and more and more,= response:	=I become greedy and spoiled.=
context: That's right!\I'm always where food is!\Geez, you love to snack way too much, Kero-chan!\Hey! You guys!\Don't just stand there! Come on! Hurry up!\Now, let's go!\=More and more and more,=\=I become greedy and spoiled.= response:	=From the way it's going,=
context: I'm always where food is!\Geez, you love to snack way too much, Kero-chan!\Hey! You guys!\Don't just stand there! Come on! Hurry up!\Now, let's go!\=More and more and more,=\=I become greedy and spoiled.=\=From the way it's going,= response:	=I wanna lock you up tight.=
context: Geez, you love to snack way too much, Kero-chan!\Hey! You guys!\Don't just stand there! Come on! Hurry up!\Now, let's go!\=More and more and more,=\=I become greedy and spoiled.=\=From the way it's going,=\=I wanna lock you up tight.= response:	=I made up my mind=
context: Hey! You guys!\Don't just stand there! Come on! Hurry up!\Now, let's go!\=More and more and more,=\=I become greedy and spoiled.=\=From the way it's going,=\=I wanna lock you up tight.=\=I made up my mind= response:	=at the mere sight and thought of you.=
context: Don't just stand there! Come on! Hurry up!\Now, let's go!\=More and more and more,=\=I become greedy and spoiled.=\=From the way it's going,=\=I wanna lock you up tight.=\=I made up my mind=\=at the mere sight and thought of you.= response:	=I wanna stay=
context: Now, let's go!\=More and more and more,=\=I become greedy and spoiled.=\=From the way it's going,=\=I wanna lock you up tight.=\=I made up my mind=\=at the mere sight and thought of you.=\=I wanna stay= response:	=like this next to you=
context: =More and more and more,=\=I become greedy and spoiled.=\=From the way it's going,=\=I wanna lock you up tight.=\=I made up my mind=\=at the mere sight and thought of you.=\=I wanna stay=\=like this next to you= response:	=for even just a bit longer.=
context: =I become greedy and spoiled.=\=From the way it's going,=\=I wanna lock you up tight.=\=I made up my mind=\=at the mere sight and thought of you.=\=I wanna stay=\=like this next to you=\=for even just a bit longer.= response:	=I wonder if there isn't=
context: =From the way it's going,=\=I wanna lock you up tight.=\=I made up my mind=\=at the mere sight and thought of you.=\=I wanna stay=\=like this next to you=\=for even just a bit longer.=\=I wonder if there isn't= response:	=a terrible traffic jam somewhere.=
context: =I wanna lock you up tight.=\=I made up my mind=\=at the mere sight and thought of you.=\=I wanna stay=\=like this next to you=\=for even just a bit longer.=\=I wonder if there isn't=\=a terrible traffic jam somewhere.= response:	=I love you so much=
context: =I made up my mind=\=at the mere sight and thought of you.=\=I wanna stay=\=like this next to you=\=for even just a bit longer.=\=I wonder if there isn't=\=a terrible traffic jam somewhere.=\=I love you so much= response:	=that the brakes won't work anymore.=
context: =at the mere sight and thought of you.=\=I wanna stay=\=like this next to you=\=for even just a bit longer.=\=I wonder if there isn't=\=a terrible traffic jam somewhere.=\=I love you so much=\=that the brakes won't work anymore.= response:	=Someone please,=
context: =I wanna stay=\=like this next to you=\=for even just a bit longer.=\=I wonder if there isn't=\=a terrible traffic jam somewhere.=\=I love you so much=\=that the brakes won't work anymore.=\=Someone please,= response:	=read between my words.=
context: =like this next to you=\=for even just a bit longer.=\=I wonder if there isn't=\=a terrible traffic jam somewhere.=\=I love you so much=\=that the brakes won't work anymore.=\=Someone please,=\=read between my words.= response:	=Because I am no match for you.=
context: =for even just a bit longer.=\=I wonder if there isn't=\=a terrible traffic jam somewhere.=\=I love you so much=\=that the brakes won't work anymore.=\=Someone please,=\=read between my words.=\=Because I am no match for you.= response:	=Even just for now,=
context: =I wonder if there isn't=\=a terrible traffic jam somewhere.=\=I love you so much=\=that the brakes won't work anymore.=\=Someone please,=\=read between my words.=\=Because I am no match for you.=\=Even just for now,= response:	=even just for one moment,=
context: =a terrible traffic jam somewhere.=\=I love you so much=\=that the brakes won't work anymore.=\=Someone please,=\=read between my words.=\=Because I am no match for you.=\=Even just for now,=\=even just for one moment,= response:	=I wanna keep your heart=
