context: Flowers that bloom in the darkness can only be at ease in the darkness response:	Flowers that bloom in the darkness
context: Flowers that bloom in the darkness can only be at ease in the darkness\Flowers that bloom in the darkness response:	can only be at ease in the darkness.
context: Flowers that bloom in the darkness can only be at ease in the darkness\Flowers that bloom in the darkness\can only be at ease in the darkness. response:	The beauty of falling flower petals...
context: Flowers that bloom in the darkness can only be at ease in the darkness\Flowers that bloom in the darkness\can only be at ease in the darkness.\The beauty of falling flower petals... response:	There is no need to let blossoms fall before they bloom.
context: Flowers that bloom in the darkness can only be at ease in the darkness\Flowers that bloom in the darkness\can only be at ease in the darkness.\The beauty of falling flower petals...\There is no need to let blossoms fall before they bloom. response:	Here, sorry to keep you waiting.
context: Flowers that bloom in the darkness can only be at ease in the darkness\Flowers that bloom in the darkness\can only be at ease in the darkness.\The beauty of falling flower petals...\There is no need to let blossoms fall before they bloom.\Here, sorry to keep you waiting. response:	Today's curry rice.
context: Flowers that bloom in the darkness can only be at ease in the darkness\Flowers that bloom in the darkness\can only be at ease in the darkness.\The beauty of falling flower petals...\There is no need to let blossoms fall before they bloom.\Here, sorry to keep you waiting.\Today's curry rice. response:	Wow, Brother.
context: Flowers that bloom in the darkness can only be at ease in the darkness\Flowers that bloom in the darkness\can only be at ease in the darkness.\The beauty of falling flower petals...\There is no need to let blossoms fall before they bloom.\Here, sorry to keep you waiting.\Today's curry rice.\Wow, Brother. response:	It looks delicious!
context: Flowers that bloom in the darkness\can only be at ease in the darkness.\The beauty of falling flower petals...\There is no need to let blossoms fall before they bloom.\Here, sorry to keep you waiting.\Today's curry rice.\Wow, Brother.\It looks delicious! response:	Oh, right!
context: can only be at ease in the darkness.\The beauty of falling flower petals...\There is no need to let blossoms fall before they bloom.\Here, sorry to keep you waiting.\Today's curry rice.\Wow, Brother.\It looks delicious!\Oh, right! response:	Thanks!
context: The beauty of falling flower petals...\There is no need to let blossoms fall before they bloom.\Here, sorry to keep you waiting.\Today's curry rice.\Wow, Brother.\It looks delicious!\Oh, right!\Thanks! response:	The sauce, the sauce.
context: There is no need to let blossoms fall before they bloom.\Here, sorry to keep you waiting.\Today's curry rice.\Wow, Brother.\It looks delicious!\Oh, right!\Thanks!\The sauce, the sauce. response:	By the way, Brother.
context: Here, sorry to keep you waiting.\Today's curry rice.\Wow, Brother.\It looks delicious!\Oh, right!\Thanks!\The sauce, the sauce.\By the way, Brother. response:	Did you buy the baumkuchen cake we saw yesterday at the store near the harbor?
context: Today's curry rice.\Wow, Brother.\It looks delicious!\Oh, right!\Thanks!\The sauce, the sauce.\By the way, Brother.\Did you buy the baumkuchen cake we saw yesterday at the store near the harbor? response:	Oh...
