context: That damn Sanada Yukimura dared to embarrass me! response:	I didn't expect my plan to backfire.
context: That damn Sanada Yukimura dared to embarrass me!\I didn't expect my plan to backfire. response:	This is all your fault!
context: That damn Sanada Yukimura dared to embarrass me!\I didn't expect my plan to backfire.\This is all your fault! response:	What an accusation.
context: That damn Sanada Yukimura dared to embarrass me!\I didn't expect my plan to backfire.\This is all your fault!\What an accusation. response:	What will you do?
context: That damn Sanada Yukimura dared to embarrass me!\I didn't expect my plan to backfire.\This is all your fault!\What an accusation.\What will you do? response:	Will you have me killed, Lord Ieyasu?
context: That damn Sanada Yukimura dared to embarrass me!\I didn't expect my plan to backfire.\This is all your fault!\What an accusation.\What will you do?\Will you have me killed, Lord Ieyasu? response:	You must stop at nothing to capture Yukimura!
context: That damn Sanada Yukimura dared to embarrass me!\I didn't expect my plan to backfire.\This is all your fault!\What an accusation.\What will you do?\Will you have me killed, Lord Ieyasu?\You must stop at nothing to capture Yukimura! response:	Well, now.
context: That damn Sanada Yukimura dared to embarrass me!\I didn't expect my plan to backfire.\This is all your fault!\What an accusation.\What will you do?\Will you have me killed, Lord Ieyasu?\You must stop at nothing to capture Yukimura!\Well, now. response:	I doubt he's the type to come along quietly.
context: I didn't expect my plan to backfire.\This is all your fault!\What an accusation.\What will you do?\Will you have me killed, Lord Ieyasu?\You must stop at nothing to capture Yukimura!\Well, now.\I doubt he's the type to come along quietly. response:	Then kill him!
context: This is all your fault!\What an accusation.\What will you do?\Will you have me killed, Lord Ieyasu?\You must stop at nothing to capture Yukimura!\Well, now.\I doubt he's the type to come along quietly.\Then kill him! response:	Execute him on the spot!
context: What an accusation.\What will you do?\Will you have me killed, Lord Ieyasu?\You must stop at nothing to capture Yukimura!\Well, now.\I doubt he's the type to come along quietly.\Then kill him!\Execute him on the spot! response:	The Birth of a Warrior
