context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	Flame Creation Magic: Leo Rugiens!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Flame Creation Magic: Leo Rugiens! response:	Is that all you've got, Captain of the Crimson Lion Kings?
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Flame Creation Magic: Leo Rugiens!\Is that all you've got, Captain of the Crimson Lion Kings? response:	In the instant you attack,
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Flame Creation Magic: Leo Rugiens!\Is that all you've got, Captain of the Crimson Lion Kings?\In the instant you attack, response:	for just a moment, the barrier's mana thins in places.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Flame Creation Magic: Leo Rugiens!\Is that all you've got, Captain of the Crimson Lion Kings?\In the instant you attack,\for just a moment, the barrier's mana thins in places. response:	That's what I aimed for.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Flame Creation Magic: Leo Rugiens!\Is that all you've got, Captain of the Crimson Lion Kings?\In the instant you attack,\for just a moment, the barrier's mana thins in places.\That's what I aimed for. response:	H-He's awesome!
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Flame Creation Magic: Leo Rugiens!\Is that all you've got, Captain of the Crimson Lion Kings?\In the instant you attack,\for just a moment, the barrier's mana thins in places.\That's what I aimed for.\H-He's awesome! response:	Rades, wasn't it?
context: He was called the Wizard King, and he became a legend.\Flame Creation Magic: Leo Rugiens!\Is that all you've got, Captain of the Crimson Lion Kings?\In the instant you attack,\for just a moment, the barrier's mana thins in places.\That's what I aimed for.\H-He's awesome!\Rades, wasn't it? response:	Even if you possess extraordinary abilities and polish them to their fullest,
context: Flame Creation Magic: Leo Rugiens!\Is that all you've got, Captain of the Crimson Lion Kings?\In the instant you attack,\for just a moment, the barrier's mana thins in places.\That's what I aimed for.\H-He's awesome!\Rades, wasn't it?\Even if you possess extraordinary abilities and polish them to their fullest, response:	without a righteous spirit, your deeds are nothing but violence!
context: Is that all you've got, Captain of the Crimson Lion Kings?\In the instant you attack,\for just a moment, the barrier's mana thins in places.\That's what I aimed for.\H-He's awesome!\Rades, wasn't it?\Even if you possess extraordinary abilities and polish them to their fullest,\without a righteous spirit, your deeds are nothing but violence! response:	No one will acknowledge something like that!
context: In the instant you attack,\for just a moment, the barrier's mana thins in places.\That's what I aimed for.\H-He's awesome!\Rades, wasn't it?\Even if you possess extraordinary abilities and polish them to their fullest,\without a righteous spirit, your deeds are nothing but violence!\No one will acknowledge something like that! response:	I need to get stronger so things like this don't give me so much trouble.
context: for just a moment, the barrier's mana thins in places.\That's what I aimed for.\H-He's awesome!\Rades, wasn't it?\Even if you possess extraordinary abilities and polish them to their fullest,\without a righteous spirit, your deeds are nothing but violence!\No one will acknowledge something like that!\I need to get stronger so things like this don't give me so much trouble. response:	It's too early for you to be cheering just yet.
context: That's what I aimed for.\H-He's awesome!\Rades, wasn't it?\Even if you possess extraordinary abilities and polish them to their fullest,\without a righteous spirit, your deeds are nothing but violence!\No one will acknowledge something like that!\I need to get stronger so things like this don't give me so much trouble.\It's too early for you to be cheering just yet. response:	I think everything's just about ready.
context: H-He's awesome!\Rades, wasn't it?\Even if you possess extraordinary abilities and polish them to their fullest,\without a righteous spirit, your deeds are nothing but violence!\No one will acknowledge something like that!\I need to get stronger so things like this don't give me so much trouble.\It's too early for you to be cheering just yet.\I think everything's just about ready. response:	Now for some lively sow's mana...
context: Rades, wasn't it?\Even if you possess extraordinary abilities and polish them to their fullest,\without a righteous spirit, your deeds are nothing but violence!\No one will acknowledge something like that!\I need to get stronger so things like this don't give me so much trouble.\It's too early for you to be cheering just yet.\I think everything's just about ready.\Now for some lively sow's mana... response:	How exciting!
context: Even if you possess extraordinary abilities and polish them to their fullest,\without a righteous spirit, your deeds are nothing but violence!\No one will acknowledge something like that!\I need to get stronger so things like this don't give me so much trouble.\It's too early for you to be cheering just yet.\I think everything's just about ready.\Now for some lively sow's mana...\How exciting! response:	I would always close my eyes
context: without a righteous spirit, your deeds are nothing but violence!\No one will acknowledge something like that!\I need to get stronger so things like this don't give me so much trouble.\It's too early for you to be cheering just yet.\I think everything's just about ready.\Now for some lively sow's mana...\How exciting!\I would always close my eyes response:	And cower at reality
context: No one will acknowledge something like that!\I need to get stronger so things like this don't give me so much trouble.\It's too early for you to be cheering just yet.\I think everything's just about ready.\Now for some lively sow's mana...\How exciting!\I would always close my eyes\And cower at reality response:	I can't stand the idea
context: I need to get stronger so things like this don't give me so much trouble.\It's too early for you to be cheering just yet.\I think everything's just about ready.\Now for some lively sow's mana...\How exciting!\I would always close my eyes\And cower at reality\I can't stand the idea response:	Of just making excuses to give up
context: It's too early for you to be cheering just yet.\I think everything's just about ready.\Now for some lively sow's mana...\How exciting!\I would always close my eyes\And cower at reality\I can't stand the idea\Of just making excuses to give up response:	Stand right there
context: I think everything's just about ready.\Now for some lively sow's mana...\How exciting!\I would always close my eyes\And cower at reality\I can't stand the idea\Of just making excuses to give up\Stand right there response:	I don't want to be near you
context: Now for some lively sow's mana...\How exciting!\I would always close my eyes\And cower at reality\I can't stand the idea\Of just making excuses to give up\Stand right there\I don't want to be near you response:	Any minute now
context: How exciting!\I would always close my eyes\And cower at reality\I can't stand the idea\Of just making excuses to give up\Stand right there\I don't want to be near you\Any minute now response:	Just wait right there
context: I would always close my eyes\And cower at reality\I can't stand the idea\Of just making excuses to give up\Stand right there\I don't want to be near you\Any minute now\Just wait right there response:	(The decisive battle is still a long way off)
context: And cower at reality\I can't stand the idea\Of just making excuses to give up\Stand right there\I don't want to be near you\Any minute now\Just wait right there\(The decisive battle is still a long way off) response:	Black and blue
context: I can't stand the idea\Of just making excuses to give up\Stand right there\I don't want to be near you\Any minute now\Just wait right there\(The decisive battle is still a long way off)\Black and blue response:	I'll give up on giving up
context: Of just making excuses to give up\Stand right there\I don't want to be near you\Any minute now\Just wait right there\(The decisive battle is still a long way off)\Black and blue\I'll give up on giving up response:	And get the world on my side
context: Stand right there\I don't want to be near you\Any minute now\Just wait right there\(The decisive battle is still a long way off)\Black and blue\I'll give up on giving up\And get the world on my side response:	I'm looking for the reason I'm alive
context: I don't want to be near you\Any minute now\Just wait right there\(The decisive battle is still a long way off)\Black and blue\I'll give up on giving up\And get the world on my side\I'm looking for the reason I'm alive response:	Every time somewhere under this sky
context: Any minute now\Just wait right there\(The decisive battle is still a long way off)\Black and blue\I'll give up on giving up\And get the world on my side\I'm looking for the reason I'm alive\Every time somewhere under this sky response:	Break through the tearful nights
context: Just wait right there\(The decisive battle is still a long way off)\Black and blue\I'll give up on giving up\And get the world on my side\I'm looking for the reason I'm alive\Every time somewhere under this sky\Break through the tearful nights response:	And head where the light shines
context: (The decisive battle is still a long way off)\Black and blue\I'll give up on giving up\And get the world on my side\I'm looking for the reason I'm alive\Every time somewhere under this sky\Break through the tearful nights\And head where the light shines response:	I want to keep my promise
