context: Interviews with Monster Girls response:	Takahashi Tetsuo Wants to Protect
context: Interviews with Monster Girls\Takahashi Tetsuo Wants to Protect response:	Oh, her?
context: Interviews with Monster Girls\Takahashi Tetsuo Wants to Protect\Oh, her? response:	She's...
context: Interviews with Monster Girls\Takahashi Tetsuo Wants to Protect\Oh, her?\She's... response:	kinda arrogant, don't you think?
context: Interviews with Monster Girls\Takahashi Tetsuo Wants to Protect\Oh, her?\She's...\kinda arrogant, don't you think? response:	I admit she is cute,
context: Interviews with Monster Girls\Takahashi Tetsuo Wants to Protect\Oh, her?\She's...\kinda arrogant, don't you think?\I admit she is cute, response:	but she could hang out with him once, at least.
context: Interviews with Monster Girls\Takahashi Tetsuo Wants to Protect\Oh, her?\She's...\kinda arrogant, don't you think?\I admit she is cute,\but she could hang out with him once, at least. response:	Maybe she thinks she's some kind of idol...
context: Interviews with Monster Girls\Takahashi Tetsuo Wants to Protect\Oh, her?\She's...\kinda arrogant, don't you think?\I admit she is cute,\but she could hang out with him once, at least.\Maybe she thinks she's some kind of idol... response:	Biology Prep Room
context: Takahashi Tetsuo Wants to Protect\Oh, her?\She's...\kinda arrogant, don't you think?\I admit she is cute,\but she could hang out with him once, at least.\Maybe she thinks she's some kind of idol...\Biology Prep Room response:	Kusakabe?
context: Oh, her?\She's...\kinda arrogant, don't you think?\I admit she is cute,\but she could hang out with him once, at least.\Maybe she thinks she's some kind of idol...\Biology Prep Room\Kusakabe? response:	T-Takahashi-sensei...
context: She's...\kinda arrogant, don't you think?\I admit she is cute,\but she could hang out with him once, at least.\Maybe she thinks she's some kind of idol...\Biology Prep Room\Kusakabe?\T-Takahashi-sensei... response:	What's wrong?
context: kinda arrogant, don't you think?\I admit she is cute,\but she could hang out with him once, at least.\Maybe she thinks she's some kind of idol...\Biology Prep Room\Kusakabe?\T-Takahashi-sensei...\What's wrong? response:	I-It's just... I heard people...
context: I admit she is cute,\but she could hang out with him once, at least.\Maybe she thinks she's some kind of idol...\Biology Prep Room\Kusakabe?\T-Takahashi-sensei...\What's wrong?\I-It's just... I heard people... response:	s-saying mean things... about me.
context: but she could hang out with him once, at least.\Maybe she thinks she's some kind of idol...\Biology Prep Room\Kusakabe?\T-Takahashi-sensei...\What's wrong?\I-It's just... I heard people...\s-saying mean things... about me. response:	I see.
context: Maybe she thinks she's some kind of idol...\Biology Prep Room\Kusakabe?\T-Takahashi-sensei...\What's wrong?\I-It's just... I heard people...\s-saying mean things... about me.\I see. response:	Well, this isn't the place to talk about it.
context: Biology Prep Room\Kusakabe?\T-Takahashi-sensei...\What's wrong?\I-It's just... I heard people...\s-saying mean things... about me.\I see.\Well, this isn't the place to talk about it. response:	Let's go inside.
context: Kusakabe?\T-Takahashi-sensei...\What's wrong?\I-It's just... I heard people...\s-saying mean things... about me.\I see.\Well, this isn't the place to talk about it.\Let's go inside. response:	Is it because I'm a demi?!
context: T-Takahashi-sensei...\What's wrong?\I-It's just... I heard people...\s-saying mean things... about me.\I see.\Well, this isn't the place to talk about it.\Let's go inside.\Is it because I'm a demi?! response:	If I weren't a demi,
context: What's wrong?\I-It's just... I heard people...\s-saying mean things... about me.\I see.\Well, this isn't the place to talk about it.\Let's go inside.\Is it because I'm a demi?!\If I weren't a demi, response:	I wouldn't feel like this...
context: I-It's just... I heard people...\s-saying mean things... about me.\I see.\Well, this isn't the place to talk about it.\Let's go inside.\Is it because I'm a demi?!\If I weren't a demi,\I wouldn't feel like this... response:	Don't worry. That's not true.
context: s-saying mean things... about me.\I see.\Well, this isn't the place to talk about it.\Let's go inside.\Is it because I'm a demi?!\If I weren't a demi,\I wouldn't feel like this...\Don't worry. That's not true. response:	That isn't true, Kusakabe.
context: I see.\Well, this isn't the place to talk about it.\Let's go inside.\Is it because I'm a demi?!\If I weren't a demi,\I wouldn't feel like this...\Don't worry. That's not true.\That isn't true, Kusakabe. response:	Takahashi-sensei...
context: Well, this isn't the place to talk about it.\Let's go inside.\Is it because I'm a demi?!\If I weren't a demi,\I wouldn't feel like this...\Don't worry. That's not true.\That isn't true, Kusakabe.\Takahashi-sensei... response:	I have to protect her.
context: Let's go inside.\Is it because I'm a demi?!\If I weren't a demi,\I wouldn't feel like this...\Don't worry. That's not true.\That isn't true, Kusakabe.\Takahashi-sensei...\I have to protect her. response:	I have to protect this demi-chan!
context: Is it because I'm a demi?!\If I weren't a demi,\I wouldn't feel like this...\Don't worry. That's not true.\That isn't true, Kusakabe.\Takahashi-sensei...\I have to protect her.\I have to protect this demi-chan! response:	Generally speaking,
context: If I weren't a demi,\I wouldn't feel like this...\Don't worry. That's not true.\That isn't true, Kusakabe.\Takahashi-sensei...\I have to protect her.\I have to protect this demi-chan!\Generally speaking, response:	gossip is a trivial issue, common among high school girls.
context: I wouldn't feel like this...\Don't worry. That's not true.\That isn't true, Kusakabe.\Takahashi-sensei...\I have to protect her.\I have to protect this demi-chan!\Generally speaking,\gossip is a trivial issue, common among high school girls. response:	But since she's a demi,
context: Don't worry. That's not true.\That isn't true, Kusakabe.\Takahashi-sensei...\I have to protect her.\I have to protect this demi-chan!\Generally speaking,\gossip is a trivial issue, common among high school girls.\But since she's a demi, response:	this particular issue isn't quite that simple.
context: That isn't true, Kusakabe.\Takahashi-sensei...\I have to protect her.\I have to protect this demi-chan!\Generally speaking,\gossip is a trivial issue, common among high school girls.\But since she's a demi,\this particular issue isn't quite that simple. response:	Hikari and Machi have accepted that, and are living normally enough...
context: Takahashi-sensei...\I have to protect her.\I have to protect this demi-chan!\Generally speaking,\gossip is a trivial issue, common among high school girls.\But since she's a demi,\this particular issue isn't quite that simple.\Hikari and Machi have accepted that, and are living normally enough... response:	Satou-sensei?
context: I have to protect her.\I have to protect this demi-chan!\Generally speaking,\gossip is a trivial issue, common among high school girls.\But since she's a demi,\this particular issue isn't quite that simple.\Hikari and Machi have accepted that, and are living normally enough...\Satou-sensei? response:	Hydrangeas, eh?
context: I have to protect this demi-chan!\Generally speaking,\gossip is a trivial issue, common among high school girls.\But since she's a demi,\this particular issue isn't quite that simple.\Hikari and Machi have accepted that, and are living normally enough...\Satou-sensei?\Hydrangeas, eh? response:	There were lots of them in the garden,
context: Generally speaking,\gossip is a trivial issue, common among high school girls.\But since she's a demi,\this particular issue isn't quite that simple.\Hikari and Machi have accepted that, and are living normally enough...\Satou-sensei?\Hydrangeas, eh?\There were lots of them in the garden, response:	so I borrowed a few.
context: gossip is a trivial issue, common among high school girls.\But since she's a demi,\this particular issue isn't quite that simple.\Hikari and Machi have accepted that, and are living normally enough...\Satou-sensei?\Hydrangeas, eh?\There were lots of them in the garden,\so I borrowed a few. response:	Are you working, Takahashi-sensei?
