context: Naraku! response:	What's this?
context: Naraku!\What's this? response:	By the time we got to Naraku's Castle...
context: Naraku!\What's this?\By the time we got to Naraku's Castle... response:	the Wolf-Demons had been slaughtered.
context: Naraku!\What's this?\By the time we got to Naraku's Castle...\the Wolf-Demons had been slaughtered. response:	W-what?!
context: Naraku!\What's this?\By the time we got to Naraku's Castle...\the Wolf-Demons had been slaughtered.\W-what?! response:	Why that!
context: Naraku!\What's this?\By the time we got to Naraku's Castle...\the Wolf-Demons had been slaughtered.\W-what?!\Why that! response:	Koga!
context: Naraku!\What's this?\By the time we got to Naraku's Castle...\the Wolf-Demons had been slaughtered.\W-what?!\Why that!\Koga! response:	Naraku's trap!
context: Naraku!\What's this?\By the time we got to Naraku's Castle...\the Wolf-Demons had been slaughtered.\W-what?!\Why that!\Koga!\Naraku's trap! response:	Koga went after Inuyasha...
context: What's this?\By the time we got to Naraku's Castle...\the Wolf-Demons had been slaughtered.\W-what?!\Why that!\Koga!\Naraku's trap!\Koga went after Inuyasha... response:	believing that his comrades had been killed by him.
context: By the time we got to Naraku's Castle...\the Wolf-Demons had been slaughtered.\W-what?!\Why that!\Koga!\Naraku's trap!\Koga went after Inuyasha...\believing that his comrades had been killed by him. response:	The glow in his right arm was not from a Sacred Jewel fragment.
context: the Wolf-Demons had been slaughtered.\W-what?!\Why that!\Koga!\Naraku's trap!\Koga went after Inuyasha...\believing that his comrades had been killed by him.\The glow in his right arm was not from a Sacred Jewel fragment. response:	With greater ferocity, Koga attacked Inuyasha!
context: W-what?!\Why that!\Koga!\Naraku's trap!\Koga went after Inuyasha...\believing that his comrades had been killed by him.\The glow in his right arm was not from a Sacred Jewel fragment.\With greater ferocity, Koga attacked Inuyasha! response:	He says this should keep you busy.
context: Why that!\Koga!\Naraku's trap!\Koga went after Inuyasha...\believing that his comrades had been killed by him.\The glow in his right arm was not from a Sacred Jewel fragment.\With greater ferocity, Koga attacked Inuyasha!\He says this should keep you busy. response:	As usual, the ape likes to make things complicated.
context: Koga!\Naraku's trap!\Koga went after Inuyasha...\believing that his comrades had been killed by him.\The glow in his right arm was not from a Sacred Jewel fragment.\With greater ferocity, Koga attacked Inuyasha!\He says this should keep you busy.\As usual, the ape likes to make things complicated. response:	While those hotheads fight it out their way...
context: Naraku's trap!\Koga went after Inuyasha...\believing that his comrades had been killed by him.\The glow in his right arm was not from a Sacred Jewel fragment.\With greater ferocity, Koga attacked Inuyasha!\He says this should keep you busy.\As usual, the ape likes to make things complicated.\While those hotheads fight it out their way... response:	we get to take on a demon puppet.
context: Koga went after Inuyasha...\believing that his comrades had been killed by him.\The glow in his right arm was not from a Sacred Jewel fragment.\With greater ferocity, Koga attacked Inuyasha!\He says this should keep you busy.\As usual, the ape likes to make things complicated.\While those hotheads fight it out their way...\we get to take on a demon puppet. response:	He takes us lightly.
context: believing that his comrades had been killed by him.\The glow in his right arm was not from a Sacred Jewel fragment.\With greater ferocity, Koga attacked Inuyasha!\He says this should keep you busy.\As usual, the ape likes to make things complicated.\While those hotheads fight it out their way...\we get to take on a demon puppet.\He takes us lightly. response:	Don't let your guard down.
context: The glow in his right arm was not from a Sacred Jewel fragment.\With greater ferocity, Koga attacked Inuyasha!\He says this should keep you busy.\As usual, the ape likes to make things complicated.\While those hotheads fight it out their way...\we get to take on a demon puppet.\He takes us lightly.\Don't let your guard down. response:	We're inside Naraku's castle. Who knows what traps have been laid.
