context: Once upon a time, there was a man who died. response:	All the stories the man spun came true,
context: Once upon a time, there was a man who died.\All the stories the man spun came true, response:	so the king, the nobility, and the kingdom's rich all went to him
context: Once upon a time, there was a man who died.\All the stories the man spun came true,\so the king, the nobility, and the kingdom's rich all went to him response:	to get him to write them stories.
context: Once upon a time, there was a man who died.\All the stories the man spun came true,\so the king, the nobility, and the kingdom's rich all went to him\to get him to write them stories. response:	But when their wishes were granted they feared his power, and began to abhor him.
context: Once upon a time, there was a man who died.\All the stories the man spun came true,\so the king, the nobility, and the kingdom's rich all went to him\to get him to write them stories.\But when their wishes were granted they feared his power, and began to abhor him. response:	So when the man died, the people rejoiced that a source of misfortune had gone.
context: Once upon a time, there was a man who died.\All the stories the man spun came true,\so the king, the nobility, and the kingdom's rich all went to him\to get him to write them stories.\But when their wishes were granted they feared his power, and began to abhor him.\So when the man died, the people rejoiced that a source of misfortune had gone. response:	No one heard the sound of the dead man's scornful laughter.
context: Once upon a time, there was a man who died.\All the stories the man spun came true,\so the king, the nobility, and the kingdom's rich all went to him\to get him to write them stories.\But when their wishes were granted they feared his power, and began to abhor him.\So when the man died, the people rejoiced that a source of misfortune had gone.\No one heard the sound of the dead man's scornful laughter. response:	Did Mytho get to go back to being the prince?
context: Once upon a time, there was a man who died.\All the stories the man spun came true,\so the king, the nobility, and the kingdom's rich all went to him\to get him to write them stories.\But when their wishes were granted they feared his power, and began to abhor him.\So when the man died, the people rejoiced that a source of misfortune had gone.\No one heard the sound of the dead man's scornful laughter.\Did Mytho get to go back to being the prince? response:	So, he defeated the raven's blood!
context: All the stories the man spun came true,\so the king, the nobility, and the kingdom's rich all went to him\to get him to write them stories.\But when their wishes were granted they feared his power, and began to abhor him.\So when the man died, the people rejoiced that a source of misfortune had gone.\No one heard the sound of the dead man's scornful laughter.\Did Mytho get to go back to being the prince?\So, he defeated the raven's blood! response:	I get it, Fakir wrote a story about Mytho...
context: so the king, the nobility, and the kingdom's rich all went to him\to get him to write them stories.\But when their wishes were granted they feared his power, and began to abhor him.\So when the man died, the people rejoiced that a source of misfortune had gone.\No one heard the sound of the dead man's scornful laughter.\Did Mytho get to go back to being the prince?\So, he defeated the raven's blood!\I get it, Fakir wrote a story about Mytho... response:	Oh, and Rue-chan went back to being Rue-chan too!
context: to get him to write them stories.\But when their wishes were granted they feared his power, and began to abhor him.\So when the man died, the people rejoiced that a source of misfortune had gone.\No one heard the sound of the dead man's scornful laughter.\Did Mytho get to go back to being the prince?\So, he defeated the raven's blood!\I get it, Fakir wrote a story about Mytho...\Oh, and Rue-chan went back to being Rue-chan too! response:	I'm so glad!
context: But when their wishes were granted they feared his power, and began to abhor him.\So when the man died, the people rejoiced that a source of misfortune had gone.\No one heard the sound of the dead man's scornful laughter.\Did Mytho get to go back to being the prince?\So, he defeated the raven's blood!\I get it, Fakir wrote a story about Mytho...\Oh, and Rue-chan went back to being Rue-chan too!\I'm so glad! response:	I'm so glad. Everybody looks like they're having fun.
context: So when the man died, the people rejoiced that a source of misfortune had gone.\No one heard the sound of the dead man's scornful laughter.\Did Mytho get to go back to being the prince?\So, he defeated the raven's blood!\I get it, Fakir wrote a story about Mytho...\Oh, and Rue-chan went back to being Rue-chan too!\I'm so glad!\I'm so glad. Everybody looks like they're having fun. response:	I want to dance with them too!
context: No one heard the sound of the dead man's scornful laughter.\Did Mytho get to go back to being the prince?\So, he defeated the raven's blood!\I get it, Fakir wrote a story about Mytho...\Oh, and Rue-chan went back to being Rue-chan too!\I'm so glad!\I'm so glad. Everybody looks like they're having fun.\I want to dance with them too! response:	Quack?
context: Did Mytho get to go back to being the prince?\So, he defeated the raven's blood!\I get it, Fakir wrote a story about Mytho...\Oh, and Rue-chan went back to being Rue-chan too!\I'm so glad!\I'm so glad. Everybody looks like they're having fun.\I want to dance with them too!\Quack? response:	Oh, so I went back to being a duck?
context: So, he defeated the raven's blood!\I get it, Fakir wrote a story about Mytho...\Oh, and Rue-chan went back to being Rue-chan too!\I'm so glad!\I'm so glad. Everybody looks like they're having fun.\I want to dance with them too!\Quack?\Oh, so I went back to being a duck? response:	Quack...
context: I get it, Fakir wrote a story about Mytho...\Oh, and Rue-chan went back to being Rue-chan too!\I'm so glad!\I'm so glad. Everybody looks like they're having fun.\I want to dance with them too!\Quack?\Oh, so I went back to being a duck?\Quack... response:	Right, the prince got all of his heart back...
context: Oh, and Rue-chan went back to being Rue-chan too!\I'm so glad!\I'm so glad. Everybody looks like they're having fun.\I want to dance with them too!\Quack?\Oh, so I went back to being a duck?\Quack...\Right, the prince got all of his heart back... response:	So that means Princess Tutu's role is finished.
context: I'm so glad!\I'm so glad. Everybody looks like they're having fun.\I want to dance with them too!\Quack?\Oh, so I went back to being a duck?\Quack...\Right, the prince got all of his heart back...\So that means Princess Tutu's role is finished. response:	I've gone back to being a plain old duck.
context: I'm so glad. Everybody looks like they're having fun.\I want to dance with them too!\Quack?\Oh, so I went back to being a duck?\Quack...\Right, the prince got all of his heart back...\So that means Princess Tutu's role is finished.\I've gone back to being a plain old duck. response:	Fakir... Rue-chan... Mytho...
context: I want to dance with them too!\Quack?\Oh, so I went back to being a duck?\Quack...\Right, the prince got all of his heart back...\So that means Princess Tutu's role is finished.\I've gone back to being a plain old duck.\Fakir... Rue-chan... Mytho... response:	I couldn't help the prince.
context: Quack?\Oh, so I went back to being a duck?\Quack...\Right, the prince got all of his heart back...\So that means Princess Tutu's role is finished.\I've gone back to being a plain old duck.\Fakir... Rue-chan... Mytho...\I couldn't help the prince. response:	I just watched.
context: Oh, so I went back to being a duck?\Quack...\Right, the prince got all of his heart back...\So that means Princess Tutu's role is finished.\I've gone back to being a plain old duck.\Fakir... Rue-chan... Mytho...\I couldn't help the prince.\I just watched. response:	So that was a dream...
context: Quack...\Right, the prince got all of his heart back...\So that means Princess Tutu's role is finished.\I've gone back to being a plain old duck.\Fakir... Rue-chan... Mytho...\I couldn't help the prince.\I just watched.\So that was a dream... response:	The Spinners
context: Right, the prince got all of his heart back...\So that means Princess Tutu's role is finished.\I've gone back to being a plain old duck.\Fakir... Rue-chan... Mytho...\I couldn't help the prince.\I just watched.\So that was a dream...\The Spinners response:	I wonder if Fakir finished his story about Mytho...
context: So that means Princess Tutu's role is finished.\I've gone back to being a plain old duck.\Fakir... Rue-chan... Mytho...\I couldn't help the prince.\I just watched.\So that was a dream...\The Spinners\I wonder if Fakir finished his story about Mytho... response:	What kind of story will he make it?
context: I've gone back to being a plain old duck.\Fakir... Rue-chan... Mytho...\I couldn't help the prince.\I just watched.\So that was a dream...\The Spinners\I wonder if Fakir finished his story about Mytho...\What kind of story will he make it? response:	I wonder if I'll be in it too.
context: Fakir... Rue-chan... Mytho...\I couldn't help the prince.\I just watched.\So that was a dream...\The Spinners\I wonder if Fakir finished his story about Mytho...\What kind of story will he make it?\I wonder if I'll be in it too. response:	Fakir?
context: I couldn't help the prince.\I just watched.\So that was a dream...\The Spinners\I wonder if Fakir finished his story about Mytho...\What kind of story will he make it?\I wonder if I'll be in it too.\Fakir? response:	Are you researching something?
context: I just watched.\So that was a dream...\The Spinners\I wonder if Fakir finished his story about Mytho...\What kind of story will he make it?\I wonder if I'll be in it too.\Fakir?\Are you researching something? response:	Yeah.
context: So that was a dream...\The Spinners\I wonder if Fakir finished his story about Mytho...\What kind of story will he make it?\I wonder if I'll be in it too.\Fakir?\Are you researching something?\Yeah. response:	Oh. So...
context: The Spinners\I wonder if Fakir finished his story about Mytho...\What kind of story will he make it?\I wonder if I'll be in it too.\Fakir?\Are you researching something?\Yeah.\Oh. So... response:	Did you write a story about Mytho?
context: I wonder if Fakir finished his story about Mytho...\What kind of story will he make it?\I wonder if I'll be in it too.\Fakir?\Are you researching something?\Yeah.\Oh. So...\Did you write a story about Mytho? response:	No, I haven't written it yet.
context: What kind of story will he make it?\I wonder if I'll be in it too.\Fakir?\Are you researching something?\Yeah.\Oh. So...\Did you write a story about Mytho?\No, I haven't written it yet. response:	Oh, I see. Then do you want to start now?
context: I wonder if I'll be in it too.\Fakir?\Are you researching something?\Yeah.\Oh. So...\Did you write a story about Mytho?\No, I haven't written it yet.\Oh, I see. Then do you want to start now? response:	We want to help Mytho as soon as we can, right?
context: Fakir?\Are you researching something?\Yeah.\Oh. So...\Did you write a story about Mytho?\No, I haven't written it yet.\Oh, I see. Then do you want to start now?\We want to help Mytho as soon as we can, right? response:	It's not that everything I write comes true.
context: Are you researching something?\Yeah.\Oh. So...\Did you write a story about Mytho?\No, I haven't written it yet.\Oh, I see. Then do you want to start now?\We want to help Mytho as soon as we can, right?\It's not that everything I write comes true. response:	And I don't even know yet if I still have the same power.
context: Yeah.\Oh. So...\Did you write a story about Mytho?\No, I haven't written it yet.\Oh, I see. Then do you want to start now?\We want to help Mytho as soon as we can, right?\It's not that everything I write comes true.\And I don't even know yet if I still have the same power. response:	I'm sure it'll be fine!
context: Oh. So...\Did you write a story about Mytho?\No, I haven't written it yet.\Oh, I see. Then do you want to start now?\We want to help Mytho as soon as we can, right?\It's not that everything I write comes true.\And I don't even know yet if I still have the same power.\I'm sure it'll be fine! response:	I mean, if you wish I want to help Mytho really hard as you write, this time you'll succeed...
context: Did you write a story about Mytho?\No, I haven't written it yet.\Oh, I see. Then do you want to start now?\We want to help Mytho as soon as we can, right?\It's not that everything I write comes true.\And I don't even know yet if I still have the same power.\I'm sure it'll be fine!\I mean, if you wish I want to help Mytho really hard as you write, this time you'll succeed... response:	Oh, I'm sorry! By this time, I didn't mean your father and mother...
context: No, I haven't written it yet.\Oh, I see. Then do you want to start now?\We want to help Mytho as soon as we can, right?\It's not that everything I write comes true.\And I don't even know yet if I still have the same power.\I'm sure it'll be fine!\I mean, if you wish I want to help Mytho really hard as you write, this time you'll succeed...\Oh, I'm sorry! By this time, I didn't mean your father and mother... response:	So...
context: Oh, I see. Then do you want to start now?\We want to help Mytho as soon as we can, right?\It's not that everything I write comes true.\And I don't even know yet if I still have the same power.\I'm sure it'll be fine!\I mean, if you wish I want to help Mytho really hard as you write, this time you'll succeed...\Oh, I'm sorry! By this time, I didn't mean your father and mother...\So... response:	I'm sorry.
context: We want to help Mytho as soon as we can, right?\It's not that everything I write comes true.\And I don't even know yet if I still have the same power.\I'm sure it'll be fine!\I mean, if you wish I want to help Mytho really hard as you write, this time you'll succeed...\Oh, I'm sorry! By this time, I didn't mean your father and mother...\So...\I'm sorry. response:	Oh, I'm stupid, stupid, STUPID!
context: It's not that everything I write comes true.\And I don't even know yet if I still have the same power.\I'm sure it'll be fine!\I mean, if you wish I want to help Mytho really hard as you write, this time you'll succeed...\Oh, I'm sorry! By this time, I didn't mean your father and mother...\So...\I'm sorry.\Oh, I'm stupid, stupid, STUPID! response:	Fakir said he'd write it, and yet here I go getting all impatient and saying things like THAT!
context: And I don't even know yet if I still have the same power.\I'm sure it'll be fine!\I mean, if you wish I want to help Mytho really hard as you write, this time you'll succeed...\Oh, I'm sorry! By this time, I didn't mean your father and mother...\So...\I'm sorry.\Oh, I'm stupid, stupid, STUPID!\Fakir said he'd write it, and yet here I go getting all impatient and saying things like THAT! response:	Who's there?
context: I'm sure it'll be fine!\I mean, if you wish I want to help Mytho really hard as you write, this time you'll succeed...\Oh, I'm sorry! By this time, I didn't mean your father and mother...\So...\I'm sorry.\Oh, I'm stupid, stupid, STUPID!\Fakir said he'd write it, and yet here I go getting all impatient and saying things like THAT!\Who's there? response:	What?
