context: Mid-terms response:	Ranking Announcement
context: Mid-terms\Ranking Announcement response:	What rank am I? What rank am I?
context: Mid-terms\Ranking Announcement\What rank am I? What rank am I? response:	Don't act so giddy.
context: Mid-terms\Ranking Announcement\What rank am I? What rank am I?\Don't act so giddy. response:	63 - Raku Ichijo
context: Mid-terms\Ranking Announcement\What rank am I? What rank am I?\Don't act so giddy.\63 - Raku Ichijo response:	Damn, only 63rd out of 207?
context: Mid-terms\Ranking Announcement\What rank am I? What rank am I?\Don't act so giddy.\63 - Raku Ichijo\Damn, only 63rd out of 207? response:	What's it gonna take to crack the Top 50, anyway?
context: Mid-terms\Ranking Announcement\What rank am I? What rank am I?\Don't act so giddy.\63 - Raku Ichijo\Damn, only 63rd out of 207?\What's it gonna take to crack the Top 50, anyway? response:	Hey! There I am! There I am!
context: Mid-terms\Ranking Announcement\What rank am I? What rank am I?\Don't act so giddy.\63 - Raku Ichijo\Damn, only 63rd out of 207?\What's it gonna take to crack the Top 50, anyway?\Hey! There I am! There I am! response:	6 - Seishiro Tsugumi 5 - Chitoge Kirisaki
context: Ranking Announcement\What rank am I? What rank am I?\Don't act so giddy.\63 - Raku Ichijo\Damn, only 63rd out of 207?\What's it gonna take to crack the Top 50, anyway?\Hey! There I am! There I am!\6 - Seishiro Tsugumi 5 - Chitoge Kirisaki response:	Darn... only No. 5?
context: What rank am I? What rank am I?\Don't act so giddy.\63 - Raku Ichijo\Damn, only 63rd out of 207?\What's it gonna take to crack the Top 50, anyway?\Hey! There I am! There I am!\6 - Seishiro Tsugumi 5 - Chitoge Kirisaki\Darn... only No. 5? response:	Well, not that I really studied that hard...
context: Don't act so giddy.\63 - Raku Ichijo\Damn, only 63rd out of 207?\What's it gonna take to crack the Top 50, anyway?\Hey! There I am! There I am!\6 - Seishiro Tsugumi 5 - Chitoge Kirisaki\Darn... only No. 5?\Well, not that I really studied that hard... response:	I'm next to Young Mistress!
context: 63 - Raku Ichijo\Damn, only 63rd out of 207?\What's it gonna take to crack the Top 50, anyway?\Hey! There I am! There I am!\6 - Seishiro Tsugumi 5 - Chitoge Kirisaki\Darn... only No. 5?\Well, not that I really studied that hard...\I'm next to Young Mistress! response:	Damn you prodigies!
context: Damn, only 63rd out of 207?\What's it gonna take to crack the Top 50, anyway?\Hey! There I am! There I am!\6 - Seishiro Tsugumi 5 - Chitoge Kirisaki\Darn... only No. 5?\Well, not that I really studied that hard...\I'm next to Young Mistress!\Damn you prodigies! response:	How'd it go, Ichijo?
context: What's it gonna take to crack the Top 50, anyway?\Hey! There I am! There I am!\6 - Seishiro Tsugumi 5 - Chitoge Kirisaki\Darn... only No. 5?\Well, not that I really studied that hard...\I'm next to Young Mistress!\Damn you prodigies!\How'd it go, Ichijo? response:	Onodera!
context: Hey! There I am! There I am!\6 - Seishiro Tsugumi 5 - Chitoge Kirisaki\Darn... only No. 5?\Well, not that I really studied that hard...\I'm next to Young Mistress!\Damn you prodigies!\How'd it go, Ichijo?\Onodera! response:	How about you?
context: 6 - Seishiro Tsugumi 5 - Chitoge Kirisaki\Darn... only No. 5?\Well, not that I really studied that hard...\I'm next to Young Mistress!\Damn you prodigies!\How'd it go, Ichijo?\Onodera!\How about you? response:	I was No. 88. Well, I guess it's the same as usual for me.
context: Darn... only No. 5?\Well, not that I really studied that hard...\I'm next to Young Mistress!\Damn you prodigies!\How'd it go, Ichijo?\Onodera!\How about you?\I was No. 88. Well, I guess it's the same as usual for me. response:	I see.
context: Well, not that I really studied that hard...\I'm next to Young Mistress!\Damn you prodigies!\How'd it go, Ichijo?\Onodera!\How about you?\I was No. 88. Well, I guess it's the same as usual for me.\I see. response:	Well, I guess I did so-so myself.
context: I'm next to Young Mistress!\Damn you prodigies!\How'd it go, Ichijo?\Onodera!\How about you?\I was No. 88. Well, I guess it's the same as usual for me.\I see.\Well, I guess I did so-so myself. response:	23 - Ruri Miyamoto 22 - Shu Maiko
context: Damn you prodigies!\How'd it go, Ichijo?\Onodera!\How about you?\I was No. 88. Well, I guess it's the same as usual for me.\I see.\Well, I guess I did so-so myself.\23 - Ruri Miyamoto 22 - Shu Maiko response:	Hey, look! We're side by side, huh, Ruri?
context: How'd it go, Ichijo?\Onodera!\How about you?\I was No. 88. Well, I guess it's the same as usual for me.\I see.\Well, I guess I did so-so myself.\23 - Ruri Miyamoto 22 - Shu Maiko\Hey, look! We're side by side, huh, Ruri? response:	I had no idea.
context: Onodera!\How about you?\I was No. 88. Well, I guess it's the same as usual for me.\I see.\Well, I guess I did so-so myself.\23 - Ruri Miyamoto 22 - Shu Maiko\Hey, look! We're side by side, huh, Ruri?\I had no idea. response:	Maiko gets really good grades!
context: How about you?\I was No. 88. Well, I guess it's the same as usual for me.\I see.\Well, I guess I did so-so myself.\23 - Ruri Miyamoto 22 - Shu Maiko\Hey, look! We're side by side, huh, Ruri?\I had no idea.\Maiko gets really good grades! response:	R-Ruri!
context: I was No. 88. Well, I guess it's the same as usual for me.\I see.\Well, I guess I did so-so myself.\23 - Ruri Miyamoto 22 - Shu Maiko\Hey, look! We're side by side, huh, Ruri?\I had no idea.\Maiko gets really good grades!\R-Ruri! response:	He's always like that, you know.
context: I see.\Well, I guess I did so-so myself.\23 - Ruri Miyamoto 22 - Shu Maiko\Hey, look! We're side by side, huh, Ruri?\I had no idea.\Maiko gets really good grades!\R-Ruri!\He's always like that, you know. response:	Irritating as it is...
context: Well, I guess I did so-so myself.\23 - Ruri Miyamoto 22 - Shu Maiko\Hey, look! We're side by side, huh, Ruri?\I had no idea.\Maiko gets really good grades!\R-Ruri!\He's always like that, you know.\Irritating as it is... response:	Huh? Come to think of it, I haven't spotted Tachibana's name yet.
context: 23 - Ruri Miyamoto 22 - Shu Maiko\Hey, look! We're side by side, huh, Ruri?\I had no idea.\Maiko gets really good grades!\R-Ruri!\He's always like that, you know.\Irritating as it is...\Huh? Come to think of it, I haven't spotted Tachibana's name yet. response:	Oh, now that you mention it...
context: Hey, look! We're side by side, huh, Ruri?\I had no idea.\Maiko gets really good grades!\R-Ruri!\He's always like that, you know.\Irritating as it is...\Huh? Come to think of it, I haven't spotted Tachibana's name yet.\Oh, now that you mention it... response:	Wonder where she's at?
context: I had no idea.\Maiko gets really good grades!\R-Ruri!\He's always like that, you know.\Irritating as it is...\Huh? Come to think of it, I haven't spotted Tachibana's name yet.\Oh, now that you mention it...\Wonder where she's at? response:	Knowing her, I bet she's right near the top.
