context: Ashirogi Muto response:	Ashirogi Muto
context: Ashirogi Muto\Ashirogi Muto response:	Manga and Youth
context: Ashirogi Muto\Ashirogi Muto\Manga and Youth response:	56th (February) Treasure Newcomer Manga Award Selection Form (Judge - Niizuma Eiji)
context: Ashirogi Muto\Ashirogi Muto\Manga and Youth\56th (February) Treasure Newcomer Manga Award Selection Form (Judge - Niizuma Eiji) response:	56th (February) Treasure Newcomer Manga Award Selection Form (Judge - Niizuma Eiji)
context: Ashirogi Muto\Ashirogi Muto\Manga and Youth\56th (February) Treasure Newcomer Manga Award Selection Form (Judge - Niizuma Eiji)\56th (February) Treasure Newcomer Manga Award Selection Form (Judge - Niizuma Eiji) response:	Title Author Artwork Composition Story Characters Direction Originality Rating Comments (Good points, problems, etc.)
context: Ashirogi Muto\Ashirogi Muto\Manga and Youth\56th (February) Treasure Newcomer Manga Award Selection Form (Judge - Niizuma Eiji)\56th (February) Treasure Newcomer Manga Award Selection Form (Judge - Niizuma Eiji)\Title Author Artwork Composition Story Characters Direction Originality Rating Comments (Good points, problems, etc.) response:	Todome no Roppatsu (Finishing 6 Shots)
context: Ashirogi Muto\Ashirogi Muto\Manga and Youth\56th (February) Treasure Newcomer Manga Award Selection Form (Judge - Niizuma Eiji)\56th (February) Treasure Newcomer Manga Award Selection Form (Judge - Niizuma Eiji)\Title Author Artwork Composition Story Characters Direction Originality Rating Comments (Good points, problems, etc.)\Todome no Roppatsu (Finishing 6 Shots) response:	Tadokoro Sasuke (24) Tokyo
context: Ashirogi Muto\Ashirogi Muto\Manga and Youth\56th (February) Treasure Newcomer Manga Award Selection Form (Judge - Niizuma Eiji)\56th (February) Treasure Newcomer Manga Award Selection Form (Judge - Niizuma Eiji)\Title Author Artwork Composition Story Characters Direction Originality Rating Comments (Good points, problems, etc.)\Todome no Roppatsu (Finishing 6 Shots)\Tadokoro Sasuke (24) Tokyo response:	Future Watch
context: Ashirogi Muto\Manga and Youth\56th (February) Treasure Newcomer Manga Award Selection Form (Judge - Niizuma Eiji)\56th (February) Treasure Newcomer Manga Award Selection Form (Judge - Niizuma Eiji)\Title Author Artwork Composition Story Characters Direction Originality Rating Comments (Good points, problems, etc.)\Todome no Roppatsu (Finishing 6 Shots)\Tadokoro Sasuke (24) Tokyo\Future Watch response:	Ashirogi Muto (18), Saitama
context: Manga and Youth\56th (February) Treasure Newcomer Manga Award Selection Form (Judge - Niizuma Eiji)\56th (February) Treasure Newcomer Manga Award Selection Form (Judge - Niizuma Eiji)\Title Author Artwork Composition Story Characters Direction Originality Rating Comments (Good points, problems, etc.)\Todome no Roppatsu (Finishing 6 Shots)\Tadokoro Sasuke (24) Tokyo\Future Watch\Ashirogi Muto (18), Saitama response:	9 Byou 12 (9.12 Seconds)
context: 56th (February) Treasure Newcomer Manga Award Selection Form (Judge - Niizuma Eiji)\56th (February) Treasure Newcomer Manga Award Selection Form (Judge - Niizuma Eiji)\Title Author Artwork Composition Story Characters Direction Originality Rating Comments (Good points, problems, etc.)\Todome no Roppatsu (Finishing 6 Shots)\Tadokoro Sasuke (24) Tokyo\Future Watch\Ashirogi Muto (18), Saitama\9 Byou 12 (9.12 Seconds) response:	Sasamura Kazuhi (22), Hokkaidou
context: 56th (February) Treasure Newcomer Manga Award Selection Form (Judge - Niizuma Eiji)\Title Author Artwork Composition Story Characters Direction Originality Rating Comments (Good points, problems, etc.)\Todome no Roppatsu (Finishing 6 Shots)\Tadokoro Sasuke (24) Tokyo\Future Watch\Ashirogi Muto (18), Saitama\9 Byou 12 (9.12 Seconds)\Sasamura Kazuhi (22), Hokkaidou response:	thirteen soccer
context: Title Author Artwork Composition Story Characters Direction Originality Rating Comments (Good points, problems, etc.)\Todome no Roppatsu (Finishing 6 Shots)\Tadokoro Sasuke (24) Tokyo\Future Watch\Ashirogi Muto (18), Saitama\9 Byou 12 (9.12 Seconds)\Sasamura Kazuhi (22), Hokkaidou\thirteen soccer response:	Arikita Taichi (30), Chiba
context: Todome no Roppatsu (Finishing 6 Shots)\Tadokoro Sasuke (24) Tokyo\Future Watch\Ashirogi Muto (18), Saitama\9 Byou 12 (9.12 Seconds)\Sasamura Kazuhi (22), Hokkaidou\thirteen soccer\Arikita Taichi (30), Chiba response:	take up north
context: Tadokoro Sasuke (24) Tokyo\Future Watch\Ashirogi Muto (18), Saitama\9 Byou 12 (9.12 Seconds)\Sasamura Kazuhi (22), Hokkaidou\thirteen soccer\Arikita Taichi (30), Chiba\take up north response:	Tanaka Mitsuko (21), Fukushima
