context: OP response:	OP
context: OP\OP response:	I told them it's too early for the Mark I to go to the Smithsonian.
context: OP\OP\I told them it's too early for the Mark I to go to the Smithsonian. response:	Now, let's see...
context: OP\OP\I told them it's too early for the Mark I to go to the Smithsonian.\Now, let's see... response:	Which one is stronger?
context: OP\OP\I told them it's too early for the Mark I to go to the Smithsonian.\Now, let's see...\Which one is stronger? response:	The Mark I has appeared.
context: OP\OP\I told them it's too early for the Mark I to go to the Smithsonian.\Now, let's see...\Which one is stronger?\The Mark I has appeared. response:	Mark I?
context: OP\OP\I told them it's too early for the Mark I to go to the Smithsonian.\Now, let's see...\Which one is stronger?\The Mark I has appeared.\Mark I? response:	I've tried contacting it using the JAF, Allied Forces, and public circuits,
context: OP\OP\I told them it's too early for the Mark I to go to the Smithsonian.\Now, let's see...\Which one is stronger?\The Mark I has appeared.\Mark I?\I've tried contacting it using the JAF, Allied Forces, and public circuits, response:	but I've gotten no responses.
context: OP\I told them it's too early for the Mark I to go to the Smithsonian.\Now, let's see...\Which one is stronger?\The Mark I has appeared.\Mark I?\I've tried contacting it using the JAF, Allied Forces, and public circuits,\but I've gotten no responses. response:	It means the pilot's ignoring us.
context: I told them it's too early for the Mark I to go to the Smithsonian.\Now, let's see...\Which one is stronger?\The Mark I has appeared.\Mark I?\I've tried contacting it using the JAF, Allied Forces, and public circuits,\but I've gotten no responses.\It means the pilot's ignoring us. response:	What is he trying to do?
context: Now, let's see...\Which one is stronger?\The Mark I has appeared.\Mark I?\I've tried contacting it using the JAF, Allied Forces, and public circuits,\but I've gotten no responses.\It means the pilot's ignoring us.\What is he trying to do? response:	Nothing, I presume.
context: Which one is stronger?\The Mark I has appeared.\Mark I?\I've tried contacting it using the JAF, Allied Forces, and public circuits,\but I've gotten no responses.\It means the pilot's ignoring us.\What is he trying to do?\Nothing, I presume. response:	I think he just doesn't know how to use the radio.
context: The Mark I has appeared.\Mark I?\I've tried contacting it using the JAF, Allied Forces, and public circuits,\but I've gotten no responses.\It means the pilot's ignoring us.\What is he trying to do?\Nothing, I presume.\I think he just doesn't know how to use the radio. response:	Huh?
