context: Master Hiten is very handsome... response:	but Master Manten is so dashing, too!
context: Master Hiten is very handsome...\but Master Manten is so dashing, too! response:	Those black locks... irresistible!
context: Master Hiten is very handsome...\but Master Manten is so dashing, too!\Those black locks... irresistible! response:	With thick locks of hair...
context: Master Hiten is very handsome...\but Master Manten is so dashing, too!\Those black locks... irresistible!\With thick locks of hair... response:	I'm just as popular as Brother Hiten.
context: Master Hiten is very handsome...\but Master Manten is so dashing, too!\Those black locks... irresistible!\With thick locks of hair...\I'm just as popular as Brother Hiten. response:	Huh?!
context: Master Hiten is very handsome...\but Master Manten is so dashing, too!\Those black locks... irresistible!\With thick locks of hair...\I'm just as popular as Brother Hiten.\Huh?! response:	Oh dear!
context: Master Hiten is very handsome...\but Master Manten is so dashing, too!\Those black locks... irresistible!\With thick locks of hair...\I'm just as popular as Brother Hiten.\Huh?!\Oh dear! response:	What's the matter, everyone?!
context: Master Hiten is very handsome...\but Master Manten is so dashing, too!\Those black locks... irresistible!\With thick locks of hair...\I'm just as popular as Brother Hiten.\Huh?!\Oh dear!\What's the matter, everyone?! response:	Where're you going?
context: but Master Manten is so dashing, too!\Those black locks... irresistible!\With thick locks of hair...\I'm just as popular as Brother Hiten.\Huh?!\Oh dear!\What's the matter, everyone?!\Where're you going? response:	If only I had hair... a thick head of hair!
context: Those black locks... irresistible!\With thick locks of hair...\I'm just as popular as Brother Hiten.\Huh?!\Oh dear!\What's the matter, everyone?!\Where're you going?\If only I had hair... a thick head of hair! response:	Huh?!
context: With thick locks of hair...\I'm just as popular as Brother Hiten.\Huh?!\Oh dear!\What's the matter, everyone?!\Where're you going?\If only I had hair... a thick head of hair!\Huh?! response:	Ever since I reached puberty...
context: I'm just as popular as Brother Hiten.\Huh?!\Oh dear!\What's the matter, everyone?!\Where're you going?\If only I had hair... a thick head of hair!\Huh?!\Ever since I reached puberty... response:	all my dreams have been the same.
context: Huh?!\Oh dear!\What's the matter, everyone?!\Where're you going?\If only I had hair... a thick head of hair!\Huh?!\Ever since I reached puberty...\all my dreams have been the same. response:	If only I had lots and lots of hair...
context: Oh dear!\What's the matter, everyone?!\Where're you going?\If only I had hair... a thick head of hair!\Huh?!\Ever since I reached puberty...\all my dreams have been the same.\If only I had lots and lots of hair... response:	I may not be Brother Hiten's equal...
context: What's the matter, everyone?!\Where're you going?\If only I had hair... a thick head of hair!\Huh?!\Ever since I reached puberty...\all my dreams have been the same.\If only I had lots and lots of hair...\I may not be Brother Hiten's equal... response:	but I'd be quite popular.
context: Where're you going?\If only I had hair... a thick head of hair!\Huh?!\Ever since I reached puberty...\all my dreams have been the same.\If only I had lots and lots of hair...\I may not be Brother Hiten's equal...\but I'd be quite popular. response:	Someday, I wish I could be like Brother Hiten...
context: If only I had hair... a thick head of hair!\Huh?!\Ever since I reached puberty...\all my dreams have been the same.\If only I had lots and lots of hair...\I may not be Brother Hiten's equal...\but I'd be quite popular.\Someday, I wish I could be like Brother Hiten... response:	with lots of hair and lots of girls...
context: Huh?!\Ever since I reached puberty...\all my dreams have been the same.\If only I had lots and lots of hair...\I may not be Brother Hiten's equal...\but I'd be quite popular.\Someday, I wish I could be like Brother Hiten...\with lots of hair and lots of girls... response:	It's time to hunt, Manten!
context: Ever since I reached puberty...\all my dreams have been the same.\If only I had lots and lots of hair...\I may not be Brother Hiten's equal...\but I'd be quite popular.\Someday, I wish I could be like Brother Hiten...\with lots of hair and lots of girls...\It's time to hunt, Manten! response:	Coming, Brother Hiten!
context: all my dreams have been the same.\If only I had lots and lots of hair...\I may not be Brother Hiten's equal...\but I'd be quite popular.\Someday, I wish I could be like Brother Hiten...\with lots of hair and lots of girls...\It's time to hunt, Manten!\Coming, Brother Hiten! response:	Thunderbolt Attack!
context: If only I had lots and lots of hair...\I may not be Brother Hiten's equal...\but I'd be quite popular.\Someday, I wish I could be like Brother Hiten...\with lots of hair and lots of girls...\It's time to hunt, Manten!\Coming, Brother Hiten!\Thunderbolt Attack! response:	Watch what we can do!
context: I may not be Brother Hiten's equal...\but I'd be quite popular.\Someday, I wish I could be like Brother Hiten...\with lots of hair and lots of girls...\It's time to hunt, Manten!\Coming, Brother Hiten!\Thunderbolt Attack!\Watch what we can do! response:	If I aim for there, I can bring him down!
context: but I'd be quite popular.\Someday, I wish I could be like Brother Hiten...\with lots of hair and lots of girls...\It's time to hunt, Manten!\Coming, Brother Hiten!\Thunderbolt Attack!\Watch what we can do!\If I aim for there, I can bring him down! response:	Huh?!
context: Someday, I wish I could be like Brother Hiten...\with lots of hair and lots of girls...\It's time to hunt, Manten!\Coming, Brother Hiten!\Thunderbolt Attack!\Watch what we can do!\If I aim for there, I can bring him down!\Huh?! response:	What?
context: with lots of hair and lots of girls...\It's time to hunt, Manten!\Coming, Brother Hiten!\Thunderbolt Attack!\Watch what we can do!\If I aim for there, I can bring him down!\Huh?!\What? response:	My hair!
context: It's time to hunt, Manten!\Coming, Brother Hiten!\Thunderbolt Attack!\Watch what we can do!\If I aim for there, I can bring him down!\Huh?!\What?\My hair! response:	How could you?!
context: Coming, Brother Hiten!\Thunderbolt Attack!\Watch what we can do!\If I aim for there, I can bring him down!\Huh?!\What?\My hair!\How could you?! response:	One thing seems true... You have the fragments of the Sacred Jewel.
context: Thunderbolt Attack!\Watch what we can do!\If I aim for there, I can bring him down!\Huh?!\What?\My hair!\How could you?!\One thing seems true... You have the fragments of the Sacred Jewel. response:	I'm gonna kill you and take'em all!
context: Watch what we can do!\If I aim for there, I can bring him down!\Huh?!\What?\My hair!\How could you?!\One thing seems true... You have the fragments of the Sacred Jewel.\I'm gonna kill you and take'em all! response:	You'll be the sorry one!
context: If I aim for there, I can bring him down!\Huh?!\What?\My hair!\How could you?!\One thing seems true... You have the fragments of the Sacred Jewel.\I'm gonna kill you and take'em all!\You'll be the sorry one! response:	You have brute strength, at least.
context: Huh?!\What?\My hair!\How could you?!\One thing seems true... You have the fragments of the Sacred Jewel.\I'm gonna kill you and take'em all!\You'll be the sorry one!\You have brute strength, at least. response:	This is gonna be fun!
context: What?\My hair!\How could you?!\One thing seems true... You have the fragments of the Sacred Jewel.\I'm gonna kill you and take'em all!\You'll be the sorry one!\You have brute strength, at least.\This is gonna be fun! response:	Thunder Brothers, huh?
context: My hair!\How could you?!\One thing seems true... You have the fragments of the Sacred Jewel.\I'm gonna kill you and take'em all!\You'll be the sorry one!\You have brute strength, at least.\This is gonna be fun!\Thunder Brothers, huh? response:	I'm getting tired of you!
context: How could you?!\One thing seems true... You have the fragments of the Sacred Jewel.\I'm gonna kill you and take'em all!\You'll be the sorry one!\You have brute strength, at least.\This is gonna be fun!\Thunder Brothers, huh?\I'm getting tired of you! response:	Hmm... You want me to make sport of you, huh?
context: One thing seems true... You have the fragments of the Sacred Jewel.\I'm gonna kill you and take'em all!\You'll be the sorry one!\You have brute strength, at least.\This is gonna be fun!\Thunder Brothers, huh?\I'm getting tired of you!\Hmm... You want me to make sport of you, huh? response:	Well, it's gonna be fun!
context: I'm gonna kill you and take'em all!\You'll be the sorry one!\You have brute strength, at least.\This is gonna be fun!\Thunder Brothers, huh?\I'm getting tired of you!\Hmm... You want me to make sport of you, huh?\Well, it's gonna be fun! response:	none are alive today!
context: You'll be the sorry one!\You have brute strength, at least.\This is gonna be fun!\Thunder Brothers, huh?\I'm getting tired of you!\Hmm... You want me to make sport of you, huh?\Well, it's gonna be fun!\none are alive today! response:	Fine! Get a taste of my thunderbolt attack!
context: You have brute strength, at least.\This is gonna be fun!\Thunder Brothers, huh?\I'm getting tired of you!\Hmm... You want me to make sport of you, huh?\Well, it's gonna be fun!\none are alive today!\Fine! Get a taste of my thunderbolt attack! response:	Take that!
context: This is gonna be fun!\Thunder Brothers, huh?\I'm getting tired of you!\Hmm... You want me to make sport of you, huh?\Well, it's gonna be fun!\none are alive today!\Fine! Get a taste of my thunderbolt attack!\Take that! response:	Dodge it well or you'll die!
context: Thunder Brothers, huh?\I'm getting tired of you!\Hmm... You want me to make sport of you, huh?\Well, it's gonna be fun!\none are alive today!\Fine! Get a taste of my thunderbolt attack!\Take that!\Dodge it well or you'll die! response:	Hiten's thunderbolt sword attack...
context: I'm getting tired of you!\Hmm... You want me to make sport of you, huh?\Well, it's gonna be fun!\none are alive today!\Fine! Get a taste of my thunderbolt attack!\Take that!\Dodge it well or you'll die!\Hiten's thunderbolt sword attack... response:	I can't let it touch my body or I'm dead!
context: Hmm... You want me to make sport of you, huh?\Well, it's gonna be fun!\none are alive today!\Fine! Get a taste of my thunderbolt attack!\Take that!\Dodge it well or you'll die!\Hiten's thunderbolt sword attack...\I can't let it touch my body or I'm dead! response:	Inuyasha... Finish Hiten for me.
context: Well, it's gonna be fun!\none are alive today!\Fine! Get a taste of my thunderbolt attack!\Take that!\Dodge it well or you'll die!\Hiten's thunderbolt sword attack...\I can't let it touch my body or I'm dead!\Inuyasha... Finish Hiten for me. response:	I'm gonna save Kagome!
context: none are alive today!\Fine! Get a taste of my thunderbolt attack!\Take that!\Dodge it well or you'll die!\Hiten's thunderbolt sword attack...\I can't let it touch my body or I'm dead!\Inuyasha... Finish Hiten for me.\I'm gonna save Kagome! response:	Inuyasha!
context: Fine! Get a taste of my thunderbolt attack!\Take that!\Dodge it well or you'll die!\Hiten's thunderbolt sword attack...\I can't let it touch my body or I'm dead!\Inuyasha... Finish Hiten for me.\I'm gonna save Kagome!\Inuyasha! response:	Go for it, Brother Hiten!
context: Take that!\Dodge it well or you'll die!\Hiten's thunderbolt sword attack...\I can't let it touch my body or I'm dead!\Inuyasha... Finish Hiten for me.\I'm gonna save Kagome!\Inuyasha!\Go for it, Brother Hiten! response:	I'll support you!
context: Dodge it well or you'll die!\Hiten's thunderbolt sword attack...\I can't let it touch my body or I'm dead!\Inuyasha... Finish Hiten for me.\I'm gonna save Kagome!\Inuyasha!\Go for it, Brother Hiten!\I'll support you! response:	Two against one is cowardly!
context: Hiten's thunderbolt sword attack...\I can't let it touch my body or I'm dead!\Inuyasha... Finish Hiten for me.\I'm gonna save Kagome!\Inuyasha!\Go for it, Brother Hiten!\I'll support you!\Two against one is cowardly! response:	Huh?!
context: I can't let it touch my body or I'm dead!\Inuyasha... Finish Hiten for me.\I'm gonna save Kagome!\Inuyasha!\Go for it, Brother Hiten!\I'll support you!\Two against one is cowardly!\Huh?! response:	I did it!
context: Inuyasha... Finish Hiten for me.\I'm gonna save Kagome!\Inuyasha!\Go for it, Brother Hiten!\I'll support you!\Two against one is cowardly!\Huh?!\I did it! response:	Huh?!
context: I'm gonna save Kagome!\Inuyasha!\Go for it, Brother Hiten!\I'll support you!\Two against one is cowardly!\Huh?!\I did it!\Huh?! response:	Kagome!
context: Inuyasha!\Go for it, Brother Hiten!\I'll support you!\Two against one is cowardly!\Huh?!\I did it!\Huh?!\Kagome! response:	You can't afford to worry about a woman now!
context: Go for it, Brother Hiten!\I'll support you!\Two against one is cowardly!\Huh?!\I did it!\Huh?!\Kagome!\You can't afford to worry about a woman now! response:	Kagome!
context: I'll support you!\Two against one is cowardly!\Huh?!\I did it!\Huh?!\Kagome!\You can't afford to worry about a woman now!\Kagome! response:	Hang tough until I get there!
context: Two against one is cowardly!\Huh?!\I did it!\Huh?!\Kagome!\You can't afford to worry about a woman now!\Kagome!\Hang tough until I get there! response:	How am I to hang onto anything?!
context: Huh?!\I did it!\Huh?!\Kagome!\You can't afford to worry about a woman now!\Kagome!\Hang tough until I get there!\How am I to hang onto anything?! response:	Oww!!
context: I did it!\Huh?!\Kagome!\You can't afford to worry about a woman now!\Kagome!\Hang tough until I get there!\How am I to hang onto anything?!\Oww!! response:	But I'm alive!
context: Huh?!\Kagome!\You can't afford to worry about a woman now!\Kagome!\Hang tough until I get there!\How am I to hang onto anything?!\Oww!!\But I'm alive! response:	You bitch!
context: Kagome!\You can't afford to worry about a woman now!\Kagome!\Hang tough until I get there!\How am I to hang onto anything?!\Oww!!\But I'm alive!\You bitch! response:	He's alive!
context: You can't afford to worry about a woman now!\Kagome!\Hang tough until I get there!\How am I to hang onto anything?!\Oww!!\But I'm alive!\You bitch!\He's alive! response:	Wait!
context: Kagome!\Hang tough until I get there!\How am I to hang onto anything?!\Oww!!\But I'm alive!\You bitch!\He's alive!\Wait! response:	Fox magic!
context: Hang tough until I get there!\How am I to hang onto anything?!\Oww!!\But I'm alive!\You bitch!\He's alive!\Wait!\Fox magic! response:	Spinning screw top!
context: How am I to hang onto anything?!\Oww!!\But I'm alive!\You bitch!\He's alive!\Wait!\Fox magic!\Spinning screw top! response:	Kagome, hurry over here!
context: Oww!!\But I'm alive!\You bitch!\He's alive!\Wait!\Fox magic!\Spinning screw top!\Kagome, hurry over here! response:	Shippo!
context: But I'm alive!\You bitch!\He's alive!\Wait!\Fox magic!\Spinning screw top!\Kagome, hurry over here!\Shippo! response:	Shippo, you know such great magic!
context: You bitch!\He's alive!\Wait!\Fox magic!\Spinning screw top!\Kagome, hurry over here!\Shippo!\Shippo, you know such great magic! response:	Well...
context: He's alive!\Wait!\Fox magic!\Spinning screw top!\Kagome, hurry over here!\Shippo!\Shippo, you know such great magic!\Well... response:	You can't let your guard down yet.
context: Wait!\Fox magic!\Spinning screw top!\Kagome, hurry over here!\Shippo!\Shippo, you know such great magic!\Well...\You can't let your guard down yet. response:	I know...
context: Fox magic!\Spinning screw top!\Kagome, hurry over here!\Shippo!\Shippo, you know such great magic!\Well...\You can't let your guard down yet.\I know... response:	Fox magic is actually trickery.
