context: Iread your letter. response:	You're really going, then?
context: Iread your letter.\You're really going, then? response:	That day... I figured that William boy must have met up with you.
context: Iread your letter.\You're really going, then?\That day... I figured that William boy must have met up with you. response:	He didn't.
context: Iread your letter.\You're really going, then?\That day... I figured that William boy must have met up with you.\He didn't. response:	Perhaps I said too much and scared him off.
context: Iread your letter.\You're really going, then?\That day... I figured that William boy must have met up with you.\He didn't.\Perhaps I said too much and scared him off. response:	It might sound conceited of me to say so, but I don't think that's the case.
context: Iread your letter.\You're really going, then?\That day... I figured that William boy must have met up with you.\He didn't.\Perhaps I said too much and scared him off.\It might sound conceited of me to say so, but I don't think that's the case. response:	Well... sometimes, trying to be considerate can make a person hesitate...
context: Iread your letter.\You're really going, then?\That day... I figured that William boy must have met up with you.\He didn't.\Perhaps I said too much and scared him off.\It might sound conceited of me to say so, but I don't think that's the case.\Well... sometimes, trying to be considerate can make a person hesitate... response:	But, he should at least see you off!
context: Iread your letter.\You're really going, then?\That day... I figured that William boy must have met up with you.\He didn't.\Perhaps I said too much and scared him off.\It might sound conceited of me to say so, but I don't think that's the case.\Well... sometimes, trying to be considerate can make a person hesitate...\But, he should at least see you off! response:	Episode 12 Lilies of the Valley
context: You're really going, then?\That day... I figured that William boy must have met up with you.\He didn't.\Perhaps I said too much and scared him off.\It might sound conceited of me to say so, but I don't think that's the case.\Well... sometimes, trying to be considerate can make a person hesitate...\But, he should at least see you off!\Episode 12 Lilies of the Valley response:	I see. So you're going to retire from being a governess?
context: That day... I figured that William boy must have met up with you.\He didn't.\Perhaps I said too much and scared him off.\It might sound conceited of me to say so, but I don't think that's the case.\Well... sometimes, trying to be considerate can make a person hesitate...\But, he should at least see you off!\Episode 12 Lilies of the Valley\I see. So you're going to retire from being a governess? response:	Yes. I'm getting on in years.
context: He didn't.\Perhaps I said too much and scared him off.\It might sound conceited of me to say so, but I don't think that's the case.\Well... sometimes, trying to be considerate can make a person hesitate...\But, he should at least see you off!\Episode 12 Lilies of the Valley\I see. So you're going to retire from being a governess?\Yes. I'm getting on in years. response:	I need to take things easier.
context: Perhaps I said too much and scared him off.\It might sound conceited of me to say so, but I don't think that's the case.\Well... sometimes, trying to be considerate can make a person hesitate...\But, he should at least see you off!\Episode 12 Lilies of the Valley\I see. So you're going to retire from being a governess?\Yes. I'm getting on in years.\I need to take things easier. response:	Who's this girl?
context: It might sound conceited of me to say so, but I don't think that's the case.\Well... sometimes, trying to be considerate can make a person hesitate...\But, he should at least see you off!\Episode 12 Lilies of the Valley\I see. So you're going to retire from being a governess?\Yes. I'm getting on in years.\I need to take things easier.\Who's this girl? response:	Oh, she's a girl who was living on the streets.
context: Well... sometimes, trying to be considerate can make a person hesitate...\But, he should at least see you off!\Episode 12 Lilies of the Valley\I see. So you're going to retire from being a governess?\Yes. I'm getting on in years.\I need to take things easier.\Who's this girl?\Oh, she's a girl who was living on the streets. response:	She here came looking for work, so I use her for simple jobs.
context: But, he should at least see you off!\Episode 12 Lilies of the Valley\I see. So you're going to retire from being a governess?\Yes. I'm getting on in years.\I need to take things easier.\Who's this girl?\Oh, she's a girl who was living on the streets.\She here came looking for work, so I use her for simple jobs. response:	She looks intelligent.
context: Episode 12 Lilies of the Valley\I see. So you're going to retire from being a governess?\Yes. I'm getting on in years.\I need to take things easier.\Who's this girl?\Oh, she's a girl who was living on the streets.\She here came looking for work, so I use her for simple jobs.\She looks intelligent. response:	Which reminds me, I've been wanting a maid.
context: I see. So you're going to retire from being a governess?\Yes. I'm getting on in years.\I need to take things easier.\Who's this girl?\Oh, she's a girl who was living on the streets.\She here came looking for work, so I use her for simple jobs.\She looks intelligent.\Which reminds me, I've been wanting a maid. response:	Come now Kelly, you can't be serious. She's not the type you can train to be a maid.
context: Yes. I'm getting on in years.\I need to take things easier.\Who's this girl?\Oh, she's a girl who was living on the streets.\She here came looking for work, so I use her for simple jobs.\She looks intelligent.\Which reminds me, I've been wanting a maid.\Come now Kelly, you can't be serious. She's not the type you can train to be a maid. response:	She's perfect. I've always wondered how much can be accomplished through education.
context: I need to take things easier.\Who's this girl?\Oh, she's a girl who was living on the streets.\She here came looking for work, so I use her for simple jobs.\She looks intelligent.\Which reminds me, I've been wanting a maid.\Come now Kelly, you can't be serious. She's not the type you can train to be a maid.\She's perfect. I've always wondered how much can be accomplished through education. response:	What?
context: Who's this girl?\Oh, she's a girl who was living on the streets.\She here came looking for work, so I use her for simple jobs.\She looks intelligent.\Which reminds me, I've been wanting a maid.\Come now Kelly, you can't be serious. She's not the type you can train to be a maid.\She's perfect. I've always wondered how much can be accomplished through education.\What? response:	I'll teach you everything from scratch.
context: Oh, she's a girl who was living on the streets.\She here came looking for work, so I use her for simple jobs.\She looks intelligent.\Which reminds me, I've been wanting a maid.\Come now Kelly, you can't be serious. She's not the type you can train to be a maid.\She's perfect. I've always wondered how much can be accomplished through education.\What?\I'll teach you everything from scratch. response:	Will you come with me?
context: She here came looking for work, so I use her for simple jobs.\She looks intelligent.\Which reminds me, I've been wanting a maid.\Come now Kelly, you can't be serious. She's not the type you can train to be a maid.\She's perfect. I've always wondered how much can be accomplished through education.\What?\I'll teach you everything from scratch.\Will you come with me? response:	Yes, ma'am.
context: She looks intelligent.\Which reminds me, I've been wanting a maid.\Come now Kelly, you can't be serious. She's not the type you can train to be a maid.\She's perfect. I've always wondered how much can be accomplished through education.\What?\I'll teach you everything from scratch.\Will you come with me?\Yes, ma'am. response:	That's it, then.
context: Which reminds me, I've been wanting a maid.\Come now Kelly, you can't be serious. She's not the type you can train to be a maid.\She's perfect. I've always wondered how much can be accomplished through education.\What?\I'll teach you everything from scratch.\Will you come with me?\Yes, ma'am.\That's it, then. response:	It's fine with you, I trust?
context: Come now Kelly, you can't be serious. She's not the type you can train to be a maid.\She's perfect. I've always wondered how much can be accomplished through education.\What?\I'll teach you everything from scratch.\Will you come with me?\Yes, ma'am.\That's it, then.\It's fine with you, I trust? response:	Honestly...
context: She's perfect. I've always wondered how much can be accomplished through education.\What?\I'll teach you everything from scratch.\Will you come with me?\Yes, ma'am.\That's it, then.\It's fine with you, I trust?\Honestly... response:	Don't blame me if you regret it.
context: What?\I'll teach you everything from scratch.\Will you come with me?\Yes, ma'am.\That's it, then.\It's fine with you, I trust?\Honestly...\Don't blame me if you regret it. response:	Thank you for everything...
context: I'll teach you everything from scratch.\Will you come with me?\Yes, ma'am.\That's it, then.\It's fine with you, I trust?\Honestly...\Don't blame me if you regret it.\Thank you for everything... response:	Red sky at night.
context: Will you come with me?\Yes, ma'am.\That's it, then.\It's fine with you, I trust?\Honestly...\Don't blame me if you regret it.\Thank you for everything...\Red sky at night. response:	Red sky at night.
context: Yes, ma'am.\That's it, then.\It's fine with you, I trust?\Honestly...\Don't blame me if you regret it.\Thank you for everything...\Red sky at night.\Red sky at night. response:	Shepherd's delight.
context: That's it, then.\It's fine with you, I trust?\Honestly...\Don't blame me if you regret it.\Thank you for everything...\Red sky at night.\Red sky at night.\Shepherd's delight. response:	Shepherd's delight.
context: It's fine with you, I trust?\Honestly...\Don't blame me if you regret it.\Thank you for everything...\Red sky at night.\Red sky at night.\Shepherd's delight.\Shepherd's delight. response:	Red sky in the morning.
context: Honestly...\Don't blame me if you regret it.\Thank you for everything...\Red sky at night.\Red sky at night.\Shepherd's delight.\Shepherd's delight.\Red sky in the morning. response:	Red sky in the morning.
context: Don't blame me if you regret it.\Thank you for everything...\Red sky at night.\Red sky at night.\Shepherd's delight.\Shepherd's delight.\Red sky in the morning.\Red sky in the morning. response:	Shepherd's warning.
context: Thank you for everything...\Red sky at night.\Red sky at night.\Shepherd's delight.\Shepherd's delight.\Red sky in the morning.\Red sky in the morning.\Shepherd's warning. response:	Shepherd's warning.
context: Red sky at night.\Red sky at night.\Shepherd's delight.\Shepherd's delight.\Red sky in the morning.\Red sky in the morning.\Shepherd's warning.\Shepherd's warning. response:	Vivi?
context: Red sky at night.\Shepherd's delight.\Shepherd's delight.\Red sky in the morning.\Red sky in the morning.\Shepherd's warning.\Shepherd's warning.\Vivi? response:	It's not my fault.
context: Shepherd's delight.\Shepherd's delight.\Red sky in the morning.\Red sky in the morning.\Shepherd's warning.\Shepherd's warning.\Vivi?\It's not my fault. response:	It takes a lot for father to raise his hand against someone.
context: Shepherd's delight.\Red sky in the morning.\Red sky in the morning.\Shepherd's warning.\Shepherd's warning.\Vivi?\It's not my fault.\It takes a lot for father to raise his hand against someone. response:	But it was bound to happen sooner or later.
context: Red sky in the morning.\Red sky in the morning.\Shepherd's warning.\Shepherd's warning.\Vivi?\It's not my fault.\It takes a lot for father to raise his hand against someone.\But it was bound to happen sooner or later. response:	Don't worry, Colin.
