context: I have a condition. response:	Tell me all about Nana-san.
context: I have a condition.\Tell me all about Nana-san. response:	I don't know much about her.
context: I have a condition.\Tell me all about Nana-san.\I don't know much about her. response:	I want to hear about your feelings for her, and once I sort out my feelings about them...
context: I have a condition.\Tell me all about Nana-san.\I don't know much about her.\I want to hear about your feelings for her, and once I sort out my feelings about them... response:	Usotsuki na anata nakimushi no atashi
context: I have a condition.\Tell me all about Nana-san.\I don't know much about her.\I want to hear about your feelings for her, and once I sort out my feelings about them...\Usotsuki na anata nakimushi no atashi response:	Doushite umaku ikanai wa
context: I have a condition.\Tell me all about Nana-san.\I don't know much about her.\I want to hear about your feelings for her, and once I sort out my feelings about them...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa response:	Oshare shita kami mo rain suton no tsume mo
context: I have a condition.\Tell me all about Nana-san.\I don't know much about her.\I want to hear about your feelings for her, and once I sort out my feelings about them...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo response:	Anata wa kidzuki mo shinai ne
context: I have a condition.\Tell me all about Nana-san.\I don't know much about her.\I want to hear about your feelings for her, and once I sort out my feelings about them...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne response:	Love kanashii namida nanka ja nai yo
context: Tell me all about Nana-san.\I don't know much about her.\I want to hear about your feelings for her, and once I sort out my feelings about them...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo response:	Me ga kawaite hirihiri suru dake
context: I don't know much about her.\I want to hear about your feelings for her, and once I sort out my feelings about them...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake response:	Kono unmei bakari I love
context: I want to hear about your feelings for her, and once I sort out my feelings about them...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love response:	Kimi dake wo atashi dake wo
context: Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo response:	Atsui omoi wo uketomete
context: Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete response:	Doko made mo tsunagattetai
context: Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai response:	Kawaikunai nakigao mo se mo aishiteru
