context: N-Now, now, let's calm down, Ryuko. response:	Bite me! What the hell is going on?
context: N-Now, now, let's calm down, Ryuko.\Bite me! What the hell is going on? response:	Were you in cahoots with that Mohawk Man, too?
context: N-Now, now, let's calm down, Ryuko.\Bite me! What the hell is going on?\Were you in cahoots with that Mohawk Man, too? response:	I-I have no idea what you mean.
context: N-Now, now, let's calm down, Ryuko.\Bite me! What the hell is going on?\Were you in cahoots with that Mohawk Man, too?\I-I have no idea what you mean. response:	Keep playing dumb after seeing this, I dare you!
context: N-Now, now, let's calm down, Ryuko.\Bite me! What the hell is going on?\Were you in cahoots with that Mohawk Man, too?\I-I have no idea what you mean.\Keep playing dumb after seeing this, I dare you! response:	See? Here's you and Mohawk Man in the corner of this picture!
context: N-Now, now, let's calm down, Ryuko.\Bite me! What the hell is going on?\Were you in cahoots with that Mohawk Man, too?\I-I have no idea what you mean.\Keep playing dumb after seeing this, I dare you!\See? Here's you and Mohawk Man in the corner of this picture! response:	T-That's not
context: N-Now, now, let's calm down, Ryuko.\Bite me! What the hell is going on?\Were you in cahoots with that Mohawk Man, too?\I-I have no idea what you mean.\Keep playing dumb after seeing this, I dare you!\See? Here's you and Mohawk Man in the corner of this picture!\T-That's not response:	After I got attacked by Mohawk Man,
context: N-Now, now, let's calm down, Ryuko.\Bite me! What the hell is going on?\Were you in cahoots with that Mohawk Man, too?\I-I have no idea what you mean.\Keep playing dumb after seeing this, I dare you!\See? Here's you and Mohawk Man in the corner of this picture!\T-That's not\After I got attacked by Mohawk Man, response:	I asked Mataro to track him down!
context: Bite me! What the hell is going on?\Were you in cahoots with that Mohawk Man, too?\I-I have no idea what you mean.\Keep playing dumb after seeing this, I dare you!\See? Here's you and Mohawk Man in the corner of this picture!\T-That's not\After I got attacked by Mohawk Man,\I asked Mataro to track him down! response:	That kid has connections all over this town.
context: Were you in cahoots with that Mohawk Man, too?\I-I have no idea what you mean.\Keep playing dumb after seeing this, I dare you!\See? Here's you and Mohawk Man in the corner of this picture!\T-That's not\After I got attacked by Mohawk Man,\I asked Mataro to track him down!\That kid has connections all over this town. response:	And he found pictures of a guy who looked like him drinking.
context: I-I have no idea what you mean.\Keep playing dumb after seeing this, I dare you!\See? Here's you and Mohawk Man in the corner of this picture!\T-That's not\After I got attacked by Mohawk Man,\I asked Mataro to track him down!\That kid has connections all over this town.\And he found pictures of a guy who looked like him drinking. response:	It also explains why he brought me to your place.
