context: It was only a short time, but thank you for taking care of me! response:	Pro Hero - Gran Torino - Quirk: Jet
context: It was only a short time, but thank you for taking care of me!\Pro Hero - Gran Torino - Quirk: Jet response:	I don't feel like I did anything I need to be thanked for.
context: It was only a short time, but thank you for taking care of me!\Pro Hero - Gran Torino - Quirk: Jet\I don't feel like I did anything I need to be thanked for. response:	Your internship ended up the way it did, too.
context: It was only a short time, but thank you for taking care of me!\Pro Hero - Gran Torino - Quirk: Jet\I don't feel like I did anything I need to be thanked for.\Your internship ended up the way it did, too. response:	No, it was thanks to your instruction in ideas and your continuous sparring with me
context: It was only a short time, but thank you for taking care of me!\Pro Hero - Gran Torino - Quirk: Jet\I don't feel like I did anything I need to be thanked for.\Your internship ended up the way it did, too.\No, it was thanks to your instruction in ideas and your continuous sparring with me response:	Izuku Midoriya - Quirk: One For All
context: It was only a short time, but thank you for taking care of me!\Pro Hero - Gran Torino - Quirk: Jet\I don't feel like I did anything I need to be thanked for.\Your internship ended up the way it did, too.\No, it was thanks to your instruction in ideas and your continuous sparring with me\Izuku Midoriya - Quirk: One For All response:	that I was able to do something even against the hero killer.
context: It was only a short time, but thank you for taking care of me!\Pro Hero - Gran Torino - Quirk: Jet\I don't feel like I did anything I need to be thanked for.\Your internship ended up the way it did, too.\No, it was thanks to your instruction in ideas and your continuous sparring with me\Izuku Midoriya - Quirk: One For All\that I was able to do something even against the hero killer. response:	Ow...!
context: It was only a short time, but thank you for taking care of me!\Pro Hero - Gran Torino - Quirk: Jet\I don't feel like I did anything I need to be thanked for.\Your internship ended up the way it did, too.\No, it was thanks to your instruction in ideas and your continuous sparring with me\Izuku Midoriya - Quirk: One For All\that I was able to do something even against the hero killer.\Ow...! response:	Against a hero killer that wasn't serious!
context: Pro Hero - Gran Torino - Quirk: Jet\I don't feel like I did anything I need to be thanked for.\Your internship ended up the way it did, too.\No, it was thanks to your instruction in ideas and your continuous sparring with me\Izuku Midoriya - Quirk: One For All\that I was able to do something even against the hero killer.\Ow...!\Against a hero killer that wasn't serious! response:	Well, it was better than if you tried for a single killer shot at 100
context: I don't feel like I did anything I need to be thanked for.\Your internship ended up the way it did, too.\No, it was thanks to your instruction in ideas and your continuous sparring with me\Izuku Midoriya - Quirk: One For All\that I was able to do something even against the hero killer.\Ow...!\Against a hero killer that wasn't serious!\Well, it was better than if you tried for a single killer shot at 100 response:	and then ended up missing, I guess I should say.
context: Your internship ended up the way it did, too.\No, it was thanks to your instruction in ideas and your continuous sparring with me\Izuku Midoriya - Quirk: One For All\that I was able to do something even against the hero killer.\Ow...!\Against a hero killer that wasn't serious!\Well, it was better than if you tried for a single killer shot at 100\and then ended up missing, I guess I should say. response:	But that arm had stress fractures, didn't it?
