context: Here we come! response:	It's the start of Inuyasha!
context: Here we come!\It's the start of Inuyasha! response:	We're going to gatherall the shards of the Sacred Jewel!
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel! response:	And I'll destroy Naraku with my Tetsusaiga!
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel!\And I'll destroy Naraku with my Tetsusaiga! response:	Inuyasha's older brother, Sesshomaru, detested humans so much,
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel!\And I'll destroy Naraku with my Tetsusaiga!\Inuyasha's older brother, Sesshomaru, detested humans so much, response:	yet a young mortal girl now accompanies him.
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel!\And I'll destroy Naraku with my Tetsusaiga!\Inuyasha's older brother, Sesshomaru, detested humans so much,\yet a young mortal girl now accompanies him. response:	His vassal Jaken is caught between them and they're quite a trio!
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel!\And I'll destroy Naraku with my Tetsusaiga!\Inuyasha's older brother, Sesshomaru, detested humans so much,\yet a young mortal girl now accompanies him.\His vassal Jaken is caught between them and they're quite a trio! response:	Miroku, Sango, Shippo and Kirara...
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel!\And I'll destroy Naraku with my Tetsusaiga!\Inuyasha's older brother, Sesshomaru, detested humans so much,\yet a young mortal girl now accompanies him.\His vassal Jaken is caught between them and they're quite a trio!\Miroku, Sango, Shippo and Kirara... response:	travel back in time!
context: It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel!\And I'll destroy Naraku with my Tetsusaiga!\Inuyasha's older brother, Sesshomaru, detested humans so much,\yet a young mortal girl now accompanies him.\His vassal Jaken is caught between them and they're quite a trio!\Miroku, Sango, Shippo and Kirara...\travel back in time! response:	To a Feudal Fairytale!
context: We're going to gatherall the shards of the Sacred Jewel!\And I'll destroy Naraku with my Tetsusaiga!\Inuyasha's older brother, Sesshomaru, detested humans so much,\yet a young mortal girl now accompanies him.\His vassal Jaken is caught between them and they're quite a trio!\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale! response:	Inuyasha!
context: And I'll destroy Naraku with my Tetsusaiga!\Inuyasha's older brother, Sesshomaru, detested humans so much,\yet a young mortal girl now accompanies him.\His vassal Jaken is caught between them and they're quite a trio!\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale!\Inuyasha! response:	In pursuit of Naraku who had disappeared,
