context: -TS- response:	-OP-
context: -TS-\-OP- response:	-ED-
context: -TS-\-OP-\-ED- response:	Stop!
context: -TS-\-OP-\-ED-\Stop! response:	Burn to hell!
context: -TS-\-OP-\-ED-\Stop!\Burn to hell! response:	Thank you so much for saving me!
context: -TS-\-OP-\-ED-\Stop!\Burn to hell!\Thank you so much for saving me! response:	I just did what was natural in the situation.
context: -TS-\-OP-\-ED-\Stop!\Burn to hell!\Thank you so much for saving me!\I just did what was natural in the situation. response:	You're amazing, Okumura!
context: -TS-\-OP-\-ED-\Stop!\Burn to hell!\Thank you so much for saving me!\I just did what was natural in the situation.\You're amazing, Okumura! response:	You're a real Exorcist!
context: -OP-\-ED-\Stop!\Burn to hell!\Thank you so much for saving me!\I just did what was natural in the situation.\You're amazing, Okumura!\You're a real Exorcist! response:	I'm not that good.
context: -ED-\Stop!\Burn to hell!\Thank you so much for saving me!\I just did what was natural in the situation.\You're amazing, Okumura!\You're a real Exorcist!\I'm not that good. response:	As a sign of our gratitude...
context: Stop!\Burn to hell!\Thank you so much for saving me!\I just did what was natural in the situation.\You're amazing, Okumura!\You're a real Exorcist!\I'm not that good.\As a sign of our gratitude... response:	Please, have some!
context: Burn to hell!\Thank you so much for saving me!\I just did what was natural in the situation.\You're amazing, Okumura!\You're a real Exorcist!\I'm not that good.\As a sign of our gratitude...\Please, have some! response:	Congratulations!
context: Thank you so much for saving me!\I just did what was natural in the situation.\You're amazing, Okumura!\You're a real Exorcist!\I'm not that good.\As a sign of our gratitude...\Please, have some!\Congratulations! response:	Okumura!
context: I just did what was natural in the situation.\You're amazing, Okumura!\You're a real Exorcist!\I'm not that good.\As a sign of our gratitude...\Please, have some!\Congratulations!\Okumura! response:	Okumura!
context: You're amazing, Okumura!\You're a real Exorcist!\I'm not that good.\As a sign of our gratitude...\Please, have some!\Congratulations!\Okumura!\Okumura! response:	Okumura!
context: You're a real Exorcist!\I'm not that good.\As a sign of our gratitude...\Please, have some!\Congratulations!\Okumura!\Okumura!\Okumura! response:	Sukiyaki!
context: I'm not that good.\As a sign of our gratitude...\Please, have some!\Congratulations!\Okumura!\Okumura!\Okumura!\Sukiyaki! response:	You can just leave if you don't want to listen.
context: As a sign of our gratitude...\Please, have some!\Congratulations!\Okumura!\Okumura!\Okumura!\Sukiyaki!\You can just leave if you don't want to listen. response:	I'm sorry.
context: Please, have some!\Congratulations!\Okumura!\Okumura!\Okumura!\Sukiyaki!\You can just leave if you don't want to listen.\I'm sorry. response:	Among the Hebrew scriptures, the oldest are the Book of Genesis, the Book of Exodus and Leviticus...
context: Congratulations!\Okumura!\Okumura!\Okumura!\Sukiyaki!\You can just leave if you don't want to listen.\I'm sorry.\Among the Hebrew scriptures, the oldest are the Book of Genesis, the Book of Exodus and Leviticus... response:	What the hell is that guy doing here?
context: Okumura!\Okumura!\Okumura!\Sukiyaki!\You can just leave if you don't want to listen.\I'm sorry.\Among the Hebrew scriptures, the oldest are the Book of Genesis, the Book of Exodus and Leviticus...\What the hell is that guy doing here? response:	Get lost!
context: Okumura!\Okumura!\Sukiyaki!\You can just leave if you don't want to listen.\I'm sorry.\Among the Hebrew scriptures, the oldest are the Book of Genesis, the Book of Exodus and Leviticus...\What the hell is that guy doing here?\Get lost! response:	He looks like he was crazy from the day he was born...
context: Okumura!\Sukiyaki!\You can just leave if you don't want to listen.\I'm sorry.\Among the Hebrew scriptures, the oldest are the Book of Genesis, the Book of Exodus and Leviticus...\What the hell is that guy doing here?\Get lost!\He looks like he was crazy from the day he was born... response:	Streaked hair...
context: Sukiyaki!\You can just leave if you don't want to listen.\I'm sorry.\Among the Hebrew scriptures, the oldest are the Book of Genesis, the Book of Exodus and Leviticus...\What the hell is that guy doing here?\Get lost!\He looks like he was crazy from the day he was born...\Streaked hair... response:	Piercings...
context: You can just leave if you don't want to listen.\I'm sorry.\Among the Hebrew scriptures, the oldest are the Book of Genesis, the Book of Exodus and Leviticus...\What the hell is that guy doing here?\Get lost!\He looks like he was crazy from the day he was born...\Streaked hair...\Piercings... response:	So rebellious...
context: I'm sorry.\Among the Hebrew scriptures, the oldest are the Book of Genesis, the Book of Exodus and Leviticus...\What the hell is that guy doing here?\Get lost!\He looks like he was crazy from the day he was born...\Streaked hair...\Piercings...\So rebellious... response:	He's so cool!
context: Among the Hebrew scriptures, the oldest are the Book of Genesis, the Book of Exodus and Leviticus...\What the hell is that guy doing here?\Get lost!\He looks like he was crazy from the day he was born...\Streaked hair...\Piercings...\So rebellious...\He's so cool! response:	Before this I would've stared back and started a fight after class...
context: What the hell is that guy doing here?\Get lost!\He looks like he was crazy from the day he was born...\Streaked hair...\Piercings...\So rebellious...\He's so cool!\Before this I would've stared back and started a fight after class... response:	But I'm not going to cause that kind of trouble anymore.
context: Get lost!\He looks like he was crazy from the day he was born...\Streaked hair...\Piercings...\So rebellious...\He's so cool!\Before this I would've stared back and started a fight after class...\But I'm not going to cause that kind of trouble anymore. response:	I decided that I'll become an Exorcist.
