context: Yoake-kun. response:	Got a sec?
context: Yoake-kun.\Got a sec? response:	What?
context: Yoake-kun.\Got a sec?\What? response:	I told you not to talk to me too much at school.
context: Yoake-kun.\Got a sec?\What?\I told you not to talk to me too much at school. response:	I want the drug that makes me normal again.
context: Yoake-kun.\Got a sec?\What?\I told you not to talk to me too much at school.\I want the drug that makes me normal again. response:	This is the second time.
context: Yoake-kun.\Got a sec?\What?\I told you not to talk to me too much at school.\I want the drug that makes me normal again.\This is the second time. response:	Before school started, you asked once, so you could formally quit your job.
context: Yoake-kun.\Got a sec?\What?\I told you not to talk to me too much at school.\I want the drug that makes me normal again.\This is the second time.\Before school started, you asked once, so you could formally quit your job. response:	What's it for this time?
context: Yoake-kun.\Got a sec?\What?\I told you not to talk to me too much at school.\I want the drug that makes me normal again.\This is the second time.\Before school started, you asked once, so you could formally quit your job.\What's it for this time? response:	I want to visit a grave.
context: Got a sec?\What?\I told you not to talk to me too much at school.\I want the drug that makes me normal again.\This is the second time.\Before school started, you asked once, so you could formally quit your job.\What's it for this time?\I want to visit a grave. response:	I know you've done your homework.
context: What?\I told you not to talk to me too much at school.\I want the drug that makes me normal again.\This is the second time.\Before school started, you asked once, so you could formally quit your job.\What's it for this time?\I want to visit a grave.\I know you've done your homework. response:	You know about my senpai at that company, right?
context: I told you not to talk to me too much at school.\I want the drug that makes me normal again.\This is the second time.\Before school started, you asked once, so you could formally quit your job.\What's it for this time?\I want to visit a grave.\I know you've done your homework.\You know about my senpai at that company, right? response:	This Monday...
context: I want the drug that makes me normal again.\This is the second time.\Before school started, you asked once, so you could formally quit your job.\What's it for this time?\I want to visit a grave.\I know you've done your homework.\You know about my senpai at that company, right?\This Monday... response:	A Trip to the Past
context: This is the second time.\Before school started, you asked once, so you could formally quit your job.\What's it for this time?\I want to visit a grave.\I know you've done your homework.\You know about my senpai at that company, right?\This Monday...\A Trip to the Past response:	You can't go looking like this?
context: Before school started, you asked once, so you could formally quit your job.\What's it for this time?\I want to visit a grave.\I know you've done your homework.\You know about my senpai at that company, right?\This Monday...\A Trip to the Past\You can't go looking like this? response:	And risk running into someone else who worked with us?
context: What's it for this time?\I want to visit a grave.\I know you've done your homework.\You know about my senpai at that company, right?\This Monday...\A Trip to the Past\You can't go looking like this?\And risk running into someone else who worked with us? response:	Not that any of them will show up.
context: I want to visit a grave.\I know you've done your homework.\You know about my senpai at that company, right?\This Monday...\A Trip to the Past\You can't go looking like this?\And risk running into someone else who worked with us?\Not that any of them will show up. response:	Okay.
context: I know you've done your homework.\You know about my senpai at that company, right?\This Monday...\A Trip to the Past\You can't go looking like this?\And risk running into someone else who worked with us?\Not that any of them will show up.\Okay. response:	Then I'll come with you.
context: You know about my senpai at that company, right?\This Monday...\A Trip to the Past\You can't go looking like this?\And risk running into someone else who worked with us?\Not that any of them will show up.\Okay.\Then I'll come with you. response:	What? Hell, no.
context: This Monday...\A Trip to the Past\You can't go looking like this?\And risk running into someone else who worked with us?\Not that any of them will show up.\Okay.\Then I'll come with you.\What? Hell, no. response:	Now, now, don't be mean.
context: A Trip to the Past\You can't go looking like this?\And risk running into someone else who worked with us?\Not that any of them will show up.\Okay.\Then I'll come with you.\What? Hell, no.\Now, now, don't be mean. response:	No, seriously.
context: You can't go looking like this?\And risk running into someone else who worked with us?\Not that any of them will show up.\Okay.\Then I'll come with you.\What? Hell, no.\Now, now, don't be mean.\No, seriously. response:	I know you need to keep an eye on me, so just do it from a distance like always.
context: And risk running into someone else who worked with us?\Not that any of them will show up.\Okay.\Then I'll come with you.\What? Hell, no.\Now, now, don't be mean.\No, seriously.\I know you need to keep an eye on me, so just do it from a distance like always. response:	No need to come with me.
context: Not that any of them will show up.\Okay.\Then I'll come with you.\What? Hell, no.\Now, now, don't be mean.\No, seriously.\I know you need to keep an eye on me, so just do it from a distance like always.\No need to come with me. response:	We were watching.
context: Okay.\Then I'll come with you.\What? Hell, no.\Now, now, don't be mean.\No, seriously.\I know you need to keep an eye on me, so just do it from a distance like always.\No need to come with me.\We were watching. response:	We know you froze up at Saiki-san's grave last year.
context: Then I'll come with you.\What? Hell, no.\Now, now, don't be mean.\No, seriously.\I know you need to keep an eye on me, so just do it from a distance like always.\No need to come with me.\We were watching.\We know you froze up at Saiki-san's grave last year. response:	We're worried about it.
context: What? Hell, no.\Now, now, don't be mean.\No, seriously.\I know you need to keep an eye on me, so just do it from a distance like always.\No need to come with me.\We were watching.\We know you froze up at Saiki-san's grave last year.\We're worried about it. response:	Worried you might impulsively follow her.
context: Now, now, don't be mean.\No, seriously.\I know you need to keep an eye on me, so just do it from a distance like always.\No need to come with me.\We were watching.\We know you froze up at Saiki-san's grave last year.\We're worried about it.\Worried you might impulsively follow her. response:	Or not be able to control yourself if a coworker shows up.
context: No, seriously.\I know you need to keep an eye on me, so just do it from a distance like always.\No need to come with me.\We were watching.\We know you froze up at Saiki-san's grave last year.\We're worried about it.\Worried you might impulsively follow her.\Or not be able to control yourself if a coworker shows up. response:	Th-That was last year!
