context: I had lost my way during my journey. response:	Only my soul was wandering, while I stood still.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still. response:	But right now, I'm walking to a distant place.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place. response:	That's right, ever since I met you on this road.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road. response:	The travellers witnessed the song, the forbidden song,
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song, response:	And I became attached to it as I heard it alone with you.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you. response:	If the world I saw in my dreams exists somewhere,
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere, response:	Let's go search for it, beyond the winds.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds. response:	Whether it's a freezing dawn,
context: Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn, response:	A dry midday,
context: But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday, response:	A shivering night,
context: That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night, response:	or the ends of the Earth, let's go and see it.
context: The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it. response:	How many did you eat?
context: And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\How many did you eat? response:	Seventeen.
context: If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\How many did you eat?\Seventeen. response:	No, eighteen.
context: Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\How many did you eat?\Seventeen.\No, eighteen. response:	No, maybe nineteen?
context: Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\How many did you eat?\Seventeen.\No, eighteen.\No, maybe nineteen? response:	And how much is left?
context: A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\How many did you eat?\Seventeen.\No, eighteen.\No, maybe nineteen?\And how much is left? response:	Forget about it.
context: A shivering night,\or the ends of the Earth, let's go and see it.\How many did you eat?\Seventeen.\No, eighteen.\No, maybe nineteen?\And how much is left?\Forget about it. response:	It's just for reference.
context: or the ends of the Earth, let's go and see it.\How many did you eat?\Seventeen.\No, eighteen.\No, maybe nineteen?\And how much is left?\Forget about it.\It's just for reference. response:	You already know it.
context: How many did you eat?\Seventeen.\No, eighteen.\No, maybe nineteen?\And how much is left?\Forget about it.\It's just for reference.\You already know it. response:	Just in case, you see.
context: Seventeen.\No, eighteen.\No, maybe nineteen?\And how much is left?\Forget about it.\It's just for reference.\You already know it.\Just in case, you see. response:	Eighty...
context: No, eighteen.\No, maybe nineteen?\And how much is left?\Forget about it.\It's just for reference.\You already know it.\Just in case, you see.\Eighty... response:	Eighty what?
context: No, maybe nineteen?\And how much is left?\Forget about it.\It's just for reference.\You already know it.\Just in case, you see.\Eighty...\Eighty what? response:	Eighty-one!
context: And how much is left?\Forget about it.\It's just for reference.\You already know it.\Just in case, you see.\Eighty...\Eighty what?\Eighty-one! response:	I-I just have to eat them, right? Right?
context: Forget about it.\It's just for reference.\You already know it.\Just in case, you see.\Eighty...\Eighty what?\Eighty-one!\I-I just have to eat them, right? Right? response:	Are you even able to eat them all?
context: It's just for reference.\You already know it.\Just in case, you see.\Eighty...\Eighty what?\Eighty-one!\I-I just have to eat them, right? Right?\Are you even able to eat them all? response:	I can!
context: You already know it.\Just in case, you see.\Eighty...\Eighty what?\Eighty-one!\I-I just have to eat them, right? Right?\Are you even able to eat them all?\I can! response:	I'm Horo the Wise from Yoitsu!
context: Just in case, you see.\Eighty...\Eighty what?\Eighty-one!\I-I just have to eat them, right? Right?\Are you even able to eat them all?\I can!\I'm Horo the Wise from Yoitsu! response:	You don't need to be so obstinate.
context: Eighty...\Eighty what?\Eighty-one!\I-I just have to eat them, right? Right?\Are you even able to eat them all?\I can!\I'm Horo the Wise from Yoitsu!\You don't need to be so obstinate. response:	Who is?
context: Eighty what?\Eighty-one!\I-I just have to eat them, right? Right?\Are you even able to eat them all?\I can!\I'm Horo the Wise from Yoitsu!\You don't need to be so obstinate.\Who is? response:	What's the truth?
context: Eighty-one!\I-I just have to eat them, right? Right?\Are you even able to eat them all?\I can!\I'm Horo the Wise from Yoitsu!\You don't need to be so obstinate.\Who is?\What's the truth? response:	It's the truth.
context: I-I just have to eat them, right? Right?\Are you even able to eat them all?\I can!\I'm Horo the Wise from Yoitsu!\You don't need to be so obstinate.\Who is?\What's the truth?\It's the truth. response:	What's the real truth?
context: Are you even able to eat them all?\I can!\I'm Horo the Wise from Yoitsu!\You don't need to be so obstinate.\Who is?\What's the truth?\It's the truth.\What's the real truth? response:	It's the real truth!
context: I can!\I'm Horo the Wise from Yoitsu!\You don't need to be so obstinate.\Who is?\What's the truth?\It's the truth.\What's the real truth?\It's the real truth! response:	What's the real, real, real truth?
context: I'm Horo the Wise from Yoitsu!\You don't need to be so obstinate.\Who is?\What's the truth?\It's the truth.\What's the real truth?\It's the real truth!\What's the real, real, real truth? response:	It's the real, real, real truth!
context: You don't need to be so obstinate.\Who is?\What's the truth?\It's the truth.\What's the real truth?\It's the real truth!\What's the real, real, real truth?\It's the real, real, real truth! response:	The truth is, I'm already tired of them.
context: Who is?\What's the truth?\It's the truth.\What's the real truth?\It's the real truth!\What's the real, real, real truth?\It's the real, real, real truth!\The truth is, I'm already tired of them. response:	I'd think so.
context: What's the truth?\It's the truth.\What's the real truth?\It's the real truth!\What's the real, real, real truth?\It's the real, real, real truth!\The truth is, I'm already tired of them.\I'd think so. response:	Even if they're your favorite food, you had twenty yesterday and almost as many today.
