context: Time's up! response:	I studied when I was in the other dimension.
context: Time's up!\I studied when I was in the other dimension. response:	And despite Inuyasha's complaints, I came back here.
context: Time's up!\I studied when I was in the other dimension.\And despite Inuyasha's complaints, I came back here. response:	How'd it go?
context: Time's up!\I studied when I was in the other dimension.\And despite Inuyasha's complaints, I came back here.\How'd it go? response:	Terrible.
context: Time's up!\I studied when I was in the other dimension.\And despite Inuyasha's complaints, I came back here.\How'd it go?\Terrible. response:	Hey! Hey! Wasn't today's test easy?
context: Time's up!\I studied when I was in the other dimension.\And despite Inuyasha's complaints, I came back here.\How'd it go?\Terrible.\Hey! Hey! Wasn't today's test easy? response:	D-Don't say that!
context: Time's up!\I studied when I was in the other dimension.\And despite Inuyasha's complaints, I came back here.\How'd it go?\Terrible.\Hey! Hey! Wasn't today's test easy?\D-Don't say that! response:	Say... Kagome... How's your guy?
context: Time's up!\I studied when I was in the other dimension.\And despite Inuyasha's complaints, I came back here.\How'd it go?\Terrible.\Hey! Hey! Wasn't today's test easy?\D-Don't say that!\Say... Kagome... How's your guy? response:	- Guy? - Yeah, right!
context: I studied when I was in the other dimension.\And despite Inuyasha's complaints, I came back here.\How'd it go?\Terrible.\Hey! Hey! Wasn't today's test easy?\D-Don't say that!\Say... Kagome... How's your guy?\- Guy? - Yeah, right! response:	The delinquent!
context: And despite Inuyasha's complaints, I came back here.\How'd it go?\Terrible.\Hey! Hey! Wasn't today's test easy?\D-Don't say that!\Say... Kagome... How's your guy?\- Guy? - Yeah, right!\The delinquent! response:	He's not a delinquent.
context: How'd it go?\Terrible.\Hey! Hey! Wasn't today's test easy?\D-Don't say that!\Say... Kagome... How's your guy?\- Guy? - Yeah, right!\The delinquent!\He's not a delinquent. response:	The two-timing one!
context: Terrible.\Hey! Hey! Wasn't today's test easy?\D-Don't say that!\Say... Kagome... How's your guy?\- Guy? - Yeah, right!\The delinquent!\He's not a delinquent.\The two-timing one! response:	H-He's not actually two-timing...
