context: Tsuritama Episode 4 response:	Since Grandma went to the hospital,
context: Tsuritama Episode 4\Since Grandma went to the hospital, response:	our mornings have gotten busier.
context: Tsuritama Episode 4\Since Grandma went to the hospital,\our mornings have gotten busier. response:	Haru, don't forget the flowers in the yard.
context: Tsuritama Episode 4\Since Grandma went to the hospital,\our mornings have gotten busier.\Haru, don't forget the flowers in the yard. response:	Okay.
context: Tsuritama Episode 4\Since Grandma went to the hospital,\our mornings have gotten busier.\Haru, don't forget the flowers in the yard.\Okay. response:	There's a reason we're so busy.
context: Tsuritama Episode 4\Since Grandma went to the hospital,\our mornings have gotten busier.\Haru, don't forget the flowers in the yard.\Okay.\There's a reason we're so busy. response:	Morning fishing.
context: Tsuritama Episode 4\Since Grandma went to the hospital,\our mornings have gotten busier.\Haru, don't forget the flowers in the yard.\Okay.\There's a reason we're so busy.\Morning fishing. response:	Because of it, I don't have
context: Tsuritama Episode 4\Since Grandma went to the hospital,\our mornings have gotten busier.\Haru, don't forget the flowers in the yard.\Okay.\There's a reason we're so busy.\Morning fishing.\Because of it, I don't have response:	trouble getting up in the morning any more.
context: Since Grandma went to the hospital,\our mornings have gotten busier.\Haru, don't forget the flowers in the yard.\Okay.\There's a reason we're so busy.\Morning fishing.\Because of it, I don't have\trouble getting up in the morning any more. response:	Feels good.
context: our mornings have gotten busier.\Haru, don't forget the flowers in the yard.\Okay.\There's a reason we're so busy.\Morning fishing.\Because of it, I don't have\trouble getting up in the morning any more.\Feels good. response:	One more time.
context: Haru, don't forget the flowers in the yard.\Okay.\There's a reason we're so busy.\Morning fishing.\Because of it, I don't have\trouble getting up in the morning any more.\Feels good.\One more time. response:	What are you doing?
context: Okay.\There's a reason we're so busy.\Morning fishing.\Because of it, I don't have\trouble getting up in the morning any more.\Feels good.\One more time.\What are you doing? response:	The bigger problem is...
context: There's a reason we're so busy.\Morning fishing.\Because of it, I don't have\trouble getting up in the morning any more.\Feels good.\One more time.\What are you doing?\The bigger problem is... response:	Sorry, sorry.
context: Morning fishing.\Because of it, I don't have\trouble getting up in the morning any more.\Feels good.\One more time.\What are you doing?\The bigger problem is...\Sorry, sorry. response:	Sheesh.
context: Because of it, I don't have\trouble getting up in the morning any more.\Feels good.\One more time.\What are you doing?\The bigger problem is...\Sorry, sorry.\Sheesh. response:	Yuki, look.
context: trouble getting up in the morning any more.\Feels good.\One more time.\What are you doing?\The bigger problem is...\Sorry, sorry.\Sheesh.\Yuki, look. response:	I told you not to put in too much soap!
context: Feels good.\One more time.\What are you doing?\The bigger problem is...\Sorry, sorry.\Sheesh.\Yuki, look.\I told you not to put in too much soap! response:	I know he doesn't mean any harm.
context: One more time.\What are you doing?\The bigger problem is...\Sorry, sorry.\Sheesh.\Yuki, look.\I told you not to put in too much soap!\I know he doesn't mean any harm. response:	He's an alien, but...
context: What are you doing?\The bigger problem is...\Sorry, sorry.\Sheesh.\Yuki, look.\I told you not to put in too much soap!\I know he doesn't mean any harm.\He's an alien, but... response:	Listen Haru, don't do anything else I don't tell you to do.
context: The bigger problem is...\Sorry, sorry.\Sheesh.\Yuki, look.\I told you not to put in too much soap!\I know he doesn't mean any harm.\He's an alien, but...\Listen Haru, don't do anything else I don't tell you to do. response:	Okay.
context: Sorry, sorry.\Sheesh.\Yuki, look.\I told you not to put in too much soap!\I know he doesn't mean any harm.\He's an alien, but...\Listen Haru, don't do anything else I don't tell you to do.\Okay. response:	Angry Landing
context: Sheesh.\Yuki, look.\I told you not to put in too much soap!\I know he doesn't mean any harm.\He's an alien, but...\Listen Haru, don't do anything else I don't tell you to do.\Okay.\Angry Landing response:	Enoshima...
context: Yuki, look.\I told you not to put in too much soap!\I know he doesn't mean any harm.\He's an alien, but...\Listen Haru, don't do anything else I don't tell you to do.\Okay.\Angry Landing\Enoshima... response:	Bowl!
context: I told you not to put in too much soap!\I know he doesn't mean any harm.\He's an alien, but...\Listen Haru, don't do anything else I don't tell you to do.\Okay.\Angry Landing\Enoshima...\Bowl! response:	Tamocchan!
context: I know he doesn't mean any harm.\He's an alien, but...\Listen Haru, don't do anything else I don't tell you to do.\Okay.\Angry Landing\Enoshima...\Bowl!\Tamocchan! response:	Tamocchan?
context: He's an alien, but...\Listen Haru, don't do anything else I don't tell you to do.\Okay.\Angry Landing\Enoshima...\Bowl!\Tamocchan!\Tamocchan? response:	Haru!
context: Listen Haru, don't do anything else I don't tell you to do.\Okay.\Angry Landing\Enoshima...\Bowl!\Tamocchan!\Tamocchan?\Haru! response:	When did they become friends?
context: Okay.\Angry Landing\Enoshima...\Bowl!\Tamocchan!\Tamocchan?\Haru!\When did they become friends? response:	Tamocchan, how do you know Enoshima bowl?
context: Angry Landing\Enoshima...\Bowl!\Tamocchan!\Tamocchan?\Haru!\When did they become friends?\Tamocchan, how do you know Enoshima bowl? response:	How? I came up with it.
context: Enoshima...\Bowl!\Tamocchan!\Tamocchan?\Haru!\When did they become friends?\Tamocchan, how do you know Enoshima bowl?\How? I came up with it. response:	What?
context: Bowl!\Tamocchan!\Tamocchan?\Haru!\When did they become friends?\Tamocchan, how do you know Enoshima bowl?\How? I came up with it.\What? response:	Here are your whitebait bowls.
context: Tamocchan!\Tamocchan?\Haru!\When did they become friends?\Tamocchan, how do you know Enoshima bowl?\How? I came up with it.\What?\Here are your whitebait bowls. response:	Thank you, Mari-chan.
context: Tamocchan?\Haru!\When did they become friends?\Tamocchan, how do you know Enoshima bowl?\How? I came up with it.\What?\Here are your whitebait bowls.\Thank you, Mari-chan. response:	Thanks for the food.
context: Haru!\When did they become friends?\Tamocchan, how do you know Enoshima bowl?\How? I came up with it.\What?\Here are your whitebait bowls.\Thank you, Mari-chan.\Thanks for the food. response:	I see.
context: When did they become friends?\Tamocchan, how do you know Enoshima bowl?\How? I came up with it.\What?\Here are your whitebait bowls.\Thank you, Mari-chan.\Thanks for the food.\I see. response:	The friends Natsuki's been teaching to fish are Haru and...
context: Tamocchan, how do you know Enoshima bowl?\How? I came up with it.\What?\Here are your whitebait bowls.\Thank you, Mari-chan.\Thanks for the food.\I see.\The friends Natsuki's been teaching to fish are Haru and... response:	Yuki.
