context: Akatsuki... response:	Where am I?
context: Akatsuki...\Where am I? response:	Where am I going?
context: Akatsuki...\Where am I?\Where am I going? response:	Come one, come all!
context: Akatsuki...\Where am I?\Where am I going?\Come one, come all! response:	If you don't buy one today, your Christmas cake...
context: Akatsuki...\Where am I?\Where am I going?\Come one, come all!\If you don't buy one today, your Christmas cake... response:	How about that? It turned into a plain old cake!
context: Akatsuki...\Where am I?\Where am I going?\Come one, come all!\If you don't buy one today, your Christmas cake...\How about that? It turned into a plain old cake! response:	It's hip with today's youth!
context: Akatsuki...\Where am I?\Where am I going?\Come one, come all!\If you don't buy one today, your Christmas cake...\How about that? It turned into a plain old cake!\It's hip with today's youth! response:	If you buy one now, it comes with a reindeer mask!
context: Akatsuki...\Where am I?\Where am I going?\Come one, come all!\If you don't buy one today, your Christmas cake...\How about that? It turned into a plain old cake!\It's hip with today's youth!\If you buy one now, it comes with a reindeer mask! response:	You there! Yes, you, beautiful!
context: Where am I?\Where am I going?\Come one, come all!\If you don't buy one today, your Christmas cake...\How about that? It turned into a plain old cake!\It's hip with today's youth!\If you buy one now, it comes with a reindeer mask!\You there! Yes, you, beautiful! response:	Damned adventurers...
context: Where am I going?\Come one, come all!\If you don't buy one today, your Christmas cake...\How about that? It turned into a plain old cake!\It's hip with today's youth!\If you buy one now, it comes with a reindeer mask!\You there! Yes, you, beautiful!\Damned adventurers... response:	A Lost Child at Dawn
context: Come one, come all!\If you don't buy one today, your Christmas cake...\How about that? It turned into a plain old cake!\It's hip with today's youth!\If you buy one now, it comes with a reindeer mask!\You there! Yes, you, beautiful!\Damned adventurers...\A Lost Child at Dawn response:	A Lost Child at Dawn.
context: If you don't buy one today, your Christmas cake...\How about that? It turned into a plain old cake!\It's hip with today's youth!\If you buy one now, it comes with a reindeer mask!\You there! Yes, you, beautiful!\Damned adventurers...\A Lost Child at Dawn\A Lost Child at Dawn. response:	There's no need to worry.
context: How about that? It turned into a plain old cake!\It's hip with today's youth!\If you buy one now, it comes with a reindeer mask!\You there! Yes, you, beautiful!\Damned adventurers...\A Lost Child at Dawn\A Lost Child at Dawn.\There's no need to worry. response:	When Akatsuki wakes up, Henrietta will contact us.
context: It's hip with today's youth!\If you buy one now, it comes with a reindeer mask!\You there! Yes, you, beautiful!\Damned adventurers...\A Lost Child at Dawn\A Lost Child at Dawn.\There's no need to worry.\When Akatsuki wakes up, Henrietta will contact us. response:	Yes...
context: If you buy one now, it comes with a reindeer mask!\You there! Yes, you, beautiful!\Damned adventurers...\A Lost Child at Dawn\A Lost Child at Dawn.\There's no need to worry.\When Akatsuki wakes up, Henrietta will contact us.\Yes... response:	Aren't you cold?
context: You there! Yes, you, beautiful!\Damned adventurers...\A Lost Child at Dawn\A Lost Child at Dawn.\There's no need to worry.\When Akatsuki wakes up, Henrietta will contact us.\Yes...\Aren't you cold? response:	You've been standing by the window for a while.
context: Damned adventurers...\A Lost Child at Dawn\A Lost Child at Dawn.\There's no need to worry.\When Akatsuki wakes up, Henrietta will contact us.\Yes...\Aren't you cold?\You've been standing by the window for a while. response:	You're right...
context: A Lost Child at Dawn\A Lost Child at Dawn.\There's no need to worry.\When Akatsuki wakes up, Henrietta will contact us.\Yes...\Aren't you cold?\You've been standing by the window for a while.\You're right... response:	Compared to where I used to live, it's cold here.
context: A Lost Child at Dawn.\There's no need to worry.\When Akatsuki wakes up, Henrietta will contact us.\Yes...\Aren't you cold?\You've been standing by the window for a while.\You're right...\Compared to where I used to live, it's cold here. response:	You weren't born in Akihabara?
context: There's no need to worry.\When Akatsuki wakes up, Henrietta will contact us.\Yes...\Aren't you cold?\You've been standing by the window for a while.\You're right...\Compared to where I used to live, it's cold here.\You weren't born in Akihabara? response:	No.
context: When Akatsuki wakes up, Henrietta will contact us.\Yes...\Aren't you cold?\You've been standing by the window for a while.\You're right...\Compared to where I used to live, it's cold here.\You weren't born in Akihabara?\No. response:	I was born in a town called Kiyose.
context: Yes...\Aren't you cold?\You've been standing by the window for a while.\You're right...\Compared to where I used to live, it's cold here.\You weren't born in Akihabara?\No.\I was born in a town called Kiyose. response:	In this world, it would be around Nobidome District.
context: Aren't you cold?\You've been standing by the window for a while.\You're right...\Compared to where I used to live, it's cold here.\You weren't born in Akihabara?\No.\I was born in a town called Kiyose.\In this world, it would be around Nobidome District. response:	You're not a noble, Rieze?
context: You've been standing by the window for a while.\You're right...\Compared to where I used to live, it's cold here.\You weren't born in Akihabara?\No.\I was born in a town called Kiyose.\In this world, it would be around Nobidome District.\You're not a noble, Rieze? response:	No, I'm not.
context: You're right...\Compared to where I used to live, it's cold here.\You weren't born in Akihabara?\No.\I was born in a town called Kiyose.\In this world, it would be around Nobidome District.\You're not a noble, Rieze?\No, I'm not. response:	I was born in a small, normal home.
context: Compared to where I used to live, it's cold here.\You weren't born in Akihabara?\No.\I was born in a town called Kiyose.\In this world, it would be around Nobidome District.\You're not a noble, Rieze?\No, I'm not.\I was born in a small, normal home. response:	I don't know anything, do I?
context: You weren't born in Akihabara?\No.\I was born in a town called Kiyose.\In this world, it would be around Nobidome District.\You're not a noble, Rieze?\No, I'm not.\I was born in a small, normal home.\I don't know anything, do I? response:	About you...
context: No.\I was born in a town called Kiyose.\In this world, it would be around Nobidome District.\You're not a noble, Rieze?\No, I'm not.\I was born in a small, normal home.\I don't know anything, do I?\About you... response:	No, about Akatsuki or Henrietta, either.
context: I was born in a town called Kiyose.\In this world, it would be around Nobidome District.\You're not a noble, Rieze?\No, I'm not.\I was born in a small, normal home.\I don't know anything, do I?\About you...\No, about Akatsuki or Henrietta, either. response:	Or Marielle.
context: In this world, it would be around Nobidome District.\You're not a noble, Rieze?\No, I'm not.\I was born in a small, normal home.\I don't know anything, do I?\About you...\No, about Akatsuki or Henrietta, either.\Or Marielle. response:	And...
context: You're not a noble, Rieze?\No, I'm not.\I was born in a small, normal home.\I don't know anything, do I?\About you...\No, about Akatsuki or Henrietta, either.\Or Marielle.\And... response:	And...
context: No, I'm not.\I was born in a small, normal home.\I don't know anything, do I?\About you...\No, about Akatsuki or Henrietta, either.\Or Marielle.\And...\And... response:	No.
context: I was born in a small, normal home.\I don't know anything, do I?\About you...\No, about Akatsuki or Henrietta, either.\Or Marielle.\And...\And...\No. response:	It's not that I didn't know.
context: I don't know anything, do I?\About you...\No, about Akatsuki or Henrietta, either.\Or Marielle.\And...\And...\No.\It's not that I didn't know. response:	It's that I never tried to know.
context: About you...\No, about Akatsuki or Henrietta, either.\Or Marielle.\And...\And...\No.\It's not that I didn't know.\It's that I never tried to know. response:	Not even about Crusty...
context: No, about Akatsuki or Henrietta, either.\Or Marielle.\And...\And...\No.\It's not that I didn't know.\It's that I never tried to know.\Not even about Crusty... response:	It's especially cold today.
context: Or Marielle.\And...\And...\No.\It's not that I didn't know.\It's that I never tried to know.\Not even about Crusty...\It's especially cold today. response:	In school, I was a good student.
context: And...\And...\No.\It's not that I didn't know.\It's that I never tried to know.\Not even about Crusty...\It's especially cold today.\In school, I was a good student. response:	The teachers loved me, and I was adept at my studies.
context: And...\No.\It's not that I didn't know.\It's that I never tried to know.\Not even about Crusty...\It's especially cold today.\In school, I was a good student.\The teachers loved me, and I was adept at my studies. response:	When I showed how clever I was, everyone praised me.
context: No.\It's not that I didn't know.\It's that I never tried to know.\Not even about Crusty...\It's especially cold today.\In school, I was a good student.\The teachers loved me, and I was adept at my studies.\When I showed how clever I was, everyone praised me. response:	I became skilled at it.
context: It's not that I didn't know.\It's that I never tried to know.\Not even about Crusty...\It's especially cold today.\In school, I was a good student.\The teachers loved me, and I was adept at my studies.\When I showed how clever I was, everyone praised me.\I became skilled at it. response:	In that sense,
context: It's that I never tried to know.\Not even about Crusty...\It's especially cold today.\In school, I was a good student.\The teachers loved me, and I was adept at my studies.\When I showed how clever I was, everyone praised me.\I became skilled at it.\In that sense, response:	I'm glad I joined D.D.D. when I came here.
context: Not even about Crusty...\It's especially cold today.\In school, I was a good student.\The teachers loved me, and I was adept at my studies.\When I showed how clever I was, everyone praised me.\I became skilled at it.\In that sense,\I'm glad I joined D.D.D. when I came here. response:	I met a lot of people,
context: It's especially cold today.\In school, I was a good student.\The teachers loved me, and I was adept at my studies.\When I showed how clever I was, everyone praised me.\I became skilled at it.\In that sense,\I'm glad I joined D.D.D. when I came here.\I met a lot of people, response:	and I was forced to realize that the only world I had ever tried to see was so small.
context: In school, I was a good student.\The teachers loved me, and I was adept at my studies.\When I showed how clever I was, everyone praised me.\I became skilled at it.\In that sense,\I'm glad I joined D.D.D. when I came here.\I met a lot of people,\and I was forced to realize that the only world I had ever tried to see was so small. response:	If I hadn't, I may have gone on like that forever, with something very important missing.
context: The teachers loved me, and I was adept at my studies.\When I showed how clever I was, everyone praised me.\I became skilled at it.\In that sense,\I'm glad I joined D.D.D. when I came here.\I met a lot of people,\and I was forced to realize that the only world I had ever tried to see was so small.\If I hadn't, I may have gone on like that forever, with something very important missing. response:	I was really on a bad path.
context: When I showed how clever I was, everyone praised me.\I became skilled at it.\In that sense,\I'm glad I joined D.D.D. when I came here.\I met a lot of people,\and I was forced to realize that the only world I had ever tried to see was so small.\If I hadn't, I may have gone on like that forever, with something very important missing.\I was really on a bad path. response:	Yes.
context: I became skilled at it.\In that sense,\I'm glad I joined D.D.D. when I came here.\I met a lot of people,\and I was forced to realize that the only world I had ever tried to see was so small.\If I hadn't, I may have gone on like that forever, with something very important missing.\I was really on a bad path.\Yes. response:	What's most important is always there, somewhere.
context: In that sense,\I'm glad I joined D.D.D. when I came here.\I met a lot of people,\and I was forced to realize that the only world I had ever tried to see was so small.\If I hadn't, I may have gone on like that forever, with something very important missing.\I was really on a bad path.\Yes.\What's most important is always there, somewhere. response:	And because it's important,
context: I'm glad I joined D.D.D. when I came here.\I met a lot of people,\and I was forced to realize that the only world I had ever tried to see was so small.\If I hadn't, I may have gone on like that forever, with something very important missing.\I was really on a bad path.\Yes.\What's most important is always there, somewhere.\And because it's important, response:	I think you need to treasure it.
context: I met a lot of people,\and I was forced to realize that the only world I had ever tried to see was so small.\If I hadn't, I may have gone on like that forever, with something very important missing.\I was really on a bad path.\Yes.\What's most important is always there, somewhere.\And because it's important,\I think you need to treasure it. response:	That's why I think I need...
context: and I was forced to realize that the only world I had ever tried to see was so small.\If I hadn't, I may have gone on like that forever, with something very important missing.\I was really on a bad path.\Yes.\What's most important is always there, somewhere.\And because it's important,\I think you need to treasure it.\That's why I think I need... response:	well, to be a princess.
context: If I hadn't, I may have gone on like that forever, with something very important missing.\I was really on a bad path.\Yes.\What's most important is always there, somewhere.\And because it's important,\I think you need to treasure it.\That's why I think I need...\well, to be a princess. response:	But I'm never good enough.
context: I was really on a bad path.\Yes.\What's most important is always there, somewhere.\And because it's important,\I think you need to treasure it.\That's why I think I need...\well, to be a princess.\But I'm never good enough. response:	So...
context: Yes.\What's most important is always there, somewhere.\And because it's important,\I think you need to treasure it.\That's why I think I need...\well, to be a princess.\But I'm never good enough.\So... response:	So I want to treat you properly, Rieze!
context: What's most important is always there, somewhere.\And because it's important,\I think you need to treasure it.\That's why I think I need...\well, to be a princess.\But I'm never good enough.\So...\So I want to treat you properly, Rieze! response:	Otherwise, I won't have the right to be treated kindly by you,
context: And because it's important,\I think you need to treasure it.\That's why I think I need...\well, to be a princess.\But I'm never good enough.\So...\So I want to treat you properly, Rieze!\Otherwise, I won't have the right to be treated kindly by you, response:	or to delude myself into thinking I'm protecting you.
context: I think you need to treasure it.\That's why I think I need...\well, to be a princess.\But I'm never good enough.\So...\So I want to treat you properly, Rieze!\Otherwise, I won't have the right to be treated kindly by you,\or to delude myself into thinking I'm protecting you. response:	Treat me properly?
