context: Even before the qualifier, there was something between us and Sabertooth, response:	but Natsu had to make it worse by slugging it out with them at their inn.
context: Even before the qualifier, there was something between us and Sabertooth,\but Natsu had to make it worse by slugging it out with them at their inn. response:	They started somethin' right when we were gettin' momentum...
context: Even before the qualifier, there was something between us and Sabertooth,\but Natsu had to make it worse by slugging it out with them at their inn.\They started somethin' right when we were gettin' momentum... response:	Jeez. You never think ahead!
context: Even before the qualifier, there was something between us and Sabertooth,\but Natsu had to make it worse by slugging it out with them at their inn.\They started somethin' right when we were gettin' momentum...\Jeez. You never think ahead! response:	By the way, it's almost the fourth day of the Grand Magic Games, right?
context: Even before the qualifier, there was something between us and Sabertooth,\but Natsu had to make it worse by slugging it out with them at their inn.\They started somethin' right when we were gettin' momentum...\Jeez. You never think ahead!\By the way, it's almost the fourth day of the Grand Magic Games, right? response:	Wendy got a tie,
context: Even before the qualifier, there was something between us and Sabertooth,\but Natsu had to make it worse by slugging it out with them at their inn.\They started somethin' right when we were gettin' momentum...\Jeez. You never think ahead!\By the way, it's almost the fourth day of the Grand Magic Games, right?\Wendy got a tie, response:	but Erza, Cana, and Laxus were awesome!
context: Even before the qualifier, there was something between us and Sabertooth,\but Natsu had to make it worse by slugging it out with them at their inn.\They started somethin' right when we were gettin' momentum...\Jeez. You never think ahead!\By the way, it's almost the fourth day of the Grand Magic Games, right?\Wendy got a tie,\but Erza, Cana, and Laxus were awesome! response:	I wonder what the next competition part will be.
context: Even before the qualifier, there was something between us and Sabertooth,\but Natsu had to make it worse by slugging it out with them at their inn.\They started somethin' right when we were gettin' momentum...\Jeez. You never think ahead!\By the way, it's almost the fourth day of the Grand Magic Games, right?\Wendy got a tie,\but Erza, Cana, and Laxus were awesome!\I wonder what the next competition part will be. response:	I've kind of got a bad feeling about this...
context: but Natsu had to make it worse by slugging it out with them at their inn.\They started somethin' right when we were gettin' momentum...\Jeez. You never think ahead!\By the way, it's almost the fourth day of the Grand Magic Games, right?\Wendy got a tie,\but Erza, Cana, and Laxus were awesome!\I wonder what the next competition part will be.\I've kind of got a bad feeling about this... response:	Cheers!
context: They started somethin' right when we were gettin' momentum...\Jeez. You never think ahead!\By the way, it's almost the fourth day of the Grand Magic Games, right?\Wendy got a tie,\but Erza, Cana, and Laxus were awesome!\I wonder what the next competition part will be.\I've kind of got a bad feeling about this...\Cheers! response:	Today felt great!
context: Jeez. You never think ahead!\By the way, it's almost the fourth day of the Grand Magic Games, right?\Wendy got a tie,\but Erza, Cana, and Laxus were awesome!\I wonder what the next competition part will be.\I've kind of got a bad feeling about this...\Cheers!\Today felt great! response:	Aye!
context: By the way, it's almost the fourth day of the Grand Magic Games, right?\Wendy got a tie,\but Erza, Cana, and Laxus were awesome!\I wonder what the next competition part will be.\I've kind of got a bad feeling about this...\Cheers!\Today felt great!\Aye! response:	This isn't the guild, so don't break anything!
context: Wendy got a tie,\but Erza, Cana, and Laxus were awesome!\I wonder what the next competition part will be.\I've kind of got a bad feeling about this...\Cheers!\Today felt great!\Aye!\This isn't the guild, so don't break anything! response:	Did you see my true power out there?
context: but Erza, Cana, and Laxus were awesome!\I wonder what the next competition part will be.\I've kind of got a bad feeling about this...\Cheers!\Today felt great!\Aye!\This isn't the guild, so don't break anything!\Did you see my true power out there? response:	That was a cheat, wasn't it?
