context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, make sure to keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright, response:	and sit back from the screen,'kay?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay? response:	Gray Fullbuster...
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Gray Fullbuster... response:	You are far stronger than the information I gathered would imply...
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Gray Fullbuster...\You are far stronger than the information I gathered would imply... response:	Gray!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Gray Fullbuster...\You are far stronger than the information I gathered would imply...\Gray! response:	I have to hurry and...
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Gray Fullbuster...\You are far stronger than the information I gathered would imply...\Gray!\I have to hurry and... response:	Gray, hang in there!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Gray Fullbuster...\You are far stronger than the information I gathered would imply...\Gray!\I have to hurry and...\Gray, hang in there! response:	Or perhaps his feelings for his friends strengthened his magical powers?
context: When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Gray Fullbuster...\You are far stronger than the information I gathered would imply...\Gray!\I have to hurry and...\Gray, hang in there!\Or perhaps his feelings for his friends strengthened his magical powers? response:	Natsu, wake up!
context: and sit back from the screen,'kay?\Gray Fullbuster...\You are far stronger than the information I gathered would imply...\Gray!\I have to hurry and...\Gray, hang in there!\Or perhaps his feelings for his friends strengthened his magical powers?\Natsu, wake up! response:	The world is spinning...
context: Gray Fullbuster...\You are far stronger than the information I gathered would imply...\Gray!\I have to hurry and...\Gray, hang in there!\Or perhaps his feelings for his friends strengthened his magical powers?\Natsu, wake up!\The world is spinning... response:	You joined a splendid guild, Erza...
context: You are far stronger than the information I gathered would imply...\Gray!\I have to hurry and...\Gray, hang in there!\Or perhaps his feelings for his friends strengthened his magical powers?\Natsu, wake up!\The world is spinning...\You joined a splendid guild, Erza... response:	Destiny!
context: Gray!\I have to hurry and...\Gray, hang in there!\Or perhaps his feelings for his friends strengthened his magical powers?\Natsu, wake up!\The world is spinning...\You joined a splendid guild, Erza...\Destiny! response:	Charging towers are in place!
context: I have to hurry and...\Gray, hang in there!\Or perhaps his feelings for his friends strengthened his magical powers?\Natsu, wake up!\The world is spinning...\You joined a splendid guild, Erza...\Destiny!\Charging towers are in place! response:	No anomalies!
context: Gray, hang in there!\Or perhaps his feelings for his friends strengthened his magical powers?\Natsu, wake up!\The world is spinning...\You joined a splendid guild, Erza...\Destiny!\Charging towers are in place!\No anomalies! response:	Activating transference lacrima!
context: Or perhaps his feelings for his friends strengthened his magical powers?\Natsu, wake up!\The world is spinning...\You joined a splendid guild, Erza...\Destiny!\Charging towers are in place!\No anomalies!\Activating transference lacrima! response:	Preparing magic power compressors!
context: Natsu, wake up!\The world is spinning...\You joined a splendid guild, Erza...\Destiny!\Charging towers are in place!\No anomalies!\Activating transference lacrima!\Preparing magic power compressors! response:	Beginning target status updates!
context: The world is spinning...\You joined a splendid guild, Erza...\Destiny!\Charging towers are in place!\No anomalies!\Activating transference lacrima!\Preparing magic power compressors!\Beginning target status updates! response:	Space-time coordinates set!
context: You joined a splendid guild, Erza...\Destiny!\Charging towers are in place!\No anomalies!\Activating transference lacrima!\Preparing magic power compressors!\Beginning target status updates!\Space-time coordinates set! response:	Shall we charge the elements?
context: Destiny!\Charging towers are in place!\No anomalies!\Activating transference lacrima!\Preparing magic power compressors!\Beginning target status updates!\Space-time coordinates set!\Shall we charge the elements? response:	Wait until merger is complete!
context: Charging towers are in place!\No anomalies!\Activating transference lacrima!\Preparing magic power compressors!\Beginning target status updates!\Space-time coordinates set!\Shall we charge the elements?\Wait until merger is complete! response:	Hurry calculating the compression!
context: No anomalies!\Activating transference lacrima!\Preparing magic power compressors!\Beginning target status updates!\Space-time coordinates set!\Shall we charge the elements?\Wait until merger is complete!\Hurry calculating the compression! response:	Satellite Square, prepare for transfer!
context: Activating transference lacrima!\Preparing magic power compressors!\Beginning target status updates!\Space-time coordinates set!\Shall we charge the elements?\Wait until merger is complete!\Hurry calculating the compression!\Satellite Square, prepare for transfer! response:	Preliminary movement, check!
context: Preparing magic power compressors!\Beginning target status updates!\Space-time coordinates set!\Shall we charge the elements?\Wait until merger is complete!\Hurry calculating the compression!\Satellite Square, prepare for transfer!\Preliminary movement, check! response:	Beginning elemental merger!
context: Beginning target status updates!\Space-time coordinates set!\Shall we charge the elements?\Wait until merger is complete!\Hurry calculating the compression!\Satellite Square, prepare for transfer!\Preliminary movement, check!\Beginning elemental merger! response:	Mountain's effect on wavelength, large!
context: Space-time coordinates set!\Shall we charge the elements?\Wait until merger is complete!\Hurry calculating the compression!\Satellite Square, prepare for transfer!\Preliminary movement, check!\Beginning elemental merger!\Mountain's effect on wavelength, large! response:	Recalculating space-time coordinates!
context: Shall we charge the elements?\Wait until merger is complete!\Hurry calculating the compression!\Satellite Square, prepare for transfer!\Preliminary movement, check!\Beginning elemental merger!\Mountain's effect on wavelength, large!\Recalculating space-time coordinates! response:	It's no use... I can't move a finger...
context: Wait until merger is complete!\Hurry calculating the compression!\Satellite Square, prepare for transfer!\Preliminary movement, check!\Beginning elemental merger!\Mountain's effect on wavelength, large!\Recalculating space-time coordinates!\It's no use... I can't move a finger... response:	I guess I used up too much of my magical power.
context: Hurry calculating the compression!\Satellite Square, prepare for transfer!\Preliminary movement, check!\Beginning elemental merger!\Mountain's effect on wavelength, large!\Recalculating space-time coordinates!\It's no use... I can't move a finger...\I guess I used up too much of my magical power. response:	It doesn't look like Juvia can move either.
context: Satellite Square, prepare for transfer!\Preliminary movement, check!\Beginning elemental merger!\Mountain's effect on wavelength, large!\Recalculating space-time coordinates!\It's no use... I can't move a finger...\I guess I used up too much of my magical power.\It doesn't look like Juvia can move either. response:	What are we going to do?
context: Preliminary movement, check!\Beginning elemental merger!\Mountain's effect on wavelength, large!\Recalculating space-time coordinates!\It's no use... I can't move a finger...\I guess I used up too much of my magical power.\It doesn't look like Juvia can move either.\What are we going to do? response:	We had our butts licked good...
context: Beginning elemental merger!\Mountain's effect on wavelength, large!\Recalculating space-time coordinates!\It's no use... I can't move a finger...\I guess I used up too much of my magical power.\It doesn't look like Juvia can move either.\What are we going to do?\We had our butts licked good... response:	Oh, someone's collapsed over there.
context: Mountain's effect on wavelength, large!\Recalculating space-time coordinates!\It's no use... I can't move a finger...\I guess I used up too much of my magical power.\It doesn't look like Juvia can move either.\What are we going to do?\We had our butts licked good...\Oh, someone's collapsed over there. response:	That voice!
context: Recalculating space-time coordinates!\It's no use... I can't move a finger...\I guess I used up too much of my magical power.\It doesn't look like Juvia can move either.\What are we going to do?\We had our butts licked good...\Oh, someone's collapsed over there.\That voice! response:	I found you.
context: It's no use... I can't move a finger...\I guess I used up too much of my magical power.\It doesn't look like Juvia can move either.\What are we going to do?\We had our butts licked good...\Oh, someone's collapsed over there.\That voice!\I found you. response:	Wait, we're not enemies anymore!
context: I guess I used up too much of my magical power.\It doesn't look like Juvia can move either.\What are we going to do?\We had our butts licked good...\Oh, someone's collapsed over there.\That voice!\I found you.\Wait, we're not enemies anymore! response:	Magical power 60 charged!
context: It doesn't look like Juvia can move either.\What are we going to do?\We had our butts licked good...\Oh, someone's collapsed over there.\That voice!\I found you.\Wait, we're not enemies anymore!\Magical power 60 charged! response:	Etherion elements 47 merged!
context: What are we going to do?\We had our butts licked good...\Oh, someone's collapsed over there.\That voice!\I found you.\Wait, we're not enemies anymore!\Magical power 60 charged!\Etherion elements 47 merged! response:	27 minutes until arrival above target!
context: We had our butts licked good...\Oh, someone's collapsed over there.\That voice!\I found you.\Wait, we're not enemies anymore!\Magical power 60 charged!\Etherion elements 47 merged!\27 minutes until arrival above target! response:	To think we'd be pressured into this course of action
context: Oh, someone's collapsed over there.\That voice!\I found you.\Wait, we're not enemies anymore!\Magical power 60 charged!\Etherion elements 47 merged!\27 minutes until arrival above target!\To think we'd be pressured into this course of action response:	while the Council Chair is ailing...
context: That voice!\I found you.\Wait, we're not enemies anymore!\Magical power 60 charged!\Etherion elements 47 merged!\27 minutes until arrival above target!\To think we'd be pressured into this course of action\while the Council Chair is ailing... response:	It cannot be helped.
context: I found you.\Wait, we're not enemies anymore!\Magical power 60 charged!\Etherion elements 47 merged!\27 minutes until arrival above target!\To think we'd be pressured into this course of action\while the Council Chair is ailing...\It cannot be helped. response:	While the Chair is absent, it is us 9 who are responsible for the stability of the magical world.
context: Wait, we're not enemies anymore!\Magical power 60 charged!\Etherion elements 47 merged!\27 minutes until arrival above target!\To think we'd be pressured into this course of action\while the Council Chair is ailing...\It cannot be helped.\While the Chair is absent, it is us 9 who are responsible for the stability of the magical world. response:	Do not worry so much, Org.
context: Magical power 60 charged!\Etherion elements 47 merged!\27 minutes until arrival above target!\To think we'd be pressured into this course of action\while the Council Chair is ailing...\It cannot be helped.\While the Chair is absent, it is us 9 who are responsible for the stability of the magical world.\Do not worry so much, Org. response:	Even if we are attacking another country with magic unprovoked,
context: Etherion elements 47 merged!\27 minutes until arrival above target!\To think we'd be pressured into this course of action\while the Council Chair is ailing...\It cannot be helped.\While the Chair is absent, it is us 9 who are responsible for the stability of the magical world.\Do not worry so much, Org.\Even if we are attacking another country with magic unprovoked, response:	we can justify it under clause 27, paragraph 4 of the National Security and Safety Act!
context: 27 minutes until arrival above target!\To think we'd be pressured into this course of action\while the Council Chair is ailing...\It cannot be helped.\While the Chair is absent, it is us 9 who are responsible for the stability of the magical world.\Do not worry so much, Org.\Even if we are attacking another country with magic unprovoked,\we can justify it under clause 27, paragraph 4 of the National Security and Safety Act! response:	This isn't a matter of law.
context: To think we'd be pressured into this course of action\while the Council Chair is ailing...\It cannot be helped.\While the Chair is absent, it is us 9 who are responsible for the stability of the magical world.\Do not worry so much, Org.\Even if we are attacking another country with magic unprovoked,\we can justify it under clause 27, paragraph 4 of the National Security and Safety Act!\This isn't a matter of law. response:	We are about to fire Etherion.
context: while the Council Chair is ailing...\It cannot be helped.\While the Chair is absent, it is us 9 who are responsible for the stability of the magical world.\Do not worry so much, Org.\Even if we are attacking another country with magic unprovoked,\we can justify it under clause 27, paragraph 4 of the National Security and Safety Act!\This isn't a matter of law.\We are about to fire Etherion. response:	We're doing evil!
context: It cannot be helped.\While the Chair is absent, it is us 9 who are responsible for the stability of the magical world.\Do not worry so much, Org.\Even if we are attacking another country with magic unprovoked,\we can justify it under clause 27, paragraph 4 of the National Security and Safety Act!\This isn't a matter of law.\We are about to fire Etherion.\We're doing evil! response:	It's Zeref who is the true evil here.
context: While the Chair is absent, it is us 9 who are responsible for the stability of the magical world.\Do not worry so much, Org.\Even if we are attacking another country with magic unprovoked,\we can justify it under clause 27, paragraph 4 of the National Security and Safety Act!\This isn't a matter of law.\We are about to fire Etherion.\We're doing evil!\It's Zeref who is the true evil here. response:	We can only pray that Etherion will be our saving grace and destroy Zaref!
context: Do not worry so much, Org.\Even if we are attacking another country with magic unprovoked,\we can justify it under clause 27, paragraph 4 of the National Security and Safety Act!\This isn't a matter of law.\We are about to fire Etherion.\We're doing evil!\It's Zeref who is the true evil here.\We can only pray that Etherion will be our saving grace and destroy Zaref! response:	It won't be long, Lord Sieg...
context: Even if we are attacking another country with magic unprovoked,\we can justify it under clause 27, paragraph 4 of the National Security and Safety Act!\This isn't a matter of law.\We are about to fire Etherion.\We're doing evil!\It's Zeref who is the true evil here.\We can only pray that Etherion will be our saving grace and destroy Zaref!\It won't be long, Lord Sieg... response:	Yes.
context: we can justify it under clause 27, paragraph 4 of the National Security and Safety Act!\This isn't a matter of law.\We are about to fire Etherion.\We're doing evil!\It's Zeref who is the true evil here.\We can only pray that Etherion will be our saving grace and destroy Zaref!\It won't be long, Lord Sieg...\Yes. response:	The dream you've had for 8 years will become a reality.
context: This isn't a matter of law.\We are about to fire Etherion.\We're doing evil!\It's Zeref who is the true evil here.\We can only pray that Etherion will be our saving grace and destroy Zaref!\It won't be long, Lord Sieg...\Yes.\The dream you've had for 8 years will become a reality. response:	Are you not afraid, Ultear?
context: We are about to fire Etherion.\We're doing evil!\It's Zeref who is the true evil here.\We can only pray that Etherion will be our saving grace and destroy Zaref!\It won't be long, Lord Sieg...\Yes.\The dream you've had for 8 years will become a reality.\Are you not afraid, Ultear? response:	No, not even a little.
context: We're doing evil!\It's Zeref who is the true evil here.\We can only pray that Etherion will be our saving grace and destroy Zaref!\It won't be long, Lord Sieg...\Yes.\The dream you've had for 8 years will become a reality.\Are you not afraid, Ultear?\No, not even a little. response:	Because I always have complete faith in you, Lord Sieg.
