context: I, Asseylum Vers Allusia, response:	will take Count Slaine Saazbaum Troyard as my husband,
context: I, Asseylum Vers Allusia,\will take Count Slaine Saazbaum Troyard as my husband, response:	and proclaim that I shall create a new kingdom here in Earthspace.
context: I, Asseylum Vers Allusia,\will take Count Slaine Saazbaum Troyard as my husband,\and proclaim that I shall create a new kingdom here in Earthspace. response:	At this time, in spite of the best efforts of you daring and resolute knights,
context: I, Asseylum Vers Allusia,\will take Count Slaine Saazbaum Troyard as my husband,\and proclaim that I shall create a new kingdom here in Earthspace.\At this time, in spite of the best efforts of you daring and resolute knights, response:	this war is giving every indication that it will become protracted.
context: I, Asseylum Vers Allusia,\will take Count Slaine Saazbaum Troyard as my husband,\and proclaim that I shall create a new kingdom here in Earthspace.\At this time, in spite of the best efforts of you daring and resolute knights,\this war is giving every indication that it will become protracted. response:	With matters having come to this, what should our course of action be?
context: I, Asseylum Vers Allusia,\will take Count Slaine Saazbaum Troyard as my husband,\and proclaim that I shall create a new kingdom here in Earthspace.\At this time, in spite of the best efforts of you daring and resolute knights,\this war is giving every indication that it will become protracted.\With matters having come to this, what should our course of action be? response:	Is this a time for Orbital Knights to squabble among themselves?
context: I, Asseylum Vers Allusia,\will take Count Slaine Saazbaum Troyard as my husband,\and proclaim that I shall create a new kingdom here in Earthspace.\At this time, in spite of the best efforts of you daring and resolute knights,\this war is giving every indication that it will become protracted.\With matters having come to this, what should our course of action be?\Is this a time for Orbital Knights to squabble among themselves? response:	Is it a time to compete for one's own glory?
context: I, Asseylum Vers Allusia,\will take Count Slaine Saazbaum Troyard as my husband,\and proclaim that I shall create a new kingdom here in Earthspace.\At this time, in spite of the best efforts of you daring and resolute knights,\this war is giving every indication that it will become protracted.\With matters having come to this, what should our course of action be?\Is this a time for Orbital Knights to squabble among themselves?\Is it a time to compete for one's own glory? response:	The time has come for us to gather under one flag and fight together for the future of Vers.
context: will take Count Slaine Saazbaum Troyard as my husband,\and proclaim that I shall create a new kingdom here in Earthspace.\At this time, in spite of the best efforts of you daring and resolute knights,\this war is giving every indication that it will become protracted.\With matters having come to this, what should our course of action be?\Is this a time for Orbital Knights to squabble among themselves?\Is it a time to compete for one's own glory?\The time has come for us to gather under one flag and fight together for the future of Vers. response:	I have delegated all of my authority to the lord of this newly empowered castle,
context: and proclaim that I shall create a new kingdom here in Earthspace.\At this time, in spite of the best efforts of you daring and resolute knights,\this war is giving every indication that it will become protracted.\With matters having come to this, what should our course of action be?\Is this a time for Orbital Knights to squabble among themselves?\Is it a time to compete for one's own glory?\The time has come for us to gather under one flag and fight together for the future of Vers.\I have delegated all of my authority to the lord of this newly empowered castle, response:	and my future consort, Count Troyard.
context: At this time, in spite of the best efforts of you daring and resolute knights,\this war is giving every indication that it will become protracted.\With matters having come to this, what should our course of action be?\Is this a time for Orbital Knights to squabble among themselves?\Is it a time to compete for one's own glory?\The time has come for us to gather under one flag and fight together for the future of Vers.\I have delegated all of my authority to the lord of this newly empowered castle,\and my future consort, Count Troyard. response:	This includes the right to decide upon whom to bestow the power to awaken Aldnoah.
context: this war is giving every indication that it will become protracted.\With matters having come to this, what should our course of action be?\Is this a time for Orbital Knights to squabble among themselves?\Is it a time to compete for one's own glory?\The time has come for us to gather under one flag and fight together for the future of Vers.\I have delegated all of my authority to the lord of this newly empowered castle,\and my future consort, Count Troyard.\This includes the right to decide upon whom to bestow the power to awaken Aldnoah. response:	Until the day comes when we achieve victory in this war,
context: With matters having come to this, what should our course of action be?\Is this a time for Orbital Knights to squabble among themselves?\Is it a time to compete for one's own glory?\The time has come for us to gather under one flag and fight together for the future of Vers.\I have delegated all of my authority to the lord of this newly empowered castle,\and my future consort, Count Troyard.\This includes the right to decide upon whom to bestow the power to awaken Aldnoah.\Until the day comes when we achieve victory in this war, response:	it is my heartfelt wish that you think of Count Troyard's words as my own
context: Is this a time for Orbital Knights to squabble among themselves?\Is it a time to compete for one's own glory?\The time has come for us to gather under one flag and fight together for the future of Vers.\I have delegated all of my authority to the lord of this newly empowered castle,\and my future consort, Count Troyard.\This includes the right to decide upon whom to bestow the power to awaken Aldnoah.\Until the day comes when we achieve victory in this war,\it is my heartfelt wish that you think of Count Troyard's words as my own response:	and rally to his side.
context: Is it a time to compete for one's own glory?\The time has come for us to gather under one flag and fight together for the future of Vers.\I have delegated all of my authority to the lord of this newly empowered castle,\and my future consort, Count Troyard.\This includes the right to decide upon whom to bestow the power to awaken Aldnoah.\Until the day comes when we achieve victory in this war,\it is my heartfelt wish that you think of Count Troyard's words as my own\and rally to his side. response:	All that we do, we do for Vers!
context: The time has come for us to gather under one flag and fight together for the future of Vers.\I have delegated all of my authority to the lord of this newly empowered castle,\and my future consort, Count Troyard.\This includes the right to decide upon whom to bestow the power to awaken Aldnoah.\Until the day comes when we achieve victory in this war,\it is my heartfelt wish that you think of Count Troyard's words as my own\and rally to his side.\All that we do, we do for Vers! response:	The battle against Earth continues to prove difficult, I see.
context: I have delegated all of my authority to the lord of this newly empowered castle,\and my future consort, Count Troyard.\This includes the right to decide upon whom to bestow the power to awaken Aldnoah.\Until the day comes when we achieve victory in this war,\it is my heartfelt wish that you think of Count Troyard's words as my own\and rally to his side.\All that we do, we do for Vers!\The battle against Earth continues to prove difficult, I see. response:	Yes, Milord. But to those knights who are anxious regarding this situation,
context: and my future consort, Count Troyard.\This includes the right to decide upon whom to bestow the power to awaken Aldnoah.\Until the day comes when we achieve victory in this war,\it is my heartfelt wish that you think of Count Troyard's words as my own\and rally to his side.\All that we do, we do for Vers!\The battle against Earth continues to prove difficult, I see.\Yes, Milord. But to those knights who are anxious regarding this situation, response:	Her Highness's words must have been akin to divine revelation.
context: This includes the right to decide upon whom to bestow the power to awaken Aldnoah.\Until the day comes when we achieve victory in this war,\it is my heartfelt wish that you think of Count Troyard's words as my own\and rally to his side.\All that we do, we do for Vers!\The battle against Earth continues to prove difficult, I see.\Yes, Milord. But to those knights who are anxious regarding this situation,\Her Highness's words must have been akin to divine revelation. response:	Divine revelation?
context: Until the day comes when we achieve victory in this war,\it is my heartfelt wish that you think of Count Troyard's words as my own\and rally to his side.\All that we do, we do for Vers!\The battle against Earth continues to prove difficult, I see.\Yes, Milord. But to those knights who are anxious regarding this situation,\Her Highness's words must have been akin to divine revelation.\Divine revelation? response:	Everyone knows that she was only able to issue that proclamation because of you.
context: it is my heartfelt wish that you think of Count Troyard's words as my own\and rally to his side.\All that we do, we do for Vers!\The battle against Earth continues to prove difficult, I see.\Yes, Milord. But to those knights who are anxious regarding this situation,\Her Highness's words must have been akin to divine revelation.\Divine revelation?\Everyone knows that she was only able to issue that proclamation because of you. response:	To the knights who are unhappy about the present state of affairs,
