context: Ladies and gentlemen, good evening. response:	My friend invited three families to his villa, where a forbidden past lay dormant.
context: Ladies and gentlemen, good evening.\My friend invited three families to his villa, where a forbidden past lay dormant. response:	When that soul which had been interred there returned to life,
context: Ladies and gentlemen, good evening.\My friend invited three families to his villa, where a forbidden past lay dormant.\When that soul which had been interred there returned to life, response:	Act 9: I Dreamed A Dark Dream
context: Ladies and gentlemen, good evening.\My friend invited three families to his villa, where a forbidden past lay dormant.\When that soul which had been interred there returned to life,\Act 9: I Dreamed A Dark Dream response:	Somebody!
context: Ladies and gentlemen, good evening.\My friend invited three families to his villa, where a forbidden past lay dormant.\When that soul which had been interred there returned to life,\Act 9: I Dreamed A Dark Dream\Somebody! response:	Somebody, send for a doctor!
context: Ladies and gentlemen, good evening.\My friend invited three families to his villa, where a forbidden past lay dormant.\When that soul which had been interred there returned to life,\Act 9: I Dreamed A Dark Dream\Somebody!\Somebody, send for a doctor! response:	What's the matter?
context: Ladies and gentlemen, good evening.\My friend invited three families to his villa, where a forbidden past lay dormant.\When that soul which had been interred there returned to life,\Act 9: I Dreamed A Dark Dream\Somebody!\Somebody, send for a doctor!\What's the matter? response:	It's Madame Danglars!
context: Ladies and gentlemen, good evening.\My friend invited three families to his villa, where a forbidden past lay dormant.\When that soul which had been interred there returned to life,\Act 9: I Dreamed A Dark Dream\Somebody!\Somebody, send for a doctor!\What's the matter?\It's Madame Danglars! response:	She's collapsed!
context: My friend invited three families to his villa, where a forbidden past lay dormant.\When that soul which had been interred there returned to life,\Act 9: I Dreamed A Dark Dream\Somebody!\Somebody, send for a doctor!\What's the matter?\It's Madame Danglars!\She's collapsed! response:	What the hell are you after?!
context: When that soul which had been interred there returned to life,\Act 9: I Dreamed A Dark Dream\Somebody!\Somebody, send for a doctor!\What's the matter?\It's Madame Danglars!\She's collapsed!\What the hell are you after?! response:	What's your game?!
context: Act 9: I Dreamed A Dark Dream\Somebody!\Somebody, send for a doctor!\What's the matter?\It's Madame Danglars!\She's collapsed!\What the hell are you after?!\What's your game?! response:	Surely you jest. My only goal is to have my guests enjoy the party.
context: Somebody!\Somebody, send for a doctor!\What's the matter?\It's Madame Danglars!\She's collapsed!\What the hell are you after?!\What's your game?!\Surely you jest. My only goal is to have my guests enjoy the party. response:	You've gone too far! This manor was originally owned by my father-in-law.
context: Somebody, send for a doctor!\What's the matter?\It's Madame Danglars!\She's collapsed!\What the hell are you after?!\What's your game?!\Surely you jest. My only goal is to have my guests enjoy the party.\You've gone too far! This manor was originally owned by my father-in-law. response:	If you're deliberately trying to insult me, I'll make you regret it!
context: What's the matter?\It's Madame Danglars!\She's collapsed!\What the hell are you after?!\What's your game?!\Surely you jest. My only goal is to have my guests enjoy the party.\You've gone too far! This manor was originally owned by my father-in-law.\If you're deliberately trying to insult me, I'll make you regret it! response:	Even though I was unaware of that fact, I have indeed been most rude.
context: It's Madame Danglars!\She's collapsed!\What the hell are you after?!\What's your game?!\Surely you jest. My only goal is to have my guests enjoy the party.\You've gone too far! This manor was originally owned by my father-in-law.\If you're deliberately trying to insult me, I'll make you regret it!\Even though I was unaware of that fact, I have indeed been most rude. response:	Still, this is a most fascinating,
context: She's collapsed!\What the hell are you after?!\What's your game?!\Surely you jest. My only goal is to have my guests enjoy the party.\You've gone too far! This manor was originally owned by my father-in-law.\If you're deliberately trying to insult me, I'll make you regret it!\Even though I was unaware of that fact, I have indeed been most rude.\Still, this is a most fascinating, response:	Which means, then, that this place is as familiar to you as the back of your hand.
context: What the hell are you after?!\What's your game?!\Surely you jest. My only goal is to have my guests enjoy the party.\You've gone too far! This manor was originally owned by my father-in-law.\If you're deliberately trying to insult me, I'll make you regret it!\Even though I was unaware of that fact, I have indeed been most rude.\Still, this is a most fascinating,\Which means, then, that this place is as familiar to you as the back of your hand. response:	In which case, my little entertainment was unfair from the very beginning.
context: What's your game?!\Surely you jest. My only goal is to have my guests enjoy the party.\You've gone too far! This manor was originally owned by my father-in-law.\If you're deliberately trying to insult me, I'll make you regret it!\Even though I was unaware of that fact, I have indeed been most rude.\Still, this is a most fascinating,\Which means, then, that this place is as familiar to you as the back of your hand.\In which case, my little entertainment was unfair from the very beginning. response:	This simply won't do. Shall we start over and try it again?
context: Surely you jest. My only goal is to have my guests enjoy the party.\You've gone too far! This manor was originally owned by my father-in-law.\If you're deliberately trying to insult me, I'll make you regret it!\Even though I was unaware of that fact, I have indeed been most rude.\Still, this is a most fascinating,\Which means, then, that this place is as familiar to you as the back of your hand.\In which case, my little entertainment was unfair from the very beginning.\This simply won't do. Shall we start over and try it again? response:	What in the world happened, Albert?
context: You've gone too far! This manor was originally owned by my father-in-law.\If you're deliberately trying to insult me, I'll make you regret it!\Even though I was unaware of that fact, I have indeed been most rude.\Still, this is a most fascinating,\Which means, then, that this place is as familiar to you as the back of your hand.\In which case, my little entertainment was unfair from the very beginning.\This simply won't do. Shall we start over and try it again?\What in the world happened, Albert? response:	I'm not really sure.
context: If you're deliberately trying to insult me, I'll make you regret it!\Even though I was unaware of that fact, I have indeed been most rude.\Still, this is a most fascinating,\Which means, then, that this place is as familiar to you as the back of your hand.\In which case, my little entertainment was unfair from the very beginning.\This simply won't do. Shall we start over and try it again?\What in the world happened, Albert?\I'm not really sure. response:	As part of the game, I was about to give Madame Victoria the box with the prize in it,
context: Even though I was unaware of that fact, I have indeed been most rude.\Still, this is a most fascinating,\Which means, then, that this place is as familiar to you as the back of your hand.\In which case, my little entertainment was unfair from the very beginning.\This simply won't do. Shall we start over and try it again?\What in the world happened, Albert?\I'm not really sure.\As part of the game, I was about to give Madame Victoria the box with the prize in it, response:	What in the world made her faint?
context: Still, this is a most fascinating,\Which means, then, that this place is as familiar to you as the back of your hand.\In which case, my little entertainment was unfair from the very beginning.\This simply won't do. Shall we start over and try it again?\What in the world happened, Albert?\I'm not really sure.\As part of the game, I was about to give Madame Victoria the box with the prize in it,\What in the world made her faint? response:	H-How can this be?
context: Which means, then, that this place is as familiar to you as the back of your hand.\In which case, my little entertainment was unfair from the very beginning.\This simply won't do. Shall we start over and try it again?\What in the world happened, Albert?\I'm not really sure.\As part of the game, I was about to give Madame Victoria the box with the prize in it,\What in the world made her faint?\H-How can this be? response:	Dear boy, forgive me...
context: In which case, my little entertainment was unfair from the very beginning.\This simply won't do. Shall we start over and try it again?\What in the world happened, Albert?\I'm not really sure.\As part of the game, I was about to give Madame Victoria the box with the prize in it,\What in the world made her faint?\H-How can this be?\Dear boy, forgive me... response:	It seems to be a case of anemia. It is nothing serious.
context: This simply won't do. Shall we start over and try it again?\What in the world happened, Albert?\I'm not really sure.\As part of the game, I was about to give Madame Victoria the box with the prize in it,\What in the world made her faint?\H-How can this be?\Dear boy, forgive me...\It seems to be a case of anemia. It is nothing serious. response:	I'll ask you again. Who ARE you?
context: What in the world happened, Albert?\I'm not really sure.\As part of the game, I was about to give Madame Victoria the box with the prize in it,\What in the world made her faint?\H-How can this be?\Dear boy, forgive me...\It seems to be a case of anemia. It is nothing serious.\I'll ask you again. Who ARE you? response:	Exactly what do you know?
context: I'm not really sure.\As part of the game, I was about to give Madame Victoria the box with the prize in it,\What in the world made her faint?\H-How can this be?\Dear boy, forgive me...\It seems to be a case of anemia. It is nothing serious.\I'll ask you again. Who ARE you?\Exactly what do you know? response:	Your life depends on your answer.
context: As part of the game, I was about to give Madame Victoria the box with the prize in it,\What in the world made her faint?\H-How can this be?\Dear boy, forgive me...\It seems to be a case of anemia. It is nothing serious.\I'll ask you again. Who ARE you?\Exactly what do you know?\Your life depends on your answer. response:	Answer me!
context: What in the world made her faint?\H-How can this be?\Dear boy, forgive me...\It seems to be a case of anemia. It is nothing serious.\I'll ask you again. Who ARE you?\Exactly what do you know?\Your life depends on your answer.\Answer me! response:	I am but a poor bumpkin who has come from the far reaches of Eastern Space.
context: H-How can this be?\Dear boy, forgive me...\It seems to be a case of anemia. It is nothing serious.\I'll ask you again. Who ARE you?\Exactly what do you know?\Your life depends on your answer.\Answer me!\I am but a poor bumpkin who has come from the far reaches of Eastern Space. response:	Other than that, I have no past which is worth speaking of.
context: Dear boy, forgive me...\It seems to be a case of anemia. It is nothing serious.\I'll ask you again. Who ARE you?\Exactly what do you know?\Your life depends on your answer.\Answer me!\I am but a poor bumpkin who has come from the far reaches of Eastern Space.\Other than that, I have no past which is worth speaking of. response:	None at all.
context: It seems to be a case of anemia. It is nothing serious.\I'll ask you again. Who ARE you?\Exactly what do you know?\Your life depends on your answer.\Answer me!\I am but a poor bumpkin who has come from the far reaches of Eastern Space.\Other than that, I have no past which is worth speaking of.\None at all. response:	Victoria!
context: I'll ask you again. Who ARE you?\Exactly what do you know?\Your life depends on your answer.\Answer me!\I am but a poor bumpkin who has come from the far reaches of Eastern Space.\Other than that, I have no past which is worth speaking of.\None at all.\Victoria! response:	Victoria! What's happened to her?!
