context: Inspector Tsunemori, take Masaoka and go look for Kougami. response:	Kagari, Kunizuka and I will split up in order to find and destroy the source of the signal interference.
context: Inspector Tsunemori, take Masaoka and go look for Kougami.\Kagari, Kunizuka and I will split up in order to find and destroy the source of the signal interference. response:	Okay.
context: Inspector Tsunemori, take Masaoka and go look for Kougami.\Kagari, Kunizuka and I will split up in order to find and destroy the source of the signal interference.\Okay. response:	To be honest, I have no idea what's going on at all.
context: Inspector Tsunemori, take Masaoka and go look for Kougami.\Kagari, Kunizuka and I will split up in order to find and destroy the source of the signal interference.\Okay.\To be honest, I have no idea what's going on at all. response:	Strong interference, an underground area that our records say doesn't exist,
context: Inspector Tsunemori, take Masaoka and go look for Kougami.\Kagari, Kunizuka and I will split up in order to find and destroy the source of the signal interference.\Okay.\To be honest, I have no idea what's going on at all.\Strong interference, an underground area that our records say doesn't exist, response:	and a request for reinforcements from Kougami...
context: Inspector Tsunemori, take Masaoka and go look for Kougami.\Kagari, Kunizuka and I will split up in order to find and destroy the source of the signal interference.\Okay.\To be honest, I have no idea what's going on at all.\Strong interference, an underground area that our records say doesn't exist,\and a request for reinforcements from Kougami... response:	Well, the one thing we can say for sure is that this is pretty serious.
context: Inspector Tsunemori, take Masaoka and go look for Kougami.\Kagari, Kunizuka and I will split up in order to find and destroy the source of the signal interference.\Okay.\To be honest, I have no idea what's going on at all.\Strong interference, an underground area that our records say doesn't exist,\and a request for reinforcements from Kougami...\Well, the one thing we can say for sure is that this is pretty serious. response:	You think so, too?
context: Inspector Tsunemori, take Masaoka and go look for Kougami.\Kagari, Kunizuka and I will split up in order to find and destroy the source of the signal interference.\Okay.\To be honest, I have no idea what's going on at all.\Strong interference, an underground area that our records say doesn't exist,\and a request for reinforcements from Kougami...\Well, the one thing we can say for sure is that this is pretty serious.\You think so, too? response:	I've never heard Ko speak like that before.
context: Kagari, Kunizuka and I will split up in order to find and destroy the source of the signal interference.\Okay.\To be honest, I have no idea what's going on at all.\Strong interference, an underground area that our records say doesn't exist,\and a request for reinforcements from Kougami...\Well, the one thing we can say for sure is that this is pretty serious.\You think so, too?\I've never heard Ko speak like that before. response:	He really did sound desperate.
context: Okay.\To be honest, I have no idea what's going on at all.\Strong interference, an underground area that our records say doesn't exist,\and a request for reinforcements from Kougami...\Well, the one thing we can say for sure is that this is pretty serious.\You think so, too?\I've never heard Ko speak like that before.\He really did sound desperate. response:	My head is full of things
context: To be honest, I have no idea what's going on at all.\Strong interference, an underground area that our records say doesn't exist,\and a request for reinforcements from Kougami...\Well, the one thing we can say for sure is that this is pretty serious.\You think so, too?\I've never heard Ko speak like that before.\He really did sound desperate.\My head is full of things response:	My head is full of things
context: Strong interference, an underground area that our records say doesn't exist,\and a request for reinforcements from Kougami...\Well, the one thing we can say for sure is that this is pretty serious.\You think so, too?\I've never heard Ko speak like that before.\He really did sound desperate.\My head is full of things\My head is full of things response:	that I can never tell anybody of
context: and a request for reinforcements from Kougami...\Well, the one thing we can say for sure is that this is pretty serious.\You think so, too?\I've never heard Ko speak like that before.\He really did sound desperate.\My head is full of things\My head is full of things\that I can never tell anybody of response:	that I can never tell anybody of
context: Well, the one thing we can say for sure is that this is pretty serious.\You think so, too?\I've never heard Ko speak like that before.\He really did sound desperate.\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of response:	In this perfect world
context: You think so, too?\I've never heard Ko speak like that before.\He really did sound desperate.\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world response:	In this perfect world
