context: August response:	I dunno about tomorrow.
context: August\I dunno about tomorrow. response:	It's different than a sacrifice. Something's off.
context: August\I dunno about tomorrow.\It's different than a sacrifice. Something's off. response:	I don't think it's like some penalty game.
context: August\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game. response:	So, why? I don't get it at all.
context: August\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all. response:	I'm a little bit unsatisfied, but your presence
context: August\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence response:	right now is more than just important.
context: August\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important. response:	There's no such thing in this world
context: August\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world response:	as something never-ending.
context: I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending. response:	Crying isn't painful, it's love's sweet drops, sweet drops!
context: It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops! response:	I want to keep dreaming forever, ya know?
context: I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know? response:	I want to be more kind, ya know?
context: So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know? response:	As long as Im with you, Im happy.
context: I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy. response:	Girls sure are strong, ya know?
context: right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know? response:	But sometimes we're weak, ya know?
context: There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know? response:	Our wish is to be happy, happy, happy!
context: as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy! response:	And those days will be happy, too!
context: Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too! response:	Just wanna make you happy!
context: I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy! response:	Saionji-sensei...
context: I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Saionji-sensei... response:	Please get a little sleep.
context: As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Saionji-sensei...\Please get a little sleep. response:	I'm fine...
context: Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Saionji-sensei...\Please get a little sleep.\I'm fine... response:	In fact, if I fall asleep now, I won't get this done.
context: But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Saionji-sensei...\Please get a little sleep.\I'm fine...\In fact, if I fall asleep now, I won't get this done. response:	Hey.
context: Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Saionji-sensei...\Please get a little sleep.\I'm fine...\In fact, if I fall asleep now, I won't get this done.\Hey. response:	Let's get a breath of fresh air.
context: And those days will be happy, too!\Just wanna make you happy!\Saionji-sensei...\Please get a little sleep.\I'm fine...\In fact, if I fall asleep now, I won't get this done.\Hey.\Let's get a breath of fresh air. response:	We're taking a break.
context: Just wanna make you happy!\Saionji-sensei...\Please get a little sleep.\I'm fine...\In fact, if I fall asleep now, I won't get this done.\Hey.\Let's get a breath of fresh air.\We're taking a break. response:	Okay.
context: Saionji-sensei...\Please get a little sleep.\I'm fine...\In fact, if I fall asleep now, I won't get this done.\Hey.\Let's get a breath of fresh air.\We're taking a break.\Okay. response:	See you later.
context: Please get a little sleep.\I'm fine...\In fact, if I fall asleep now, I won't get this done.\Hey.\Let's get a breath of fresh air.\We're taking a break.\Okay.\See you later. response:	You guys take a break too when you get a chance.
context: I'm fine...\In fact, if I fall asleep now, I won't get this done.\Hey.\Let's get a breath of fresh air.\We're taking a break.\Okay.\See you later.\You guys take a break too when you get a chance. response:	Call my cell if you need anything.
context: In fact, if I fall asleep now, I won't get this done.\Hey.\Let's get a breath of fresh air.\We're taking a break.\Okay.\See you later.\You guys take a break too when you get a chance.\Call my cell if you need anything. response:	We'll squeak by tonight.
context: Hey.\Let's get a breath of fresh air.\We're taking a break.\Okay.\See you later.\You guys take a break too when you get a chance.\Call my cell if you need anything.\We'll squeak by tonight. response:	Let's go.
context: Let's get a breath of fresh air.\We're taking a break.\Okay.\See you later.\You guys take a break too when you get a chance.\Call my cell if you need anything.\We'll squeak by tonight.\Let's go. response:	Daikichi!
context: We're taking a break.\Okay.\See you later.\You guys take a break too when you get a chance.\Call my cell if you need anything.\We'll squeak by tonight.\Let's go.\Daikichi! response:	It's hot...
context: Okay.\See you later.\You guys take a break too when you get a chance.\Call my cell if you need anything.\We'll squeak by tonight.\Let's go.\Daikichi!\It's hot... response:	It's like ice.
context: See you later.\You guys take a break too when you get a chance.\Call my cell if you need anything.\We'll squeak by tonight.\Let's go.\Daikichi!\It's hot...\It's like ice. response:	You're too cold.
context: You guys take a break too when you get a chance.\Call my cell if you need anything.\We'll squeak by tonight.\Let's go.\Daikichi!\It's hot...\It's like ice.\You're too cold. response:	Well, if I turn off the AC, the boys mess up the manuscript with their sweat.
