context: Not done yet? response:	Just a little more. Wait just a bit longer.
context: Not done yet?\Just a little more. Wait just a bit longer. response:	My patience is about to snap.
context: Not done yet?\Just a little more. Wait just a bit longer.\My patience is about to snap. response:	Done!
context: Not done yet?\Just a little more. Wait just a bit longer.\My patience is about to snap.\Done! response:	Well, let me see
context: Not done yet?\Just a little more. Wait just a bit longer.\My patience is about to snap.\Done!\Well, let me see response:	Here
context: Not done yet?\Just a little more. Wait just a bit longer.\My patience is about to snap.\Done!\Well, let me see\Here response:	Eh? Is that supposed to be me?
context: Not done yet?\Just a little more. Wait just a bit longer.\My patience is about to snap.\Done!\Well, let me see\Here\Eh? Is that supposed to be me? response:	Yeah, I drew it pretty cute, huh?
context: Not done yet?\Just a little more. Wait just a bit longer.\My patience is about to snap.\Done!\Well, let me see\Here\Eh? Is that supposed to be me?\Yeah, I drew it pretty cute, huh? response:	I don't have such a goofy face
context: Just a little more. Wait just a bit longer.\My patience is about to snap.\Done!\Well, let me see\Here\Eh? Is that supposed to be me?\Yeah, I drew it pretty cute, huh?\I don't have such a goofy face response:	Really? I think it looks pretty close
context: My patience is about to snap.\Done!\Well, let me see\Here\Eh? Is that supposed to be me?\Yeah, I drew it pretty cute, huh?\I don't have such a goofy face\Really? I think it looks pretty close response:	It doesn't.
context: Done!\Well, let me see\Here\Eh? Is that supposed to be me?\Yeah, I drew it pretty cute, huh?\I don't have such a goofy face\Really? I think it looks pretty close\It doesn't. response:	Look closely.
context: Well, let me see\Here\Eh? Is that supposed to be me?\Yeah, I drew it pretty cute, huh?\I don't have such a goofy face\Really? I think it looks pretty close\It doesn't.\Look closely. response:	Don't you think my brow brings out my eyes?
context: Here\Eh? Is that supposed to be me?\Yeah, I drew it pretty cute, huh?\I don't have such a goofy face\Really? I think it looks pretty close\It doesn't.\Look closely.\Don't you think my brow brings out my eyes? response:	Or perhaps it should be more smooth
context: Eh? Is that supposed to be me?\Yeah, I drew it pretty cute, huh?\I don't have such a goofy face\Really? I think it looks pretty close\It doesn't.\Look closely.\Don't you think my brow brings out my eyes?\Or perhaps it should be more smooth response:	Sakura, time to eat
context: Yeah, I drew it pretty cute, huh?\I don't have such a goofy face\Really? I think it looks pretty close\It doesn't.\Look closely.\Don't you think my brow brings out my eyes?\Or perhaps it should be more smooth\Sakura, time to eat response:	Hey!
context: I don't have such a goofy face\Really? I think it looks pretty close\It doesn't.\Look closely.\Don't you think my brow brings out my eyes?\Or perhaps it should be more smooth\Sakura, time to eat\Hey! response:	Listen to what somebody is saying until the end
context: Really? I think it looks pretty close\It doesn't.\Look closely.\Don't you think my brow brings out my eyes?\Or perhaps it should be more smooth\Sakura, time to eat\Hey!\Listen to what somebody is saying until the end response:	Later, OK?
context: It doesn't.\Look closely.\Don't you think my brow brings out my eyes?\Or perhaps it should be more smooth\Sakura, time to eat\Hey!\Listen to what somebody is saying until the end\Later, OK? response:	Really'
context: Look closely.\Don't you think my brow brings out my eyes?\Or perhaps it should be more smooth\Sakura, time to eat\Hey!\Listen to what somebody is saying until the end\Later, OK?\Really' response:	This is me?
context: Don't you think my brow brings out my eyes?\Or perhaps it should be more smooth\Sakura, time to eat\Hey!\Listen to what somebody is saying until the end\Later, OK?\Really'\This is me? response:	I won't allow it
context: Or perhaps it should be more smooth\Sakura, time to eat\Hey!\Listen to what somebody is saying until the end\Later, OK?\Really'\This is me?\I won't allow it response:	It looks great
context: Sakura, time to eat\Hey!\Listen to what somebody is saying until the end\Later, OK?\Really'\This is me?\I won't allow it\It looks great response:	What were you doing upstairs?
context: Hey!\Listen to what somebody is saying until the end\Later, OK?\Really'\This is me?\I won't allow it\It looks great\What were you doing upstairs? response:	I was drawing.
context: Listen to what somebody is saying until the end\Later, OK?\Really'\This is me?\I won't allow it\It looks great\What were you doing upstairs?\I was drawing. response:	Tomorrow for a special lesson we're going to the museum to draw
context: Later, OK?\Really'\This is me?\I won't allow it\It looks great\What were you doing upstairs?\I was drawing.\Tomorrow for a special lesson we're going to the museum to draw response:	So you were practicing?
context: Really'\This is me?\I won't allow it\It looks great\What were you doing upstairs?\I was drawing.\Tomorrow for a special lesson we're going to the museum to draw\So you were practicing? response:	Yeah
context: This is me?\I won't allow it\It looks great\What were you doing upstairs?\I was drawing.\Tomorrow for a special lesson we're going to the museum to draw\So you were practicing?\Yeah response:	Even so, you seemed pretty lively
context: I won't allow it\It looks great\What were you doing upstairs?\I was drawing.\Tomorrow for a special lesson we're going to the museum to draw\So you were practicing?\Yeah\Even so, you seemed pretty lively response:	That's because if I don't talk,
context: It looks great\What were you doing upstairs?\I was drawing.\Tomorrow for a special lesson we're going to the museum to draw\So you were practicing?\Yeah\Even so, you seemed pretty lively\That's because if I don't talk, response:	I can't draw well
context: What were you doing upstairs?\I was drawing.\Tomorrow for a special lesson we're going to the museum to draw\So you were practicing?\Yeah\Even so, you seemed pretty lively\That's because if I don't talk,\I can't draw well response:	If you make noise like that in the museum,
context: I was drawing.\Tomorrow for a special lesson we're going to the museum to draw\So you were practicing?\Yeah\Even so, you seemed pretty lively\That's because if I don't talk,\I can't draw well\If you make noise like that in the museum, response:	they'll kick you out
context: Tomorrow for a special lesson we're going to the museum to draw\So you were practicing?\Yeah\Even so, you seemed pretty lively\That's because if I don't talk,\I can't draw well\If you make noise like that in the museum,\they'll kick you out response:	No they wouldn't
context: So you were practicing?\Yeah\Even so, you seemed pretty lively\That's because if I don't talk,\I can't draw well\If you make noise like that in the museum,\they'll kick you out\No they wouldn't response:	But, try not to interfere with the people who came to see the paintings
context: Yeah\Even so, you seemed pretty lively\That's because if I don't talk,\I can't draw well\If you make noise like that in the museum,\they'll kick you out\No they wouldn't\But, try not to interfere with the people who came to see the paintings response:	Will they really kick me out?
context: Even so, you seemed pretty lively\That's because if I don't talk,\I can't draw well\If you make noise like that in the museum,\they'll kick you out\No they wouldn't\But, try not to interfere with the people who came to see the paintings\Will they really kick me out? response:	I don't think they would do that, but'
context: That's because if I don't talk,\I can't draw well\If you make noise like that in the museum,\they'll kick you out\No they wouldn't\But, try not to interfere with the people who came to see the paintings\Will they really kick me out?\I don't think they would do that, but' response:	I am the head of this museum
context: I can't draw well\If you make noise like that in the museum,\they'll kick you out\No they wouldn't\But, try not to interfere with the people who came to see the paintings\Will they really kick me out?\I don't think they would do that, but'\I am the head of this museum response:	What we would like you to draw
context: If you make noise like that in the museum,\they'll kick you out\No they wouldn't\But, try not to interfere with the people who came to see the paintings\Will they really kick me out?\I don't think they would do that, but'\I am the head of this museum\What we would like you to draw response:	Are the things on this floor and in the courtyard
context: they'll kick you out\No they wouldn't\But, try not to interfere with the people who came to see the paintings\Will they really kick me out?\I don't think they would do that, but'\I am the head of this museum\What we would like you to draw\Are the things on this floor and in the courtyard response:	Tomoyo-chan, it really is quiet in here
context: No they wouldn't\But, try not to interfere with the people who came to see the paintings\Will they really kick me out?\I don't think they would do that, but'\I am the head of this museum\What we would like you to draw\Are the things on this floor and in the courtyard\Tomoyo-chan, it really is quiet in here response:	Yes, it is very peaceful
context: But, try not to interfere with the people who came to see the paintings\Will they really kick me out?\I don't think they would do that, but'\I am the head of this museum\What we would like you to draw\Are the things on this floor and in the courtyard\Tomoyo-chan, it really is quiet in here\Yes, it is very peaceful response:	That's right
context: Will they really kick me out?\I don't think they would do that, but'\I am the head of this museum\What we would like you to draw\Are the things on this floor and in the courtyard\Tomoyo-chan, it really is quiet in here\Yes, it is very peaceful\That's right response:	Well then, those who want to draw in the courtyard, come with me
context: I don't think they would do that, but'\I am the head of this museum\What we would like you to draw\Are the things on this floor and in the courtyard\Tomoyo-chan, it really is quiet in here\Yes, it is very peaceful\That's right\Well then, those who want to draw in the courtyard, come with me response:	Tomoyo-chan, where are you going?
context: I am the head of this museum\What we would like you to draw\Are the things on this floor and in the courtyard\Tomoyo-chan, it really is quiet in here\Yes, it is very peaceful\That's right\Well then, those who want to draw in the courtyard, come with me\Tomoyo-chan, where are you going? response:	I thought I would draw this sculpture here
context: What we would like you to draw\Are the things on this floor and in the courtyard\Tomoyo-chan, it really is quiet in here\Yes, it is very peaceful\That's right\Well then, those who want to draw in the courtyard, come with me\Tomoyo-chan, where are you going?\I thought I would draw this sculpture here response:	If you like, we can both draw it
context: Are the things on this floor and in the courtyard\Tomoyo-chan, it really is quiet in here\Yes, it is very peaceful\That's right\Well then, those who want to draw in the courtyard, come with me\Tomoyo-chan, where are you going?\I thought I would draw this sculpture here\If you like, we can both draw it response:	Yeah
context: Tomoyo-chan, it really is quiet in here\Yes, it is very peaceful\That's right\Well then, those who want to draw in the courtyard, come with me\Tomoyo-chan, where are you going?\I thought I would draw this sculpture here\If you like, we can both draw it\Yeah response:	Chiharu-chan and the others left
context: Yes, it is very peaceful\That's right\Well then, those who want to draw in the courtyard, come with me\Tomoyo-chan, where are you going?\I thought I would draw this sculpture here\If you like, we can both draw it\Yeah\Chiharu-chan and the others left response:	Would you rather have gone to the courtyard?
context: That's right\Well then, those who want to draw in the courtyard, come with me\Tomoyo-chan, where are you going?\I thought I would draw this sculpture here\If you like, we can both draw it\Yeah\Chiharu-chan and the others left\Would you rather have gone to the courtyard? response:	No. So, shall we draw?
context: Well then, those who want to draw in the courtyard, come with me\Tomoyo-chan, where are you going?\I thought I would draw this sculpture here\If you like, we can both draw it\Yeah\Chiharu-chan and the others left\Would you rather have gone to the courtyard?\No. So, shall we draw? response:	Yes
context: Tomoyo-chan, where are you going?\I thought I would draw this sculpture here\If you like, we can both draw it\Yeah\Chiharu-chan and the others left\Would you rather have gone to the courtyard?\No. So, shall we draw?\Yes response:	Geeze
context: I thought I would draw this sculpture here\If you like, we can both draw it\Yeah\Chiharu-chan and the others left\Would you rather have gone to the courtyard?\No. So, shall we draw?\Yes\Geeze response:	Shuu'
context: If you like, we can both draw it\Yeah\Chiharu-chan and the others left\Would you rather have gone to the courtyard?\No. So, shall we draw?\Yes\Geeze\Shuu' response:	I'm sorry
context: Yeah\Chiharu-chan and the others left\Would you rather have gone to the courtyard?\No. So, shall we draw?\Yes\Geeze\Shuu'\I'm sorry response:	Why, that Kero-chan
context: Chiharu-chan and the others left\Would you rather have gone to the courtyard?\No. So, shall we draw?\Yes\Geeze\Shuu'\I'm sorry\Why, that Kero-chan response:	I'm done, how about you Tomoyo-chan?
context: Would you rather have gone to the courtyard?\No. So, shall we draw?\Yes\Geeze\Shuu'\I'm sorry\Why, that Kero-chan\I'm done, how about you Tomoyo-chan? response:	Incredible
context: No. So, shall we draw?\Yes\Geeze\Shuu'\I'm sorry\Why, that Kero-chan\I'm done, how about you Tomoyo-chan?\Incredible response:	Tomoyo-chan, why don't we go look at the courtyard for a bit?
context: Yes\Geeze\Shuu'\I'm sorry\Why, that Kero-chan\I'm done, how about you Tomoyo-chan?\Incredible\Tomoyo-chan, why don't we go look at the courtyard for a bit? response:	I want to finish my picture
context: Geeze\Shuu'\I'm sorry\Why, that Kero-chan\I'm done, how about you Tomoyo-chan?\Incredible\Tomoyo-chan, why don't we go look at the courtyard for a bit?\I want to finish my picture response:	Well, I'll be right back then
context: Shuu'\I'm sorry\Why, that Kero-chan\I'm done, how about you Tomoyo-chan?\Incredible\Tomoyo-chan, why don't we go look at the courtyard for a bit?\I want to finish my picture\Well, I'll be right back then response:	I wonder how you get to the courtyard
context: I'm sorry\Why, that Kero-chan\I'm done, how about you Tomoyo-chan?\Incredible\Tomoyo-chan, why don't we go look at the courtyard for a bit?\I want to finish my picture\Well, I'll be right back then\I wonder how you get to the courtyard response:	What are you doing?
context: Why, that Kero-chan\I'm done, how about you Tomoyo-chan?\Incredible\Tomoyo-chan, why don't we go look at the courtyard for a bit?\I want to finish my picture\Well, I'll be right back then\I wonder how you get to the courtyard\What are you doing? response:	Let go! Let go!
context: I'm done, how about you Tomoyo-chan?\Incredible\Tomoyo-chan, why don't we go look at the courtyard for a bit?\I want to finish my picture\Well, I'll be right back then\I wonder how you get to the courtyard\What are you doing?\Let go! Let go! response:	Why are you trying to damage the painting?
context: Incredible\Tomoyo-chan, why don't we go look at the courtyard for a bit?\I want to finish my picture\Well, I'll be right back then\I wonder how you get to the courtyard\What are you doing?\Let go! Let go!\Why are you trying to damage the painting? response:	Why would I damage it?
context: Tomoyo-chan, why don't we go look at the courtyard for a bit?\I want to finish my picture\Well, I'll be right back then\I wonder how you get to the courtyard\What are you doing?\Let go! Let go!\Why are you trying to damage the painting?\Why would I damage it? response:	Then what is this?
context: I want to finish my picture\Well, I'll be right back then\I wonder how you get to the courtyard\What are you doing?\Let go! Let go!\Why are you trying to damage the painting?\Why would I damage it?\Then what is this? response:	That is my papa's painting
context: Well, I'll be right back then\I wonder how you get to the courtyard\What are you doing?\Let go! Let go!\Why are you trying to damage the painting?\Why would I damage it?\Then what is this?\That is my papa's painting response:	It's a picture papa painted of me,
context: I wonder how you get to the courtyard\What are you doing?\Let go! Let go!\Why are you trying to damage the painting?\Why would I damage it?\Then what is this?\That is my papa's painting\It's a picture papa painted of me, response:	but somebody changed it
context: What are you doing?\Let go! Let go!\Why are you trying to damage the painting?\Why would I damage it?\Then what is this?\That is my papa's painting\It's a picture papa painted of me,\but somebody changed it response:	They drew that woman over it
context: Let go! Let go!\Why are you trying to damage the painting?\Why would I damage it?\Then what is this?\That is my papa's painting\It's a picture papa painted of me,\but somebody changed it\They drew that woman over it response:	That's impossible
context: Why are you trying to damage the painting?\Why would I damage it?\Then what is this?\That is my papa's painting\It's a picture papa painted of me,\but somebody changed it\They drew that woman over it\That's impossible response:	Wait!
context: Why would I damage it?\Then what is this?\That is my papa's painting\It's a picture papa painted of me,\but somebody changed it\They drew that woman over it\That's impossible\Wait! response:	Why you!
context: Then what is this?\That is my papa's painting\It's a picture papa painted of me,\but somebody changed it\They drew that woman over it\That's impossible\Wait!\Why you! response:	Come quietly. So, come this way
context: That is my papa's painting\It's a picture papa painted of me,\but somebody changed it\They drew that woman over it\That's impossible\Wait!\Why you!\Come quietly. So, come this way response:	Smile by Tenkai Tachibana
context: It's a picture papa painted of me,\but somebody changed it\They drew that woman over it\That's impossible\Wait!\Why you!\Come quietly. So, come this way\Smile by Tenkai Tachibana response:	Sakura-chan
context: but somebody changed it\They drew that woman over it\That's impossible\Wait!\Why you!\Come quietly. So, come this way\Smile by Tenkai Tachibana\Sakura-chan response:	It's already time for us to leave
context: They drew that woman over it\That's impossible\Wait!\Why you!\Come quietly. So, come this way\Smile by Tenkai Tachibana\Sakura-chan\It's already time for us to leave response:	Yes!
context: That's impossible\Wait!\Why you!\Come quietly. So, come this way\Smile by Tenkai Tachibana\Sakura-chan\It's already time for us to leave\Yes! response:	A picture in the museum moved?
context: Wait!\Why you!\Come quietly. So, come this way\Smile by Tenkai Tachibana\Sakura-chan\It's already time for us to leave\Yes!\A picture in the museum moved? response:	Yeah, then all of a sudden I couldn't hear anything,
context: Why you!\Come quietly. So, come this way\Smile by Tenkai Tachibana\Sakura-chan\It's already time for us to leave\Yes!\A picture in the museum moved?\Yeah, then all of a sudden I couldn't hear anything, response:	but only for an instant
context: Come quietly. So, come this way\Smile by Tenkai Tachibana\Sakura-chan\It's already time for us to leave\Yes!\A picture in the museum moved?\Yeah, then all of a sudden I couldn't hear anything,\but only for an instant response:	It couldn't be that, could it?
context: Smile by Tenkai Tachibana\Sakura-chan\It's already time for us to leave\Yes!\A picture in the museum moved?\Yeah, then all of a sudden I couldn't hear anything,\but only for an instant\It couldn't be that, could it? response:	Something with a grudge
context: Sakura-chan\It's already time for us to leave\Yes!\A picture in the museum moved?\Yeah, then all of a sudden I couldn't hear anything,\but only for an instant\It couldn't be that, could it?\Something with a grudge response:	that goes beyond death
context: It's already time for us to leave\Yes!\A picture in the museum moved?\Yeah, then all of a sudden I couldn't hear anything,\but only for an instant\It couldn't be that, could it?\Something with a grudge\that goes beyond death response:	I'm sure that picture is cursed and
context: Yes!\A picture in the museum moved?\Yeah, then all of a sudden I couldn't hear anything,\but only for an instant\It couldn't be that, could it?\Something with a grudge\that goes beyond death\I'm sure that picture is cursed and response:	Was it that scary?
context: A picture in the museum moved?\Yeah, then all of a sudden I couldn't hear anything,\but only for an instant\It couldn't be that, could it?\Something with a grudge\that goes beyond death\I'm sure that picture is cursed and\Was it that scary? response:	It wasn't scary at all, at the time
context: Yeah, then all of a sudden I couldn't hear anything,\but only for an instant\It couldn't be that, could it?\Something with a grudge\that goes beyond death\I'm sure that picture is cursed and\Was it that scary?\It wasn't scary at all, at the time response:	Sakura!
context: but only for an instant\It couldn't be that, could it?\Something with a grudge\that goes beyond death\I'm sure that picture is cursed and\Was it that scary?\It wasn't scary at all, at the time\Sakura! response:	You are sensitive to ghosts or monsters aren't you?
context: It couldn't be that, could it?\Something with a grudge\that goes beyond death\I'm sure that picture is cursed and\Was it that scary?\It wasn't scary at all, at the time\Sakura!\You are sensitive to ghosts or monsters aren't you? response:	Which means, couldn't it just be.
context: Something with a grudge\that goes beyond death\I'm sure that picture is cursed and\Was it that scary?\It wasn't scary at all, at the time\Sakura!\You are sensitive to ghosts or monsters aren't you?\Which means, couldn't it just be. response:	A Clow Card
context: that goes beyond death\I'm sure that picture is cursed and\Was it that scary?\It wasn't scary at all, at the time\Sakura!\You are sensitive to ghosts or monsters aren't you?\Which means, couldn't it just be.\A Clow Card response:	Shall we go check together?
context: I'm sure that picture is cursed and\Was it that scary?\It wasn't scary at all, at the time\Sakura!\You are sensitive to ghosts or monsters aren't you?\Which means, couldn't it just be.\A Clow Card\Shall we go check together? response:	Yeah
context: Was it that scary?\It wasn't scary at all, at the time\Sakura!\You are sensitive to ghosts or monsters aren't you?\Which means, couldn't it just be.\A Clow Card\Shall we go check together?\Yeah response:	Sakura-chan?
context: It wasn't scary at all, at the time\Sakura!\You are sensitive to ghosts or monsters aren't you?\Which means, couldn't it just be.\A Clow Card\Shall we go check together?\Yeah\Sakura-chan? response:	Good evening
context: Sakura!\You are sensitive to ghosts or monsters aren't you?\Which means, couldn't it just be.\A Clow Card\Shall we go check together?\Yeah\Sakura-chan?\Good evening response:	Yukito-san
context: You are sensitive to ghosts or monsters aren't you?\Which means, couldn't it just be.\A Clow Card\Shall we go check together?\Yeah\Sakura-chan?\Good evening\Yukito-san response:	What's going on? This late at night
context: Which means, couldn't it just be.\A Clow Card\Shall we go check together?\Yeah\Sakura-chan?\Good evening\Yukito-san\What's going on? This late at night response:	Umm'Let's see
context: A Clow Card\Shall we go check together?\Yeah\Sakura-chan?\Good evening\Yukito-san\What's going on? This late at night\Umm'Let's see response:	I thought I would go look at the moon
context: Shall we go check together?\Yeah\Sakura-chan?\Good evening\Yukito-san\What's going on? This late at night\Umm'Let's see\I thought I would go look at the moon response:	There are a lot of stars out too
