context: Hope you understand, Miroku! We can't take her. response:	Yes.
context: Hope you understand, Miroku! We can't take her.\Yes. response:	Still, we can't just abandon her.
context: Hope you understand, Miroku! We can't take her.\Yes.\Still, we can't just abandon her. response:	- We found her! - It's Koharu!
context: Hope you understand, Miroku! We can't take her.\Yes.\Still, we can't just abandon her.\- We found her! - It's Koharu! response:	The Feudal Era...
context: Hope you understand, Miroku! We can't take her.\Yes.\Still, we can't just abandon her.\- We found her! - It's Koharu!\The Feudal Era... response:	Koharu had lost her parents and siblings in the war...
context: Hope you understand, Miroku! We can't take her.\Yes.\Still, we can't just abandon her.\- We found her! - It's Koharu!\The Feudal Era...\Koharu had lost her parents and siblings in the war... response:	and was put to work day and night.
context: Hope you understand, Miroku! We can't take her.\Yes.\Still, we can't just abandon her.\- We found her! - It's Koharu!\The Feudal Era...\Koharu had lost her parents and siblings in the war...\and was put to work day and night. response:	It was then...
context: Hope you understand, Miroku! We can't take her.\Yes.\Still, we can't just abandon her.\- We found her! - It's Koharu!\The Feudal Era...\Koharu had lost her parents and siblings in the war...\and was put to work day and night.\It was then... response:	Here, eat.
context: Yes.\Still, we can't just abandon her.\- We found her! - It's Koharu!\The Feudal Era...\Koharu had lost her parents and siblings in the war...\and was put to work day and night.\It was then...\Here, eat. response:	A younger Miroku who came to the village to perform an exorcism...
context: Still, we can't just abandon her.\- We found her! - It's Koharu!\The Feudal Era...\Koharu had lost her parents and siblings in the war...\and was put to work day and night.\It was then...\Here, eat.\A younger Miroku who came to the village to perform an exorcism... response:	met Koharu.
context: - We found her! - It's Koharu!\The Feudal Era...\Koharu had lost her parents and siblings in the war...\and was put to work day and night.\It was then...\Here, eat.\A younger Miroku who came to the village to perform an exorcism...\met Koharu. response:	Master Miroku, we just met again. And to be parted so soon.
context: The Feudal Era...\Koharu had lost her parents and siblings in the war...\and was put to work day and night.\It was then...\Here, eat.\A younger Miroku who came to the village to perform an exorcism...\met Koharu.\Master Miroku, we just met again. And to be parted so soon. response:	Please understand, Koharu.
context: Koharu had lost her parents and siblings in the war...\and was put to work day and night.\It was then...\Here, eat.\A younger Miroku who came to the village to perform an exorcism...\met Koharu.\Master Miroku, we just met again. And to be parted so soon.\Please understand, Koharu. response:	When it comes time to battle, I'm not sure I'll be able to protect you.
context: and was put to work day and night.\It was then...\Here, eat.\A younger Miroku who came to the village to perform an exorcism...\met Koharu.\Master Miroku, we just met again. And to be parted so soon.\Please understand, Koharu.\When it comes time to battle, I'm not sure I'll be able to protect you. response:	The demon I seek is that formidable.
context: It was then...\Here, eat.\A younger Miroku who came to the village to perform an exorcism...\met Koharu.\Master Miroku, we just met again. And to be parted so soon.\Please understand, Koharu.\When it comes time to battle, I'm not sure I'll be able to protect you.\The demon I seek is that formidable. response:	Koharu, you're starting a new life in a new village.
context: Here, eat.\A younger Miroku who came to the village to perform an exorcism...\met Koharu.\Master Miroku, we just met again. And to be parted so soon.\Please understand, Koharu.\When it comes time to battle, I'm not sure I'll be able to protect you.\The demon I seek is that formidable.\Koharu, you're starting a new life in a new village. response:	I know you're scared.
context: A younger Miroku who came to the village to perform an exorcism...\met Koharu.\Master Miroku, we just met again. And to be parted so soon.\Please understand, Koharu.\When it comes time to battle, I'm not sure I'll be able to protect you.\The demon I seek is that formidable.\Koharu, you're starting a new life in a new village.\I know you're scared. response:	To survive is scary, for everyone.
context: met Koharu.\Master Miroku, we just met again. And to be parted so soon.\Please understand, Koharu.\When it comes time to battle, I'm not sure I'll be able to protect you.\The demon I seek is that formidable.\Koharu, you're starting a new life in a new village.\I know you're scared.\To survive is scary, for everyone. response:	In my right hand is a hole that will suck up everything and anything.
context: Master Miroku, we just met again. And to be parted so soon.\Please understand, Koharu.\When it comes time to battle, I'm not sure I'll be able to protect you.\The demon I seek is that formidable.\Koharu, you're starting a new life in a new village.\I know you're scared.\To survive is scary, for everyone.\In my right hand is a hole that will suck up everything and anything. response:	A Wind Tunnel.
context: Please understand, Koharu.\When it comes time to battle, I'm not sure I'll be able to protect you.\The demon I seek is that formidable.\Koharu, you're starting a new life in a new village.\I know you're scared.\To survive is scary, for everyone.\In my right hand is a hole that will suck up everything and anything.\A Wind Tunnel. response:	A curse was put upon us during my grandfather's time.
context: When it comes time to battle, I'm not sure I'll be able to protect you.\The demon I seek is that formidable.\Koharu, you're starting a new life in a new village.\I know you're scared.\To survive is scary, for everyone.\In my right hand is a hole that will suck up everything and anything.\A Wind Tunnel.\A curse was put upon us during my grandfather's time. response:	And that grandfather and then my father...
context: The demon I seek is that formidable.\Koharu, you're starting a new life in a new village.\I know you're scared.\To survive is scary, for everyone.\In my right hand is a hole that will suck up everything and anything.\A Wind Tunnel.\A curse was put upon us during my grandfather's time.\And that grandfather and then my father... response:	were sucked up by the Wind Tunnels in their hands.
context: Koharu, you're starting a new life in a new village.\I know you're scared.\To survive is scary, for everyone.\In my right hand is a hole that will suck up everything and anything.\A Wind Tunnel.\A curse was put upon us during my grandfather's time.\And that grandfather and then my father...\were sucked up by the Wind Tunnels in their hands. response:	In time, I, too, will be sucked up by this hole.
context: I know you're scared.\To survive is scary, for everyone.\In my right hand is a hole that will suck up everything and anything.\A Wind Tunnel.\A curse was put upon us during my grandfather's time.\And that grandfather and then my father...\were sucked up by the Wind Tunnels in their hands.\In time, I, too, will be sucked up by this hole. response:	But I made the decision to live with this curse as my strength.
context: To survive is scary, for everyone.\In my right hand is a hole that will suck up everything and anything.\A Wind Tunnel.\A curse was put upon us during my grandfather's time.\And that grandfather and then my father...\were sucked up by the Wind Tunnels in their hands.\In time, I, too, will be sucked up by this hole.\But I made the decision to live with this curse as my strength. response:	One human taking on demons with the Wind Tunnel.
context: In my right hand is a hole that will suck up everything and anything.\A Wind Tunnel.\A curse was put upon us during my grandfather's time.\And that grandfather and then my father...\were sucked up by the Wind Tunnels in their hands.\In time, I, too, will be sucked up by this hole.\But I made the decision to live with this curse as my strength.\One human taking on demons with the Wind Tunnel. response:	This Wind Tunnel is a weapon given to me. That's what I decided.
context: A Wind Tunnel.\A curse was put upon us during my grandfather's time.\And that grandfather and then my father...\were sucked up by the Wind Tunnels in their hands.\In time, I, too, will be sucked up by this hole.\But I made the decision to live with this curse as my strength.\One human taking on demons with the Wind Tunnel.\This Wind Tunnel is a weapon given to me. That's what I decided. response:	Miroku is trembling.
context: A curse was put upon us during my grandfather's time.\And that grandfather and then my father...\were sucked up by the Wind Tunnels in their hands.\In time, I, too, will be sucked up by this hole.\But I made the decision to live with this curse as my strength.\One human taking on demons with the Wind Tunnel.\This Wind Tunnel is a weapon given to me. That's what I decided.\Miroku is trembling. response:	A lie... Is what he just told me a lie?
context: And that grandfather and then my father...\were sucked up by the Wind Tunnels in their hands.\In time, I, too, will be sucked up by this hole.\But I made the decision to live with this curse as my strength.\One human taking on demons with the Wind Tunnel.\This Wind Tunnel is a weapon given to me. That's what I decided.\Miroku is trembling.\A lie... Is what he just told me a lie? response:	To live strong is very difficult.
