context: But you don't have to be scared. response:	Only Xin Nu and I know about this.
context: But you don't have to be scared.\Only Xin Nu and I know about this. response:	We'll think of a way so that you can become the crown prince's woman.
context: But you don't have to be scared.\Only Xin Nu and I know about this.\We'll think of a way so that you can become the crown prince's woman. response:	We'll use a wedding to cover this matter up.
context: But you don't have to be scared.\Only Xin Nu and I know about this.\We'll think of a way so that you can become the crown prince's woman.\We'll use a wedding to cover this matter up. response:	Are you really going to do that?
context: But you don't have to be scared.\Only Xin Nu and I know about this.\We'll think of a way so that you can become the crown prince's woman.\We'll use a wedding to cover this matter up.\Are you really going to do that? response:	Of course. I like you.
context: But you don't have to be scared.\Only Xin Nu and I know about this.\We'll think of a way so that you can become the crown prince's woman.\We'll use a wedding to cover this matter up.\Are you really going to do that?\Of course. I like you. response:	Naturally, I'll help you. Don't worry.
context: But you don't have to be scared.\Only Xin Nu and I know about this.\We'll think of a way so that you can become the crown prince's woman.\We'll use a wedding to cover this matter up.\Are you really going to do that?\Of course. I like you.\Naturally, I'll help you. Don't worry. response:	Okay.
context: But you don't have to be scared.\Only Xin Nu and I know about this.\We'll think of a way so that you can become the crown prince's woman.\We'll use a wedding to cover this matter up.\Are you really going to do that?\Of course. I like you.\Naturally, I'll help you. Don't worry.\Okay. response:	In any case, it is over.
context: Only Xin Nu and I know about this.\We'll think of a way so that you can become the crown prince's woman.\We'll use a wedding to cover this matter up.\Are you really going to do that?\Of course. I like you.\Naturally, I'll help you. Don't worry.\Okay.\In any case, it is over. response:	You may leave.
context: We'll think of a way so that you can become the crown prince's woman.\We'll use a wedding to cover this matter up.\Are you really going to do that?\Of course. I like you.\Naturally, I'll help you. Don't worry.\Okay.\In any case, it is over.\You may leave. response:	Thank you for saving my son.
context: We'll use a wedding to cover this matter up.\Are you really going to do that?\Of course. I like you.\Naturally, I'll help you. Don't worry.\Okay.\In any case, it is over.\You may leave.\Thank you for saving my son. response:	I will repay you one day.
context: Are you really going to do that?\Of course. I like you.\Naturally, I'll help you. Don't worry.\Okay.\In any case, it is over.\You may leave.\Thank you for saving my son.\I will repay you one day. response:	You don't have to.
context: Of course. I like you.\Naturally, I'll help you. Don't worry.\Okay.\In any case, it is over.\You may leave.\Thank you for saving my son.\I will repay you one day.\You don't have to. response:	This was entirely because of my past relationship with Shao Xing.
context: Naturally, I'll help you. Don't worry.\Okay.\In any case, it is over.\You may leave.\Thank you for saving my son.\I will repay you one day.\You don't have to.\This was entirely because of my past relationship with Shao Xing. response:	It has nothing to do with you.
context: Okay.\In any case, it is over.\You may leave.\Thank you for saving my son.\I will repay you one day.\You don't have to.\This was entirely because of my past relationship with Shao Xing.\It has nothing to do with you. response:	If you were to come to me
context: In any case, it is over.\You may leave.\Thank you for saving my son.\I will repay you one day.\You don't have to.\This was entirely because of my past relationship with Shao Xing.\It has nothing to do with you.\If you were to come to me response:	I'm afraid you wouldn't have been able to make it to the fox den.
context: You may leave.\Thank you for saving my son.\I will repay you one day.\You don't have to.\This was entirely because of my past relationship with Shao Xing.\It has nothing to do with you.\If you were to come to me\I'm afraid you wouldn't have been able to make it to the fox den. response:	You may leave.
context: Thank you for saving my son.\I will repay you one day.\You don't have to.\This was entirely because of my past relationship with Shao Xing.\It has nothing to do with you.\If you were to come to me\I'm afraid you wouldn't have been able to make it to the fox den.\You may leave. response:	Farewell.
context: I will repay you one day.\You don't have to.\This was entirely because of my past relationship with Shao Xing.\It has nothing to do with you.\If you were to come to me\I'm afraid you wouldn't have been able to make it to the fox den.\You may leave.\Farewell. response:	Your Majesty, you can't leave me.
context: You don't have to.\This was entirely because of my past relationship with Shao Xing.\It has nothing to do with you.\If you were to come to me\I'm afraid you wouldn't have been able to make it to the fox den.\You may leave.\Farewell.\Your Majesty, you can't leave me. response:	I won't leave you.
context: This was entirely because of my past relationship with Shao Xing.\It has nothing to do with you.\If you were to come to me\I'm afraid you wouldn't have been able to make it to the fox den.\You may leave.\Farewell.\Your Majesty, you can't leave me.\I won't leave you. response:	If you leave...
context: It has nothing to do with you.\If you were to come to me\I'm afraid you wouldn't have been able to make it to the fox den.\You may leave.\Farewell.\Your Majesty, you can't leave me.\I won't leave you.\If you leave... response:	I'm embarrassing myself again.
context: If you were to come to me\I'm afraid you wouldn't have been able to make it to the fox den.\You may leave.\Farewell.\Your Majesty, you can't leave me.\I won't leave you.\If you leave...\I'm embarrassing myself again. response:	Your Majesty, the empress and other concubines have been waiting a long time.
context: I'm afraid you wouldn't have been able to make it to the fox den.\You may leave.\Farewell.\Your Majesty, you can't leave me.\I won't leave you.\If you leave...\I'm embarrassing myself again.\Your Majesty, the empress and other concubines have been waiting a long time. response:	I should-
context: You may leave.\Farewell.\Your Majesty, you can't leave me.\I won't leave you.\If you leave...\I'm embarrassing myself again.\Your Majesty, the empress and other concubines have been waiting a long time.\I should- response:	If I tell you to stay, you should stay.
context: Farewell.\Your Majesty, you can't leave me.\I won't leave you.\If you leave...\I'm embarrassing myself again.\Your Majesty, the empress and other concubines have been waiting a long time.\I should-\If I tell you to stay, you should stay. response:	How about I bestow you the title Pure Consort?
context: Your Majesty, you can't leave me.\I won't leave you.\If you leave...\I'm embarrassing myself again.\Your Majesty, the empress and other concubines have been waiting a long time.\I should-\If I tell you to stay, you should stay.\How about I bestow you the title Pure Consort? response:	Huh?
context: I won't leave you.\If you leave...\I'm embarrassing myself again.\Your Majesty, the empress and other concubines have been waiting a long time.\I should-\If I tell you to stay, you should stay.\How about I bestow you the title Pure Consort?\Huh? response:	Your Majesty, that isn't proper etiquette.
context: If you leave...\I'm embarrassing myself again.\Your Majesty, the empress and other concubines have been waiting a long time.\I should-\If I tell you to stay, you should stay.\How about I bestow you the title Pure Consort?\Huh?\Your Majesty, that isn't proper etiquette. response:	Is it rare for things in my harem to not follow proper etiquette?
context: I'm embarrassing myself again.\Your Majesty, the empress and other concubines have been waiting a long time.\I should-\If I tell you to stay, you should stay.\How about I bestow you the title Pure Consort?\Huh?\Your Majesty, that isn't proper etiquette.\Is it rare for things in my harem to not follow proper etiquette? response:	What is your name?
context: Your Majesty, the empress and other concubines have been waiting a long time.\I should-\If I tell you to stay, you should stay.\How about I bestow you the title Pure Consort?\Huh?\Your Majesty, that isn't proper etiquette.\Is it rare for things in my harem to not follow proper etiquette?\What is your name? response:	Xiao Jiu.
context: I should-\If I tell you to stay, you should stay.\How about I bestow you the title Pure Consort?\Huh?\Your Majesty, that isn't proper etiquette.\Is it rare for things in my harem to not follow proper etiquette?\What is your name?\Xiao Jiu. response:	Then I'll call you Jiu'er from now on, okay?
context: If I tell you to stay, you should stay.\How about I bestow you the title Pure Consort?\Huh?\Your Majesty, that isn't proper etiquette.\Is it rare for things in my harem to not follow proper etiquette?\What is your name?\Xiao Jiu.\Then I'll call you Jiu'er from now on, okay? response:	Okay.
context: How about I bestow you the title Pure Consort?\Huh?\Your Majesty, that isn't proper etiquette.\Is it rare for things in my harem to not follow proper etiquette?\What is your name?\Xiao Jiu.\Then I'll call you Jiu'er from now on, okay?\Okay. response:	The sun has set.
context: Huh?\Your Majesty, that isn't proper etiquette.\Is it rare for things in my harem to not follow proper etiquette?\What is your name?\Xiao Jiu.\Then I'll call you Jiu'er from now on, okay?\Okay.\The sun has set. response:	That girl should be normal.
context: Your Majesty, that isn't proper etiquette.\Is it rare for things in my harem to not follow proper etiquette?\What is your name?\Xiao Jiu.\Then I'll call you Jiu'er from now on, okay?\Okay.\The sun has set.\That girl should be normal. response:	Come here.
