context: eyecatch response:	H!
context: eyecatch\H! response:	O?!
context: eyecatch\H!\O?! response:	I do fall in love!
context: eyecatch\H!\O?!\I do fall in love! response:	I just realised it for the first time
context: eyecatch\H!\O?!\I do fall in love!\I just realised it for the first time response:	That I had fallen in love
context: eyecatch\H!\O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love response:	Twenty-four hours a day thinking of you, you and nothing more than you!
context: eyecatch\H!\O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you! response:	It's something I wasn't consciously aware of
context: eyecatch\H!\O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of response:	Somehow ( somehow) I'm feeling different from the usual
context: H!\O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual response:	With you ( the two of us) and our dull chatter
context: O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter response:	Don't tell me ( mutual love?) Nope, it's a one-sided crush
context: I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush response:	This is bad! Our gazes met!
context: I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met! response:	What, what? Why is my heart pounding like this?
context: That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this? response:	Did a short circuit just make a mess out of my mind?
context: Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind? response:	This is my first time... feeling like this...
context: It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this... response:	I wonder if I have a fever
context: Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever response:	Suddenly and precipitately, love has arrived.
context: With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived. response:	Instantly igniting my face into a bright red
context: Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red response:	T-That's stupid?! My hands are shaking
context: This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking response:	Is this really what they call love?
context: What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love? response:	I-I did it! A conversation filled with stutters
context: Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters response:	This awkward silence... *mumble mumble*
context: This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble* response:	Your... ( Your...) I want to know your feelings.
context: I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings. response:	O-One-sided love
context: Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love response:	First love! The usual way to school
context: Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school response:	The shining light. I do fall in love!
context: T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love! response:	I feel I could fly towards the sky
context: Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky response:	O-One-sided love
context: I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love response:	10
context: This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10 response:	H H!
context: Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H! response:	Woke up in the morning, brushed my teeth
context: O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth response:	In the blink of an eye, it's 10pm
context: First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm response:	Today, we laughed a whole lot
context: The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot response:	We had a great time
context: I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time response:	At times, with my friends, acting like fools, being noisy
context: O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy response:	Fluttering, our eyes met.
context: 10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met. response:	It's a coincidence, right?
context: H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right? response:	I wouldn't call this my first love
context: Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love response:	It's not my character.
context: In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character. response:	Say, will we be able to meet again tomorrow?
context: Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow? response:	As my eyelids close
context: We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close response:	I see you sparkling all over the place
context: At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place response:	Today was fun, too, wasn't it?
context: Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it? response:	I'm in love
context: It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love response:	So happy, so happy
context: I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy response:	It is my pleasure to meet you, my new-found love.
context: It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love. response:	Surely, we'll meet again tomorrow
context: Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow response:	Have a good night
context: As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night response:	We'll meet immediately in our dreams
context: I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams response:	So have a good night
context: Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night response:	Shinonome Institute
context: I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\Shinonome Institute response:	Nichijou 53
context: So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\Shinonome Institute\Nichijou 53 response:	Shinonome Institute
context: It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\Shinonome Institute\Nichijou 53\Shinonome Institute response:	Nichijou 54
context: Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\Shinonome Institute\Nichijou 53\Shinonome Institute\Nichijou 54 response:	Shark Castella
context: Have a good night\We'll meet immediately in our dreams\So have a good night\Shinonome Institute\Nichijou 53\Shinonome Institute\Nichijou 54\Shark Castella response:	Shark Castella
context: We'll meet immediately in our dreams\So have a good night\Shinonome Institute\Nichijou 53\Shinonome Institute\Nichijou 54\Shark Castella\Shark Castella response:	80 Point Mongolian
context: So have a good night\Shinonome Institute\Nichijou 53\Shinonome Institute\Nichijou 54\Shark Castella\Shark Castella\80 Point Mongolian response:	Tricks
context: Shinonome Institute\Nichijou 53\Shinonome Institute\Nichijou 54\Shark Castella\Shark Castella\80 Point Mongolian\Tricks response:	A Small Miracle
context: Nichijou 53\Shinonome Institute\Nichijou 54\Shark Castella\Shark Castella\80 Point Mongolian\Tricks\A Small Miracle response:	Reality
context: Shinonome Institute\Nichijou 54\Shark Castella\Shark Castella\80 Point Mongolian\Tricks\A Small Miracle\Reality response:	Nichijou 55
context: Nichijou 54\Shark Castella\Shark Castella\80 Point Mongolian\Tricks\A Small Miracle\Reality\Nichijou 55 response:	Word Of The Day
context: Shark Castella\Shark Castella\80 Point Mongolian\Tricks\A Small Miracle\Reality\Nichijou 55\Word Of The Day response:	Really Into It
context: Shark Castella\80 Point Mongolian\Tricks\A Small Miracle\Reality\Nichijou 55\Word Of The Day\Really Into It response:	Eden
context: 80 Point Mongolian\Tricks\A Small Miracle\Reality\Nichijou 55\Word Of The Day\Really Into It\Eden response:	Great Luck
context: Tricks\A Small Miracle\Reality\Nichijou 55\Word Of The Day\Really Into It\Eden\Great Luck response:	Great
context: A Small Miracle\Reality\Nichijou 55\Word Of The Day\Really Into It\Eden\Great Luck\Great response:	Luck
context: Reality\Nichijou 55\Word Of The Day\Really Into It\Eden\Great Luck\Great\Luck response:	Great
context: Nichijou 55\Word Of The Day\Really Into It\Eden\Great Luck\Great\Luck\Great response:	Luck
context: Word Of The Day\Really Into It\Eden\Great Luck\Great\Luck\Great\Luck response:	Great
context: Really Into It\Eden\Great Luck\Great\Luck\Great\Luck\Great response:	Luck
context: Eden\Great Luck\Great\Luck\Great\Luck\Great\Luck response:	Narration: Ogata Megumi
context: Great Luck\Great\Luck\Great\Luck\Great\Luck\Narration: Ogata Megumi response:	I'm hungry.
context: Great\Luck\Great\Luck\Great\Luck\Narration: Ogata Megumi\I'm hungry. response:	It's the kid.
context: Luck\Great\Luck\Great\Luck\Narration: Ogata Megumi\I'm hungry.\It's the kid. response:	Doing this kind of thing again...
context: Great\Luck\Great\Luck\Narration: Ogata Megumi\I'm hungry.\It's the kid.\Doing this kind of thing again... response:	Well, if the traps are of this level, I don't mind getting trapped.
context: Luck\Great\Luck\Narration: Ogata Megumi\I'm hungry.\It's the kid.\Doing this kind of thing again...\Well, if the traps are of this level, I don't mind getting trapped. response:	At least it's food.
context: Great\Luck\Narration: Ogata Megumi\I'm hungry.\It's the kid.\Doing this kind of thing again...\Well, if the traps are of this level, I don't mind getting trapped.\At least it's food. response:	You got caught!
context: Luck\Narration: Ogata Megumi\I'm hungry.\It's the kid.\Doing this kind of thing again...\Well, if the traps are of this level, I don't mind getting trapped.\At least it's food.\You got caught! response:	You got caught!
context: Narration: Ogata Megumi\I'm hungry.\It's the kid.\Doing this kind of thing again...\Well, if the traps are of this level, I don't mind getting trapped.\At least it's food.\You got caught!\You got caught! response:	I literally got the stick.
context: I'm hungry.\It's the kid.\Doing this kind of thing again...\Well, if the traps are of this level, I don't mind getting trapped.\At least it's food.\You got caught!\You got caught!\I literally got the stick. response:	Hey!
context: It's the kid.\Doing this kind of thing again...\Well, if the traps are of this level, I don't mind getting trapped.\At least it's food.\You got caught!\You got caught!\I literally got the stick.\Hey! response:	This was going to be the side dish for today's lunch.
context: Doing this kind of thing again...\Well, if the traps are of this level, I don't mind getting trapped.\At least it's food.\You got caught!\You got caught!\I literally got the stick.\Hey!\This was going to be the side dish for today's lunch. response:	We don't have one now.
context: Well, if the traps are of this level, I don't mind getting trapped.\At least it's food.\You got caught!\You got caught!\I literally got the stick.\Hey!\This was going to be the side dish for today's lunch.\We don't have one now. response:	Sakamoto.
context: At least it's food.\You got caught!\You got caught!\I literally got the stick.\Hey!\This was going to be the side dish for today's lunch.\We don't have one now.\Sakamoto. response:	You're the criminal, too.
context: You got caught!\You got caught!\I literally got the stick.\Hey!\This was going to be the side dish for today's lunch.\We don't have one now.\Sakamoto.\You're the criminal, too. response:	No, Sakamoto said he wanted to eat it.
context: You got caught!\I literally got the stick.\Hey!\This was going to be the side dish for today's lunch.\We don't have one now.\Sakamoto.\You're the criminal, too.\No, Sakamoto said he wanted to eat it. response:	No, I did not!
context: I literally got the stick.\Hey!\This was going to be the side dish for today's lunch.\We don't have one now.\Sakamoto.\You're the criminal, too.\No, Sakamoto said he wanted to eat it.\No, I did not! response:	Why do you start saying things like this?
context: Hey!\This was going to be the side dish for today's lunch.\We don't have one now.\Sakamoto.\You're the criminal, too.\No, Sakamoto said he wanted to eat it.\No, I did not!\Why do you start saying things like this? response:	Well, you did eat it.
context: This was going to be the side dish for today's lunch.\We don't have one now.\Sakamoto.\You're the criminal, too.\No, Sakamoto said he wanted to eat it.\No, I did not!\Why do you start saying things like this?\Well, you did eat it. response:	Hey! Let's go eat ice cream from in front of the station!
context: We don't have one now.\Sakamoto.\You're the criminal, too.\No, Sakamoto said he wanted to eat it.\No, I did not!\Why do you start saying things like this?\Well, you did eat it.\Hey! Let's go eat ice cream from in front of the station! response:	Hm?
context: Sakamoto.\You're the criminal, too.\No, Sakamoto said he wanted to eat it.\No, I did not!\Why do you start saying things like this?\Well, you did eat it.\Hey! Let's go eat ice cream from in front of the station!\Hm? response:	Hey, kid.
context: You're the criminal, too.\No, Sakamoto said he wanted to eat it.\No, I did not!\Why do you start saying things like this?\Well, you did eat it.\Hey! Let's go eat ice cream from in front of the station!\Hm?\Hey, kid. response:	Don't you think she wants to go to school?
context: No, Sakamoto said he wanted to eat it.\No, I did not!\Why do you start saying things like this?\Well, you did eat it.\Hey! Let's go eat ice cream from in front of the station!\Hm?\Hey, kid.\Don't you think she wants to go to school? response:	I don't want you to go!
context: No, I did not!\Why do you start saying things like this?\Well, you did eat it.\Hey! Let's go eat ice cream from in front of the station!\Hm?\Hey, kid.\Don't you think she wants to go to school?\I don't want you to go! response:	What's with this, all of a sudden?
context: Why do you start saying things like this?\Well, you did eat it.\Hey! Let's go eat ice cream from in front of the station!\Hm?\Hey, kid.\Don't you think she wants to go to school?\I don't want you to go!\What's with this, all of a sudden? response:	Nano is going to go somewhere...
context: Well, you did eat it.\Hey! Let's go eat ice cream from in front of the station!\Hm?\Hey, kid.\Don't you think she wants to go to school?\I don't want you to go!\What's with this, all of a sudden?\Nano is going to go somewhere... response:	Eh?
context: Hey! Let's go eat ice cream from in front of the station!\Hm?\Hey, kid.\Don't you think she wants to go to school?\I don't want you to go!\What's with this, all of a sudden?\Nano is going to go somewhere...\Eh? response:	Who said that?
context: Hm?\Hey, kid.\Don't you think she wants to go to school?\I don't want you to go!\What's with this, all of a sudden?\Nano is going to go somewhere...\Eh?\Who said that? response:	Sakamoto.
context: Hey, kid.\Don't you think she wants to go to school?\I don't want you to go!\What's with this, all of a sudden?\Nano is going to go somewhere...\Eh?\Who said that?\Sakamoto. response:	That's not what I meant!
context: Don't you think she wants to go to school?\I don't want you to go!\What's with this, all of a sudden?\Nano is going to go somewhere...\Eh?\Who said that?\Sakamoto.\That's not what I meant! response:	Nano, are you going somewhere?
context: I don't want you to go!\What's with this, all of a sudden?\Nano is going to go somewhere...\Eh?\Who said that?\Sakamoto.\That's not what I meant!\Nano, are you going somewhere? response:	I am thinking of going shopping in the morning...
context: What's with this, all of a sudden?\Nano is going to go somewhere...\Eh?\Who said that?\Sakamoto.\That's not what I meant!\Nano, are you going somewhere?\I am thinking of going shopping in the morning... response:	Professor will come along with you, too!
context: Nano is going to go somewhere...\Eh?\Who said that?\Sakamoto.\That's not what I meant!\Nano, are you going somewhere?\I am thinking of going shopping in the morning...\Professor will come along with you, too! response:	I won't buy you anything.
context: Eh?\Who said that?\Sakamoto.\That's not what I meant!\Nano, are you going somewhere?\I am thinking of going shopping in the morning...\Professor will come along with you, too!\I won't buy you anything. response:	I want to buy Chocolate Sharks!
context: Who said that?\Sakamoto.\That's not what I meant!\Nano, are you going somewhere?\I am thinking of going shopping in the morning...\Professor will come along with you, too!\I won't buy you anything.\I want to buy Chocolate Sharks! response:	I won't buy that.
context: Sakamoto.\That's not what I meant!\Nano, are you going somewhere?\I am thinking of going shopping in the morning...\Professor will come along with you, too!\I won't buy you anything.\I want to buy Chocolate Sharks!\I won't buy that. response:	Buy some!
context: That's not what I meant!\Nano, are you going somewhere?\I am thinking of going shopping in the morning...\Professor will come along with you, too!\I won't buy you anything.\I want to buy Chocolate Sharks!\I won't buy that.\Buy some! response:	Chocolate Sharks!
context: Nano, are you going somewhere?\I am thinking of going shopping in the morning...\Professor will come along with you, too!\I won't buy you anything.\I want to buy Chocolate Sharks!\I won't buy that.\Buy some!\Chocolate Sharks! response:	I said that I won't buy them.
context: I am thinking of going shopping in the morning...\Professor will come along with you, too!\I won't buy you anything.\I want to buy Chocolate Sharks!\I won't buy that.\Buy some!\Chocolate Sharks!\I said that I won't buy them. response:	Buy some! Buy some!
context: Professor will come along with you, too!\I won't buy you anything.\I want to buy Chocolate Sharks!\I won't buy that.\Buy some!\Chocolate Sharks!\I said that I won't buy them.\Buy some! Buy some! response:	I won't buy them.
context: I won't buy you anything.\I want to buy Chocolate Sharks!\I won't buy that.\Buy some!\Chocolate Sharks!\I said that I won't buy them.\Buy some! Buy some!\I won't buy them. response:	Sakamoto said to buy some!
context: I want to buy Chocolate Sharks!\I won't buy that.\Buy some!\Chocolate Sharks!\I said that I won't buy them.\Buy some! Buy some!\I won't buy them.\Sakamoto said to buy some! response:	I did not!
context: I won't buy that.\Buy some!\Chocolate Sharks!\I said that I won't buy them.\Buy some! Buy some!\I won't buy them.\Sakamoto said to buy some!\I did not! response:	Mio-chan.
