context: The Second Plate response:	Episode 11
context: The Second Plate\Episode 11 response:	How are the two omelette wraps?
context: The Second Plate\Episode 11\How are the two omelette wraps? response:	This one's with chili sauce,
context: The Second Plate\Episode 11\How are the two omelette wraps?\This one's with chili sauce, response:	and this one's with basil sauce.
context: The Second Plate\Episode 11\How are the two omelette wraps?\This one's with chili sauce,\and this one's with basil sauce. response:	I can make it better.
context: The Second Plate\Episode 11\How are the two omelette wraps?\This one's with chili sauce,\and this one's with basil sauce.\I can make it better. response:	Huh?!
context: The Second Plate\Episode 11\How are the two omelette wraps?\This one's with chili sauce,\and this one's with basil sauce.\I can make it better.\Huh?! response:	Do you guys ever stop eating?
context: The Second Plate\Episode 11\How are the two omelette wraps?\This one's with chili sauce,\and this one's with basil sauce.\I can make it better.\Huh?!\Do you guys ever stop eating? response:	So, Shiomi-senpai...
context: Episode 11\How are the two omelette wraps?\This one's with chili sauce,\and this one's with basil sauce.\I can make it better.\Huh?!\Do you guys ever stop eating?\So, Shiomi-senpai... response:	About this... Stagiaire thing?
context: How are the two omelette wraps?\This one's with chili sauce,\and this one's with basil sauce.\I can make it better.\Huh?!\Do you guys ever stop eating?\So, Shiomi-senpai...\About this... Stagiaire thing? response:	What is that about?
context: This one's with chili sauce,\and this one's with basil sauce.\I can make it better.\Huh?!\Do you guys ever stop eating?\So, Shiomi-senpai...\About this... Stagiaire thing?\What is that about? response:	Stagiaire is a French word meaning resident.
context: and this one's with basil sauce.\I can make it better.\Huh?!\Do you guys ever stop eating?\So, Shiomi-senpai...\About this... Stagiaire thing?\What is that about?\Stagiaire is a French word meaning resident. response:	It's a program to send
context: I can make it better.\Huh?!\Do you guys ever stop eating?\So, Shiomi-senpai...\About this... Stagiaire thing?\What is that about?\Stagiaire is a French word meaning resident.\It's a program to send response:	high school first-years to various businesses in the food industry.
context: Huh?!\Do you guys ever stop eating?\So, Shiomi-senpai...\About this... Stagiaire thing?\What is that about?\Stagiaire is a French word meaning resident.\It's a program to send\high school first-years to various businesses in the food industry. response:	They can be high-end restaurants, food manufacturers, or even public organizations.
context: Do you guys ever stop eating?\So, Shiomi-senpai...\About this... Stagiaire thing?\What is that about?\Stagiaire is a French word meaning resident.\It's a program to send\high school first-years to various businesses in the food industry.\They can be high-end restaurants, food manufacturers, or even public organizations. response:	They cover a wide range.
context: So, Shiomi-senpai...\About this... Stagiaire thing?\What is that about?\Stagiaire is a French word meaning resident.\It's a program to send\high school first-years to various businesses in the food industry.\They can be high-end restaurants, food manufacturers, or even public organizations.\They cover a wide range. response:	It's a formal curriculum intended to give students practical experience.
context: About this... Stagiaire thing?\What is that about?\Stagiaire is a French word meaning resident.\It's a program to send\high school first-years to various businesses in the food industry.\They can be high-end restaurants, food manufacturers, or even public organizations.\They cover a wide range.\It's a formal curriculum intended to give students practical experience. response:	Sounds like a breeze.
context: What is that about?\Stagiaire is a French word meaning resident.\It's a program to send\high school first-years to various businesses in the food industry.\They can be high-end restaurants, food manufacturers, or even public organizations.\They cover a wide range.\It's a formal curriculum intended to give students practical experience.\Sounds like a breeze. response:	I doubt even professionals would be better than me.
context: Stagiaire is a French word meaning resident.\It's a program to send\high school first-years to various businesses in the food industry.\They can be high-end restaurants, food manufacturers, or even public organizations.\They cover a wide range.\It's a formal curriculum intended to give students practical experience.\Sounds like a breeze.\I doubt even professionals would be better than me. response:	It's not something to take lightly!
context: It's a program to send\high school first-years to various businesses in the food industry.\They can be high-end restaurants, food manufacturers, or even public organizations.\They cover a wide range.\It's a formal curriculum intended to give students practical experience.\Sounds like a breeze.\I doubt even professionals would be better than me.\It's not something to take lightly! response:	All the Stagiaire partners
context: high school first-years to various businesses in the food industry.\They can be high-end restaurants, food manufacturers, or even public organizations.\They cover a wide range.\It's a formal curriculum intended to give students practical experience.\Sounds like a breeze.\I doubt even professionals would be better than me.\It's not something to take lightly!\All the Stagiaire partners response:	have all agreed to take on students because they trust the academy!
context: They can be high-end restaurants, food manufacturers, or even public organizations.\They cover a wide range.\It's a formal curriculum intended to give students practical experience.\Sounds like a breeze.\I doubt even professionals would be better than me.\It's not something to take lightly!\All the Stagiaire partners\have all agreed to take on students because they trust the academy! response:	If you cause any problems that would negatively impact Totsuki's reputation,
context: They cover a wide range.\It's a formal curriculum intended to give students practical experience.\Sounds like a breeze.\I doubt even professionals would be better than me.\It's not something to take lightly!\All the Stagiaire partners\have all agreed to take on students because they trust the academy!\If you cause any problems that would negatively impact Totsuki's reputation, response:	you might even get expelled!
context: It's a formal curriculum intended to give students practical experience.\Sounds like a breeze.\I doubt even professionals would be better than me.\It's not something to take lightly!\All the Stagiaire partners\have all agreed to take on students because they trust the academy!\If you cause any problems that would negatively impact Totsuki's reputation,\you might even get expelled! response:	That's right...
context: Sounds like a breeze.\I doubt even professionals would be better than me.\It's not something to take lightly!\All the Stagiaire partners\have all agreed to take on students because they trust the academy!\If you cause any problems that would negatively impact Totsuki's reputation,\you might even get expelled!\That's right... response:	This is the kind of school I'm in.
context: I doubt even professionals would be better than me.\It's not something to take lightly!\All the Stagiaire partners\have all agreed to take on students because they trust the academy!\If you cause any problems that would negatively impact Totsuki's reputation,\you might even get expelled!\That's right...\This is the kind of school I'm in. response:	So I can go out to work in a different kitchen...
context: It's not something to take lightly!\All the Stagiaire partners\have all agreed to take on students because they trust the academy!\If you cause any problems that would negatively impact Totsuki's reputation,\you might even get expelled!\That's right...\This is the kind of school I'm in.\So I can go out to work in a different kitchen... response:	Out into the world outside of this place!
context: All the Stagiaire partners\have all agreed to take on students because they trust the academy!\If you cause any problems that would negatively impact Totsuki's reputation,\you might even get expelled!\That's right...\This is the kind of school I'm in.\So I can go out to work in a different kitchen...\Out into the world outside of this place! response:	So you pass if you do your job without causing problems?
context: have all agreed to take on students because they trust the academy!\If you cause any problems that would negatively impact Totsuki's reputation,\you might even get expelled!\That's right...\This is the kind of school I'm in.\So I can go out to work in a different kitchen...\Out into the world outside of this place!\So you pass if you do your job without causing problems? response:	The criterion for passing it
context: If you cause any problems that would negatively impact Totsuki's reputation,\you might even get expelled!\That's right...\This is the kind of school I'm in.\So I can go out to work in a different kitchen...\Out into the world outside of this place!\So you pass if you do your job without causing problems?\The criterion for passing it response:	is to make a visible mark during your time in residency.
context: you might even get expelled!\That's right...\This is the kind of school I'm in.\So I can go out to work in a different kitchen...\Out into the world outside of this place!\So you pass if you do your job without causing problems?\The criterion for passing it\is to make a visible mark during your time in residency. response:	A visible... mark?
context: That's right...\This is the kind of school I'm in.\So I can go out to work in a different kitchen...\Out into the world outside of this place!\So you pass if you do your job without causing problems?\The criterion for passing it\is to make a visible mark during your time in residency.\A visible... mark? response:	A Few Days Later
context: This is the kind of school I'm in.\So I can go out to work in a different kitchen...\Out into the world outside of this place!\So you pass if you do your job without causing problems?\The criterion for passing it\is to make a visible mark during your time in residency.\A visible... mark?\A Few Days Later response:	Hmm, so the first training site is tackled in pairs...
