context: But listen to me. response:	Ever since you left Grand Ziming Palace
context: But listen to me.\Ever since you left Grand Ziming Palace response:	from the day Father had me imprisoned in the dungeons...
context: But listen to me.\Ever since you left Grand Ziming Palace\from the day Father had me imprisoned in the dungeons... response:	I thought of you day and night.
context: But listen to me.\Ever since you left Grand Ziming Palace\from the day Father had me imprisoned in the dungeons...\I thought of you day and night. response:	I know my heart will have no other from now on.
context: But listen to me.\Ever since you left Grand Ziming Palace\from the day Father had me imprisoned in the dungeons...\I thought of you day and night.\I know my heart will have no other from now on. response:	Although I am friendly with Your Highness
context: But listen to me.\Ever since you left Grand Ziming Palace\from the day Father had me imprisoned in the dungeons...\I thought of you day and night.\I know my heart will have no other from now on.\Although I am friendly with Your Highness response:	I do not have any romantic feelings for you.
context: But listen to me.\Ever since you left Grand Ziming Palace\from the day Father had me imprisoned in the dungeons...\I thought of you day and night.\I know my heart will have no other from now on.\Although I am friendly with Your Highness\I do not have any romantic feelings for you. response:	I am sorry.
context: But listen to me.\Ever since you left Grand Ziming Palace\from the day Father had me imprisoned in the dungeons...\I thought of you day and night.\I know my heart will have no other from now on.\Although I am friendly with Your Highness\I do not have any romantic feelings for you.\I am sorry. response:	A-Yin, listen to me.
context: Ever since you left Grand Ziming Palace\from the day Father had me imprisoned in the dungeons...\I thought of you day and night.\I know my heart will have no other from now on.\Although I am friendly with Your Highness\I do not have any romantic feelings for you.\I am sorry.\A-Yin, listen to me. response:	I really am serious.
context: from the day Father had me imprisoned in the dungeons...\I thought of you day and night.\I know my heart will have no other from now on.\Although I am friendly with Your Highness\I do not have any romantic feelings for you.\I am sorry.\A-Yin, listen to me.\I really am serious. response:	I just want to be with you like how we were in Grand Ziming Palace
context: I thought of you day and night.\I know my heart will have no other from now on.\Although I am friendly with Your Highness\I do not have any romantic feelings for you.\I am sorry.\A-Yin, listen to me.\I really am serious.\I just want to be with you like how we were in Grand Ziming Palace response:	drinking, teasing, and talking about everything.
context: I know my heart will have no other from now on.\Although I am friendly with Your Highness\I do not have any romantic feelings for you.\I am sorry.\A-Yin, listen to me.\I really am serious.\I just want to be with you like how we were in Grand Ziming Palace\drinking, teasing, and talking about everything. response:	But you are the Ghost Realm's Second Prince after all.
context: Although I am friendly with Your Highness\I do not have any romantic feelings for you.\I am sorry.\A-Yin, listen to me.\I really am serious.\I just want to be with you like how we were in Grand Ziming Palace\drinking, teasing, and talking about everything.\But you are the Ghost Realm's Second Prince after all. response:	Why don't you stay in the guest room tonight?
context: I do not have any romantic feelings for you.\I am sorry.\A-Yin, listen to me.\I really am serious.\I just want to be with you like how we were in Grand Ziming Palace\drinking, teasing, and talking about everything.\But you are the Ghost Realm's Second Prince after all.\Why don't you stay in the guest room tonight? response:	It seems to be getting late.
context: I am sorry.\A-Yin, listen to me.\I really am serious.\I just want to be with you like how we were in Grand Ziming Palace\drinking, teasing, and talking about everything.\But you are the Ghost Realm's Second Prince after all.\Why don't you stay in the guest room tonight?\It seems to be getting late. response:	I will escort you off the mountain tomorrow morning.
context: A-Yin, listen to me.\I really am serious.\I just want to be with you like how we were in Grand Ziming Palace\drinking, teasing, and talking about everything.\But you are the Ghost Realm's Second Prince after all.\Why don't you stay in the guest room tonight?\It seems to be getting late.\I will escort you off the mountain tomorrow morning. response:	I did not come here from afar just to hear you say that.
context: I really am serious.\I just want to be with you like how we were in Grand Ziming Palace\drinking, teasing, and talking about everything.\But you are the Ghost Realm's Second Prince after all.\Why don't you stay in the guest room tonight?\It seems to be getting late.\I will escort you off the mountain tomorrow morning.\I did not come here from afar just to hear you say that. response:	I am sorry to disappoint you, Your Highness.
context: I just want to be with you like how we were in Grand Ziming Palace\drinking, teasing, and talking about everything.\But you are the Ghost Realm's Second Prince after all.\Why don't you stay in the guest room tonight?\It seems to be getting late.\I will escort you off the mountain tomorrow morning.\I did not come here from afar just to hear you say that.\I am sorry to disappoint you, Your Highness. response:	How dare you of the Ghost Tribe come to Kunlun Mountain?
context: drinking, teasing, and talking about everything.\But you are the Ghost Realm's Second Prince after all.\Why don't you stay in the guest room tonight?\It seems to be getting late.\I will escort you off the mountain tomorrow morning.\I did not come here from afar just to hear you say that.\I am sorry to disappoint you, Your Highness.\How dare you of the Ghost Tribe come to Kunlun Mountain? response:	Seventeenth, stand back.
context: But you are the Ghost Realm's Second Prince after all.\Why don't you stay in the guest room tonight?\It seems to be getting late.\I will escort you off the mountain tomorrow morning.\I did not come here from afar just to hear you say that.\I am sorry to disappoint you, Your Highness.\How dare you of the Ghost Tribe come to Kunlun Mountain?\Seventeenth, stand back. response:	Are you going to defend him?
context: Why don't you stay in the guest room tonight?\It seems to be getting late.\I will escort you off the mountain tomorrow morning.\I did not come here from afar just to hear you say that.\I am sorry to disappoint you, Your Highness.\How dare you of the Ghost Tribe come to Kunlun Mountain?\Seventeenth, stand back.\Are you going to defend him? response:	Have you forgotten your identity?
context: It seems to be getting late.\I will escort you off the mountain tomorrow morning.\I did not come here from afar just to hear you say that.\I am sorry to disappoint you, Your Highness.\How dare you of the Ghost Tribe come to Kunlun Mountain?\Seventeenth, stand back.\Are you going to defend him?\Have you forgotten your identity? response:	Leaving aside that your father tormented Ninth to the point he was traumatized
context: I will escort you off the mountain tomorrow morning.\I did not come here from afar just to hear you say that.\I am sorry to disappoint you, Your Highness.\How dare you of the Ghost Tribe come to Kunlun Mountain?\Seventeenth, stand back.\Are you going to defend him?\Have you forgotten your identity?\Leaving aside that your father tormented Ninth to the point he was traumatized response:	you even dared come to Kunlun Mountain to harass Seventeenth.
context: I did not come here from afar just to hear you say that.\I am sorry to disappoint you, Your Highness.\How dare you of the Ghost Tribe come to Kunlun Mountain?\Seventeenth, stand back.\Are you going to defend him?\Have you forgotten your identity?\Leaving aside that your father tormented Ninth to the point he was traumatized\you even dared come to Kunlun Mountain to harass Seventeenth. response:	I will not let you off lightly.
context: I am sorry to disappoint you, Your Highness.\How dare you of the Ghost Tribe come to Kunlun Mountain?\Seventeenth, stand back.\Are you going to defend him?\Have you forgotten your identity?\Leaving aside that your father tormented Ninth to the point he was traumatized\you even dared come to Kunlun Mountain to harass Seventeenth.\I will not let you off lightly. response:	You are A-Yin's fellow disciple. I will not fight you.
context: How dare you of the Ghost Tribe come to Kunlun Mountain?\Seventeenth, stand back.\Are you going to defend him?\Have you forgotten your identity?\Leaving aside that your father tormented Ninth to the point he was traumatized\you even dared come to Kunlun Mountain to harass Seventeenth.\I will not let you off lightly.\You are A-Yin's fellow disciple. I will not fight you. response:	So what if you do?
context: Seventeenth, stand back.\Are you going to defend him?\Have you forgotten your identity?\Leaving aside that your father tormented Ninth to the point he was traumatized\you even dared come to Kunlun Mountain to harass Seventeenth.\I will not let you off lightly.\You are A-Yin's fellow disciple. I will not fight you.\So what if you do? response:	Back in Grand Ziming Palace
context: Are you going to defend him?\Have you forgotten your identity?\Leaving aside that your father tormented Ninth to the point he was traumatized\you even dared come to Kunlun Mountain to harass Seventeenth.\I will not let you off lightly.\You are A-Yin's fellow disciple. I will not fight you.\So what if you do?\Back in Grand Ziming Palace response:	my junior disciples were at a disadvantage
