context: Santa Claus is my Sweetheart response:	Weird.
context: Santa Claus is my Sweetheart\Weird. response:	What?
context: Santa Claus is my Sweetheart\Weird.\What? response:	Youngest.
context: Santa Claus is my Sweetheart\Weird.\What?\Youngest. response:	Usually she just hangs out, looking bored and reading her books,
context: Santa Claus is my Sweetheart\Weird.\What?\Youngest.\Usually she just hangs out, looking bored and reading her books, response:	but today she looks...excited.
context: Santa Claus is my Sweetheart\Weird.\What?\Youngest.\Usually she just hangs out, looking bored and reading her books,\but today she looks...excited. response:	Yeah?
context: Santa Claus is my Sweetheart\Weird.\What?\Youngest.\Usually she just hangs out, looking bored and reading her books,\but today she looks...excited.\Yeah? response:	She must have gotten her hands on some kind of incredible super book!
context: Santa Claus is my Sweetheart\Weird.\What?\Youngest.\Usually she just hangs out, looking bored and reading her books,\but today she looks...excited.\Yeah?\She must have gotten her hands on some kind of incredible super book! response:	Pipe down.
context: Weird.\What?\Youngest.\Usually she just hangs out, looking bored and reading her books,\but today she looks...excited.\Yeah?\She must have gotten her hands on some kind of incredible super book!\Pipe down. response:	I can't believe how detailed this is.
context: What?\Youngest.\Usually she just hangs out, looking bored and reading her books,\but today she looks...excited.\Yeah?\She must have gotten her hands on some kind of incredible super book!\Pipe down.\I can't believe how detailed this is. response:	It was kind of expensive, but it was worth every yen.
context: Youngest.\Usually she just hangs out, looking bored and reading her books,\but today she looks...excited.\Yeah?\She must have gotten her hands on some kind of incredible super book!\Pipe down.\I can't believe how detailed this is.\It was kind of expensive, but it was worth every yen. response:	The official Gachi Rangers Guidebook!
context: Usually she just hangs out, looking bored and reading her books,\but today she looks...excited.\Yeah?\She must have gotten her hands on some kind of incredible super book!\Pipe down.\I can't believe how detailed this is.\It was kind of expensive, but it was worth every yen.\The official Gachi Rangers Guidebook! response:	He saw.
context: but today she looks...excited.\Yeah?\She must have gotten her hands on some kind of incredible super book!\Pipe down.\I can't believe how detailed this is.\It was kind of expensive, but it was worth every yen.\The official Gachi Rangers Guidebook!\He saw. response:	Crap, I was so close!
context: Yeah?\She must have gotten her hands on some kind of incredible super book!\Pipe down.\I can't believe how detailed this is.\It was kind of expensive, but it was worth every yen.\The official Gachi Rangers Guidebook!\He saw.\Crap, I was so close! response:	You wanna see?
context: She must have gotten her hands on some kind of incredible super book!\Pipe down.\I can't believe how detailed this is.\It was kind of expensive, but it was worth every yen.\The official Gachi Rangers Guidebook!\He saw.\Crap, I was so close!\You wanna see? response:	O-Of course I do!
context: Pipe down.\I can't believe how detailed this is.\It was kind of expensive, but it was worth every yen.\The official Gachi Rangers Guidebook!\He saw.\Crap, I was so close!\You wanna see?\O-Of course I do! response:	You...like them?
context: I can't believe how detailed this is.\It was kind of expensive, but it was worth every yen.\The official Gachi Rangers Guidebook!\He saw.\Crap, I was so close!\You wanna see?\O-Of course I do!\You...like them? response:	Yeah, man!
context: It was kind of expensive, but it was worth every yen.\The official Gachi Rangers Guidebook!\He saw.\Crap, I was so close!\You wanna see?\O-Of course I do!\You...like them?\Yeah, man! response:	I'd give up FOOD if I had to choose between the two!
context: The official Gachi Rangers Guidebook!\He saw.\Crap, I was so close!\You wanna see?\O-Of course I do!\You...like them?\Yeah, man!\I'd give up FOOD if I had to choose between the two! response:	I like them too.
context: He saw.\Crap, I was so close!\You wanna see?\O-Of course I do!\You...like them?\Yeah, man!\I'd give up FOOD if I had to choose between the two!\I like them too. response:	Oh, I know.
context: Crap, I was so close!\You wanna see?\O-Of course I do!\You...like them?\Yeah, man!\I'd give up FOOD if I had to choose between the two!\I like them too.\Oh, I know. response:	N-No way...
context: You wanna see?\O-Of course I do!\You...like them?\Yeah, man!\I'd give up FOOD if I had to choose between the two!\I like them too.\Oh, I know.\N-No way... response:	There's actually another Gachi fan here...
context: O-Of course I do!\You...like them?\Yeah, man!\I'd give up FOOD if I had to choose between the two!\I like them too.\Oh, I know.\N-No way...\There's actually another Gachi fan here... response:	I'm so happy...I wanna talk about them.
context: You...like them?\Yeah, man!\I'd give up FOOD if I had to choose between the two!\I like them too.\Oh, I know.\N-No way...\There's actually another Gachi fan here...\I'm so happy...I wanna talk about them. response:	I dunno what's gotten into Youngest-san but I like it!
context: Yeah, man!\I'd give up FOOD if I had to choose between the two!\I like them too.\Oh, I know.\N-No way...\There's actually another Gachi fan here...\I'm so happy...I wanna talk about them.\I dunno what's gotten into Youngest-san but I like it! response:	So hey, lemme take a look-
context: I'd give up FOOD if I had to choose between the two!\I like them too.\Oh, I know.\N-No way...\There's actually another Gachi fan here...\I'm so happy...I wanna talk about them.\I dunno what's gotten into Youngest-san but I like it!\So hey, lemme take a look- response:	What's your favorite part?
context: I like them too.\Oh, I know.\N-No way...\There's actually another Gachi fan here...\I'm so happy...I wanna talk about them.\I dunno what's gotten into Youngest-san but I like it!\So hey, lemme take a look-\What's your favorite part? response:	Huh?
context: Oh, I know.\N-No way...\There's actually another Gachi fan here...\I'm so happy...I wanna talk about them.\I dunno what's gotten into Youngest-san but I like it!\So hey, lemme take a look-\What's your favorite part?\Huh? response:	What's your favorite part? You know, specifically?
context: N-No way...\There's actually another Gachi fan here...\I'm so happy...I wanna talk about them.\I dunno what's gotten into Youngest-san but I like it!\So hey, lemme take a look-\What's your favorite part?\Huh?\What's your favorite part? You know, specifically? response:	Part? Dude...
