context: Madoka Magica 8 response:	OP
context: Madoka Magica 8\OP response:	ED
context: Madoka Magica 8\OP\ED response:	It's pretty easy once you know how to do it.
context: Madoka Magica 8\OP\ED\It's pretty easy once you know how to do it. response:	There's no way I can lose now.
context: Madoka Magica 8\OP\ED\It's pretty easy once you know how to do it.\There's no way I can lose now. response:	You can have that. You wanted it, didn't you?
context: Madoka Magica 8\OP\ED\It's pretty easy once you know how to do it.\There's no way I can lose now.\You can have that. You wanted it, didn't you? response:	Hey...
context: Madoka Magica 8\OP\ED\It's pretty easy once you know how to do it.\There's no way I can lose now.\You can have that. You wanted it, didn't you?\Hey... response:	I don't want to owe you anything.
context: Madoka Magica 8\OP\ED\It's pretty easy once you know how to do it.\There's no way I can lose now.\You can have that. You wanted it, didn't you?\Hey...\I don't want to owe you anything. response:	We're even now, got it?
context: OP\ED\It's pretty easy once you know how to do it.\There's no way I can lose now.\You can have that. You wanted it, didn't you?\Hey...\I don't want to owe you anything.\We're even now, got it? response:	Let's go, Madoka.
context: ED\It's pretty easy once you know how to do it.\There's no way I can lose now.\You can have that. You wanted it, didn't you?\Hey...\I don't want to owe you anything.\We're even now, got it?\Let's go, Madoka. response:	Sayaka-chan...
context: It's pretty easy once you know how to do it.\There's no way I can lose now.\You can have that. You wanted it, didn't you?\Hey...\I don't want to owe you anything.\We're even now, got it?\Let's go, Madoka.\Sayaka-chan... response:	Sorry.
context: There's no way I can lose now.\You can have that. You wanted it, didn't you?\Hey...\I don't want to owe you anything.\We're even now, got it?\Let's go, Madoka.\Sayaka-chan...\Sorry. response:	I'm a little tired.
context: You can have that. You wanted it, didn't you?\Hey...\I don't want to owe you anything.\We're even now, got it?\Let's go, Madoka.\Sayaka-chan...\Sorry.\I'm a little tired. response:	Don't force yourself, I'll help you.
context: Hey...\I don't want to owe you anything.\We're even now, got it?\Let's go, Madoka.\Sayaka-chan...\Sorry.\I'm a little tired.\Don't force yourself, I'll help you. response:	That idiot.
context: I don't want to owe you anything.\We're even now, got it?\Let's go, Madoka.\Sayaka-chan...\Sorry.\I'm a little tired.\Don't force yourself, I'll help you.\That idiot. response:	Episode 8 I'm such an idiot
context: We're even now, got it?\Let's go, Madoka.\Sayaka-chan...\Sorry.\I'm a little tired.\Don't force yourself, I'll help you.\That idiot.\Episode 8 I'm such an idiot response:	Episode 8 I'm such an idiot
context: Let's go, Madoka.\Sayaka-chan...\Sorry.\I'm a little tired.\Don't force yourself, I'll help you.\That idiot.\Episode 8 I'm such an idiot\Episode 8 I'm such an idiot response:	Episode 8 I'm such an idiot
context: Sayaka-chan...\Sorry.\I'm a little tired.\Don't force yourself, I'll help you.\That idiot.\Episode 8 I'm such an idiot\Episode 8 I'm such an idiot\Episode 8 I'm such an idiot response:	Sayaka-chan...
context: Sorry.\I'm a little tired.\Don't force yourself, I'll help you.\That idiot.\Episode 8 I'm such an idiot\Episode 8 I'm such an idiot\Episode 8 I'm such an idiot\Sayaka-chan... response:	You shouldn't fight like that...
context: I'm a little tired.\Don't force yourself, I'll help you.\That idiot.\Episode 8 I'm such an idiot\Episode 8 I'm such an idiot\Episode 8 I'm such an idiot\Sayaka-chan...\You shouldn't fight like that... response:	You're just lying when you say you're okay.
context: Don't force yourself, I'll help you.\That idiot.\Episode 8 I'm such an idiot\Episode 8 I'm such an idiot\Episode 8 I'm such an idiot\Sayaka-chan...\You shouldn't fight like that...\You're just lying when you say you're okay. response:	It's so painful to watch.
context: That idiot.\Episode 8 I'm such an idiot\Episode 8 I'm such an idiot\Episode 8 I'm such an idiot\Sayaka-chan...\You shouldn't fight like that...\You're just lying when you say you're okay.\It's so painful to watch. response:	Just because you say you're okay doesn't mean you should go all out.
context: Episode 8 I'm such an idiot\Episode 8 I'm such an idiot\Episode 8 I'm such an idiot\Sayaka-chan...\You shouldn't fight like that...\You're just lying when you say you're okay.\It's so painful to watch.\Just because you say you're okay doesn't mean you should go all out. response:	But if I hadn't done that, I wouldn't have won.
