context: A tall, tall wall looms in front of me. response:	What's the view on the other side?
context: A tall, tall wall looms in front of me.\What's the view on the other side? response:	What does it look like?
context: A tall, tall wall looms in front of me.\What's the view on the other side?\What does it look like? response:	The view from the top...
context: A tall, tall wall looms in front of me.\What's the view on the other side?\What does it look like?\The view from the top... response:	it's a view I could never see on my own.
context: A tall, tall wall looms in front of me.\What's the view on the other side?\What does it look like?\The view from the top...\it's a view I could never see on my own. response:	But if I'm not doing it alone...
context: A tall, tall wall looms in front of me.\What's the view on the other side?\What does it look like?\The view from the top...\it's a view I could never see on my own.\But if I'm not doing it alone... response:	Let's play.
context: A tall, tall wall looms in front of me.\What's the view on the other side?\What does it look like?\The view from the top...\it's a view I could never see on my own.\But if I'm not doing it alone...\Let's play. response:	Haikyu!!
context: A tall, tall wall looms in front of me.\What's the view on the other side?\What does it look like?\The view from the top...\it's a view I could never see on my own.\But if I'm not doing it alone...\Let's play.\Haikyu!! response:	Episode 1: The End The Beginning
context: What's the view on the other side?\What does it look like?\The view from the top...\it's a view I could never see on my own.\But if I'm not doing it alone...\Let's play.\Haikyu!!\Episode 1: The End The Beginning response:	All right.
context: What does it look like?\The view from the top...\it's a view I could never see on my own.\But if I'm not doing it alone...\Let's play.\Haikyu!!\Episode 1: The End The Beginning\All right. response:	Yukigaoka Electric
context: The view from the top...\it's a view I could never see on my own.\But if I'm not doing it alone...\Let's play.\Haikyu!!\Episode 1: The End The Beginning\All right.\Yukigaoka Electric response:	Congrats Karasuno High School
context: it's a view I could never see on my own.\But if I'm not doing it alone...\Let's play.\Haikyu!!\Episode 1: The End The Beginning\All right.\Yukigaoka Electric\Congrats Karasuno High School response:	Score.
context: But if I'm not doing it alone...\Let's play.\Haikyu!!\Episode 1: The End The Beginning\All right.\Yukigaoka Electric\Congrats Karasuno High School\Score. response:	The little giant lives up to his name.
context: Let's play.\Haikyu!!\Episode 1: The End The Beginning\All right.\Yukigaoka Electric\Congrats Karasuno High School\Score.\The little giant lives up to his name. response:	That's five points in a row.
context: Haikyu!!\Episode 1: The End The Beginning\All right.\Yukigaoka Electric\Congrats Karasuno High School\Score.\The little giant lives up to his name.\That's five points in a row. response:	Here we are at the National High School Volleyball Championship,
context: Episode 1: The End The Beginning\All right.\Yukigaoka Electric\Congrats Karasuno High School\Score.\The little giant lives up to his name.\That's five points in a row.\Here we are at the National High School Volleyball Championship, response:	spring season, where Karasuno High School's little giant
context: All right.\Yukigaoka Electric\Congrats Karasuno High School\Score.\The little giant lives up to his name.\That's five points in a row.\Here we are at the National High School Volleyball Championship,\spring season, where Karasuno High School's little giant response:	has been springing up and down among players 190 centimeters tall.
context: Yukigaoka Electric\Congrats Karasuno High School\Score.\The little giant lives up to his name.\That's five points in a row.\Here we are at the National High School Volleyball Championship,\spring season, where Karasuno High School's little giant\has been springing up and down among players 190 centimeters tall. response:	Karasuno, is that the school in our neighboring town?
context: Congrats Karasuno High School\Score.\The little giant lives up to his name.\That's five points in a row.\Here we are at the National High School Volleyball Championship,\spring season, where Karasuno High School's little giant\has been springing up and down among players 190 centimeters tall.\Karasuno, is that the school in our neighboring town? response:	Pretty impressive.
context: Score.\The little giant lives up to his name.\That's five points in a row.\Here we are at the National High School Volleyball Championship,\spring season, where Karasuno High School's little giant\has been springing up and down among players 190 centimeters tall.\Karasuno, is that the school in our neighboring town?\Pretty impressive. response:	Sho-chan, hurry. They'll take the court.
context: The little giant lives up to his name.\That's five points in a row.\Here we are at the National High School Volleyball Championship,\spring season, where Karasuno High School's little giant\has been springing up and down among players 190 centimeters tall.\Karasuno, is that the school in our neighboring town?\Pretty impressive.\Sho-chan, hurry. They'll take the court. response:	Karasuno...
context: That's five points in a row.\Here we are at the National High School Volleyball Championship,\spring season, where Karasuno High School's little giant\has been springing up and down among players 190 centimeters tall.\Karasuno, is that the school in our neighboring town?\Pretty impressive.\Sho-chan, hurry. They'll take the court.\Karasuno... response:	Approximately 3 years and 3 months later
context: Here we are at the National High School Volleyball Championship,\spring season, where Karasuno High School's little giant\has been springing up and down among players 190 centimeters tall.\Karasuno, is that the school in our neighboring town?\Pretty impressive.\Sho-chan, hurry. They'll take the court.\Karasuno...\Approximately 3 years and 3 months later response:	Sho-chan wait up.
context: spring season, where Karasuno High School's little giant\has been springing up and down among players 190 centimeters tall.\Karasuno, is that the school in our neighboring town?\Pretty impressive.\Sho-chan, hurry. They'll take the court.\Karasuno...\Approximately 3 years and 3 months later\Sho-chan wait up. response:	It's huge.
context: has been springing up and down among players 190 centimeters tall.\Karasuno, is that the school in our neighboring town?\Pretty impressive.\Sho-chan, hurry. They'll take the court.\Karasuno...\Approximately 3 years and 3 months later\Sho-chan wait up.\It's huge. response:	The smell of Air Salonpas!
context: Karasuno, is that the school in our neighboring town?\Pretty impressive.\Sho-chan, hurry. They'll take the court.\Karasuno...\Approximately 3 years and 3 months later\Sho-chan wait up.\It's huge.\The smell of Air Salonpas! response:	Sho-chan, you're too nervous.
context: Pretty impressive.\Sho-chan, hurry. They'll take the court.\Karasuno...\Approximately 3 years and 3 months later\Sho-chan wait up.\It's huge.\The smell of Air Salonpas!\Sho-chan, you're too nervous. response:	They'll think you're a country hick.
context: Sho-chan, hurry. They'll take the court.\Karasuno...\Approximately 3 years and 3 months later\Sho-chan wait up.\It's huge.\The smell of Air Salonpas!\Sho-chan, you're too nervous.\They'll think you're a country hick. response:	B-But I've never been in a real tournament before.
context: Karasuno...\Approximately 3 years and 3 months later\Sho-chan wait up.\It's huge.\The smell of Air Salonpas!\Sho-chan, you're too nervous.\They'll think you're a country hick.\B-But I've never been in a real tournament before. response:	Three years later and I'm finally here.
context: Approximately 3 years and 3 months later\Sho-chan wait up.\It's huge.\The smell of Air Salonpas!\Sho-chan, you're too nervous.\They'll think you're a country hick.\B-But I've never been in a real tournament before.\Three years later and I'm finally here. response:	It's sure been a struggle to get here.
context: Sho-chan wait up.\It's huge.\The smell of Air Salonpas!\Sho-chan, you're too nervous.\They'll think you're a country hick.\B-But I've never been in a real tournament before.\Three years later and I'm finally here.\It's sure been a struggle to get here. response:	Izumi, Koji,
context: It's huge.\The smell of Air Salonpas!\Sho-chan, you're too nervous.\They'll think you're a country hick.\B-But I've never been in a real tournament before.\Three years later and I'm finally here.\It's sure been a struggle to get here.\Izumi, Koji, response:	thanks for being here for moral support.
context: The smell of Air Salonpas!\Sho-chan, you're too nervous.\They'll think you're a country hick.\B-But I've never been in a real tournament before.\Three years later and I'm finally here.\It's sure been a struggle to get here.\Izumi, Koji,\thanks for being here for moral support. response:	Stop it.
context: Sho-chan, you're too nervous.\They'll think you're a country hick.\B-But I've never been in a real tournament before.\Three years later and I'm finally here.\It's sure been a struggle to get here.\Izumi, Koji,\thanks for being here for moral support.\Stop it. response:	Our tournament's already finished, so...
context: They'll think you're a country hick.\B-But I've never been in a real tournament before.\Three years later and I'm finally here.\It's sure been a struggle to get here.\Izumi, Koji,\thanks for being here for moral support.\Stop it.\Our tournament's already finished, so... response:	First-year students, you too, thanks!
context: B-But I've never been in a real tournament before.\Three years later and I'm finally here.\It's sure been a struggle to get here.\Izumi, Koji,\thanks for being here for moral support.\Stop it.\Our tournament's already finished, so...\First-year students, you too, thanks! response:	It's a miracle the three of you are here.
context: Three years later and I'm finally here.\It's sure been a struggle to get here.\Izumi, Koji,\thanks for being here for moral support.\Stop it.\Our tournament's already finished, so...\First-year students, you too, thanks!\It's a miracle the three of you are here. response:	Oh, yes.
context: It's sure been a struggle to get here.\Izumi, Koji,\thanks for being here for moral support.\Stop it.\Our tournament's already finished, so...\First-year students, you too, thanks!\It's a miracle the three of you are here.\Oh, yes. response:	We're total amateurs, but...
context: Izumi, Koji,\thanks for being here for moral support.\Stop it.\Our tournament's already finished, so...\First-year students, you too, thanks!\It's a miracle the three of you are here.\Oh, yes.\We're total amateurs, but... response:	Don't cry, Shoyo.
context: thanks for being here for moral support.\Stop it.\Our tournament's already finished, so...\First-year students, you too, thanks!\It's a miracle the three of you are here.\Oh, yes.\We're total amateurs, but...\Don't cry, Shoyo. response:	I'm not crying.
context: Stop it.\Our tournament's already finished, so...\First-year students, you too, thanks!\It's a miracle the three of you are here.\Oh, yes.\We're total amateurs, but...\Don't cry, Shoyo.\I'm not crying. response:	You're super tearful.
context: Our tournament's already finished, so...\First-year students, you too, thanks!\It's a miracle the three of you are here.\Oh, yes.\We're total amateurs, but...\Don't cry, Shoyo.\I'm not crying.\You're super tearful. response:	U-Um, Hinata-senpai, we should get started.
context: First-year students, you too, thanks!\It's a miracle the three of you are here.\Oh, yes.\We're total amateurs, but...\Don't cry, Shoyo.\I'm not crying.\You're super tearful.\U-Um, Hinata-senpai, we should get started. response:	Come on, Captain. Get on the ball.
context: It's a miracle the three of you are here.\Oh, yes.\We're total amateurs, but...\Don't cry, Shoyo.\I'm not crying.\You're super tearful.\U-Um, Hinata-senpai, we should get started.\Come on, Captain. Get on the ball. response:	That's right.
context: Oh, yes.\We're total amateurs, but...\Don't cry, Shoyo.\I'm not crying.\You're super tearful.\U-Um, Hinata-senpai, we should get started.\Come on, Captain. Get on the ball.\That's right. response:	You dragged us here. We don't even know the rules.
context: We're total amateurs, but...\Don't cry, Shoyo.\I'm not crying.\You're super tearful.\U-Um, Hinata-senpai, we should get started.\Come on, Captain. Get on the ball.\That's right.\You dragged us here. We don't even know the rules. response:	I know that.
context: Don't cry, Shoyo.\I'm not crying.\You're super tearful.\U-Um, Hinata-senpai, we should get started.\Come on, Captain. Get on the ball.\That's right.\You dragged us here. We don't even know the rules.\I know that. response:	We made it all the way to the tournament, we have to win.
context: I'm not crying.\You're super tearful.\U-Um, Hinata-senpai, we should get started.\Come on, Captain. Get on the ball.\That's right.\You dragged us here. We don't even know the rules.\I know that.\We made it all the way to the tournament, we have to win. response:	National Junior High Team Sports Miyagi Prefecture Volleyball Tournament <Men>
context: You're super tearful.\U-Um, Hinata-senpai, we should get started.\Come on, Captain. Get on the ball.\That's right.\You dragged us here. We don't even know the rules.\I know that.\We made it all the way to the tournament, we have to win.\National Junior High Team Sports Miyagi Prefecture Volleyball Tournament <Men> response:	Combinations Championship
context: U-Um, Hinata-senpai, we should get started.\Come on, Captain. Get on the ball.\That's right.\You dragged us here. We don't even know the rules.\I know that.\We made it all the way to the tournament, we have to win.\National Junior High Team Sports Miyagi Prefecture Volleyball Tournament <Men>\Combinations Championship response:	What?
context: Come on, Captain. Get on the ball.\That's right.\You dragged us here. We don't even know the rules.\I know that.\We made it all the way to the tournament, we have to win.\National Junior High Team Sports Miyagi Prefecture Volleyball Tournament <Men>\Combinations Championship\What? response:	You think we can win with our last-minute team pick?
context: That's right.\You dragged us here. We don't even know the rules.\I know that.\We made it all the way to the tournament, we have to win.\National Junior High Team Sports Miyagi Prefecture Volleyball Tournament <Men>\Combinations Championship\What?\You think we can win with our last-minute team pick? response:	Of course.
context: You dragged us here. We don't even know the rules.\I know that.\We made it all the way to the tournament, we have to win.\National Junior High Team Sports Miyagi Prefecture Volleyball Tournament <Men>\Combinations Championship\What?\You think we can win with our last-minute team pick?\Of course. response:	What's our opponent Kitagawa Daiichi like?
context: I know that.\We made it all the way to the tournament, we have to win.\National Junior High Team Sports Miyagi Prefecture Volleyball Tournament <Men>\Combinations Championship\What?\You think we can win with our last-minute team pick?\Of course.\What's our opponent Kitagawa Daiichi like? response:	I don't know.
context: We made it all the way to the tournament, we have to win.\National Junior High Team Sports Miyagi Prefecture Volleyball Tournament <Men>\Combinations Championship\What?\You think we can win with our last-minute team pick?\Of course.\What's our opponent Kitagawa Daiichi like?\I don't know. response:	But we're going to do it.
context: National Junior High Team Sports Miyagi Prefecture Volleyball Tournament <Men>\Combinations Championship\What?\You think we can win with our last-minute team pick?\Of course.\What's our opponent Kitagawa Daiichi like?\I don't know.\But we're going to do it. response:	Whoops, sorry! Come on.
context: Combinations Championship\What?\You think we can win with our last-minute team pick?\Of course.\What's our opponent Kitagawa Daiichi like?\I don't know.\But we're going to do it.\Whoops, sorry! Come on. response:	They're huge.
context: What?\You think we can win with our last-minute team pick?\Of course.\What's our opponent Kitagawa Daiichi like?\I don't know.\But we're going to do it.\Whoops, sorry! Come on.\They're huge. response:	What the...
context: You think we can win with our last-minute team pick?\Of course.\What's our opponent Kitagawa Daiichi like?\I don't know.\But we're going to do it.\Whoops, sorry! Come on.\They're huge.\What the... response:	Victory Kitagawa Daiichi Junior High School
context: Of course.\What's our opponent Kitagawa Daiichi like?\I don't know.\But we're going to do it.\Whoops, sorry! Come on.\They're huge.\What the...\Victory Kitagawa Daiichi Junior High School response:	Kita-Ichi!
context: What's our opponent Kitagawa Daiichi like?\I don't know.\But we're going to do it.\Whoops, sorry! Come on.\They're huge.\What the...\Victory Kitagawa Daiichi Junior High School\Kita-Ichi! response:	Kita-Ichi!
context: I don't know.\But we're going to do it.\Whoops, sorry! Come on.\They're huge.\What the...\Victory Kitagawa Daiichi Junior High School\Kita-Ichi!\Kita-Ichi! response:	It's Kitagawa Daiichi.
