context: Arrow, where are you headed? response:	We're going to shoot him, too?
context: Arrow, where are you headed?\We're going to shoot him, too? response:	That young man will be the sixth new Stand user...
context: Arrow, where are you headed?\We're going to shoot him, too?\That young man will be the sixth new Stand user... response:	But that should be plenty.
context: Arrow, where are you headed?\We're going to shoot him, too?\That young man will be the sixth new Stand user...\But that should be plenty. response:	I'll be able to kill anyone who tries to get near my son, Yoshikage!
context: Arrow, where are you headed?\We're going to shoot him, too?\That young man will be the sixth new Stand user...\But that should be plenty.\I'll be able to kill anyone who tries to get near my son, Yoshikage! response:	What?!
context: Arrow, where are you headed?\We're going to shoot him, too?\That young man will be the sixth new Stand user...\But that should be plenty.\I'll be able to kill anyone who tries to get near my son, Yoshikage!\What?! response:	Ow.
context: Arrow, where are you headed?\We're going to shoot him, too?\That young man will be the sixth new Stand user...\But that should be plenty.\I'll be able to kill anyone who tries to get near my son, Yoshikage!\What?!\Ow. response:	Wh-What's the meaning of this?
context: Arrow, where are you headed?\We're going to shoot him, too?\That young man will be the sixth new Stand user...\But that should be plenty.\I'll be able to kill anyone who tries to get near my son, Yoshikage!\What?!\Ow.\Wh-What's the meaning of this? response:	The arrow chose him, but it was deflected.
context: We're going to shoot him, too?\That young man will be the sixth new Stand user...\But that should be plenty.\I'll be able to kill anyone who tries to get near my son, Yoshikage!\What?!\Ow.\Wh-What's the meaning of this?\The arrow chose him, but it was deflected. response:	Jojo's Bizarre Adventure
context: That young man will be the sixth new Stand user...\But that should be plenty.\I'll be able to kill anyone who tries to get near my son, Yoshikage!\What?!\Ow.\Wh-What's the meaning of this?\The arrow chose him, but it was deflected.\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: But that should be plenty.\I'll be able to kill anyone who tries to get near my son, Yoshikage!\What?!\Ow.\Wh-What's the meaning of this?\The arrow chose him, but it was deflected.\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	Episode 27 I'm an Alien
context: I'll be able to kill anyone who tries to get near my son, Yoshikage!\What?!\Ow.\Wh-What's the meaning of this?\The arrow chose him, but it was deflected.\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 27 I'm an Alien response:	That's all the information we were able to gather.
context: What?!\Ow.\Wh-What's the meaning of this?\The arrow chose him, but it was deflected.\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 27 I'm an Alien\That's all the information we were able to gather. response:	Profile Yoshikage Kira
context: Ow.\Wh-What's the meaning of this?\The arrow chose him, but it was deflected.\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 27 I'm an Alien\That's all the information we were able to gather.\Profile Yoshikage Kira response:	It appears he's done a good job of disposing of all evidence of his crimes up to now.
context: Wh-What's the meaning of this?\The arrow chose him, but it was deflected.\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 27 I'm an Alien\That's all the information we were able to gather.\Profile Yoshikage Kira\It appears he's done a good job of disposing of all evidence of his crimes up to now. response:	Yoshikage Kira...
context: The arrow chose him, but it was deflected.\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 27 I'm an Alien\That's all the information we were able to gather.\Profile Yoshikage Kira\It appears he's done a good job of disposing of all evidence of his crimes up to now.\Yoshikage Kira... response:	What do you look like now, and what is your name?
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 27 I'm an Alien\That's all the information we were able to gather.\Profile Yoshikage Kira\It appears he's done a good job of disposing of all evidence of his crimes up to now.\Yoshikage Kira...\What do you look like now, and what is your name? response:	Where are you?
context: Diamond is Unbreakable\Episode 27 I'm an Alien\That's all the information we were able to gather.\Profile Yoshikage Kira\It appears he's done a good job of disposing of all evidence of his crimes up to now.\Yoshikage Kira...\What do you look like now, and what is your name?\Where are you? response:	Summer...
context: Episode 27 I'm an Alien\That's all the information we were able to gather.\Profile Yoshikage Kira\It appears he's done a good job of disposing of all evidence of his crimes up to now.\Yoshikage Kira...\What do you look like now, and what is your name?\Where are you?\Summer... response:	There are many more tourists around town now.
context: That's all the information we were able to gather.\Profile Yoshikage Kira\It appears he's done a good job of disposing of all evidence of his crimes up to now.\Yoshikage Kira...\What do you look like now, and what is your name?\Where are you?\Summer...\There are many more tourists around town now. response:	Yeah...
context: Profile Yoshikage Kira\It appears he's done a good job of disposing of all evidence of his crimes up to now.\Yoshikage Kira...\What do you look like now, and what is your name?\Where are you?\Summer...\There are many more tourists around town now.\Yeah... response:	I doubt that he'll be able to stay put.
context: It appears he's done a good job of disposing of all evidence of his crimes up to now.\Yoshikage Kira...\What do you look like now, and what is your name?\Where are you?\Summer...\There are many more tourists around town now.\Yeah...\I doubt that he'll be able to stay put. response:	I'm sure he won't be able to resist making a move.
