context: Asking someone how long they believed in Santa Claus... response:	Regardless, if you're going to ask me how much of my childhood I spent believing in an old man in a red suit...
context: Asking someone how long they believed in Santa Claus...\Regardless, if you're going to ask me how much of my childhood I spent believing in an old man in a red suit... response:	I knew that the Santa at the preschool Christmas event was just a fake.
context: Asking someone how long they believed in Santa Claus...\Regardless, if you're going to ask me how much of my childhood I spent believing in an old man in a red suit...\I knew that the Santa at the preschool Christmas event was just a fake. response:	And I didn't even have to see Mommy kissing Santa Claus...
context: Asking someone how long they believed in Santa Claus...\Regardless, if you're going to ask me how much of my childhood I spent believing in an old man in a red suit...\I knew that the Santa at the preschool Christmas event was just a fake.\And I didn't even have to see Mommy kissing Santa Claus... response:	I suppose I was just a precocious child who questioned the existence of an old man who only worked on Christmas.
context: Asking someone how long they believed in Santa Claus...\Regardless, if you're going to ask me how much of my childhood I spent believing in an old man in a red suit...\I knew that the Santa at the preschool Christmas event was just a fake.\And I didn't even have to see Mommy kissing Santa Claus...\I suppose I was just a precocious child who questioned the existence of an old man who only worked on Christmas. response:	At any rate...
context: Asking someone how long they believed in Santa Claus...\Regardless, if you're going to ask me how much of my childhood I spent believing in an old man in a red suit...\I knew that the Santa at the preschool Christmas event was just a fake.\And I didn't even have to see Mommy kissing Santa Claus...\I suppose I was just a precocious child who questioned the existence of an old man who only worked on Christmas.\At any rate... response:	Be it aliens, time travelers, ghosts, demons, espers...
context: Asking someone how long they believed in Santa Claus...\Regardless, if you're going to ask me how much of my childhood I spent believing in an old man in a red suit...\I knew that the Santa at the preschool Christmas event was just a fake.\And I didn't even have to see Mommy kissing Santa Claus...\I suppose I was just a precocious child who questioned the existence of an old man who only worked on Christmas.\At any rate...\Be it aliens, time travelers, ghosts, demons, espers... response:	I didn't realize that they weren't real until some time later.
context: Asking someone how long they believed in Santa Claus...\Regardless, if you're going to ask me how much of my childhood I spent believing in an old man in a red suit...\I knew that the Santa at the preschool Christmas event was just a fake.\And I didn't even have to see Mommy kissing Santa Claus...\I suppose I was just a precocious child who questioned the existence of an old man who only worked on Christmas.\At any rate...\Be it aliens, time travelers, ghosts, demons, espers...\I didn't realize that they weren't real until some time later. response:	No. I had probably already realized the truth.
context: Regardless, if you're going to ask me how much of my childhood I spent believing in an old man in a red suit...\I knew that the Santa at the preschool Christmas event was just a fake.\And I didn't even have to see Mommy kissing Santa Claus...\I suppose I was just a precocious child who questioned the existence of an old man who only worked on Christmas.\At any rate...\Be it aliens, time travelers, ghosts, demons, espers...\I didn't realize that they weren't real until some time later.\No. I had probably already realized the truth. response:	I just didn't want to admit it.
context: I knew that the Santa at the preschool Christmas event was just a fake.\And I didn't even have to see Mommy kissing Santa Claus...\I suppose I was just a precocious child who questioned the existence of an old man who only worked on Christmas.\At any rate...\Be it aliens, time travelers, ghosts, demons, espers...\I didn't realize that they weren't real until some time later.\No. I had probably already realized the truth.\I just didn't want to admit it. response:	Deep in my heart, I wished that aliens, time travelers, ghosts, demons, espers...
context: And I didn't even have to see Mommy kissing Santa Claus...\I suppose I was just a precocious child who questioned the existence of an old man who only worked on Christmas.\At any rate...\Be it aliens, time travelers, ghosts, demons, espers...\I didn't realize that they weren't real until some time later.\No. I had probably already realized the truth.\I just didn't want to admit it.\Deep in my heart, I wished that aliens, time travelers, ghosts, demons, espers... response:	However, reality is rather cruel!
