context: OP response:	ED
context: OP\ED response:	TS
context: OP\ED\TS response:	Episode
context: OP\ED\TS\Episode response:	The blue moon illuminated
context: OP\ED\TS\Episode\The blue moon illuminated response:	your wandering shadow.
context: OP\ED\TS\Episode\The blue moon illuminated\your wandering shadow. response:	I could never tell you all I wanted to say.
context: OP\ED\TS\Episode\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say. response:	It was so very frustrating.
context: OP\ED\TS\Episode\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating. response:	I think about your faked smile,
context: ED\TS\Episode\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile, response:	and forget all the hot tears we shed.
context: TS\Episode\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed. response:	What do these empty husks,
context: Episode\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks, response:	those empty eyes of yours, reflect, my dear?
context: The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear? response:	The transient quarter moon
context: your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon response:	hides in a rift in the clouds,
context: I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds, response:	as darkness seeps up from the ground.
context: It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground. response:	Tell me the truth, please.
context: I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please. response:	Are you so despondent
context: and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent response:	that you still sit alone, sighing?
context: What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing? response:	Without you, I just cant smile.
context: those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\Without you, I just cant smile. response:	I walk this banal town,
context: The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\Without you, I just cant smile.\I walk this banal town, response:	feeling such intense emotions.
context: hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\Without you, I just cant smile.\I walk this banal town,\feeling such intense emotions. response:	I know that if I could treasure them and live on,
context: as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\Without you, I just cant smile.\I walk this banal town,\feeling such intense emotions.\I know that if I could treasure them and live on, response:	I would need nothing else.
context: Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\Without you, I just cant smile.\I walk this banal town,\feeling such intense emotions.\I know that if I could treasure them and live on,\I would need nothing else. response:	The summer flowers that bloomed in the sky
context: Are you so despondent\that you still sit alone, sighing?\Without you, I just cant smile.\I walk this banal town,\feeling such intense emotions.\I know that if I could treasure them and live on,\I would need nothing else.\The summer flowers that bloomed in the sky response:	Come falling down, dancing in the wind.
context: that you still sit alone, sighing?\Without you, I just cant smile.\I walk this banal town,\feeling such intense emotions.\I know that if I could treasure them and live on,\I would need nothing else.\The summer flowers that bloomed in the sky\Come falling down, dancing in the wind. response:	I can barely recall the night sky
context: Without you, I just cant smile.\I walk this banal town,\feeling such intense emotions.\I know that if I could treasure them and live on,\I would need nothing else.\The summer flowers that bloomed in the sky\Come falling down, dancing in the wind.\I can barely recall the night sky response:	where they all came tumbling down,
context: I walk this banal town,\feeling such intense emotions.\I know that if I could treasure them and live on,\I would need nothing else.\The summer flowers that bloomed in the sky\Come falling down, dancing in the wind.\I can barely recall the night sky\where they all came tumbling down, response:	so what I can still recall is all the more precious.
context: feeling such intense emotions.\I know that if I could treasure them and live on,\I would need nothing else.\The summer flowers that bloomed in the sky\Come falling down, dancing in the wind.\I can barely recall the night sky\where they all came tumbling down,\so what I can still recall is all the more precious. response:	Part the Second
context: I know that if I could treasure them and live on,\I would need nothing else.\The summer flowers that bloomed in the sky\Come falling down, dancing in the wind.\I can barely recall the night sky\where they all came tumbling down,\so what I can still recall is all the more precious.\Part the Second response:	The End
context: I would need nothing else.\The summer flowers that bloomed in the sky\Come falling down, dancing in the wind.\I can barely recall the night sky\where they all came tumbling down,\so what I can still recall is all the more precious.\Part the Second\The End response:	The intertwined fates of men give the Mononoke its Form.
context: The summer flowers that bloomed in the sky\Come falling down, dancing in the wind.\I can barely recall the night sky\where they all came tumbling down,\so what I can still recall is all the more precious.\Part the Second\The End\The intertwined fates of men give the Mononoke its Form. response:	Enter the woman, protecting her child.
context: Come falling down, dancing in the wind.\I can barely recall the night sky\where they all came tumbling down,\so what I can still recall is all the more precious.\Part the Second\The End\The intertwined fates of men give the Mononoke its Form.\Enter the woman, protecting her child. response:	Enter the mistress who gives the woman shelter for the night.
context: I can barely recall the night sky\where they all came tumbling down,\so what I can still recall is all the more precious.\Part the Second\The End\The intertwined fates of men give the Mononoke its Form.\Enter the woman, protecting her child.\Enter the mistress who gives the woman shelter for the night. response:	Enter the man who seeks the woman.
context: where they all came tumbling down,\so what I can still recall is all the more precious.\Part the Second\The End\The intertwined fates of men give the Mononoke its Form.\Enter the woman, protecting her child.\Enter the mistress who gives the woman shelter for the night.\Enter the man who seeks the woman. response:	They all reside beneath the same roof.
context: so what I can still recall is all the more precious.\Part the Second\The End\The intertwined fates of men give the Mononoke its Form.\Enter the woman, protecting her child.\Enter the mistress who gives the woman shelter for the night.\Enter the man who seeks the woman.\They all reside beneath the same roof. response:	A splendid cast, set against the nightly bustle, the splash of drink and the clatter of cups,
context: Part the Second\The End\The intertwined fates of men give the Mononoke its Form.\Enter the woman, protecting her child.\Enter the mistress who gives the woman shelter for the night.\Enter the man who seeks the woman.\They all reside beneath the same roof.\A splendid cast, set against the nightly bustle, the splash of drink and the clatter of cups, response:	and the innocent sound of childrens voices.
context: The End\The intertwined fates of men give the Mononoke its Form.\Enter the woman, protecting her child.\Enter the mistress who gives the woman shelter for the night.\Enter the man who seeks the woman.\They all reside beneath the same roof.\A splendid cast, set against the nightly bustle, the splash of drink and the clatter of cups,\and the innocent sound of childrens voices. response:	Though the voices were clear, the children were absent, except for the one in the womans womb.
