context: Huh?! response:	Incoming call: Yoko Nakaizumi
context: Huh?!\Incoming call: Yoko Nakaizumi response:	I won!
context: Huh?!\Incoming call: Yoko Nakaizumi\I won! response:	Perfect!
context: Huh?!\Incoming call: Yoko Nakaizumi\I won!\Perfect! response:	Did I get too carried away?
context: Huh?!\Incoming call: Yoko Nakaizumi\I won!\Perfect!\Did I get too carried away? response:	The color changed.
context: Huh?!\Incoming call: Yoko Nakaizumi\I won!\Perfect!\Did I get too carried away?\The color changed. response:	This looks much better!
context: Huh?!\Incoming call: Yoko Nakaizumi\I won!\Perfect!\Did I get too carried away?\The color changed.\This looks much better! response:	Excellent work.
context: Huh?!\Incoming call: Yoko Nakaizumi\I won!\Perfect!\Did I get too carried away?\The color changed.\This looks much better!\Excellent work. response:	What? Uh, thanks.
context: Incoming call: Yoko Nakaizumi\I won!\Perfect!\Did I get too carried away?\The color changed.\This looks much better!\Excellent work.\What? Uh, thanks. response:	You fought brilliantly by pushing Vox Aura's abilities to the limit.
context: I won!\Perfect!\Did I get too carried away?\The color changed.\This looks much better!\Excellent work.\What? Uh, thanks.\You fought brilliantly by pushing Vox Aura's abilities to the limit. response:	I'm Moid, and you have made a lasting impression on me.
context: Perfect!\Did I get too carried away?\The color changed.\This looks much better!\Excellent work.\What? Uh, thanks.\You fought brilliantly by pushing Vox Aura's abilities to the limit.\I'm Moid, and you have made a lasting impression on me. response:	Fox...?
context: Did I get too carried away?\The color changed.\This looks much better!\Excellent work.\What? Uh, thanks.\You fought brilliantly by pushing Vox Aura's abilities to the limit.\I'm Moid, and you have made a lasting impression on me.\Fox...? response:	Vox Aura.
context: The color changed.\This looks much better!\Excellent work.\What? Uh, thanks.\You fought brilliantly by pushing Vox Aura's abilities to the limit.\I'm Moid, and you have made a lasting impression on me.\Fox...?\Vox Aura. response:	It is the name of that Ovid.
context: This looks much better!\Excellent work.\What? Uh, thanks.\You fought brilliantly by pushing Vox Aura's abilities to the limit.\I'm Moid, and you have made a lasting impression on me.\Fox...?\Vox Aura.\It is the name of that Ovid. response:	Oh, so that's its name?
context: Excellent work.\What? Uh, thanks.\You fought brilliantly by pushing Vox Aura's abilities to the limit.\I'm Moid, and you have made a lasting impression on me.\Fox...?\Vox Aura.\It is the name of that Ovid.\Oh, so that's its name? response:	Lan!
context: What? Uh, thanks.\You fought brilliantly by pushing Vox Aura's abilities to the limit.\I'm Moid, and you have made a lasting impression on me.\Fox...?\Vox Aura.\It is the name of that Ovid.\Oh, so that's its name?\Lan! response:	Were you watching?
