context: Once upon a time, there was a man who died. response:	The story the man wrote was about a happy prince who loved everyone and was loved by everyone.
context: Once upon a time, there was a man who died.\The story the man wrote was about a happy prince who loved everyone and was loved by everyone. response:	The people fought, each wanting him to love them and them alone,
context: Once upon a time, there was a man who died.\The story the man wrote was about a happy prince who loved everyone and was loved by everyone.\The people fought, each wanting him to love them and them alone, response:	and an evil raven pecked at their loving hearts one after another.
context: Once upon a time, there was a man who died.\The story the man wrote was about a happy prince who loved everyone and was loved by everyone.\The people fought, each wanting him to love them and them alone,\and an evil raven pecked at their loving hearts one after another. response:	The more the prince loved them and tried to save them, the more the people's love just fed the raven.
context: Once upon a time, there was a man who died.\The story the man wrote was about a happy prince who loved everyone and was loved by everyone.\The people fought, each wanting him to love them and them alone,\and an evil raven pecked at their loving hearts one after another.\The more the prince loved them and tried to save them, the more the people's love just fed the raven. response:	In the end, the raven thought I'd like to try eating the prince's heart, the most delicious one of all.
context: Once upon a time, there was a man who died.\The story the man wrote was about a happy prince who loved everyone and was loved by everyone.\The people fought, each wanting him to love them and them alone,\and an evil raven pecked at their loving hearts one after another.\The more the prince loved them and tried to save them, the more the people's love just fed the raven.\In the end, the raven thought I'd like to try eating the prince's heart, the most delicious one of all. response:	Thank you.
context: Once upon a time, there was a man who died.\The story the man wrote was about a happy prince who loved everyone and was loved by everyone.\The people fought, each wanting him to love them and them alone,\and an evil raven pecked at their loving hearts one after another.\The more the prince loved them and tried to save them, the more the people's love just fed the raven.\In the end, the raven thought I'd like to try eating the prince's heart, the most delicious one of all.\Thank you. response:	Hey!
context: Once upon a time, there was a man who died.\The story the man wrote was about a happy prince who loved everyone and was loved by everyone.\The people fought, each wanting him to love them and them alone,\and an evil raven pecked at their loving hearts one after another.\The more the prince loved them and tried to save them, the more the people's love just fed the raven.\In the end, the raven thought I'd like to try eating the prince's heart, the most delicious one of all.\Thank you.\Hey! response:	What happened?
context: The story the man wrote was about a happy prince who loved everyone and was loved by everyone.\The people fought, each wanting him to love them and them alone,\and an evil raven pecked at their loving hearts one after another.\The more the prince loved them and tried to save them, the more the people's love just fed the raven.\In the end, the raven thought I'd like to try eating the prince's heart, the most delicious one of all.\Thank you.\Hey!\What happened? response:	Who is she? Why did the story...
context: The people fought, each wanting him to love them and them alone,\and an evil raven pecked at their loving hearts one after another.\The more the prince loved them and tried to save them, the more the people's love just fed the raven.\In the end, the raven thought I'd like to try eating the prince's heart, the most delicious one of all.\Thank you.\Hey!\What happened?\Who is she? Why did the story... response:	I won't let the story double back anymore.
context: and an evil raven pecked at their loving hearts one after another.\The more the prince loved them and tried to save them, the more the people's love just fed the raven.\In the end, the raven thought I'd like to try eating the prince's heart, the most delicious one of all.\Thank you.\Hey!\What happened?\Who is she? Why did the story...\I won't let the story double back anymore. response:	Fakir... What are you trying to do?
context: The more the prince loved them and tried to save them, the more the people's love just fed the raven.\In the end, the raven thought I'd like to try eating the prince's heart, the most delicious one of all.\Thank you.\Hey!\What happened?\Who is she? Why did the story...\I won't let the story double back anymore.\Fakir... What are you trying to do? response:	You're not thinking of rewriting the story controlling this town, are you?!
context: In the end, the raven thought I'd like to try eating the prince's heart, the most delicious one of all.\Thank you.\Hey!\What happened?\Who is she? Why did the story...\I won't let the story double back anymore.\Fakir... What are you trying to do?\You're not thinking of rewriting the story controlling this town, are you?! response:	I just want the power to protect people.
context: Thank you.\Hey!\What happened?\Who is she? Why did the story...\I won't let the story double back anymore.\Fakir... What are you trying to do?\You're not thinking of rewriting the story controlling this town, are you?!\I just want the power to protect people. response:	Autor, can I ask you something?
context: Hey!\What happened?\Who is she? Why did the story...\I won't let the story double back anymore.\Fakir... What are you trying to do?\You're not thinking of rewriting the story controlling this town, are you?!\I just want the power to protect people.\Autor, can I ask you something? response:	What?
context: What happened?\Who is she? Why did the story...\I won't let the story double back anymore.\Fakir... What are you trying to do?\You're not thinking of rewriting the story controlling this town, are you?!\I just want the power to protect people.\Autor, can I ask you something?\What? response:	Is my power really something that changes stories into reality?
context: Who is she? Why did the story...\I won't let the story double back anymore.\Fakir... What are you trying to do?\You're not thinking of rewriting the story controlling this town, are you?!\I just want the power to protect people.\Autor, can I ask you something?\What?\Is my power really something that changes stories into reality? response:	Am I not just writing down what will eventually become reality anyway?
context: I won't let the story double back anymore.\Fakir... What are you trying to do?\You're not thinking of rewriting the story controlling this town, are you?!\I just want the power to protect people.\Autor, can I ask you something?\What?\Is my power really something that changes stories into reality?\Am I not just writing down what will eventually become reality anyway? response:	Those two things are part of the same power.
context: Fakir... What are you trying to do?\You're not thinking of rewriting the story controlling this town, are you?!\I just want the power to protect people.\Autor, can I ask you something?\What?\Is my power really something that changes stories into reality?\Am I not just writing down what will eventually become reality anyway?\Those two things are part of the same power. response:	If your power is immature, of course it will be swayed by reality.
context: You're not thinking of rewriting the story controlling this town, are you?!\I just want the power to protect people.\Autor, can I ask you something?\What?\Is my power really something that changes stories into reality?\Am I not just writing down what will eventually become reality anyway?\Those two things are part of the same power.\If your power is immature, of course it will be swayed by reality. response:	But if you develop a strong power, reality should start obeying your stories.
context: I just want the power to protect people.\Autor, can I ask you something?\What?\Is my power really something that changes stories into reality?\Am I not just writing down what will eventually become reality anyway?\Those two things are part of the same power.\If your power is immature, of course it will be swayed by reality.\But if you develop a strong power, reality should start obeying your stories. response:	Then it should be easy even to manipulate the fates of all mankind!
context: Autor, can I ask you something?\What?\Is my power really something that changes stories into reality?\Am I not just writing down what will eventually become reality anyway?\Those two things are part of the same power.\If your power is immature, of course it will be swayed by reality.\But if you develop a strong power, reality should start obeying your stories.\Then it should be easy even to manipulate the fates of all mankind! response:	The power to protect, huh?
context: What?\Is my power really something that changes stories into reality?\Am I not just writing down what will eventually become reality anyway?\Those two things are part of the same power.\If your power is immature, of course it will be swayed by reality.\But if you develop a strong power, reality should start obeying your stories.\Then it should be easy even to manipulate the fates of all mankind!\The power to protect, huh? response:	Did I really write a story that saved her with my own power?
context: Is my power really something that changes stories into reality?\Am I not just writing down what will eventually become reality anyway?\Those two things are part of the same power.\If your power is immature, of course it will be swayed by reality.\But if you develop a strong power, reality should start obeying your stories.\Then it should be easy even to manipulate the fates of all mankind!\The power to protect, huh?\Did I really write a story that saved her with my own power? response:	The Prince and the Raven
context: Am I not just writing down what will eventually become reality anyway?\Those two things are part of the same power.\If your power is immature, of course it will be swayed by reality.\But if you develop a strong power, reality should start obeying your stories.\Then it should be easy even to manipulate the fates of all mankind!\The power to protect, huh?\Did I really write a story that saved her with my own power?\The Prince and the Raven response:	Or was I made to write it?
context: Those two things are part of the same power.\If your power is immature, of course it will be swayed by reality.\But if you develop a strong power, reality should start obeying your stories.\Then it should be easy even to manipulate the fates of all mankind!\The power to protect, huh?\Did I really write a story that saved her with my own power?\The Prince and the Raven\Or was I made to write it? response:	Her feelings for Mytho are spilling up through my hand and out onto the page.
context: If your power is immature, of course it will be swayed by reality.\But if you develop a strong power, reality should start obeying your stories.\Then it should be easy even to manipulate the fates of all mankind!\The power to protect, huh?\Did I really write a story that saved her with my own power?\The Prince and the Raven\Or was I made to write it?\Her feelings for Mytho are spilling up through my hand and out onto the page. response:	Even though I couldn't write one letter of a story about Mytho,
context: But if you develop a strong power, reality should start obeying your stories.\Then it should be easy even to manipulate the fates of all mankind!\The power to protect, huh?\Did I really write a story that saved her with my own power?\The Prince and the Raven\Or was I made to write it?\Her feelings for Mytho are spilling up through my hand and out onto the page.\Even though I couldn't write one letter of a story about Mytho, response:	I could write a story to save her as if it were flowing from me.
context: Then it should be easy even to manipulate the fates of all mankind!\The power to protect, huh?\Did I really write a story that saved her with my own power?\The Prince and the Raven\Or was I made to write it?\Her feelings for Mytho are spilling up through my hand and out onto the page.\Even though I couldn't write one letter of a story about Mytho,\I could write a story to save her as if it were flowing from me. response:	But the story I need to write is about Mytho...
context: The power to protect, huh?\Did I really write a story that saved her with my own power?\The Prince and the Raven\Or was I made to write it?\Her feelings for Mytho are spilling up through my hand and out onto the page.\Even though I couldn't write one letter of a story about Mytho,\I could write a story to save her as if it were flowing from me.\But the story I need to write is about Mytho... response:	I'm at Fakir's?
context: Did I really write a story that saved her with my own power?\The Prince and the Raven\Or was I made to write it?\Her feelings for Mytho are spilling up through my hand and out onto the page.\Even though I couldn't write one letter of a story about Mytho,\I could write a story to save her as if it were flowing from me.\But the story I need to write is about Mytho...\I'm at Fakir's? response:	That manuscript...
context: The Prince and the Raven\Or was I made to write it?\Her feelings for Mytho are spilling up through my hand and out onto the page.\Even though I couldn't write one letter of a story about Mytho,\I could write a story to save her as if it were flowing from me.\But the story I need to write is about Mytho...\I'm at Fakir's?\That manuscript... response:	He said he wrote that for me.
context: Or was I made to write it?\Her feelings for Mytho are spilling up through my hand and out onto the page.\Even though I couldn't write one letter of a story about Mytho,\I could write a story to save her as if it were flowing from me.\But the story I need to write is about Mytho...\I'm at Fakir's?\That manuscript...\He said he wrote that for me. response:	Oh, Uzura-chan!
context: Her feelings for Mytho are spilling up through my hand and out onto the page.\Even though I couldn't write one letter of a story about Mytho,\I could write a story to save her as if it were flowing from me.\But the story I need to write is about Mytho...\I'm at Fakir's?\That manuscript...\He said he wrote that for me.\Oh, Uzura-chan! response:	So you got back safe too, huh?
context: Even though I couldn't write one letter of a story about Mytho,\I could write a story to save her as if it were flowing from me.\But the story I need to write is about Mytho...\I'm at Fakir's?\That manuscript...\He said he wrote that for me.\Oh, Uzura-chan!\So you got back safe too, huh? response:	Fakir!
context: I could write a story to save her as if it were flowing from me.\But the story I need to write is about Mytho...\I'm at Fakir's?\That manuscript...\He said he wrote that for me.\Oh, Uzura-chan!\So you got back safe too, huh?\Fakir! response:	So you're awake. You'll eat, won't you?
context: But the story I need to write is about Mytho...\I'm at Fakir's?\That manuscript...\He said he wrote that for me.\Oh, Uzura-chan!\So you got back safe too, huh?\Fakir!\So you're awake. You'll eat, won't you? response:	Yeah.
context: I'm at Fakir's?\That manuscript...\He said he wrote that for me.\Oh, Uzura-chan!\So you got back safe too, huh?\Fakir!\So you're awake. You'll eat, won't you?\Yeah. response:	Oh, that's the story you wrote...
context: That manuscript...\He said he wrote that for me.\Oh, Uzura-chan!\So you got back safe too, huh?\Fakir!\So you're awake. You'll eat, won't you?\Yeah.\Oh, that's the story you wrote... response:	It's a story that's over now.
context: He said he wrote that for me.\Oh, Uzura-chan!\So you got back safe too, huh?\Fakir!\So you're awake. You'll eat, won't you?\Yeah.\Oh, that's the story you wrote...\It's a story that's over now. response:	The story about me that Fakir wrote for me...
