context: Let's eat! response:	Yum!
context: Let's eat!\Yum! response:	Your croquettes are as awesome as ever, Mom!
context: Let's eat!\Yum!\Your croquettes are as awesome as ever, Mom! response:	Yeah! When it comes to deep-frying
context: Let's eat!\Yum!\Your croquettes are as awesome as ever, Mom!\Yeah! When it comes to deep-frying response:	mystery ingredients, you're the best in Japan, dear!
context: Let's eat!\Yum!\Your croquettes are as awesome as ever, Mom!\Yeah! When it comes to deep-frying\mystery ingredients, you're the best in Japan, dear! response:	The trick is to chop everything finely and mix them in with potatoes.
context: Let's eat!\Yum!\Your croquettes are as awesome as ever, Mom!\Yeah! When it comes to deep-frying\mystery ingredients, you're the best in Japan, dear!\The trick is to chop everything finely and mix them in with potatoes. response:	Your croquettes really are great, ma'am!
context: Let's eat!\Yum!\Your croquettes are as awesome as ever, Mom!\Yeah! When it comes to deep-frying\mystery ingredients, you're the best in Japan, dear!\The trick is to chop everything finely and mix them in with potatoes.\Your croquettes really are great, ma'am! response:	I'm glad you think so. Please, eat all you like.
context: Let's eat!\Yum!\Your croquettes are as awesome as ever, Mom!\Yeah! When it comes to deep-frying\mystery ingredients, you're the best in Japan, dear!\The trick is to chop everything finely and mix them in with potatoes.\Your croquettes really are great, ma'am!\I'm glad you think so. Please, eat all you like. response:	Oh, I'm already full.
context: Yum!\Your croquettes are as awesome as ever, Mom!\Yeah! When it comes to deep-frying\mystery ingredients, you're the best in Japan, dear!\The trick is to chop everything finely and mix them in with potatoes.\Your croquettes really are great, ma'am!\I'm glad you think so. Please, eat all you like.\Oh, I'm already full. response:	Thanks for the meal.
context: Your croquettes are as awesome as ever, Mom!\Yeah! When it comes to deep-frying\mystery ingredients, you're the best in Japan, dear!\The trick is to chop everything finely and mix them in with potatoes.\Your croquettes really are great, ma'am!\I'm glad you think so. Please, eat all you like.\Oh, I'm already full.\Thanks for the meal. response:	If you're done eating, Ryuko, the bath is drawn and ready.
context: Yeah! When it comes to deep-frying\mystery ingredients, you're the best in Japan, dear!\The trick is to chop everything finely and mix them in with potatoes.\Your croquettes really are great, ma'am!\I'm glad you think so. Please, eat all you like.\Oh, I'm already full.\Thanks for the meal.\If you're done eating, Ryuko, the bath is drawn and ready. response:	Oh. Sure.
