context: Now, why don't you come with me, tiger boy? response:	Now, why don't you come with me, tiger boy?
context: Now, why don't you come with me, tiger boy?\Now, why don't you come with me, tiger boy? response:	It's happening again.
context: Now, why don't you come with me, tiger boy?\Now, why don't you come with me, tiger boy?\It's happening again. response:	Yet again, I'm...
context: Now, why don't you come with me, tiger boy?\Now, why don't you come with me, tiger boy?\It's happening again.\Yet again, I'm... response:	Wait.
context: Now, why don't you come with me, tiger boy?\Now, why don't you come with me, tiger boy?\It's happening again.\Yet again, I'm...\Wait. response:	Weren't you with the Port Mafia?
context: Now, why don't you come with me, tiger boy?\Now, why don't you come with me, tiger boy?\It's happening again.\Yet again, I'm...\Wait.\Weren't you with the Port Mafia? response:	I'm not.
context: Now, why don't you come with me, tiger boy?\Now, why don't you come with me, tiger boy?\It's happening again.\Yet again, I'm...\Wait.\Weren't you with the Port Mafia?\I'm not. response:	My name is Kyouka.
context: Now, why don't you come with me, tiger boy?\Now, why don't you come with me, tiger boy?\It's happening again.\Yet again, I'm...\Wait.\Weren't you with the Port Mafia?\I'm not.\My name is Kyouka. response:	I'm with the Agency.
context: Now, why don't you come with me, tiger boy?\It's happening again.\Yet again, I'm...\Wait.\Weren't you with the Port Mafia?\I'm not.\My name is Kyouka.\I'm with the Agency. response:	What a barbaric nation.
context: It's happening again.\Yet again, I'm...\Wait.\Weren't you with the Port Mafia?\I'm not.\My name is Kyouka.\I'm with the Agency.\What a barbaric nation. response:	For such a young girl to be so...
context: Yet again, I'm...\Wait.\Weren't you with the Port Mafia?\I'm not.\My name is Kyouka.\I'm with the Agency.\What a barbaric nation.\For such a young girl to be so... response:	You, wait!
context: Wait.\Weren't you with the Port Mafia?\I'm not.\My name is Kyouka.\I'm with the Agency.\What a barbaric nation.\For such a young girl to be so...\You, wait! response:	Oh, dear.
context: Weren't you with the Port Mafia?\I'm not.\My name is Kyouka.\I'm with the Agency.\What a barbaric nation.\For such a young girl to be so...\You, wait!\Oh, dear. response:	I've been looking for you.
context: I'm not.\My name is Kyouka.\I'm with the Agency.\What a barbaric nation.\For such a young girl to be so...\You, wait!\Oh, dear.\I've been looking for you. response:	Where were you all this time?
context: My name is Kyouka.\I'm with the Agency.\What a barbaric nation.\For such a young girl to be so...\You, wait!\Oh, dear.\I've been looking for you.\Where were you all this time? response:	In alleyways and slums.
