context: Teppei! response:	The Earth Engine Impacter...
context: Teppei!\The Earth Engine Impacter... response:	Delicious.
context: Teppei!\The Earth Engine Impacter...\Delicious. response:	The Kiltgang has broken through defensive zone 1.
context: Teppei!\The Earth Engine Impacter...\Delicious.\The Kiltgang has broken through defensive zone 1. response:	About to make contact with Earth Engine.
context: Teppei!\The Earth Engine Impacter...\Delicious.\The Kiltgang has broken through defensive zone 1.\About to make contact with Earth Engine. response:	I've found a new feast...
context: Teppei!\The Earth Engine Impacter...\Delicious.\The Kiltgang has broken through defensive zone 1.\About to make contact with Earth Engine.\I've found a new feast... response:	Can you hear me, Earth Driver?
context: Teppei!\The Earth Engine Impacter...\Delicious.\The Kiltgang has broken through defensive zone 1.\About to make contact with Earth Engine.\I've found a new feast...\Can you hear me, Earth Driver? response:	U-Uncle?
context: Teppei!\The Earth Engine Impacter...\Delicious.\The Kiltgang has broken through defensive zone 1.\About to make contact with Earth Engine.\I've found a new feast...\Can you hear me, Earth Driver?\U-Uncle? response:	Daichi?!
context: The Earth Engine Impacter...\Delicious.\The Kiltgang has broken through defensive zone 1.\About to make contact with Earth Engine.\I've found a new feast...\Can you hear me, Earth Driver?\U-Uncle?\Daichi?! response:	Daichi?
context: Delicious.\The Kiltgang has broken through defensive zone 1.\About to make contact with Earth Engine.\I've found a new feast...\Can you hear me, Earth Driver?\U-Uncle?\Daichi?!\Daichi? response:	What are you doing there?
context: The Kiltgang has broken through defensive zone 1.\About to make contact with Earth Engine.\I've found a new feast...\Can you hear me, Earth Driver?\U-Uncle?\Daichi?!\Daichi?\What are you doing there? response:	What am I doing?
context: About to make contact with Earth Engine.\I've found a new feast...\Can you hear me, Earth Driver?\U-Uncle?\Daichi?!\Daichi?\What are you doing there?\What am I doing? response:	The consultation system isn't working yet!
context: I've found a new feast...\Can you hear me, Earth Driver?\U-Uncle?\Daichi?!\Daichi?\What are you doing there?\What am I doing?\The consultation system isn't working yet! response:	We can't assist the Earth Engine!
context: Can you hear me, Earth Driver?\U-Uncle?\Daichi?!\Daichi?\What are you doing there?\What am I doing?\The consultation system isn't working yet!\We can't assist the Earth Engine! response:	What's wrong, Daichi?
context: U-Uncle?\Daichi?!\Daichi?\What are you doing there?\What am I doing?\The consultation system isn't working yet!\We can't assist the Earth Engine!\What's wrong, Daichi? response:	Answer me!
context: Daichi?!\Daichi?\What are you doing there?\What am I doing?\The consultation system isn't working yet!\We can't assist the Earth Engine!\What's wrong, Daichi?\Answer me! response:	Daichi!
context: Daichi?\What are you doing there?\What am I doing?\The consultation system isn't working yet!\We can't assist the Earth Engine!\What's wrong, Daichi?\Answer me!\Daichi! response:	This is Peter Westvillage.
context: What are you doing there?\What am I doing?\The consultation system isn't working yet!\We can't assist the Earth Engine!\What's wrong, Daichi?\Answer me!\Daichi!\This is Peter Westvillage. response:	Code Papillon, can you hear me?
context: What am I doing?\The consultation system isn't working yet!\We can't assist the Earth Engine!\What's wrong, Daichi?\Answer me!\Daichi!\This is Peter Westvillage.\Code Papillon, can you hear me? response:	This is Code Papillon.
context: The consultation system isn't working yet!\We can't assist the Earth Engine!\What's wrong, Daichi?\Answer me!\Daichi!\This is Peter Westvillage.\Code Papillon, can you hear me?\This is Code Papillon. response:	I'm aware of the situation.
context: We can't assist the Earth Engine!\What's wrong, Daichi?\Answer me!\Daichi!\This is Peter Westvillage.\Code Papillon, can you hear me?\This is Code Papillon.\I'm aware of the situation. response:	Who is that?
context: What's wrong, Daichi?\Answer me!\Daichi!\This is Peter Westvillage.\Code Papillon, can you hear me?\This is Code Papillon.\I'm aware of the situation.\Who is that? response:	No idea.
context: Answer me!\Daichi!\This is Peter Westvillage.\Code Papillon, can you hear me?\This is Code Papillon.\I'm aware of the situation.\Who is that?\No idea. response:	Impressive.
context: Daichi!\This is Peter Westvillage.\Code Papillon, can you hear me?\This is Code Papillon.\I'm aware of the situation.\Who is that?\No idea.\Impressive. response:	Then, I request your help with flight direction for the Earth Engine.
context: This is Peter Westvillage.\Code Papillon, can you hear me?\This is Code Papillon.\I'm aware of the situation.\Who is that?\No idea.\Impressive.\Then, I request your help with flight direction for the Earth Engine. response:	Roger that.
context: Code Papillon, can you hear me?\This is Code Papillon.\I'm aware of the situation.\Who is that?\No idea.\Impressive.\Then, I request your help with flight direction for the Earth Engine.\Roger that. response:	I'll borrow your communication line.
context: This is Code Papillon.\I'm aware of the situation.\Who is that?\No idea.\Impressive.\Then, I request your help with flight direction for the Earth Engine.\Roger that.\I'll borrow your communication line. response:	Earth Driver, you can hear me, right?
context: I'm aware of the situation.\Who is that?\No idea.\Impressive.\Then, I request your help with flight direction for the Earth Engine.\Roger that.\I'll borrow your communication line.\Earth Driver, you can hear me, right? response:	Who's there?
context: Who is that?\No idea.\Impressive.\Then, I request your help with flight direction for the Earth Engine.\Roger that.\I'll borrow your communication line.\Earth Driver, you can hear me, right?\Who's there? response:	That doesn't matter.
context: No idea.\Impressive.\Then, I request your help with flight direction for the Earth Engine.\Roger that.\I'll borrow your communication line.\Earth Driver, you can hear me, right?\Who's there?\That doesn't matter. response:	I'm a magical girl who's on your side.
context: Impressive.\Then, I request your help with flight direction for the Earth Engine.\Roger that.\I'll borrow your communication line.\Earth Driver, you can hear me, right?\Who's there?\That doesn't matter.\I'm a magical girl who's on your side. response:	Right now, you're on a battlefield. Do you understand that?
context: Then, I request your help with flight direction for the Earth Engine.\Roger that.\I'll borrow your communication line.\Earth Driver, you can hear me, right?\Who's there?\That doesn't matter.\I'm a magical girl who's on your side.\Right now, you're on a battlefield. Do you understand that? response:	I don't know if I understand it or not.
context: Roger that.\I'll borrow your communication line.\Earth Driver, you can hear me, right?\Who's there?\That doesn't matter.\I'm a magical girl who's on your side.\Right now, you're on a battlefield. Do you understand that?\I don't know if I understand it or not. response:	But...
context: I'll borrow your communication line.\Earth Driver, you can hear me, right?\Who's there?\That doesn't matter.\I'm a magical girl who's on your side.\Right now, you're on a battlefield. Do you understand that?\I don't know if I understand it or not.\But... response:	I know that if the thing in front of me reaches Earth, it'll be bad!
context: Earth Driver, you can hear me, right?\Who's there?\That doesn't matter.\I'm a magical girl who's on your side.\Right now, you're on a battlefield. Do you understand that?\I don't know if I understand it or not.\But...\I know that if the thing in front of me reaches Earth, it'll be bad! response:	That's good enough.
context: Who's there?\That doesn't matter.\I'm a magical girl who's on your side.\Right now, you're on a battlefield. Do you understand that?\I don't know if I understand it or not.\But...\I know that if the thing in front of me reaches Earth, it'll be bad!\That's good enough. response:	The Earth Engine is currently filled with the power of Livlaster...
context: That doesn't matter.\I'm a magical girl who's on your side.\Right now, you're on a battlefield. Do you understand that?\I don't know if I understand it or not.\But...\I know that if the thing in front of me reaches Earth, it'll be bad!\That's good enough.\The Earth Engine is currently filled with the power of Livlaster... response:	That is, your life energy.
context: I'm a magical girl who's on your side.\Right now, you're on a battlefield. Do you understand that?\I don't know if I understand it or not.\But...\I know that if the thing in front of me reaches Earth, it'll be bad!\That's good enough.\The Earth Engine is currently filled with the power of Livlaster...\That is, your life energy. response:	You can pilot it, right?
context: Right now, you're on a battlefield. Do you understand that?\I don't know if I understand it or not.\But...\I know that if the thing in front of me reaches Earth, it'll be bad!\That's good enough.\The Earth Engine is currently filled with the power of Livlaster...\That is, your life energy.\You can pilot it, right? response:	I don't know.
context: I don't know if I understand it or not.\But...\I know that if the thing in front of me reaches Earth, it'll be bad!\That's good enough.\The Earth Engine is currently filled with the power of Livlaster...\That is, your life energy.\You can pilot it, right?\I don't know. response:	Wait... Then how did you get up there?
context: But...\I know that if the thing in front of me reaches Earth, it'll be bad!\That's good enough.\The Earth Engine is currently filled with the power of Livlaster...\That is, your life energy.\You can pilot it, right?\I don't know.\Wait... Then how did you get up there? response:	Was the gun controlling you?
context: I know that if the thing in front of me reaches Earth, it'll be bad!\That's good enough.\The Earth Engine is currently filled with the power of Livlaster...\That is, your life energy.\You can pilot it, right?\I don't know.\Wait... Then how did you get up there?\Was the gun controlling you? response:	That's not it!
context: That's good enough.\The Earth Engine is currently filled with the power of Livlaster...\That is, your life energy.\You can pilot it, right?\I don't know.\Wait... Then how did you get up there?\Was the gun controlling you?\That's not it! response:	It's my own will telling me I must defeat it.
context: The Earth Engine is currently filled with the power of Livlaster...\That is, your life energy.\You can pilot it, right?\I don't know.\Wait... Then how did you get up there?\Was the gun controlling you?\That's not it!\It's my own will telling me I must defeat it. response:	I believe the gun only helped me.
context: That is, your life energy.\You can pilot it, right?\I don't know.\Wait... Then how did you get up there?\Was the gun controlling you?\That's not it!\It's my own will telling me I must defeat it.\I believe the gun only helped me. response:	Then, what are you now?
context: You can pilot it, right?\I don't know.\Wait... Then how did you get up there?\Was the gun controlling you?\That's not it!\It's my own will telling me I must defeat it.\I believe the gun only helped me.\Then, what are you now? response:	Just a high school kid.
context: I don't know.\Wait... Then how did you get up there?\Was the gun controlling you?\That's not it!\It's my own will telling me I must defeat it.\I believe the gun only helped me.\Then, what are you now?\Just a high school kid. response:	Oh, come on...
context: Wait... Then how did you get up there?\Was the gun controlling you?\That's not it!\It's my own will telling me I must defeat it.\I believe the gun only helped me.\Then, what are you now?\Just a high school kid.\Oh, come on... response:	Fine, I'll take control.
context: Was the gun controlling you?\That's not it!\It's my own will telling me I must defeat it.\I believe the gun only helped me.\Then, what are you now?\Just a high school kid.\Oh, come on...\Fine, I'll take control. response:	You can provide the power.
context: That's not it!\It's my own will telling me I must defeat it.\I believe the gun only helped me.\Then, what are you now?\Just a high school kid.\Oh, come on...\Fine, I'll take control.\You can provide the power. response:	Grip the Livlaster tightly.
context: It's my own will telling me I must defeat it.\I believe the gun only helped me.\Then, what are you now?\Just a high school kid.\Oh, come on...\Fine, I'll take control.\You can provide the power.\Grip the Livlaster tightly. response:	You stopped moving all of a sudden.
context: I believe the gun only helped me.\Then, what are you now?\Just a high school kid.\Oh, come on...\Fine, I'll take control.\You can provide the power.\Grip the Livlaster tightly.\You stopped moving all of a sudden. response:	Are you scared?
context: Then, what are you now?\Just a high school kid.\Oh, come on...\Fine, I'll take control.\You can provide the power.\Grip the Livlaster tightly.\You stopped moving all of a sudden.\Are you scared? response:	You're too slow.
context: Just a high school kid.\Oh, come on...\Fine, I'll take control.\You can provide the power.\Grip the Livlaster tightly.\You stopped moving all of a sudden.\Are you scared?\You're too slow. response:	I can't hit her...
context: Oh, come on...\Fine, I'll take control.\You can provide the power.\Grip the Livlaster tightly.\You stopped moving all of a sudden.\Are you scared?\You're too slow.\I can't hit her... response:	I guess it's hard without direct control.
context: Fine, I'll take control.\You can provide the power.\Grip the Livlaster tightly.\You stopped moving all of a sudden.\Are you scared?\You're too slow.\I can't hit her...\I guess it's hard without direct control. response:	If you die, sorry.
context: You can provide the power.\Grip the Livlaster tightly.\You stopped moving all of a sudden.\Are you scared?\You're too slow.\I can't hit her...\I guess it's hard without direct control.\If you die, sorry. response:	Hey! Are you okay?!
context: Grip the Livlaster tightly.\You stopped moving all of a sudden.\Are you scared?\You're too slow.\I can't hit her...\I guess it's hard without direct control.\If you die, sorry.\Hey! Are you okay?! response:	Die? Me?
context: You stopped moving all of a sudden.\Are you scared?\You're too slow.\I can't hit her...\I guess it's hard without direct control.\If you die, sorry.\Hey! Are you okay?!\Die? Me? response:	If your dad ever dies...
context: Are you scared?\You're too slow.\I can't hit her...\I guess it's hard without direct control.\If you die, sorry.\Hey! Are you okay?!\Die? Me?\If your dad ever dies... response:	He'll die with a smile on his face.
context: You're too slow.\I can't hit her...\I guess it's hard without direct control.\If you die, sorry.\Hey! Are you okay?!\Die? Me?\If your dad ever dies...\He'll die with a smile on his face. response:	I don't want...
context: I can't hit her...\I guess it's hard without direct control.\If you die, sorry.\Hey! Are you okay?!\Die? Me?\If your dad ever dies...\He'll die with a smile on his face.\I don't want... response:	to die.
context: I guess it's hard without direct control.\If you die, sorry.\Hey! Are you okay?!\Die? Me?\If your dad ever dies...\He'll die with a smile on his face.\I don't want...\to die. response:	I just need to hit it, right?
context: If you die, sorry.\Hey! Are you okay?!\Die? Me?\If your dad ever dies...\He'll die with a smile on his face.\I don't want...\to die.\I just need to hit it, right? response:	Hey, what are you going to do?
context: Hey! Are you okay?!\Die? Me?\If your dad ever dies...\He'll die with a smile on his face.\I don't want...\to die.\I just need to hit it, right?\Hey, what are you going to do? response:	That light...
context: Die? Me?\If your dad ever dies...\He'll die with a smile on his face.\I don't want...\to die.\I just need to hit it, right?\Hey, what are you going to do?\That light... response:	Orgone energy?
context: If your dad ever dies...\He'll die with a smile on his face.\I don't want...\to die.\I just need to hit it, right?\Hey, what are you going to do?\That light...\Orgone energy? response:	Hey, wait! Hey!
context: He'll die with a smile on his face.\I don't want...\to die.\I just need to hit it, right?\Hey, what are you going to do?\That light...\Orgone energy?\Hey, wait! Hey! response:	Impossible!
context: I don't want...\to die.\I just need to hit it, right?\Hey, what are you going to do?\That light...\Orgone energy?\Hey, wait! Hey!\Impossible! response:	I hit her!
context: to die.\I just need to hit it, right?\Hey, what are you going to do?\That light...\Orgone energy?\Hey, wait! Hey!\Impossible!\I hit her! response:	That's not the issue!
context: I just need to hit it, right?\Hey, what are you going to do?\That light...\Orgone energy?\Hey, wait! Hey!\Impossible!\I hit her!\That's not the issue! response:	I hit her...
context: Hey, what are you going to do?\That light...\Orgone energy?\Hey, wait! Hey!\Impossible!\I hit her!\That's not the issue!\I hit her... response:	You're interesting. I like that...
context: That light...\Orgone energy?\Hey, wait! Hey!\Impossible!\I hit her!\That's not the issue!\I hit her...\You're interesting. I like that... response:	Kiltgang interception successful.
context: Orgone energy?\Hey, wait! Hey!\Impossible!\I hit her!\That's not the issue!\I hit her...\You're interesting. I like that...\Kiltgang interception successful. response:	What an ugly fight.
context: Hey, wait! Hey!\Impossible!\I hit her!\That's not the issue!\I hit her...\You're interesting. I like that...\Kiltgang interception successful.\What an ugly fight. response:	But we won.
context: Impossible!\I hit her!\That's not the issue!\I hit her...\You're interesting. I like that...\Kiltgang interception successful.\What an ugly fight.\But we won. response:	That's right.
context: I hit her!\That's not the issue!\I hit her...\You're interesting. I like that...\Kiltgang interception successful.\What an ugly fight.\But we won.\That's right. response:	Code Papillon, thank you for your help.
context: That's not the issue!\I hit her...\You're interesting. I like that...\Kiltgang interception successful.\What an ugly fight.\But we won.\That's right.\Code Papillon, thank you for your help. response:	It was the Earth Driver that did all the work.
context: I hit her...\You're interesting. I like that...\Kiltgang interception successful.\What an ugly fight.\But we won.\That's right.\Code Papillon, thank you for your help.\It was the Earth Driver that did all the work. response:	It was fun, Globe-san.
context: You're interesting. I like that...\Kiltgang interception successful.\What an ugly fight.\But we won.\That's right.\Code Papillon, thank you for your help.\It was the Earth Driver that did all the work.\It was fun, Globe-san. response:	I know I acted without consulting you,
context: Kiltgang interception successful.\What an ugly fight.\But we won.\That's right.\Code Papillon, thank you for your help.\It was the Earth Driver that did all the work.\It was fun, Globe-san.\I know I acted without consulting you, response:	but given the urgency of the situation, I hope you'll forgive me.
context: What an ugly fight.\But we won.\That's right.\Code Papillon, thank you for your help.\It was the Earth Driver that did all the work.\It was fun, Globe-san.\I know I acted without consulting you,\but given the urgency of the situation, I hope you'll forgive me. response:	In my experience, she is the only flight director capable
context: But we won.\That's right.\Code Papillon, thank you for your help.\It was the Earth Driver that did all the work.\It was fun, Globe-san.\I know I acted without consulting you,\but given the urgency of the situation, I hope you'll forgive me.\In my experience, she is the only flight director capable response:	of assisting the Earth Engine in that situation.
context: That's right.\Code Papillon, thank you for your help.\It was the Earth Driver that did all the work.\It was fun, Globe-san.\I know I acted without consulting you,\but given the urgency of the situation, I hope you'll forgive me.\In my experience, she is the only flight director capable\of assisting the Earth Engine in that situation. response:	Who is she?
context: Code Papillon, thank you for your help.\It was the Earth Driver that did all the work.\It was fun, Globe-san.\I know I acted without consulting you,\but given the urgency of the situation, I hope you'll forgive me.\In my experience, she is the only flight director capable\of assisting the Earth Engine in that situation.\Who is she? response:	Someone I was thinking of bringing to the base soon.
context: It was the Earth Driver that did all the work.\It was fun, Globe-san.\I know I acted without consulting you,\but given the urgency of the situation, I hope you'll forgive me.\In my experience, she is the only flight director capable\of assisting the Earth Engine in that situation.\Who is she?\Someone I was thinking of bringing to the base soon. response:	I'll show you the documents later.
context: It was fun, Globe-san.\I know I acted without consulting you,\but given the urgency of the situation, I hope you'll forgive me.\In my experience, she is the only flight director capable\of assisting the Earth Engine in that situation.\Who is she?\Someone I was thinking of bringing to the base soon.\I'll show you the documents later. response:	It's clearly different than the one we saw nine years ago.
context: I know I acted without consulting you,\but given the urgency of the situation, I hope you'll forgive me.\In my experience, she is the only flight director capable\of assisting the Earth Engine in that situation.\Who is she?\Someone I was thinking of bringing to the base soon.\I'll show you the documents later.\It's clearly different than the one we saw nine years ago. response:	It seems the active phase of the Kiltgang that we feared has begun.
context: but given the urgency of the situation, I hope you'll forgive me.\In my experience, she is the only flight director capable\of assisting the Earth Engine in that situation.\Who is she?\Someone I was thinking of bringing to the base soon.\I'll show you the documents later.\It's clearly different than the one we saw nine years ago.\It seems the active phase of the Kiltgang that we feared has begun. response:	I've raised all satellite bases to DEFCON 1,
context: In my experience, she is the only flight director capable\of assisting the Earth Engine in that situation.\Who is she?\Someone I was thinking of bringing to the base soon.\I'll show you the documents later.\It's clearly different than the one we saw nine years ago.\It seems the active phase of the Kiltgang that we feared has begun.\I've raised all satellite bases to DEFCON 1, response:	and all Impacters in defensive zones will be ready at a moment's notice.
context: of assisting the Earth Engine in that situation.\Who is she?\Someone I was thinking of bringing to the base soon.\I'll show you the documents later.\It's clearly different than the one we saw nine years ago.\It seems the active phase of the Kiltgang that we feared has begun.\I've raised all satellite bases to DEFCON 1,\and all Impacters in defensive zones will be ready at a moment's notice. response:	That aside...
context: Who is she?\Someone I was thinking of bringing to the base soon.\I'll show you the documents later.\It's clearly different than the one we saw nine years ago.\It seems the active phase of the Kiltgang that we feared has begun.\I've raised all satellite bases to DEFCON 1,\and all Impacters in defensive zones will be ready at a moment's notice.\That aside... response:	I hadn't heard anything about the Earth Driver being stationed at Tanegashima already.
context: Someone I was thinking of bringing to the base soon.\I'll show you the documents later.\It's clearly different than the one we saw nine years ago.\It seems the active phase of the Kiltgang that we feared has begun.\I've raised all satellite bases to DEFCON 1,\and all Impacters in defensive zones will be ready at a moment's notice.\That aside...\I hadn't heard anything about the Earth Driver being stationed at Tanegashima already. response:	Who is it?
context: I'll show you the documents later.\It's clearly different than the one we saw nine years ago.\It seems the active phase of the Kiltgang that we feared has begun.\I've raised all satellite bases to DEFCON 1,\and all Impacters in defensive zones will be ready at a moment's notice.\That aside...\I hadn't heard anything about the Earth Driver being stationed at Tanegashima already.\Who is it? response:	Earth Engine has activated feathering system.
