context: The Death of Dende... Come Forth! Intense, Wide-open Power! response:	That's Freeza's true self? He's smaller, more simple-looking, and less formidable...
context: The Death of Dende... Come Forth! Intense, Wide-open Power!\That's Freeza's true self? He's smaller, more simple-looking, and less formidable... response:	He's become an excellent example of why you don't judge another's ability by outward appearances!
context: The Death of Dende... Come Forth! Intense, Wide-open Power!\That's Freeza's true self? He's smaller, more simple-looking, and less formidable...\He's become an excellent example of why you don't judge another's ability by outward appearances! response:	Everything he's looked like up until now has been cute by comparison!
context: The Death of Dende... Come Forth! Intense, Wide-open Power!\That's Freeza's true self? He's smaller, more simple-looking, and less formidable...\He's become an excellent example of why you don't judge another's ability by outward appearances!\Everything he's looked like up until now has been cute by comparison! response:	D- Damn it to hell!
context: The Death of Dende... Come Forth! Intense, Wide-open Power!\That's Freeza's true self? He's smaller, more simple-looking, and less formidable...\He's become an excellent example of why you don't judge another's ability by outward appearances!\Everything he's looked like up until now has been cute by comparison!\D- Damn it to hell! response:	After all the trouble you went through to revive me with the Dragonballs! I'm sorry...
context: The Death of Dende... Come Forth! Intense, Wide-open Power!\That's Freeza's true self? He's smaller, more simple-looking, and less formidable...\He's become an excellent example of why you don't judge another's ability by outward appearances!\Everything he's looked like up until now has been cute by comparison!\D- Damn it to hell!\After all the trouble you went through to revive me with the Dragonballs! I'm sorry... response:	There's simply no way I can save the rest of you now. Damn...
context: The Death of Dende... Come Forth! Intense, Wide-open Power!\That's Freeza's true self? He's smaller, more simple-looking, and less formidable...\He's become an excellent example of why you don't judge another's ability by outward appearances!\Everything he's looked like up until now has been cute by comparison!\D- Damn it to hell!\After all the trouble you went through to revive me with the Dragonballs! I'm sorry...\There's simply no way I can save the rest of you now. Damn... response:	Piccolo-san...
context: The Death of Dende... Come Forth! Intense, Wide-open Power!\That's Freeza's true self? He's smaller, more simple-looking, and less formidable...\He's become an excellent example of why you don't judge another's ability by outward appearances!\Everything he's looked like up until now has been cute by comparison!\D- Damn it to hell!\After all the trouble you went through to revive me with the Dragonballs! I'm sorry...\There's simply no way I can save the rest of you now. Damn...\Piccolo-san... response:	Freeza, you've finally shown your true form, have you?
context: That's Freeza's true self? He's smaller, more simple-looking, and less formidable...\He's become an excellent example of why you don't judge another's ability by outward appearances!\Everything he's looked like up until now has been cute by comparison!\D- Damn it to hell!\After all the trouble you went through to revive me with the Dragonballs! I'm sorry...\There's simply no way I can save the rest of you now. Damn...\Piccolo-san...\Freeza, you've finally shown your true form, have you? response:	Even supposing Son Goku recovers,
context: He's become an excellent example of why you don't judge another's ability by outward appearances!\Everything he's looked like up until now has been cute by comparison!\D- Damn it to hell!\After all the trouble you went through to revive me with the Dragonballs! I'm sorry...\There's simply no way I can save the rest of you now. Damn...\Piccolo-san...\Freeza, you've finally shown your true form, have you?\Even supposing Son Goku recovers, response:	Freeza now has the power to destroy the universe as we know it.
context: Everything he's looked like up until now has been cute by comparison!\D- Damn it to hell!\After all the trouble you went through to revive me with the Dragonballs! I'm sorry...\There's simply no way I can save the rest of you now. Damn...\Piccolo-san...\Freeza, you've finally shown your true form, have you?\Even supposing Son Goku recovers,\Freeza now has the power to destroy the universe as we know it. response:	This could be the point of no return!
context: D- Damn it to hell!\After all the trouble you went through to revive me with the Dragonballs! I'm sorry...\There's simply no way I can save the rest of you now. Damn...\Piccolo-san...\Freeza, you've finally shown your true form, have you?\Even supposing Son Goku recovers,\Freeza now has the power to destroy the universe as we know it.\This could be the point of no return! response:	How can this be? Freeza's Ki has risen once again!
