context: It's the last painting Mashiro did before she came to Japan. response:	Has this helped you understand...
context: It's the last painting Mashiro did before she came to Japan.\Has this helped you understand... response:	Mashiro a little better?
context: It's the last painting Mashiro did before she came to Japan.\Has this helped you understand...\Mashiro a little better? response:	Shiina should...
context: It's the last painting Mashiro did before she came to Japan.\Has this helped you understand...\Mashiro a little better?\Shiina should... response:	return to the world of fine arts.
context: It's the last painting Mashiro did before she came to Japan.\Has this helped you understand...\Mashiro a little better?\Shiina should...\return to the world of fine arts. response:	You're not making any progress, Sorata.
context: It's the last painting Mashiro did before she came to Japan.\Has this helped you understand...\Mashiro a little better?\Shiina should...\return to the world of fine arts.\You're not making any progress, Sorata. response:	It has nothing to do with you.
context: It's the last painting Mashiro did before she came to Japan.\Has this helped you understand...\Mashiro a little better?\Shiina should...\return to the world of fine arts.\You're not making any progress, Sorata.\It has nothing to do with you. response:	Anyway, I thought you moved into Shiina's room.
context: It's the last painting Mashiro did before she came to Japan.\Has this helped you understand...\Mashiro a little better?\Shiina should...\return to the world of fine arts.\You're not making any progress, Sorata.\It has nothing to do with you.\Anyway, I thought you moved into Shiina's room. response:	Mashiro's working, so I came in here to play.
context: Has this helped you understand...\Mashiro a little better?\Shiina should...\return to the world of fine arts.\You're not making any progress, Sorata.\It has nothing to do with you.\Anyway, I thought you moved into Shiina's room.\Mashiro's working, so I came in here to play. response:	I'm working too, you know...
context: Mashiro a little better?\Shiina should...\return to the world of fine arts.\You're not making any progress, Sorata.\It has nothing to do with you.\Anyway, I thought you moved into Shiina's room.\Mashiro's working, so I came in here to play.\I'm working too, you know... response:	What are you doing?
context: Shiina should...\return to the world of fine arts.\You're not making any progress, Sorata.\It has nothing to do with you.\Anyway, I thought you moved into Shiina's room.\Mashiro's working, so I came in here to play.\I'm working too, you know...\What are you doing? response:	I'm drawing storyboards for Nyapollon.
context: return to the world of fine arts.\You're not making any progress, Sorata.\It has nothing to do with you.\Anyway, I thought you moved into Shiina's room.\Mashiro's working, so I came in here to play.\I'm working too, you know...\What are you doing?\I'm drawing storyboards for Nyapollon. response:	I'm diagramming the camera blocking.
context: You're not making any progress, Sorata.\It has nothing to do with you.\Anyway, I thought you moved into Shiina's room.\Mashiro's working, so I came in here to play.\I'm working too, you know...\What are you doing?\I'm drawing storyboards for Nyapollon.\I'm diagramming the camera blocking. response:	Are you visualizing the final product while you're drawing?
context: It has nothing to do with you.\Anyway, I thought you moved into Shiina's room.\Mashiro's working, so I came in here to play.\I'm working too, you know...\What are you doing?\I'm drawing storyboards for Nyapollon.\I'm diagramming the camera blocking.\Are you visualizing the final product while you're drawing? response:	No, I'm just guessing really...
context: Anyway, I thought you moved into Shiina's room.\Mashiro's working, so I came in here to play.\I'm working too, you know...\What are you doing?\I'm drawing storyboards for Nyapollon.\I'm diagramming the camera blocking.\Are you visualizing the final product while you're drawing?\No, I'm just guessing really... response:	Let me see that.
context: Mashiro's working, so I came in here to play.\I'm working too, you know...\What are you doing?\I'm drawing storyboards for Nyapollon.\I'm diagramming the camera blocking.\Are you visualizing the final product while you're drawing?\No, I'm just guessing really...\Let me see that. response:	You have your reference right in front of you, so look at it.
context: I'm working too, you know...\What are you doing?\I'm drawing storyboards for Nyapollon.\I'm diagramming the camera blocking.\Are you visualizing the final product while you're drawing?\No, I'm just guessing really...\Let me see that.\You have your reference right in front of you, so look at it. response:	You have to look at it while you're drawing.
context: What are you doing?\I'm drawing storyboards for Nyapollon.\I'm diagramming the camera blocking.\Are you visualizing the final product while you're drawing?\No, I'm just guessing really...\Let me see that.\You have your reference right in front of you, so look at it.\You have to look at it while you're drawing. response:	Rita-san!
context: I'm drawing storyboards for Nyapollon.\I'm diagramming the camera blocking.\Are you visualizing the final product while you're drawing?\No, I'm just guessing really...\Let me see that.\You have your reference right in front of you, so look at it.\You have to look at it while you're drawing.\Rita-san! response:	Just watch.
context: I'm diagramming the camera blocking.\Are you visualizing the final product while you're drawing?\No, I'm just guessing really...\Let me see that.\You have your reference right in front of you, so look at it.\You have to look at it while you're drawing.\Rita-san!\Just watch. response:	You're really good...
context: Are you visualizing the final product while you're drawing?\No, I'm just guessing really...\Let me see that.\You have your reference right in front of you, so look at it.\You have to look at it while you're drawing.\Rita-san!\Just watch.\You're really good... response:	What's wrong?
context: No, I'm just guessing really...\Let me see that.\You have your reference right in front of you, so look at it.\You have to look at it while you're drawing.\Rita-san!\Just watch.\You're really good...\What's wrong? response:	Nothing.
context: Let me see that.\You have your reference right in front of you, so look at it.\You have to look at it while you're drawing.\Rita-san!\Just watch.\You're really good...\What's wrong?\Nothing. response:	You must have it rough.
context: You have your reference right in front of you, so look at it.\You have to look at it while you're drawing.\Rita-san!\Just watch.\You're really good...\What's wrong?\Nothing.\You must have it rough. response:	What do you mean?
context: You have to look at it while you're drawing.\Rita-san!\Just watch.\You're really good...\What's wrong?\Nothing.\You must have it rough.\What do you mean? response:	Both Mashiro's and Misaki's work are incredible.
