context: Well, Kosaki? response:	What do you think of our new fall offerings?
context: Well, Kosaki?\What do you think of our new fall offerings? response:	You might want to maximize the sweetness of the chestnuts more.
context: Well, Kosaki?\What do you think of our new fall offerings?\You might want to maximize the sweetness of the chestnuts more. response:	But really, what's the rush?
context: Well, Kosaki?\What do you think of our new fall offerings?\You might want to maximize the sweetness of the chestnuts more.\But really, what's the rush? response:	Summer's only just started, you know.
context: Well, Kosaki?\What do you think of our new fall offerings?\You might want to maximize the sweetness of the chestnuts more.\But really, what's the rush?\Summer's only just started, you know. response:	If we don't get a jump on it now, we won't be done in time.
context: Well, Kosaki?\What do you think of our new fall offerings?\You might want to maximize the sweetness of the chestnuts more.\But really, what's the rush?\Summer's only just started, you know.\If we don't get a jump on it now, we won't be done in time. response:	Really, I just can't figure it out.
context: Well, Kosaki?\What do you think of our new fall offerings?\You might want to maximize the sweetness of the chestnuts more.\But really, what's the rush?\Summer's only just started, you know.\If we don't get a jump on it now, we won't be done in time.\Really, I just can't figure it out. response:	Why is it that you can't cook when you have the best taste buds of us all, Sister?
context: Well, Kosaki?\What do you think of our new fall offerings?\You might want to maximize the sweetness of the chestnuts more.\But really, what's the rush?\Summer's only just started, you know.\If we don't get a jump on it now, we won't be done in time.\Really, I just can't figure it out.\Why is it that you can't cook when you have the best taste buds of us all, Sister? response:	I wish I knew that myself.
context: What do you think of our new fall offerings?\You might want to maximize the sweetness of the chestnuts more.\But really, what's the rush?\Summer's only just started, you know.\If we don't get a jump on it now, we won't be done in time.\Really, I just can't figure it out.\Why is it that you can't cook when you have the best taste buds of us all, Sister?\I wish I knew that myself. response:	Okay, I'm off to let Dad know what you think.
context: You might want to maximize the sweetness of the chestnuts more.\But really, what's the rush?\Summer's only just started, you know.\If we don't get a jump on it now, we won't be done in time.\Really, I just can't figure it out.\Why is it that you can't cook when you have the best taste buds of us all, Sister?\I wish I knew that myself.\Okay, I'm off to let Dad know what you think. response:	Oh, by the way, Sister...
context: But really, what's the rush?\Summer's only just started, you know.\If we don't get a jump on it now, we won't be done in time.\Really, I just can't figure it out.\Why is it that you can't cook when you have the best taste buds of us all, Sister?\I wish I knew that myself.\Okay, I'm off to let Dad know what you think.\Oh, by the way, Sister... response:	I know I'm the one who asked you to be our taster,
context: Summer's only just started, you know.\If we don't get a jump on it now, we won't be done in time.\Really, I just can't figure it out.\Why is it that you can't cook when you have the best taste buds of us all, Sister?\I wish I knew that myself.\Okay, I'm off to let Dad know what you think.\Oh, by the way, Sister...\I know I'm the one who asked you to be our taster, response:	but don't you think you've been putting on some pounds lately?
context: If we don't get a jump on it now, we won't be done in time.\Really, I just can't figure it out.\Why is it that you can't cook when you have the best taste buds of us all, Sister?\I wish I knew that myself.\Okay, I'm off to let Dad know what you think.\Oh, by the way, Sister...\I know I'm the one who asked you to be our taster,\but don't you think you've been putting on some pounds lately? response:	Better watch out, or you're gonna get chubby in no time!
context: Really, I just can't figure it out.\Why is it that you can't cook when you have the best taste buds of us all, Sister?\I wish I knew that myself.\Okay, I'm off to let Dad know what you think.\Oh, by the way, Sister...\I know I'm the one who asked you to be our taster,\but don't you think you've been putting on some pounds lately?\Better watch out, or you're gonna get chubby in no time! response:	I-I'm fine! I am watching my weight!
context: Why is it that you can't cook when you have the best taste buds of us all, Sister?\I wish I knew that myself.\Okay, I'm off to let Dad know what you think.\Oh, by the way, Sister...\I know I'm the one who asked you to be our taster,\but don't you think you've been putting on some pounds lately?\Better watch out, or you're gonna get chubby in no time!\I-I'm fine! I am watching my weight! response:	Easy enough for me to say, but I do eat a lot of sweets these days.
context: I wish I knew that myself.\Okay, I'm off to let Dad know what you think.\Oh, by the way, Sister...\I know I'm the one who asked you to be our taster,\but don't you think you've been putting on some pounds lately?\Better watch out, or you're gonna get chubby in no time!\I-I'm fine! I am watching my weight!\Easy enough for me to say, but I do eat a lot of sweets these days. response:	And it's been a while since I last got on that scale.
context: Okay, I'm off to let Dad know what you think.\Oh, by the way, Sister...\I know I'm the one who asked you to be our taster,\but don't you think you've been putting on some pounds lately?\Better watch out, or you're gonna get chubby in no time!\I-I'm fine! I am watching my weight!\Easy enough for me to say, but I do eat a lot of sweets these days.\And it's been a while since I last got on that scale. response:	I'm not getting much exercise, either,
