context: Raise your arms and face this way. response:	Raise your arms and face this way
context: Raise your arms and face this way.\Raise your arms and face this way response:	I thought they'd called in backup, but you're just two kids.
context: Raise your arms and face this way.\Raise your arms and face this way\I thought they'd called in backup, but you're just two kids. response:	Is the Port Mafia short-staffed?
context: Raise your arms and face this way.\Raise your arms and face this way\I thought they'd called in backup, but you're just two kids.\Is the Port Mafia short-staffed? response:	Or is that man, Randou, not very popular?
context: Raise your arms and face this way.\Raise your arms and face this way\I thought they'd called in backup, but you're just two kids.\Is the Port Mafia short-staffed?\Or is that man, Randou, not very popular? response:	Randou?
context: Raise your arms and face this way.\Raise your arms and face this way\I thought they'd called in backup, but you're just two kids.\Is the Port Mafia short-staffed?\Or is that man, Randou, not very popular?\Randou? response:	That's the name of the man we're about to go talk to.
context: Raise your arms and face this way.\Raise your arms and face this way\I thought they'd called in backup, but you're just two kids.\Is the Port Mafia short-staffed?\Or is that man, Randou, not very popular?\Randou?\That's the name of the man we're about to go talk to. response:	The person that was restraining you using his special ability.
context: Raise your arms and face this way.\Raise your arms and face this way\I thought they'd called in backup, but you're just two kids.\Is the Port Mafia short-staffed?\Or is that man, Randou, not very popular?\Randou?\That's the name of the man we're about to go talk to.\The person that was restraining you using his special ability. response:	Oh, him.
context: Raise your arms and face this way\I thought they'd called in backup, but you're just two kids.\Is the Port Mafia short-staffed?\Or is that man, Randou, not very popular?\Randou?\That's the name of the man we're about to go talk to.\The person that was restraining you using his special ability.\Oh, him. response:	Yo, old fart.
context: I thought they'd called in backup, but you're just two kids.\Is the Port Mafia short-staffed?\Or is that man, Randou, not very popular?\Randou?\That's the name of the man we're about to go talk to.\The person that was restraining you using his special ability.\Oh, him.\Yo, old fart. response:	Let's save us both some time.
context: Is the Port Mafia short-staffed?\Or is that man, Randou, not very popular?\Randou?\That's the name of the man we're about to go talk to.\The person that was restraining you using his special ability.\Oh, him.\Yo, old fart.\Let's save us both some time. response:	First, you shoot.
context: Or is that man, Randou, not very popular?\Randou?\That's the name of the man we're about to go talk to.\The person that was restraining you using his special ability.\Oh, him.\Yo, old fart.\Let's save us both some time.\First, you shoot. response:	Next, I'll retaliate by blowing you all the way to the next town over.
context: Randou?\That's the name of the man we're about to go talk to.\The person that was restraining you using his special ability.\Oh, him.\Yo, old fart.\Let's save us both some time.\First, you shoot.\Next, I'll retaliate by blowing you all the way to the next town over. response:	And then I'll beat the shit out of your remaining men,
context: That's the name of the man we're about to go talk to.\The person that was restraining you using his special ability.\Oh, him.\Yo, old fart.\Let's save us both some time.\First, you shoot.\Next, I'll retaliate by blowing you all the way to the next town over.\And then I'll beat the shit out of your remaining men, response:	and we'll call it a day.
context: The person that was restraining you using his special ability.\Oh, him.\Yo, old fart.\Let's save us both some time.\First, you shoot.\Next, I'll retaliate by blowing you all the way to the next town over.\And then I'll beat the shit out of your remaining men,\and we'll call it a day. response:	What?
context: Oh, him.\Yo, old fart.\Let's save us both some time.\First, you shoot.\Next, I'll retaliate by blowing you all the way to the next town over.\And then I'll beat the shit out of your remaining men,\and we'll call it a day.\What? response:	Man, you could just trick him to get some information out of him.
context: Yo, old fart.\Let's save us both some time.\First, you shoot.\Next, I'll retaliate by blowing you all the way to the next town over.\And then I'll beat the shit out of your remaining men,\and we'll call it a day.\What?\Man, you could just trick him to get some information out of him. response:	You're with the GSS tactical team, aren't you?
context: Let's save us both some time.\First, you shoot.\Next, I'll retaliate by blowing you all the way to the next town over.\And then I'll beat the shit out of your remaining men,\and we'll call it a day.\What?\Man, you could just trick him to get some information out of him.\You're with the GSS tactical team, aren't you? response:	Gerhardt Security Services.
context: First, you shoot.\Next, I'll retaliate by blowing you all the way to the next town over.\And then I'll beat the shit out of your remaining men,\and we'll call it a day.\What?\Man, you could just trick him to get some information out of him.\You're with the GSS tactical team, aren't you?\Gerhardt Security Services. response:	Formerly a foreign-funded private security firm,
context: Next, I'll retaliate by blowing you all the way to the next town over.\And then I'll beat the shit out of your remaining men,\and we'll call it a day.\What?\Man, you could just trick him to get some information out of him.\You're with the GSS tactical team, aren't you?\Gerhardt Security Services.\Formerly a foreign-funded private security firm, response:	but they had their subsidies cut off
context: And then I'll beat the shit out of your remaining men,\and we'll call it a day.\What?\Man, you could just trick him to get some information out of him.\You're with the GSS tactical team, aren't you?\Gerhardt Security Services.\Formerly a foreign-funded private security firm,\but they had their subsidies cut off response:	and now they're a fully-fledged illegal organization.
context: and we'll call it a day.\What?\Man, you could just trick him to get some information out of him.\You're with the GSS tactical team, aren't you?\Gerhardt Security Services.\Formerly a foreign-funded private security firm,\but they had their subsidies cut off\and now they're a fully-fledged illegal organization. response:	That's right.
context: What?\Man, you could just trick him to get some information out of him.\You're with the GSS tactical team, aren't you?\Gerhardt Security Services.\Formerly a foreign-funded private security firm,\but they had their subsidies cut off\and now they're a fully-fledged illegal organization.\That's right. response:	I won't go easy on you just because you're kids.
context: Man, you could just trick him to get some information out of him.\You're with the GSS tactical team, aren't you?\Gerhardt Security Services.\Formerly a foreign-funded private security firm,\but they had their subsidies cut off\and now they're a fully-fledged illegal organization.\That's right.\I won't go easy on you just because you're kids. response:	Try me, old fart.
context: You're with the GSS tactical team, aren't you?\Gerhardt Security Services.\Formerly a foreign-funded private security firm,\but they had their subsidies cut off\and now they're a fully-fledged illegal organization.\That's right.\I won't go easy on you just because you're kids.\Try me, old fart. response:	You...
context: Gerhardt Security Services.\Formerly a foreign-funded private security firm,\but they had their subsidies cut off\and now they're a fully-fledged illegal organization.\That's right.\I won't go easy on you just because you're kids.\Try me, old fart.\You... response:	You're the Sheep, Nakahara Chuuya.
context: Formerly a foreign-funded private security firm,\but they had their subsidies cut off\and now they're a fully-fledged illegal organization.\That's right.\I won't go easy on you just because you're kids.\Try me, old fart.\You...\You're the Sheep, Nakahara Chuuya. response:	So it was true that you fell into the Port Mafia's hands.
context: but they had their subsidies cut off\and now they're a fully-fledged illegal organization.\That's right.\I won't go easy on you just because you're kids.\Try me, old fart.\You...\You're the Sheep, Nakahara Chuuya.\So it was true that you fell into the Port Mafia's hands. response:	Don't get the wrong idea, you annoying prick!
context: and now they're a fully-fledged illegal organization.\That's right.\I won't go easy on you just because you're kids.\Try me, old fart.\You...\You're the Sheep, Nakahara Chuuya.\So it was true that you fell into the Port Mafia's hands.\Don't get the wrong idea, you annoying prick! response:	Good for you.
context: That's right.\I won't go easy on you just because you're kids.\Try me, old fart.\You...\You're the Sheep, Nakahara Chuuya.\So it was true that you fell into the Port Mafia's hands.\Don't get the wrong idea, you annoying prick!\Good for you. response:	You're amazing.
context: I won't go easy on you just because you're kids.\Try me, old fart.\You...\You're the Sheep, Nakahara Chuuya.\So it was true that you fell into the Port Mafia's hands.\Don't get the wrong idea, you annoying prick!\Good for you.\You're amazing. response:	Were you just standing there watching?
context: Try me, old fart.\You...\You're the Sheep, Nakahara Chuuya.\So it was true that you fell into the Port Mafia's hands.\Don't get the wrong idea, you annoying prick!\Good for you.\You're amazing.\Were you just standing there watching? response:	I was busy collecting information from the communicator I swiped off him.
context: You...\You're the Sheep, Nakahara Chuuya.\So it was true that you fell into the Port Mafia's hands.\Don't get the wrong idea, you annoying prick!\Good for you.\You're amazing.\Were you just standing there watching?\I was busy collecting information from the communicator I swiped off him. response:	It seems like the guy you just beat up has some backup arriving.
context: You're the Sheep, Nakahara Chuuya.\So it was true that you fell into the Port Mafia's hands.\Don't get the wrong idea, you annoying prick!\Good for you.\You're amazing.\Were you just standing there watching?\I was busy collecting information from the communicator I swiped off him.\It seems like the guy you just beat up has some backup arriving. response:	You just make more work when you don't think about what you're doing.
context: So it was true that you fell into the Port Mafia's hands.\Don't get the wrong idea, you annoying prick!\Good for you.\You're amazing.\Were you just standing there watching?\I was busy collecting information from the communicator I swiped off him.\It seems like the guy you just beat up has some backup arriving.\You just make more work when you don't think about what you're doing. response:	Captain!
context: Don't get the wrong idea, you annoying prick!\Good for you.\You're amazing.\Were you just standing there watching?\I was busy collecting information from the communicator I swiped off him.\It seems like the guy you just beat up has some backup arriving.\You just make more work when you don't think about what you're doing.\Captain! response:	Want to join him in the ground?
context: Good for you.\You're amazing.\Were you just standing there watching?\I was busy collecting information from the communicator I swiped off him.\It seems like the guy you just beat up has some backup arriving.\You just make more work when you don't think about what you're doing.\Captain!\Want to join him in the ground? response:	Fire!
context: You're amazing.\Were you just standing there watching?\I was busy collecting information from the communicator I swiped off him.\It seems like the guy you just beat up has some backup arriving.\You just make more work when you don't think about what you're doing.\Captain!\Want to join him in the ground?\Fire! response:	That shrimp is the gravity manipulator Nakahara Chuuya!
