context: I will make it such that those who drank cannot use false names. response:	You can only converse with fellow immortals by using your real names.
context: I will make it such that those who drank cannot use false names.\You can only converse with fellow immortals by using your real names. response:	We really are immortal!
context: I will make it such that those who drank cannot use false names.\You can only converse with fellow immortals by using your real names.\We really are immortal! response:	I am absolutely overcome!
context: I will make it such that those who drank cannot use false names.\You can only converse with fellow immortals by using your real names.\We really are immortal!\I am absolutely overcome! response:	I'm Ennis. No last name.
context: I will make it such that those who drank cannot use false names.\You can only converse with fellow immortals by using your real names.\We really are immortal!\I am absolutely overcome!\I'm Ennis. No last name. response:	Ennis. Ennis, right?
context: I will make it such that those who drank cannot use false names.\You can only converse with fellow immortals by using your real names.\We really are immortal!\I am absolutely overcome!\I'm Ennis. No last name.\Ennis. Ennis, right? response:	I don't dislike kids who are good at flattery.
context: I will make it such that those who drank cannot use false names.\You can only converse with fellow immortals by using your real names.\We really are immortal!\I am absolutely overcome!\I'm Ennis. No last name.\Ennis. Ennis, right?\I don't dislike kids who are good at flattery. response:	So, what do you want?
context: I will make it such that those who drank cannot use false names.\You can only converse with fellow immortals by using your real names.\We really are immortal!\I am absolutely overcome!\I'm Ennis. No last name.\Ennis. Ennis, right?\I don't dislike kids who are good at flattery.\So, what do you want? response:	Well, well, Senator Beriam.
context: You can only converse with fellow immortals by using your real names.\We really are immortal!\I am absolutely overcome!\I'm Ennis. No last name.\Ennis. Ennis, right?\I don't dislike kids who are good at flattery.\So, what do you want?\Well, well, Senator Beriam. response:	I'm honored that you would come all this way to visit me.
context: We really are immortal!\I am absolutely overcome!\I'm Ennis. No last name.\Ennis. Ennis, right?\I don't dislike kids who are good at flattery.\So, what do you want?\Well, well, Senator Beriam.\I'm honored that you would come all this way to visit me. response:	Your followers have gone and made some trouble for me.
context: I am absolutely overcome!\I'm Ennis. No last name.\Ennis. Ennis, right?\I don't dislike kids who are good at flattery.\So, what do you want?\Well, well, Senator Beriam.\I'm honored that you would come all this way to visit me.\Your followers have gone and made some trouble for me. response:	What have the Lemures done?
context: I'm Ennis. No last name.\Ennis. Ennis, right?\I don't dislike kids who are good at flattery.\So, what do you want?\Well, well, Senator Beriam.\I'm honored that you would come all this way to visit me.\Your followers have gone and made some trouble for me.\What have the Lemures done? response:	They've taken over the transcontinental express Flying Pussyfoot.
context: Ennis. Ennis, right?\I don't dislike kids who are good at flattery.\So, what do you want?\Well, well, Senator Beriam.\I'm honored that you would come all this way to visit me.\Your followers have gone and made some trouble for me.\What have the Lemures done?\They've taken over the transcontinental express Flying Pussyfoot. response:	They're demanding your release,
context: I don't dislike kids who are good at flattery.\So, what do you want?\Well, well, Senator Beriam.\I'm honored that you would come all this way to visit me.\Your followers have gone and made some trouble for me.\What have the Lemures done?\They've taken over the transcontinental express Flying Pussyfoot.\They're demanding your release, response:	in exchange for the lives of the passengers.
context: So, what do you want?\Well, well, Senator Beriam.\I'm honored that you would come all this way to visit me.\Your followers have gone and made some trouble for me.\What have the Lemures done?\They've taken over the transcontinental express Flying Pussyfoot.\They're demanding your release,\in exchange for the lives of the passengers. response:	I see. So then, you want me to dissuade them?
context: Well, well, Senator Beriam.\I'm honored that you would come all this way to visit me.\Your followers have gone and made some trouble for me.\What have the Lemures done?\They've taken over the transcontinental express Flying Pussyfoot.\They're demanding your release,\in exchange for the lives of the passengers.\I see. So then, you want me to dissuade them? response:	My wife and daughter are aboard.
context: I'm honored that you would come all this way to visit me.\Your followers have gone and made some trouble for me.\What have the Lemures done?\They've taken over the transcontinental express Flying Pussyfoot.\They're demanding your release,\in exchange for the lives of the passengers.\I see. So then, you want me to dissuade them?\My wife and daughter are aboard. response:	Manfred Beriam. Crazed for power and money.
context: Your followers have gone and made some trouble for me.\What have the Lemures done?\They've taken over the transcontinental express Flying Pussyfoot.\They're demanding your release,\in exchange for the lives of the passengers.\I see. So then, you want me to dissuade them?\My wife and daughter are aboard.\Manfred Beriam. Crazed for power and money. response:	Since when did you have a family to love?
context: What have the Lemures done?\They've taken over the transcontinental express Flying Pussyfoot.\They're demanding your release,\in exchange for the lives of the passengers.\I see. So then, you want me to dissuade them?\My wife and daughter are aboard.\Manfred Beriam. Crazed for power and money.\Since when did you have a family to love? response:	Are you trying to make fun of me, monster?
context: They've taken over the transcontinental express Flying Pussyfoot.\They're demanding your release,\in exchange for the lives of the passengers.\I see. So then, you want me to dissuade them?\My wife and daughter are aboard.\Manfred Beriam. Crazed for power and money.\Since when did you have a family to love?\Are you trying to make fun of me, monster? response:	There's the real you.
context: They're demanding your release,\in exchange for the lives of the passengers.\I see. So then, you want me to dissuade them?\My wife and daughter are aboard.\Manfred Beriam. Crazed for power and money.\Since when did you have a family to love?\Are you trying to make fun of me, monster?\There's the real you. response:	Convince them to surrender, Huey Laforet,
