context: Carve your answer to me into the roof over there. response:	I'm going to kill Huey Laforet.
context: Carve your answer to me into the roof over there.\I'm going to kill Huey Laforet. response:	I'm sure that you will find happiness!
context: Carve your answer to me into the roof over there.\I'm going to kill Huey Laforet.\I'm sure that you will find happiness! response:	All done!
context: Carve your answer to me into the roof over there.\I'm going to kill Huey Laforet.\I'm sure that you will find happiness!\All done! response:	We're finished!
context: Carve your answer to me into the roof over there.\I'm going to kill Huey Laforet.\I'm sure that you will find happiness!\All done!\We're finished! response:	You know the boss?
context: Carve your answer to me into the roof over there.\I'm going to kill Huey Laforet.\I'm sure that you will find happiness!\All done!\We're finished!\You know the boss? response:	Well, that's because I'm the one who dropped him.
context: Carve your answer to me into the roof over there.\I'm going to kill Huey Laforet.\I'm sure that you will find happiness!\All done!\We're finished!\You know the boss?\Well, that's because I'm the one who dropped him. response:	It's becoming as though that dreadful incident
context: Carve your answer to me into the roof over there.\I'm going to kill Huey Laforet.\I'm sure that you will find happiness!\All done!\We're finished!\You know the boss?\Well, that's because I'm the one who dropped him.\It's becoming as though that dreadful incident response:	aboard the Flying Pussyfoot never happened.
context: I'm going to kill Huey Laforet.\I'm sure that you will find happiness!\All done!\We're finished!\You know the boss?\Well, that's because I'm the one who dropped him.\It's becoming as though that dreadful incident\aboard the Flying Pussyfoot never happened. response:	Mouths are being kept shut among a number of the passengers,
context: I'm sure that you will find happiness!\All done!\We're finished!\You know the boss?\Well, that's because I'm the one who dropped him.\It's becoming as though that dreadful incident\aboard the Flying Pussyfoot never happened.\Mouths are being kept shut among a number of the passengers, response:	together with a large sum of hush money.
context: All done!\We're finished!\You know the boss?\Well, that's because I'm the one who dropped him.\It's becoming as though that dreadful incident\aboard the Flying Pussyfoot never happened.\Mouths are being kept shut among a number of the passengers,\together with a large sum of hush money. response:	The money appears to be coming from Senator Beriam and Nebula.
context: We're finished!\You know the boss?\Well, that's because I'm the one who dropped him.\It's becoming as though that dreadful incident\aboard the Flying Pussyfoot never happened.\Mouths are being kept shut among a number of the passengers,\together with a large sum of hush money.\The money appears to be coming from Senator Beriam and Nebula. response:	So what you're saying is that they helped to facilitate this incident to some degree?
context: You know the boss?\Well, that's because I'm the one who dropped him.\It's becoming as though that dreadful incident\aboard the Flying Pussyfoot never happened.\Mouths are being kept shut among a number of the passengers,\together with a large sum of hush money.\The money appears to be coming from Senator Beriam and Nebula.\So what you're saying is that they helped to facilitate this incident to some degree? response:	Probably. This is unconfirmed information,
context: Well, that's because I'm the one who dropped him.\It's becoming as though that dreadful incident\aboard the Flying Pussyfoot never happened.\Mouths are being kept shut among a number of the passengers,\together with a large sum of hush money.\The money appears to be coming from Senator Beriam and Nebula.\So what you're saying is that they helped to facilitate this incident to some degree?\Probably. This is unconfirmed information, response:	but there is word that Senator Beriam had a meeting with Huey Laforet.
context: It's becoming as though that dreadful incident\aboard the Flying Pussyfoot never happened.\Mouths are being kept shut among a number of the passengers,\together with a large sum of hush money.\The money appears to be coming from Senator Beriam and Nebula.\So what you're saying is that they helped to facilitate this incident to some degree?\Probably. This is unconfirmed information,\but there is word that Senator Beriam had a meeting with Huey Laforet. response:	Senator Beriam seems to have some sort of sense of rivalry
context: aboard the Flying Pussyfoot never happened.\Mouths are being kept shut among a number of the passengers,\together with a large sum of hush money.\The money appears to be coming from Senator Beriam and Nebula.\So what you're saying is that they helped to facilitate this incident to some degree?\Probably. This is unconfirmed information,\but there is word that Senator Beriam had a meeting with Huey Laforet.\Senator Beriam seems to have some sort of sense of rivalry response:	toward Huey Laforet.
context: Mouths are being kept shut among a number of the passengers,\together with a large sum of hush money.\The money appears to be coming from Senator Beriam and Nebula.\So what you're saying is that they helped to facilitate this incident to some degree?\Probably. This is unconfirmed information,\but there is word that Senator Beriam had a meeting with Huey Laforet.\Senator Beriam seems to have some sort of sense of rivalry\toward Huey Laforet. response:	Which is to say, this incident may have been an experiment.
context: together with a large sum of hush money.\The money appears to be coming from Senator Beriam and Nebula.\So what you're saying is that they helped to facilitate this incident to some degree?\Probably. This is unconfirmed information,\but there is word that Senator Beriam had a meeting with Huey Laforet.\Senator Beriam seems to have some sort of sense of rivalry\toward Huey Laforet.\Which is to say, this incident may have been an experiment. response:	It was an experiment with quite a few victims, then.
context: The money appears to be coming from Senator Beriam and Nebula.\So what you're saying is that they helped to facilitate this incident to some degree?\Probably. This is unconfirmed information,\but there is word that Senator Beriam had a meeting with Huey Laforet.\Senator Beriam seems to have some sort of sense of rivalry\toward Huey Laforet.\Which is to say, this incident may have been an experiment.\It was an experiment with quite a few victims, then. response:	What do you think their objective was, Nicholas- kun?
context: So what you're saying is that they helped to facilitate this incident to some degree?\Probably. This is unconfirmed information,\but there is word that Senator Beriam had a meeting with Huey Laforet.\Senator Beriam seems to have some sort of sense of rivalry\toward Huey Laforet.\Which is to say, this incident may have been an experiment.\It was an experiment with quite a few victims, then.\What do you think their objective was, Nicholas- kun? response:	Search me. Isn't that something that you two would know better?
context: Probably. This is unconfirmed information,\but there is word that Senator Beriam had a meeting with Huey Laforet.\Senator Beriam seems to have some sort of sense of rivalry\toward Huey Laforet.\Which is to say, this incident may have been an experiment.\It was an experiment with quite a few victims, then.\What do you think their objective was, Nicholas- kun?\Search me. Isn't that something that you two would know better? response:	Please refrain from being catty, Nicholas- kun.
context: but there is word that Senator Beriam had a meeting with Huey Laforet.\Senator Beriam seems to have some sort of sense of rivalry\toward Huey Laforet.\Which is to say, this incident may have been an experiment.\It was an experiment with quite a few victims, then.\What do you think their objective was, Nicholas- kun?\Search me. Isn't that something that you two would know better?\Please refrain from being catty, Nicholas- kun. response:	Since you share this secret, you will also be exposed to danger.
context: Senator Beriam seems to have some sort of sense of rivalry\toward Huey Laforet.\Which is to say, this incident may have been an experiment.\It was an experiment with quite a few victims, then.\What do you think their objective was, Nicholas- kun?\Search me. Isn't that something that you two would know better?\Please refrain from being catty, Nicholas- kun.\Since you share this secret, you will also be exposed to danger. response:	You learned your lesson well enough over the Vino affair, right?
context: toward Huey Laforet.\Which is to say, this incident may have been an experiment.\It was an experiment with quite a few victims, then.\What do you think their objective was, Nicholas- kun?\Search me. Isn't that something that you two would know better?\Please refrain from being catty, Nicholas- kun.\Since you share this secret, you will also be exposed to danger.\You learned your lesson well enough over the Vino affair, right? response:	Nicholas- kun, Elean- kun,
context: Which is to say, this incident may have been an experiment.\It was an experiment with quite a few victims, then.\What do you think their objective was, Nicholas- kun?\Search me. Isn't that something that you two would know better?\Please refrain from being catty, Nicholas- kun.\Since you share this secret, you will also be exposed to danger.\You learned your lesson well enough over the Vino affair, right?\Nicholas- kun, Elean- kun, response:	let us dedicate ourselves to dispassionately carrying out
context: It was an experiment with quite a few victims, then.\What do you think their objective was, Nicholas- kun?\Search me. Isn't that something that you two would know better?\Please refrain from being catty, Nicholas- kun.\Since you share this secret, you will also be exposed to danger.\You learned your lesson well enough over the Vino affair, right?\Nicholas- kun, Elean- kun,\let us dedicate ourselves to dispassionately carrying out response:	our duties as information brokers.
