context: NO AURA, NO LIFE WE OPPOSE THE SHUTDOWN OF AURA response:	Muginami! That's dangerous!
context: NO AURA, NO LIFE WE OPPOSE THE SHUTDOWN OF AURA\Muginami! That's dangerous! response:	Lan, you're so slow!
context: NO AURA, NO LIFE WE OPPOSE THE SHUTDOWN OF AURA\Muginami! That's dangerous!\Lan, you're so slow! response:	Why you!
context: NO AURA, NO LIFE WE OPPOSE THE SHUTDOWN OF AURA\Muginami! That's dangerous!\Lan, you're so slow!\Why you! response:	Out of the way! Out of the way!
context: NO AURA, NO LIFE WE OPPOSE THE SHUTDOWN OF AURA\Muginami! That's dangerous!\Lan, you're so slow!\Why you!\Out of the way! Out of the way! response:	Madoka!
context: NO AURA, NO LIFE WE OPPOSE THE SHUTDOWN OF AURA\Muginami! That's dangerous!\Lan, you're so slow!\Why you!\Out of the way! Out of the way!\Madoka! response:	Now you've done it!
context: NO AURA, NO LIFE WE OPPOSE THE SHUTDOWN OF AURA\Muginami! That's dangerous!\Lan, you're so slow!\Why you!\Out of the way! Out of the way!\Madoka!\Now you've done it! response:	Oops, sorry!
context: NO AURA, NO LIFE WE OPPOSE THE SHUTDOWN OF AURA\Muginami! That's dangerous!\Lan, you're so slow!\Why you!\Out of the way! Out of the way!\Madoka!\Now you've done it!\Oops, sorry! response:	Muginami!
context: Muginami! That's dangerous!\Lan, you're so slow!\Why you!\Out of the way! Out of the way!\Madoka!\Now you've done it!\Oops, sorry!\Muginami! response:	Roger that!
context: Lan, you're so slow!\Why you!\Out of the way! Out of the way!\Madoka!\Now you've done it!\Oops, sorry!\Muginami!\Roger that! response:	Here we go, Midori!
context: Why you!\Out of the way! Out of the way!\Madoka!\Now you've done it!\Oops, sorry!\Muginami!\Roger that!\Here we go, Midori! response:	They're just like kittens.
context: Out of the way! Out of the way!\Madoka!\Now you've done it!\Oops, sorry!\Muginami!\Roger that!\Here we go, Midori!\They're just like kittens. response:	It's mostly due to their craft's capabilities.
context: Madoka!\Now you've done it!\Oops, sorry!\Muginami!\Roger that!\Here we go, Midori!\They're just like kittens.\It's mostly due to their craft's capabilities. response:	Even so, standard fighter planes are no match for them now.
context: Now you've done it!\Oops, sorry!\Muginami!\Roger that!\Here we go, Midori!\They're just like kittens.\It's mostly due to their craft's capabilities.\Even so, standard fighter planes are no match for them now. response:	Uehara!
context: Oops, sorry!\Muginami!\Roger that!\Here we go, Midori!\They're just like kittens.\It's mostly due to their craft's capabilities.\Even so, standard fighter planes are no match for them now.\Uehara! response:	Tell those three that they are not to fly into space.
context: Muginami!\Roger that!\Here we go, Midori!\They're just like kittens.\It's mostly due to their craft's capabilities.\Even so, standard fighter planes are no match for them now.\Uehara!\Tell those three that they are not to fly into space. response:	Yes sir!
context: Roger that!\Here we go, Midori!\They're just like kittens.\It's mostly due to their craft's capabilities.\Even so, standard fighter planes are no match for them now.\Uehara!\Tell those three that they are not to fly into space.\Yes sir! response:	It's a good thing that Villagiulio hasn't made any moves lately.
context: Here we go, Midori!\They're just like kittens.\It's mostly due to their craft's capabilities.\Even so, standard fighter planes are no match for them now.\Uehara!\Tell those three that they are not to fly into space.\Yes sir!\It's a good thing that Villagiulio hasn't made any moves lately. response:	However, we can't expect him to leave quietly.
context: They're just like kittens.\It's mostly due to their craft's capabilities.\Even so, standard fighter planes are no match for them now.\Uehara!\Tell those three that they are not to fly into space.\Yes sir!\It's a good thing that Villagiulio hasn't made any moves lately.\However, we can't expect him to leave quietly. response:	You're right about that.
context: It's mostly due to their craft's capabilities.\Even so, standard fighter planes are no match for them now.\Uehara!\Tell those three that they are not to fly into space.\Yes sir!\It's a good thing that Villagiulio hasn't made any moves lately.\However, we can't expect him to leave quietly.\You're right about that. response:	Cap, you have an outside call.
context: Even so, standard fighter planes are no match for them now.\Uehara!\Tell those three that they are not to fly into space.\Yes sir!\It's a good thing that Villagiulio hasn't made any moves lately.\However, we can't expect him to leave quietly.\You're right about that.\Cap, you have an outside call. response:	Okay...
context: Uehara!\Tell those three that they are not to fly into space.\Yes sir!\It's a good thing that Villagiulio hasn't made any moves lately.\However, we can't expect him to leave quietly.\You're right about that.\Cap, you have an outside call.\Okay... response:	This is Tadokoro on Pharos.
context: Tell those three that they are not to fly into space.\Yes sir!\It's a good thing that Villagiulio hasn't made any moves lately.\However, we can't expect him to leave quietly.\You're right about that.\Cap, you have an outside call.\Okay...\This is Tadokoro on Pharos. response:	What?
context: Yes sir!\It's a good thing that Villagiulio hasn't made any moves lately.\However, we can't expect him to leave quietly.\You're right about that.\Cap, you have an outside call.\Okay...\This is Tadokoro on Pharos.\What? response:	At what time?
context: It's a good thing that Villagiulio hasn't made any moves lately.\However, we can't expect him to leave quietly.\You're right about that.\Cap, you have an outside call.\Okay...\This is Tadokoro on Pharos.\What?\At what time? response:	That means he's practically here!
context: However, we can't expect him to leave quietly.\You're right about that.\Cap, you have an outside call.\Okay...\This is Tadokoro on Pharos.\What?\At what time?\That means he's practically here! response:	Calling all Vox Units.
context: You're right about that.\Cap, you have an outside call.\Okay...\This is Tadokoro on Pharos.\What?\At what time?\That means he's practically here!\Calling all Vox Units. response:	Return to base immediately!
context: Cap, you have an outside call.\Okay...\This is Tadokoro on Pharos.\What?\At what time?\That means he's practically here!\Calling all Vox Units.\Return to base immediately! response:	Return to base?
context: Okay...\This is Tadokoro on Pharos.\What?\At what time?\That means he's practically here!\Calling all Vox Units.\Return to base immediately!\Return to base? response:	What? But the fun is just beginning.
context: This is Tadokoro on Pharos.\What?\At what time?\That means he's practically here!\Calling all Vox Units.\Return to base immediately!\Return to base?\What? But the fun is just beginning. response:	Just get back here, stat!
context: What?\At what time?\That means he's practically here!\Calling all Vox Units.\Return to base immediately!\Return to base?\What? But the fun is just beginning.\Just get back here, stat! response:	Mr. Tadokoro?
context: At what time?\That means he's practically here!\Calling all Vox Units.\Return to base immediately!\Return to base?\What? But the fun is just beginning.\Just get back here, stat!\Mr. Tadokoro? response:	The chairman will arrive at Pharos shortly!
context: That means he's practically here!\Calling all Vox Units.\Return to base immediately!\Return to base?\What? But the fun is just beginning.\Just get back here, stat!\Mr. Tadokoro?\The chairman will arrive at Pharos shortly! response:	What chairman?
context: Calling all Vox Units.\Return to base immediately!\Return to base?\What? But the fun is just beginning.\Just get back here, stat!\Mr. Tadokoro?\The chairman will arrive at Pharos shortly!\What chairman? response:	Our boss, the Chairman of Novumundus!
context: Return to base immediately!\Return to base?\What? But the fun is just beginning.\Just get back here, stat!\Mr. Tadokoro?\The chairman will arrive at Pharos shortly!\What chairman?\Our boss, the Chairman of Novumundus! response:	The Chairman...?
context: Return to base?\What? But the fun is just beginning.\Just get back here, stat!\Mr. Tadokoro?\The chairman will arrive at Pharos shortly!\What chairman?\Our boss, the Chairman of Novumundus!\The Chairman...? response:	A Lolita in Kamogawa
context: What? But the fun is just beginning.\Just get back here, stat!\Mr. Tadokoro?\The chairman will arrive at Pharos shortly!\What chairman?\Our boss, the Chairman of Novumundus!\The Chairman...?\A Lolita in Kamogawa response:	A Lolita in Kamogawa
context: Just get back here, stat!\Mr. Tadokoro?\The chairman will arrive at Pharos shortly!\What chairman?\Our boss, the Chairman of Novumundus!\The Chairman...?\A Lolita in Kamogawa\A Lolita in Kamogawa response:	Where's Tadokoro?
context: Mr. Tadokoro?\The chairman will arrive at Pharos shortly!\What chairman?\Our boss, the Chairman of Novumundus!\The Chairman...?\A Lolita in Kamogawa\A Lolita in Kamogawa\Where's Tadokoro? response:	That would be me.
context: The chairman will arrive at Pharos shortly!\What chairman?\Our boss, the Chairman of Novumundus!\The Chairman...?\A Lolita in Kamogawa\A Lolita in Kamogawa\Where's Tadokoro?\That would be me. response:	So you are Syozo Tadokoro?
context: What chairman?\Our boss, the Chairman of Novumundus!\The Chairman...?\A Lolita in Kamogawa\A Lolita in Kamogawa\Where's Tadokoro?\That would be me.\So you are Syozo Tadokoro? response:	Asteria Lizamarie De Roschefall...
context: Our boss, the Chairman of Novumundus!\The Chairman...?\A Lolita in Kamogawa\A Lolita in Kamogawa\Where's Tadokoro?\That would be me.\So you are Syozo Tadokoro?\Asteria Lizamarie De Roschefall... response:	I'll be representing my great-grandfather.
context: The Chairman...?\A Lolita in Kamogawa\A Lolita in Kamogawa\Where's Tadokoro?\That would be me.\So you are Syozo Tadokoro?\Asteria Lizamarie De Roschefall...\I'll be representing my great-grandfather. response:	Representing him?
context: A Lolita in Kamogawa\A Lolita in Kamogawa\Where's Tadokoro?\That would be me.\So you are Syozo Tadokoro?\Asteria Lizamarie De Roschefall...\I'll be representing my great-grandfather.\Representing him? response:	He's getting older and doesn't like to travel long distances.
context: A Lolita in Kamogawa\Where's Tadokoro?\That would be me.\So you are Syozo Tadokoro?\Asteria Lizamarie De Roschefall...\I'll be representing my great-grandfather.\Representing him?\He's getting older and doesn't like to travel long distances. response:	But we didn't receive a message.
context: Where's Tadokoro?\That would be me.\So you are Syozo Tadokoro?\Asteria Lizamarie De Roschefall...\I'll be representing my great-grandfather.\Representing him?\He's getting older and doesn't like to travel long distances.\But we didn't receive a message. response:	Was there a need?
context: That would be me.\So you are Syozo Tadokoro?\Asteria Lizamarie De Roschefall...\I'll be representing my great-grandfather.\Representing him?\He's getting older and doesn't like to travel long distances.\But we didn't receive a message.\Was there a need? response:	Oh no...
context: So you are Syozo Tadokoro?\Asteria Lizamarie De Roschefall...\I'll be representing my great-grandfather.\Representing him?\He's getting older and doesn't like to travel long distances.\But we didn't receive a message.\Was there a need?\Oh no... response:	I guess there wasn't, really...
context: Asteria Lizamarie De Roschefall...\I'll be representing my great-grandfather.\Representing him?\He's getting older and doesn't like to travel long distances.\But we didn't receive a message.\Was there a need?\Oh no...\I guess there wasn't, really... response:	Mr. Tadokoro looks uncomfortable.
context: I'll be representing my great-grandfather.\Representing him?\He's getting older and doesn't like to travel long distances.\But we didn't receive a message.\Was there a need?\Oh no...\I guess there wasn't, really...\Mr. Tadokoro looks uncomfortable. response:	She's got more presence than him.
