context: When I got into junior high, there was an amazing player. response:	I thought that junior high was an amazing place,
context: When I got into junior high, there was an amazing player.\I thought that junior high was an amazing place, response:	Best Setter Award Oikawa Toru
context: When I got into junior high, there was an amazing player.\I thought that junior high was an amazing place,\Best Setter Award Oikawa Toru response:	but that wasn't exactly the case...
context: When I got into junior high, there was an amazing player.\I thought that junior high was an amazing place,\Best Setter Award Oikawa Toru\but that wasn't exactly the case... response:	It was that person who was amazing.
context: When I got into junior high, there was an amazing player.\I thought that junior high was an amazing place,\Best Setter Award Oikawa Toru\but that wasn't exactly the case...\It was that person who was amazing. response:	Certain Victory Kitagawa Daiichi Junior High School Volleyball Club
context: When I got into junior high, there was an amazing player.\I thought that junior high was an amazing place,\Best Setter Award Oikawa Toru\but that wasn't exactly the case...\It was that person who was amazing.\Certain Victory Kitagawa Daiichi Junior High School Volleyball Club response:	If I could surpass him,
context: When I got into junior high, there was an amazing player.\I thought that junior high was an amazing place,\Best Setter Award Oikawa Toru\but that wasn't exactly the case...\It was that person who was amazing.\Certain Victory Kitagawa Daiichi Junior High School Volleyball Club\If I could surpass him, response:	I'd be the best setter in the prefecture.
context: When I got into junior high, there was an amazing player.\I thought that junior high was an amazing place,\Best Setter Award Oikawa Toru\but that wasn't exactly the case...\It was that person who was amazing.\Certain Victory Kitagawa Daiichi Junior High School Volleyball Club\If I could surpass him,\I'd be the best setter in the prefecture. response:	Dang... Karasuno's setter is only a first-year,
context: I thought that junior high was an amazing place,\Best Setter Award Oikawa Toru\but that wasn't exactly the case...\It was that person who was amazing.\Certain Victory Kitagawa Daiichi Junior High School Volleyball Club\If I could surpass him,\I'd be the best setter in the prefecture.\Dang... Karasuno's setter is only a first-year, response:	but he's going head-to-head with Oikawa.
context: Best Setter Award Oikawa Toru\but that wasn't exactly the case...\It was that person who was amazing.\Certain Victory Kitagawa Daiichi Junior High School Volleyball Club\If I could surpass him,\I'd be the best setter in the prefecture.\Dang... Karasuno's setter is only a first-year,\but he's going head-to-head with Oikawa. response:	This is totally a battle of the setters.
context: but that wasn't exactly the case...\It was that person who was amazing.\Certain Victory Kitagawa Daiichi Junior High School Volleyball Club\If I could surpass him,\I'd be the best setter in the prefecture.\Dang... Karasuno's setter is only a first-year,\but he's going head-to-head with Oikawa.\This is totally a battle of the setters. response:	That was awesome!
context: It was that person who was amazing.\Certain Victory Kitagawa Daiichi Junior High School Volleyball Club\If I could surpass him,\I'd be the best setter in the prefecture.\Dang... Karasuno's setter is only a first-year,\but he's going head-to-head with Oikawa.\This is totally a battle of the setters.\That was awesome! response:	You're not losing against the Great King, Kageyama!
context: Certain Victory Kitagawa Daiichi Junior High School Volleyball Club\If I could surpass him,\I'd be the best setter in the prefecture.\Dang... Karasuno's setter is only a first-year,\but he's going head-to-head with Oikawa.\This is totally a battle of the setters.\That was awesome!\You're not losing against the Great King, Kageyama! response:	Even if he's the best overall player in the prefecture,
context: If I could surpass him,\I'd be the best setter in the prefecture.\Dang... Karasuno's setter is only a first-year,\but he's going head-to-head with Oikawa.\This is totally a battle of the setters.\That was awesome!\You're not losing against the Great King, Kageyama!\Even if he's the best overall player in the prefecture, response:	I won't lose to him as a setter.
context: I'd be the best setter in the prefecture.\Dang... Karasuno's setter is only a first-year,\but he's going head-to-head with Oikawa.\This is totally a battle of the setters.\That was awesome!\You're not losing against the Great King, Kageyama!\Even if he's the best overall player in the prefecture,\I won't lose to him as a setter. response:	But aren't you serving next?
context: Dang... Karasuno's setter is only a first-year,\but he's going head-to-head with Oikawa.\This is totally a battle of the setters.\That was awesome!\You're not losing against the Great King, Kageyama!\Even if he's the best overall player in the prefecture,\I won't lose to him as a setter.\But aren't you serving next? response:	You're on the back line, right?
context: but he's going head-to-head with Oikawa.\This is totally a battle of the setters.\That was awesome!\You're not losing against the Great King, Kageyama!\Even if he's the best overall player in the prefecture,\I won't lose to him as a setter.\But aren't you serving next?\You're on the back line, right? response:	You said you'd do the same thing again,
context: This is totally a battle of the setters.\That was awesome!\You're not losing against the Great King, Kageyama!\Even if he's the best overall player in the prefecture,\I won't lose to him as a setter.\But aren't you serving next?\You're on the back line, right?\You said you'd do the same thing again, response:	but isn't a dump from the back line illegal?
context: That was awesome!\You're not losing against the Great King, Kageyama!\Even if he's the best overall player in the prefecture,\I won't lose to him as a setter.\But aren't you serving next?\You're on the back line, right?\You said you'd do the same thing again,\but isn't a dump from the back line illegal? response:	Shut up!
context: You're not losing against the Great King, Kageyama!\Even if he's the best overall player in the prefecture,\I won't lose to him as a setter.\But aren't you serving next?\You're on the back line, right?\You said you'd do the same thing again,\but isn't a dump from the back line illegal?\Shut up! response:	I-I meant when I got back up to the front line.
context: Even if he's the best overall player in the prefecture,\I won't lose to him as a setter.\But aren't you serving next?\You're on the back line, right?\You said you'd do the same thing again,\but isn't a dump from the back line illegal?\Shut up!\I-I meant when I got back up to the front line. response:	Haikyu!!
context: I won't lose to him as a setter.\But aren't you serving next?\You're on the back line, right?\You said you'd do the same thing again,\but isn't a dump from the back line illegal?\Shut up!\I-I meant when I got back up to the front line.\Haikyu!! response:	Aoba Johsai Karasuno
context: But aren't you serving next?\You're on the back line, right?\You said you'd do the same thing again,\but isn't a dump from the back line illegal?\Shut up!\I-I meant when I got back up to the front line.\Haikyu!!\Aoba Johsai Karasuno response:	Episode 20: Oikawa Toru is Not a Genius
context: You're on the back line, right?\You said you'd do the same thing again,\but isn't a dump from the back line illegal?\Shut up!\I-I meant when I got back up to the front line.\Haikyu!!\Aoba Johsai Karasuno\Episode 20: Oikawa Toru is Not a Genius response:	Kageyama, nice serve!
context: You said you'd do the same thing again,\but isn't a dump from the back line illegal?\Shut up!\I-I meant when I got back up to the front line.\Haikyu!!\Aoba Johsai Karasuno\Episode 20: Oikawa Toru is Not a Genius\Kageyama, nice serve! response:	Crap!
context: but isn't a dump from the back line illegal?\Shut up!\I-I meant when I got back up to the front line.\Haikyu!!\Aoba Johsai Karasuno\Episode 20: Oikawa Toru is Not a Genius\Kageyama, nice serve!\Crap! response:	Out! Out!
context: Shut up!\I-I meant when I got back up to the front line.\Haikyu!!\Aoba Johsai Karasuno\Episode 20: Oikawa Toru is Not a Genius\Kageyama, nice serve!\Crap!\Out! Out! response:	He sure blew that one out of the park.
context: I-I meant when I got back up to the front line.\Haikyu!!\Aoba Johsai Karasuno\Episode 20: Oikawa Toru is Not a Genius\Kageyama, nice serve!\Crap!\Out! Out!\He sure blew that one out of the park. response:	What an amazing homerun.
context: Haikyu!!\Aoba Johsai Karasuno\Episode 20: Oikawa Toru is Not a Genius\Kageyama, nice serve!\Crap!\Out! Out!\He sure blew that one out of the park.\What an amazing homerun. response:	Damn it!
context: Aoba Johsai Karasuno\Episode 20: Oikawa Toru is Not a Genius\Kageyama, nice serve!\Crap!\Out! Out!\He sure blew that one out of the park.\What an amazing homerun.\Damn it! response:	Don't mind! Don't mind!
context: Episode 20: Oikawa Toru is Not a Genius\Kageyama, nice serve!\Crap!\Out! Out!\He sure blew that one out of the park.\What an amazing homerun.\Damn it!\Don't mind! Don't mind! response:	I'm sorry.
context: Kageyama, nice serve!\Crap!\Out! Out!\He sure blew that one out of the park.\What an amazing homerun.\Damn it!\Don't mind! Don't mind!\I'm sorry. response:	Well, then.
context: Crap!\Out! Out!\He sure blew that one out of the park.\What an amazing homerun.\Damn it!\Don't mind! Don't mind!\I'm sorry.\Well, then. response:	I guess I'll just have to show you how it's done.
context: Out! Out!\He sure blew that one out of the park.\What an amazing homerun.\Damn it!\Don't mind! Don't mind!\I'm sorry.\Well, then.\I guess I'll just have to show you how it's done. response:	Eh? He was aiming for Nishinoya?!
context: He sure blew that one out of the park.\What an amazing homerun.\Damn it!\Don't mind! Don't mind!\I'm sorry.\Well, then.\I guess I'll just have to show you how it's done.\Eh? He was aiming for Nishinoya?! response:	It's coming head-on... no, it's curving!
context: What an amazing homerun.\Damn it!\Don't mind! Don't mind!\I'm sorry.\Well, then.\I guess I'll just have to show you how it's done.\Eh? He was aiming for Nishinoya?!\It's coming head-on... no, it's curving! response:	He was able to receive Oikawa's serve!
context: Damn it!\Don't mind! Don't mind!\I'm sorry.\Well, then.\I guess I'll just have to show you how it's done.\Eh? He was aiming for Nishinoya?!\It's coming head-on... no, it's curving!\He was able to receive Oikawa's serve! response:	Karasuno's libero's awesome!
context: Don't mind! Don't mind!\I'm sorry.\Well, then.\I guess I'll just have to show you how it's done.\Eh? He was aiming for Nishinoya?!\It's coming head-on... no, it's curving!\He was able to receive Oikawa's serve!\Karasuno's libero's awesome! response:	Aww...
context: I'm sorry.\Well, then.\I guess I'll just have to show you how it's done.\Eh? He was aiming for Nishinoya?!\It's coming head-on... no, it's curving!\He was able to receive Oikawa's serve!\Karasuno's libero's awesome!\Aww... response:	He got it.
context: Well, then.\I guess I'll just have to show you how it's done.\Eh? He was aiming for Nishinoya?!\It's coming head-on... no, it's curving!\He was able to receive Oikawa's serve!\Karasuno's libero's awesome!\Aww...\He got it. response:	Aw, man. He really is amazing.
context: I guess I'll just have to show you how it's done.\Eh? He was aiming for Nishinoya?!\It's coming head-on... no, it's curving!\He was able to receive Oikawa's serve!\Karasuno's libero's awesome!\Aww...\He got it.\Aw, man. He really is amazing. response:	Whadya mean, show you how it's done?!
context: Eh? He was aiming for Nishinoya?!\It's coming head-on... no, it's curving!\He was able to receive Oikawa's serve!\Karasuno's libero's awesome!\Aww...\He got it.\Aw, man. He really is amazing.\Whadya mean, show you how it's done?! response:	He received it without a problem!
context: It's coming head-on... no, it's curving!\He was able to receive Oikawa's serve!\Karasuno's libero's awesome!\Aww...\He got it.\Aw, man. He really is amazing.\Whadya mean, show you how it's done?!\He received it without a problem! response:	Bring it!
context: He was able to receive Oikawa's serve!\Karasuno's libero's awesome!\Aww...\He got it.\Aw, man. He really is amazing.\Whadya mean, show you how it's done?!\He received it without a problem!\Bring it! response:	10! 10!
context: Karasuno's libero's awesome!\Aww...\He got it.\Aw, man. He really is amazing.\Whadya mean, show you how it's done?!\He received it without a problem!\Bring it!\10! 10! response:	Yeah!
context: Aww...\He got it.\Aw, man. He really is amazing.\Whadya mean, show you how it's done?!\He received it without a problem!\Bring it!\10! 10!\Yeah! response:	All right!
