context: Who is that?! response:	Hey, are you all right?!
context: Who is that?!\Hey, are you all right?! response:	Here it is... Right here!
context: Who is that?!\Hey, are you all right?!\Here it is... Right here! response:	There's no mistake!
context: Who is that?!\Hey, are you all right?!\Here it is... Right here!\There's no mistake! response:	Just enough moisture...
context: Who is that?!\Hey, are you all right?!\Here it is... Right here!\There's no mistake!\Just enough moisture... response:	And the soil is good, too.
context: Who is that?!\Hey, are you all right?!\Here it is... Right here!\There's no mistake!\Just enough moisture...\And the soil is good, too. response:	Intruder! I asked who you are?!
context: Who is that?!\Hey, are you all right?!\Here it is... Right here!\There's no mistake!\Just enough moisture...\And the soil is good, too.\Intruder! I asked who you are?! response:	- Identify yourself! - Silence!
context: Who is that?!\Hey, are you all right?!\Here it is... Right here!\There's no mistake!\Just enough moisture...\And the soil is good, too.\Intruder! I asked who you are?!\- Identify yourself! - Silence! response:	I just have some business with the urn buried here!
context: Hey, are you all right?!\Here it is... Right here!\There's no mistake!\Just enough moisture...\And the soil is good, too.\Intruder! I asked who you are?!\- Identify yourself! - Silence!\I just have some business with the urn buried here! response:	Once I possess it, I'll leave this sore sight of a village!
context: Here it is... Right here!\There's no mistake!\Just enough moisture...\And the soil is good, too.\Intruder! I asked who you are?!\- Identify yourself! - Silence!\I just have some business with the urn buried here!\Once I possess it, I'll leave this sore sight of a village! response:	So... She knows what's buried here!
context: There's no mistake!\Just enough moisture...\And the soil is good, too.\Intruder! I asked who you are?!\- Identify yourself! - Silence!\I just have some business with the urn buried here!\Once I possess it, I'll leave this sore sight of a village!\So... She knows what's buried here! response:	Leave immediately! Else I'll show no mercy!
context: Just enough moisture...\And the soil is good, too.\Intruder! I asked who you are?!\- Identify yourself! - Silence!\I just have some business with the urn buried here!\Once I possess it, I'll leave this sore sight of a village!\So... She knows what's buried here!\Leave immediately! Else I'll show no mercy! response:	You talk too much, you stubborn ignorant old woman!
context: And the soil is good, too.\Intruder! I asked who you are?!\- Identify yourself! - Silence!\I just have some business with the urn buried here!\Once I possess it, I'll leave this sore sight of a village!\So... She knows what's buried here!\Leave immediately! Else I'll show no mercy!\You talk too much, you stubborn ignorant old woman! response:	Didn't I tell you not to interfere?!
context: Intruder! I asked who you are?!\- Identify yourself! - Silence!\I just have some business with the urn buried here!\Once I possess it, I'll leave this sore sight of a village!\So... She knows what's buried here!\Leave immediately! Else I'll show no mercy!\You talk too much, you stubborn ignorant old woman!\Didn't I tell you not to interfere?! response:	Priestess Kaede!
context: - Identify yourself! - Silence!\I just have some business with the urn buried here!\Once I possess it, I'll leave this sore sight of a village!\So... She knows what's buried here!\Leave immediately! Else I'll show no mercy!\You talk too much, you stubborn ignorant old woman!\Didn't I tell you not to interfere?!\Priestess Kaede! response:	T-that is my sister's!
context: I just have some business with the urn buried here!\Once I possess it, I'll leave this sore sight of a village!\So... She knows what's buried here!\Leave immediately! Else I'll show no mercy!\You talk too much, you stubborn ignorant old woman!\Didn't I tell you not to interfere?!\Priestess Kaede!\T-that is my sister's! response:	I will not let you have it!
context: Once I possess it, I'll leave this sore sight of a village!\So... She knows what's buried here!\Leave immediately! Else I'll show no mercy!\You talk too much, you stubborn ignorant old woman!\Didn't I tell you not to interfere?!\Priestess Kaede!\T-that is my sister's!\I will not let you have it! response:	Not a demon like you!
context: So... She knows what's buried here!\Leave immediately! Else I'll show no mercy!\You talk too much, you stubborn ignorant old woman!\Didn't I tell you not to interfere?!\Priestess Kaede!\T-that is my sister's!\I will not let you have it!\Not a demon like you! response:	I am the demoness, Urasue!
context: Leave immediately! Else I'll show no mercy!\You talk too much, you stubborn ignorant old woman!\Didn't I tell you not to interfere?!\Priestess Kaede!\T-that is my sister's!\I will not let you have it!\Not a demon like you!\I am the demoness, Urasue! response:	Kikyo's ashes...
