context: Kawagoe City Daisan Middle School response:	Kawagoe City Daisan Middle School Opening Ceremony
context: Kawagoe City Daisan Middle School\Kawagoe City Daisan Middle School Opening Ceremony response:	Were you on it?
context: Kawagoe City Daisan Middle School\Kawagoe City Daisan Middle School Opening Ceremony\Were you on it? response:	Hey, I'm in Class 3.
context: Kawagoe City Daisan Middle School\Kawagoe City Daisan Middle School Opening Ceremony\Were you on it?\Hey, I'm in Class 3. response:	I'm Class 2.
context: Kawagoe City Daisan Middle School\Kawagoe City Daisan Middle School Opening Ceremony\Were you on it?\Hey, I'm in Class 3.\I'm Class 2. response:	There's me!
context: Kawagoe City Daisan Middle School\Kawagoe City Daisan Middle School Opening Ceremony\Were you on it?\Hey, I'm in Class 3.\I'm Class 2.\There's me! response:	Nakajima Kotono
context: Kawagoe City Daisan Middle School\Kawagoe City Daisan Middle School Opening Ceremony\Were you on it?\Hey, I'm in Class 3.\I'm Class 2.\There's me!\Nakajima Kotono response:	Ninomiya Hina
context: Kawagoe City Daisan Middle School\Kawagoe City Daisan Middle School Opening Ceremony\Were you on it?\Hey, I'm in Class 3.\I'm Class 2.\There's me!\Nakajima Kotono\Ninomiya Hina response:	Mizuno Akane
context: Kawagoe City Daisan Middle School Opening Ceremony\Were you on it?\Hey, I'm in Class 3.\I'm Class 2.\There's me!\Nakajima Kotono\Ninomiya Hina\Mizuno Akane response:	Miyamoto Aira
context: Were you on it?\Hey, I'm in Class 3.\I'm Class 2.\There's me!\Nakajima Kotono\Ninomiya Hina\Mizuno Akane\Miyamoto Aira response:	Ryuuzaki Shiho
context: Hey, I'm in Class 3.\I'm Class 2.\There's me!\Nakajima Kotono\Ninomiya Hina\Mizuno Akane\Miyamoto Aira\Ryuuzaki Shiho response:	Class 1.
context: I'm Class 2.\There's me!\Nakajima Kotono\Ninomiya Hina\Mizuno Akane\Miyamoto Aira\Ryuuzaki Shiho\Class 1. response:	None of us are together.
context: There's me!\Nakajima Kotono\Ninomiya Hina\Mizuno Akane\Miyamoto Aira\Ryuuzaki Shiho\Class 1.\None of us are together. response:	Are you with anyone?
context: Nakajima Kotono\Ninomiya Hina\Mizuno Akane\Miyamoto Aira\Ryuuzaki Shiho\Class 1.\None of us are together.\Are you with anyone? response:	No one in the track club.
context: Ninomiya Hina\Mizuno Akane\Miyamoto Aira\Ryuuzaki Shiho\Class 1.\None of us are together.\Are you with anyone?\No one in the track club. response:	Aww...
context: Mizuno Akane\Miyamoto Aira\Ryuuzaki Shiho\Class 1.\None of us are together.\Are you with anyone?\No one in the track club.\Aww... response:	Hey, at least we can see each other in the club.
context: Miyamoto Aira\Ryuuzaki Shiho\Class 1.\None of us are together.\Are you with anyone?\No one in the track club.\Aww...\Hey, at least we can see each other in the club. response:	That's true.
context: Ryuuzaki Shiho\Class 1.\None of us are together.\Are you with anyone?\No one in the track club.\Aww...\Hey, at least we can see each other in the club.\That's true. response:	You think we'll get some first-years?
context: Class 1.\None of us are together.\Are you with anyone?\No one in the track club.\Aww...\Hey, at least we can see each other in the club.\That's true.\You think we'll get some first-years? response:	I hope we get lots!
context: None of us are together.\Are you with anyone?\No one in the track club.\Aww...\Hey, at least we can see each other in the club.\That's true.\You think we'll get some first-years?\I hope we get lots! response:	Shoot, I forgot about the poster!
context: Are you with anyone?\No one in the track club.\Aww...\Hey, at least we can see each other in the club.\That's true.\You think we'll get some first-years?\I hope we get lots!\Shoot, I forgot about the poster! response:	What?
context: No one in the track club.\Aww...\Hey, at least we can see each other in the club.\That's true.\You think we'll get some first-years?\I hope we get lots!\Shoot, I forgot about the poster!\What? response:	Hira asked me to do it.
